代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799778.529999999329448
真實報酬,3799778.529999999329448

夏普值報酬,0.371277853000000
夏普值風險,0.100232642990053
夏普值,3.704161058956052

二次趨勢線,31.927237780736178 x^2 + 8069.302059080019717 x + 10000000.000000000000000
二次平均預期報酬,16146.893217606269900
風險,165161.668125162803335
二次平均趨勢值,0.097764168895230
一次趨勢線,14115.499005462026616 x + 10000000.000000000000000
一次預期報酬,14115.499005462026616
一次風險,281377.506832133338321
一次趨勢值,0.050165697906632
找到最佳解世代,2637
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),BA[2](1),CAT[3](8),MCD[15](2),UNH[23](5),V[25](10),
FS( 167 ),2429691.899999999441206,2363447.220000000204891,2149100.000000000000000,1786399.300000000046566,1987076.559999999823049,1991356.269999999785796,12707075.250000000000000
FS( 168 ),2415265.669999999925494,2351624.300000000279397,2057104.000000000000000,1775048.859999999869615,1979622.399999999674037,1981062.849999999860302,12559732.080000000074506
FS( 169 ),2429518.089999999850988,2341214.990000000223517,2073672.000000000000000,1770481.000000000000000,1990152.879999999655411,1986880.869999999878928,12591923.829999998211861
FS( 170 ),2421870.450000000186265,2325151.240000000223517,2085444.000000000000000,1772280.459999999962747,1996068.879999999655411,1990237.419999999692664,12591056.449999999254942
FS( 171 ),2424999.030000000260770,2339158.830000000074506,2091330.000000000232831,1772834.139999999897555,1991336.079999999841675,1992922.659999999916181,12612584.740000000223517
FS( 172 ),2415960.910000000149012,2335560.550000000279397,2032470.000000000000000,1773110.979999999981374,1986721.599999999627471,1990684.959999999729916,12534513.000000000000000
FS( 173 ),2410398.990000000223517,2320524.879999999888241,1992358.000000000000000,1773803.079999999841675,1987904.799999999580905,1994041.509999999776483,12479035.259999997913837
FS( 174 ),2418394.250000000000000,2296493.509999999776483,2012414.000000000000000,1771588.360000000102445,2011213.839999999618158,2007915.250000000000000,12518023.209999999031425
FS( 175 ),2419437.109999999403954,2300991.360000000335276,2019608.000000000000000,1766466.819999999832362,2013935.199999999953434,2016418.509999999776483,12536860.999999998137355
FS( 176 ),2415787.099999999627471,2296879.040000000037253,2002604.000000000000000,1769096.799999999813735,2000328.399999999674037,2003887.389999999664724,12488586.730000000447035
FS( 177 ),2441337.169999999925494,2296622.020000000018626,2035304.000000000000000,1770204.159999999916181,2032511.439999999711290,2012166.879999999888241,12588149.669999998062849
FS( 178 ),2445334.799999999813735,2289939.500000000000000,2024185.999999999767169,1771588.360000000102445,2026832.079999999841675,2014852.119999999878928,12572736.859999999403954
FS( 179 ),2433168.099999999627471,2314484.910000000149012,2025494.000000000000000,1780724.079999999841675,2007900.879999999655411,2019327.519999999785796,12581103.489999998360872
FS( 180 ),2458718.169999999925494,2305360.699999999720603,2079776.000000000232831,1782661.959999999962747,1987786.479999999748543,1995607.899999999906868,12609915.209999999031425
FS( 181 ),2430560.950000000186265,2261281.770000000018626,2015030.000000000232831,1779063.040000000037253,1984236.879999999655411,1970545.659999999916181,12440722.300000000745058
FS( 182 ),2458022.929999999701977,2274389.790000000037253,2015030.000000000232831,1787091.399999999906868,1976309.439999999711290,1980839.079999999608845,12491686.639999998733401
FS( 183 ),2449332.429999999701977,2277988.069999999832362,2010670.000000000000000,1785707.199999999953434,1955721.759999999543652,1988447.259999999776483,12467870.719999998807907
FS( 184 ),2444465.750000000000000,2259482.629999999888241,2008926.000000000232831,1790413.479999999981374,1952290.479999999748543,1995831.669999999692664,12451414.009999999776483
FS( 185 ),2448637.189999999478459,2263080.910000000149012,1994974.000000000000000,1792489.780000000027940,1947557.679999999701977,1990461.189999999944121,12437204.749999998137355
FS( 186 ),2499389.709999999962747,2279273.170000000391155,2026366.000000000000000,1791936.099999999860302,1956431.679999999701977,1994265.279999999795109,12547665.939999999478459
FS( 187 ),2504951.629999999888241,2282742.939999999944121,2024404.000000000000000,1783492.479999999981374,1933832.559999999823049,1995607.899999999906868,12525035.510000001639128
FS( 188 ),2501649.240000000223517,2287240.790000000037253,2032252.000000000000000,1790136.639999999897555,1952172.159999999916181,1991803.809999999823049,12555258.640000000596046
FS( 189 ),2496956.370000000111759,2272847.670000000391155,2022224.000000000000000,1794150.820000000065193,1940576.799999999580905,1988671.029999999795109,12515430.689999999478459
FS( 190 ),2497651.609999999403954,2270148.959999999962747,2011542.000000000000000,1794150.820000000065193,1959271.359999999869615,1999635.759999999776483,12532404.509999997913837
FS( 191 ),2516249.280000000260770,2296493.509999999776483,2052090.000000000000000,1789721.379999999888241,1951935.519999999785796,1986657.099999999860302,12593150.789999999105930
FS( 192 ),2503213.530000000260770,2275674.890000000130385,2054488.000000000000000,1805224.419999999925494,1956668.319999999832362,1992251.349999999860302,12587524.509999999776483
FS( 193 ),2496956.370000000111759,2279401.680000000167638,2088931.999999999767169,1801625.500000000000000,1956313.359999999869615,1993593.969999999972060,12616826.880000000819564
FS( 194 ),2491394.450000000186265,2298421.160000000149012,2082392.000000000000000,1798995.520000000018626,1964359.119999999878928,1985762.019999999785796,12621328.269999999552965
FS( 195 ),2488439.679999999701977,2281843.370000000111759,2117708.000000000000000,1799272.359999999869615,1957969.839999999618158,1988447.259999999776483,12633684.509999999776483
FS( 196 ),2461672.939999999478459,2294822.879999999888241,2116836.000000000000000,1816159.599999999860302,1962111.039999999804422,1988223.489999999757856,12639829.949999999254942
FS( 197 ),2464627.709999999962747,2262438.360000000335276,2068004.000000000000000,1816990.119999999878928,1958916.399999999674037,1984419.399999999906868,12555399.990000000223517
FS( 198 ),2451591.959999999962747,2256912.430000000167638,2029635.999999999767169,1810069.119999999878928,1951817.199999999953434,1988671.029999999795109,12488701.739999998360872
FS( 199 ),2465149.140000000596046,2300605.830000000074506,2052308.000000000000000,1818235.899999999906868,1978084.239999999757856,2009705.409999999916181,12624092.520000001415610
FS( 200 ),2454199.109999999403954,2285570.160000000149012,2057758.000000000000000,1831385.800000000046566,1994767.359999999869615,2007915.250000000000000,12631599.679999999701977
FS( 201 ),2445160.990000000223517,2292638.209999999962747,2037702.000000000000000,1836092.079999999841675,2002576.479999999748543,2008362.789999999804422,12622536.549999998882413
FS( 202 ),2475751.549999999813735,2304204.110000000335276,2063644.000000000000000,1844812.540000000037253,2029671.759999999543652,2039690.589999999850988,12757778.549999998882413
FS( 203 ),2472796.780000000260770,2318083.189999999944121,2056231.999999999767169,1846750.419999999925494,2025175.599999999627471,2039690.589999999850988,12758732.580000000074506
FS( 204 ),2496608.750000000000000,2339672.870000000111759,2110514.000000000000000,1858100.859999999869615,2039019.039999999804422,2055354.489999999757856,12899274.009999999776483
FS( 205 ),2512077.839999999850988,2358306.819999999832362,2276412.000000000000000,1961500.599999999860302,2059251.759999999543652,2061172.509999999776483,13228725.529999999329448
FS( 206 ),2497303.990000000223517,2335175.020000000018626,2281644.000000000000000,1949596.479999999981374,2063274.639999999664724,2054683.179999999701977,13181681.309999998658895
FS( 207 ),2499215.899999999441206,2354580.030000000260770,2238480.000000000000000,1950011.739999999990687,2066232.639999999664724,2049760.239999999757856,13158284.549999998882413
FS( 208 ),2496782.559999999590218,2375270.140000000130385,2229324.000000000000000,1937000.260000000009313,2069190.639999999664724,2041256.979999999748543,13148828.579999998211861
FS( 209 ),2547708.890000000596046,2343913.699999999720603,2223656.000000000000000,1953887.500000000000000,2065759.359999999869615,2042152.059999999823049,13177081.509999999776483
FS( 210 ),2563873.219999999739230,2357407.250000000000000,2212974.000000000000000,1954994.859999999869615,2060434.959999999497086,2070794.619999999878928,13220482.909999998286366
FS( 211 ),2556051.769999999552965,2356764.699999999720603,2213628.000000000000000,1974235.239999999990687,2041503.759999999543652,2068556.919999999692664,13210744.389999998733401
FS( 212 ),2546839.839999999850988,2352652.379999999888241,2166758.000000000000000,1985724.099999999860302,2059015.119999999878928,2072584.779999999795109,13183578.219999998807907
FS( 213 ),2589075.669999999925494,2377583.319999999832362,2172208.000000000000000,1992783.520000000018626,2060198.319999999832362,2060724.969999999972060,13252577.800000000745058
FS( 214 ),2659468.719999999739230,2390562.830000000074506,2166322.000000000000000,1996659.280000000027940,2063984.559999999823049,2056920.879999999888241,13333922.269999999552965
FS( 215 ),2676502.099999999627471,2402000.220000000204891,2164578.000000000000000,1998320.320000000065193,2049786.159999999916181,2058711.039999999804422,13349901.839999999850988
FS( 216 ),2663813.969999999739230,2354065.990000000223517,2187904.000000000000000,2000535.040000000037253,2051560.959999999497086,2064305.289999999804422,13322189.249999998137355
FS( 217 ),2675806.859999999403954,2363832.750000000000000,2201638.000000000000000,1996244.020000000018626,2050732.719999999739230,2060948.739999999757856,13349207.089999997988343
FS( 218 ),2713176.009999999776483,2354965.560000000055879,2195534.000000000000000,2012162.320000000065193,2032866.399999999674037,2075046.250000000000000,13383754.540000000968575
FS( 219 ),2706223.609999999403954,2343913.699999999720603,2232812.000000000000000,2024896.959999999962747,2029553.439999999711290,2086234.750000000000000,13423638.459999999031425
FS( 220 ),2702225.979999999515712,2347897.509999999776483,2231068.000000000000000,2038877.379999999888241,1989206.319999999832362,2084444.589999999850988,13393723.779999999329448
FS( 221 ),2611497.160000000149012,2297521.589999999850988,2183108.000000000000000,2026696.419999999925494,1997962.000000000000000,2053340.559999999823049,13170129.730000000447035
FS( 222 ),2651299.649999999441206,2279787.209999999962747,2184852.000000000000000,2035001.619999999878928,2028606.879999999655411,2052221.709999999729916,13231773.069999996572733
FS( 223 ),2660337.769999999552965,2322966.569999999832362,2233030.000000000000000,2050781.500000000000000,2042095.359999999869615,2069452.000000000000000,13378667.199999999254942
FS( 224 ),2676502.099999999627471,2360362.979999999981374,2229978.000000000000000,2051335.179999999934807,2067060.879999999655411,2088024.909999999916181,13473268.049999998882413
FS( 225 ),2673199.709999999962747,2358049.800000000279397,2259190.000000000000000,2046213.639999999897555,2073213.519999999785796,2100332.259999999776483,13510202.929999999701977
FS( 226 ),2665204.450000000186265,2380667.560000000055879,2266166.000000000000000,2069468.199999999953434,2077591.359999999869615,2121590.410000000149012,13580691.979999998584390
FS( 227 ),2674416.379999999888241,2404056.379999999888241,2289492.000000000000000,2073343.959999999962747,2106698.080000000074506,2126737.120000000111759,13674747.919999998062849
FS( 228 ),2669897.320000000298023,2397887.899999999906868,2303444.000000000000000,2074451.320000000065193,2100190.479999999515712,2118457.629999999888241,13664332.649999998509884
FS( 229 ),2670940.179999999701977,2401614.689999999944121,2299302.000000000000000,2075420.260000000009313,2089423.359999999869615,2119576.479999999515712,13656280.969999998807907
FS( 230 ),2655123.469999999739230,2411252.939999999944121,2298430.000000000000000,2088708.579999999841675,2072740.239999999757856,2130988.750000000000000,13657247.980000000447035
FS( 231 ),2662423.490000000223517,2407269.129999999888241,2303226.000000000000000,2109471.580000000074506,2124801.040000000037253,2134792.839999999850988,13741988.079999998211861
FS( 232 ),2701878.359999999403954,2444665.540000000037253,2309766.000000000000000,2128158.280000000260770,2122552.959999999962747,2151575.589999999850988,13858600.730000000447035
FS( 233 ),2675459.240000000223517,2428216.259999999776483,2293416.000000000000000,2115008.379999999888241,2122316.319999999366701,2160526.389999999664724,13794946.589999999850988
FS( 234 ),2684497.359999999403954,2399944.060000000055879,2279246.000000000000000,2093414.859999999869615,2139472.719999999739230,2143519.870000000111759,13740098.870000001043081
FS( 235 ),2700487.879999999888241,2417292.910000000149012,2256574.000000000000000,2103242.679999999701977,2167751.200000000186265,2150232.969999999739230,13795585.639999996870756
FS( 236 ),2693883.099999999627471,2440810.240000000223517,2289274.000000000000000,2096183.260000000009313,2149766.559999999590218,2150232.969999999739230,13820154.129999998956919
FS( 237 ),2589423.290000000037253,2442095.339999999850988,2309112.000000000000000,2096875.359999999869615,2147045.200000000186265,2115996.160000000149012,13700551.350000001490116
FS( 238 ),2527546.929999999701977,2441709.810000000055879,2312382.000000000000000,2055210.939999999944121,2120896.479999999515712,2092276.539999999804422,13550026.699999999254942
FS( 239 ),2547882.700000000186265,2455717.399999999906868,2305406.000000000000000,2073897.639999999897555,2142194.080000000074506,2127632.200000000186265,13652734.019999999552965
FS( 240 ),2523027.870000000111759,2472295.189999999944121,2282734.000000000000000,2085801.760000000009313,2157694.000000000000000,2133002.679999999701977,13654559.500000000000000
FS( 241 ),2507906.399999999441206,2511747.759999999776483,2319576.000000000000000,2092584.339999999850988,2134266.639999999664724,2107269.129999999888241,13673354.269999999552965
FS( 242 ),2472796.780000000260770,2524470.250000000000000,2345736.000000000000000,2103934.780000000260770,2149056.639999999664724,2107269.129999999888241,13703267.579999998211861
FS( 243 ),2543537.450000000186265,2558396.890000000130385,2343338.000000000000000,2119853.080000000074506,2165503.120000000111759,2121142.870000000111759,13851775.410000000149012
FS( 244 ),2520420.719999999739230,2548758.640000000130385,2333528.000000000000000,2132726.139999999664724,2168461.120000000111759,2111968.299999999813735,13815866.920000001788139
FS( 245 ),2535368.379999999888241,2559553.479999999981374,2255702.000000000000000,2128019.859999999403954,2187983.919999999925494,2115548.620000000111759,13782180.259999997913837
FS( 246 ),2531196.939999999478459,2563023.250000000000000,2263768.000000000000000,2142830.799999999813735,2206678.479999999515712,2102346.189999999478459,13809847.659999998286366
FS( 247 ),2542494.589999999850988,2598877.540000000037253,2269654.000000000000000,2140616.080000000074506,2191888.479999999515712,2138820.700000000186265,13882355.390000000596046
FS( 248 ),2534499.330000000074506,2569962.790000000037253,2272706.000000000000000,2131203.520000000484288,2190350.319999999366701,2130764.979999999515712,13829490.940000001341105
FS( 249 ),2498173.040000000037253,2555955.199999999720603,2265730.000000000000000,2127881.439999999478459,2184197.679999999701977,2123604.339999999850988,13755545.699999999254942
FS( 250 ),2534673.140000000596046,2565336.430000000167638,2320666.000000000000000,2135909.799999999813735,2197212.879999999888241,2153365.750000000000000,13907168.000000000000000
FS( 251 ),2497303.990000000223517,2537578.270000000018626,2303008.000000000000000,2119714.660000000149012,2192125.120000000111759,2112863.379999999888241,13762597.419999998062849
FS( 252 ),2503213.530000000260770,2541305.060000000055879,2342684.000000000000000,2120129.919999999925494,2193899.919999999925494,2098542.099999999627471,13799778.529999999329448
