代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14161289.510000001639128
真實報酬,4161289.510000001639128

夏普值報酬,0.407428951000000
夏普值風險,0.104002935063965
夏普值,3.917475509219240

二次趨勢線,34.365444954762012 x^2 + 8002.065112755959490 x + 10000000.000000000000000
二次平均預期報酬,16662.157241355984297
風險,101420.320220261739451
二次平均趨勢值,0.164288154535202
一次趨勢線,14484.221546986342219 x + 10000000.000000000000000
一次預期報酬,14484.221546986342219
一次風險,263559.254961156402715
一次趨勢值,0.054956224356914
找到最佳解世代,3661
找到最佳解實驗#,2
找到最佳解次數,38

stock[index](rank)
投資組合檔數,9
AXP[1](7),BA[2](3),CAT[3](1),KO[14](15),MCD[15](5),PFE[20](18),UNH[23](4),V[25](2),WMT[28](9),
FS( 120 ),1212409.149999999906868,1431461.280000000027940,1230739.520000000018626,1202815.450000000186265,1436376.759999999776483,1150504.900000000139698,1274902.600000000093132,1335845.080000000074506,1211115.760000000242144,11486171.500000000000000
FS( 121 ),1223320.449999999953434,1415535.780000000027940,1232394.459999999962747,1207600.030000000260770,1430060.919999999925494,1146127.800000000046566,1274007.940000000176951,1330813.719999999972060,1221795.880000000121072,11481657.980000002309680
FS( 122 ),1225089.849999999860302,1407820.760000000009313,1228611.739999999990687,1197499.250000000000000,1427831.800000000046566,1137036.900000000139698,1270429.300000000046566,1326341.400000000139698,1230048.700000000186265,11450710.699999999254942
FS( 123 ),1238212.899999999906868,1412987.700000000186265,1258400.659999999916181,1204676.120000000111759,1433218.840000000083819,1136363.500000000000000,1277999.500000000000000,1344929.479999999981374,1238139.700000000186265,11544929.399999998509884
FS( 124 ),1233199.599999999860302,1397699.220000000204891,1248825.649999999906868,1191651.430000000167638,1422351.879999999888241,1132323.100000000093132,1275040.240000000223517,1319632.919999999925494,1228754.140000000130385,11449479.180000001564622
FS( 125 ),1242194.049999999813735,1399751.840000000083819,1270339.869999999878928,1192183.050000000279397,1422630.520000000018626,1130976.300000000046566,1276072.540000000037253,1310688.280000000027940,1224708.640000000130385,11469546.089999999850988
FS( 126 ),1254874.750000000000000,1405697.360000000102445,1264547.579999999841675,1189790.760000000242144,1416500.439999999944121,1138720.399999999906868,1284537.400000000139698,1304678.599999999860302,1219530.400000000139698,11478878.690000001341105
FS( 127 ),1251778.300000000046566,1428488.520000000018626,1270694.500000000000000,1191385.620000000111759,1421794.599999999860302,1132659.800000000046566,1295548.600000000093132,1313902.760000000009313,1218883.120000000111759,11525136.820000000298023
FS( 128 ),1234821.549999999813735,1426152.780000000027940,1259109.919999999925494,1180221.600000000093132,1421980.359999999869615,1118518.399999999906868,1286533.180000000167638,1303281.000000000000000,1221310.420000000158325,11451930.209999999031425
FS( 129 ),1243521.099999999860302,1432452.200000000186265,1263956.530000000027940,1179955.790000000270084,1451516.199999999953434,1122895.500000000000000,1293552.820000000065193,1312644.919999999925494,1219044.940000000176951,11519541.000000000000000
FS( 130 ),1243078.750000000000000,1443706.220000000204891,1274831.850000000093132,1179689.980000000214204,1444550.199999999953434,1124915.699999999953434,1286602.000000000000000,1328996.840000000083819,1185062.740000000223517,11511435.280000001192093
FS( 131 ),1241014.449999999953434,1460056.400000000139698,1279560.250000000000000,1178360.930000000167638,1438884.520000000018626,1116834.900000000139698,1279720.000000000000000,1333469.159999999916181,1188946.420000000158325,11516848.030000001192093
FS( 132 ),1250746.149999999906868,1461259.660000000149012,1288071.369999999878928,1183145.510000000242144,1454395.479999999981374,1118518.399999999906868,1284812.680000000167638,1344230.680000000167638,1196551.960000000195578,11581732.890000000596046
FS( 133 ),1258855.900000000139698,1459773.280000000027940,1282279.079999999841675,1181019.030000000260770,1440091.959999999962747,1120538.600000000093132,1276485.459999999962747,1340876.439999999944121,1214513.979999999981374,11574434.729999998584390
FS( 134 ),1257528.850000000093132,1475911.120000000111759,1285825.379999999888241,1187664.280000000260770,1442321.079999999841675,1125589.100000000093132,1286257.900000000139698,1354712.680000000167638,1235388.760000000242144,11651200.150000000372529
FS( 135 ),1256644.149999999906868,1479379.340000000083819,1286652.850000000093132,1188993.330000000074506,1442135.319999999832362,1119528.500000000000000,1282472.800000000046566,1353315.080000000074506,1235874.220000000204891,11644996.590000001713634
FS( 136 ),1261067.649999999906868,1474000.060000000055879,1265729.679999999934807,1187398.470000000204891,1430060.919999999925494,1123232.199999999953434,1285913.800000000046566,1363797.080000000074506,1233123.280000000260770,11624324.140000000596046
FS( 137 ),1267113.100000000093132,1492685.979999999981374,1274950.059999999823049,1191651.430000000167638,1429410.759999999776483,1131986.399999999906868,1302017.680000000167638,1373161.000000000000000,1227783.220000000204891,11690760.630000000819564
FS( 138 ),1258561.000000000000000,1488439.180000000167638,1268684.929999999934807,1191385.620000000111759,1432382.919999999925494,1129292.800000000046566,1317915.100000000093132,1371204.360000000102445,1230210.520000000018626,11688077.429999999701977
FS( 139 ),1262099.800000000046566,1501604.260000000009313,1260055.600000000093132,1196967.630000000121072,1429689.399999999906868,1127272.599999999860302,1319842.060000000055879,1392028.599999999860302,1232314.180000000167638,11721875.129999998956919
FS( 140 ),1253400.250000000000000,1501887.380000000121072,1278850.989999999990687,1191917.240000000223517,1410463.239999999990687,1121885.399999999906868,1313717.080000000074506,1402790.120000000111759,1244288.860000000102445,11719201.559999998658895
FS( 141 ),1259445.699999999953434,1503869.220000000204891,1354032.550000000046566,1202549.640000000130385,1477522.599999999860302,1114478.000000000000000,1310344.900000000139698,1397479.239999999990687,1270665.520000000018626,11890388.369999999180436
FS( 142 ),1257823.750000000000000,1652436.439999999944121,1341975.129999999888241,1215840.140000000130385,1453745.319999999832362,1107407.300000000046566,1312753.600000000093132,1409498.599999999860302,1276814.680000000167638,12028295.960000000894070
FS( 143 ),1236443.500000000000000,1705875.340000000083819,1352022.979999999981374,1225940.920000000158325,1457832.039999999804422,1111111.000000000000000,1300228.360000000102445,1391609.319999999832362,1291054.840000000083819,12072119.300000000745058
FS( 144 ),1250451.250000000000000,1707786.400000000139698,1348831.309999999823049,1223017.010000000242144,1447615.239999999990687,1116161.500000000000000,1315506.400000000139698,1385739.400000000139698,1291540.300000000046566,12086649.810000002384186
FS( 145 ),1256791.600000000093132,1716209.220000000204891,1347058.159999999916181,1218498.240000000223517,1441020.759999999776483,1116498.199999999953434,1320048.520000000018626,1391469.560000000055879,1294453.060000000055879,12102048.320000002160668
FS( 146 ),1256939.049999999813735,1694833.660000000149012,1337010.309999999823049,1214776.900000000372529,1430803.959999999962747,1113804.599999999860302,1322938.959999999962747,1409778.120000000111759,1302705.880000000121072,12083592.439999999478459
FS( 147 ),1257823.750000000000000,1684287.439999999944121,1336892.100000000093132,1211852.990000000223517,1454488.359999999869615,1108417.400000000139698,1328238.100000000093132,1415508.280000000027940,1303191.340000000083819,12100700.759999999776483
FS( 148 ),1261362.550000000046566,1686410.840000000083819,1342447.969999999972060,1213979.470000000204891,1437119.800000000046566,1125589.100000000093132,1340419.240000000223517,1405864.840000000083819,1308693.220000000204891,12121888.030000001192093
FS( 149 ),1267702.899999999906868,1682588.720000000204891,1351786.559999999823049,1209460.700000000186265,1428760.599999999860302,1132659.800000000046566,1341176.260000000009313,1410057.639999999897555,1302382.240000000223517,12126576.419999999925494
FS( 150 ),1265933.500000000000000,1700425.280000000027940,1356042.119999999878928,1213182.040000000270084,1439441.800000000046566,1121548.700000000186265,1340488.060000000055879,1418443.239999999990687,1315327.840000000083819,12170833.580000000074506
FS( 151 ),1267260.550000000046566,1695258.340000000083819,1352495.819999999832362,1212118.800000000279397,1438977.399999999906868,1120538.600000000093132,1341313.900000000139698,1415508.280000000027940,1320344.260000000242144,12163816.949999999254942
FS( 152 ),1263574.300000000046566,1658523.520000000018626,1351668.350000000093132,1211852.990000000223517,1438977.399999999906868,1126262.500000000000000,1340832.160000000149012,1411175.719999999972060,1320667.900000000139698,12123535.840000001713634
FS( 153 ),1246912.449999999953434,1648401.979999999981374,1337601.360000000102445,1215840.140000000130385,1454767.000000000000000,1125252.400000000139698,1325278.840000000083819,1390491.239999999990687,1305295.000000000000000,12049841.410000000149012
FS( 154 ),1242931.300000000046566,1662557.979999999981374,1334055.059999999823049,1211852.990000000223517,1461082.840000000083819,1119528.500000000000000,1328375.740000000223517,1398876.840000000083819,1301087.680000000167638,12060349.929999999701977
FS( 155 ),1260330.399999999906868,1678625.040000000037253,1344221.119999999878928,1217435.000000000000000,1460711.319999999832362,1121548.700000000186265,1333124.320000000065193,1423754.120000000111759,1305942.280000000260770,12145693.300000000745058
FS( 156 ),1279793.800000000046566,1692922.600000000093132,1343511.860000000102445,1227801.590000000083819,1464055.000000000000000,1123905.600000000093132,1338561.100000000093132,1434375.879999999888241,1307075.020000000018626,12212003.449999999254942
FS( 157 ),1288640.800000000046566,1681739.360000000102445,1349067.729999999981374,1228067.400000000372529,1475943.639999999897555,1123232.199999999953434,1333537.240000000223517,1444019.319999999832362,1310473.240000000223517,12234721.930000001564622
FS( 158 ),1269472.300000000046566,1667583.360000000102445,1337483.149999999906868,1219029.860000000102445,1466562.759999999776483,1109427.500000000000000,1326173.500000000000000,1427807.159999999916181,1289760.280000000260770,12113300.870000001043081
FS( 159 ),1259003.349999999860302,1668857.400000000139698,1346703.530000000027940,1213979.470000000204891,1465355.319999999832362,1099999.900000000139698,1313235.340000000083819,1432698.760000000009313,1283449.300000000046566,12083283.370000001043081
FS( 160 ),1257823.750000000000000,1668220.380000000121072,1342920.809999999823049,1214245.280000000260770,1470928.120000000111759,1103030.199999999953434,1321562.560000000055879,1442621.719999999972060,1289922.100000000093132,12111275.919999999925494
FS( 161 ),1257823.750000000000000,1697027.840000000083819,1369163.429999999934807,1212118.800000000279397,1482816.759999999776483,1116161.500000000000000,1340556.880000000121072,1454501.319999999832362,1294938.520000000018626,12225109.800000000745058
FS( 162 ),1257528.850000000093132,1685278.360000000102445,1356514.959999999962747,1210523.940000000176951,1475107.719999999972060,1119191.800000000046566,1336771.780000000260770,1442062.680000000167638,1293967.600000000093132,12176948.689999999478459
FS( 163 ),1258708.449999999953434,1689879.060000000055879,1356869.590000000083819,1207068.410000000149012,1471392.520000000018626,1118855.099999999860302,1340281.600000000093132,1442621.719999999972060,1267752.760000000242144,12153430.209999999031425
FS( 164 ),1260330.399999999906868,1669706.760000000009313,1363607.559999999823049,1211321.370000000111759,1475200.599999999860302,1124242.300000000046566,1337597.620000000111759,1444438.599999999860302,1272445.540000000037253,12158891.750000000000000
FS( 165 ),1259445.699999999953434,1678837.380000000121072,1360297.679999999934807,1207334.220000000204891,1483095.399999999906868,1126935.899999999906868,1342621.480000000214204,1450448.280000000027940,1262736.340000000083819,12171753.380000000819564
FS( 166 ),1259593.150000000139698,1702265.560000000055879,1371409.419999999925494,1208131.650000000372529,1480401.879999999888241,1127946.000000000000000,1353907.959999999962747,1450308.520000000018626,1274711.020000000018626,12228676.160000000149012
FS( 167 ),1263574.300000000046566,1702053.220000000204891,1389613.760000000009313,1206536.790000000270084,1481795.079999999841675,1126262.500000000000000,1348058.260000000009313,1449749.479999999981374,1270989.160000000149012,12238633.550000000745058
FS( 168 ),1269619.750000000000000,1696390.820000000065193,1388904.500000000000000,1210789.750000000000000,1485881.800000000046566,1142087.400000000139698,1368841.900000000139698,1446814.520000000018626,1263383.620000000111759,12272715.059999998658895
FS( 169 ),1270209.550000000046566,1701133.080000000074506,1398243.090000000083819,1216903.380000000121072,1484395.719999999972060,1143434.199999999953434,1374691.600000000093132,1452125.400000000139698,1268238.220000000204891,12309375.240000000223517
FS( 170 ),1257971.199999999953434,1677563.340000000083819,1398479.510000000009313,1220624.720000000204891,1477801.239999999990687,1138047.000000000000000,1371663.520000000018626,1439686.760000000009313,1291378.479999999981374,12273216.769999999552965
FS( 171 ),1256791.600000000093132,1660717.700000000186265,1382875.790000000037253,1221687.960000000195578,1469627.800000000046566,1144444.300000000046566,1365263.260000000009313,1442062.680000000167638,1295909.440000000176951,12239381.529999999329448
FS( 172 ),1244700.699999999953434,1672679.520000000018626,1392214.379999999888241,1230193.880000000121072,1485231.639999999897555,1144444.300000000046566,1363818.040000000037253,1461349.560000000055879,1296556.720000000204891,12291189.740000000223517
FS( 173 ),1242341.500000000000000,1690162.180000000167638,1392805.429999999934807,1230725.500000000000000,1483466.919999999925494,1148148.000000000000000,1360927.600000000093132,1459532.680000000167638,1276491.040000000037253,12284601.850000001490116
FS( 174 ),1263574.300000000046566,1702973.360000000102445,1405217.479999999981374,1236573.320000000298023,1500371.079999999841675,1155555.399999999906868,1373521.660000000149012,1483571.400000000139698,1279727.440000000176951,12401086.440000001341105
FS( 175 ),1276255.000000000000000,1702902.580000000074506,1429686.949999999953434,1241889.520000000251457,1452073.479999999981374,1190908.899999999906868,1359000.640000000130385,1484409.959999999962747,1288303.900000000139698,12425431.930000001564622
FS( 176 ),1277582.050000000046566,1712457.880000000121072,1414201.439999999944121,1245876.670000000158325,1458296.439999999944121,1180471.200000000186265,1364919.160000000149012,1479099.080000000074506,1292349.400000000139698,12425254.320000000298023
FS( 177 ),1270946.800000000046566,1735815.280000000027940,1424249.290000000037253,1225675.110000000102445,1458296.439999999944121,1203030.099999999860302,1360789.959999999962747,1482593.080000000074506,1289436.640000000130385,12450833.700000001117587
FS( 178 ),1282742.799999999813735,1762499.340000000083819,1434769.979999999981374,1227535.780000000260770,1457553.399999999906868,1190572.199999999953434,1363886.860000000102445,1471691.800000000046566,1300764.040000000037253,12492017.199999999254942
FS( 179 ),1295718.400000000139698,1791377.580000000074506,1463849.639999999897555,1225675.110000000102445,1455324.280000000027940,1196969.500000000000000,1363955.680000000167638,1465123.080000000074506,1294614.880000000121072,12552609.150000002235174
FS( 180 ),1312380.250000000000000,1786989.220000000204891,1474606.750000000000000,1222219.580000000074506,1462290.280000000027940,1193602.500000000000000,1339593.400000000139698,1473229.159999999916181,1295423.979999999981374,12560336.120000002905726
FS( 181 ),1303975.600000000093132,1808223.220000000204891,1475907.059999999823049,1216903.380000000121072,1485045.879999999888241,1211784.300000000046566,1347163.600000000093132,1473229.159999999916181,1302705.880000000121072,12624939.080000000074506
FS( 182 ),1303828.150000000139698,1812328.460000000195578,1475197.800000000046566,1206802.600000000093132,1477151.079999999841675,1211110.899999999906868,1343447.320000000065193,1471831.560000000055879,1294776.700000000186265,12596475.570000000298023
FS( 183 ),1303533.250000000000000,1815230.439999999944121,1470942.239999999990687,1209194.890000000130385,1476036.520000000018626,1210774.199999999953434,1328444.560000000055879,1475325.560000000055879,1287009.340000000083819,12576492.000000000000000
FS( 184 ),1300731.699999999953434,1800154.300000000046566,1469641.929999999934807,1214511.090000000083819,1451423.319999999832362,1195622.699999999953434,1319635.600000000093132,1439826.520000000018626,1280860.180000000167638,12472408.339999997988343
FS( 185 ),1307809.300000000046566,1795765.939999999944121,1471887.919999999925494,1211321.370000000111759,1424395.239999999990687,1188552.000000000000000,1326173.500000000000000,1438708.439999999944121,1284743.860000000102445,12449358.569999998435378
FS( 186 ),1319605.299999999813735,1806949.180000000167638,1472006.129999999888241,1186601.040000000270084,1430896.840000000083819,1193602.500000000000000,1338492.280000000260770,1451985.639999999897555,1283125.660000000149012,12483265.570000000298023
FS( 187 ),1329189.550000000046566,1799800.400000000139698,1480399.040000000037253,1193777.910000000149012,1462847.560000000055879,1198653.000000000000000,1349572.300000000046566,1461629.080000000074506,1277623.780000000260770,12553493.620000001043081
FS( 188 ),1333907.949999999953434,1799375.720000000204891,1474252.119999999878928,1196436.010000000242144,1455324.280000000027940,1202020.000000000000000,1347851.800000000046566,1461629.080000000074506,1264516.360000000102445,12535314.320000002160668
FS( 189 ),1335087.550000000046566,1811974.560000000055879,1474370.329999999841675,1190854.000000000000000,1457924.919999999925494,1214477.899999999906868,1358794.180000000167638,1473648.439999999944121,1269532.780000000260770,12586665.660000000149012
FS( 190 ),1348210.600000000093132,1808223.220000000204891,1483708.919999999925494,1201220.590000000083819,1456996.120000000111759,1216834.800000000046566,1366983.760000000009313,1475744.840000000083819,1281992.920000000158325,12639916.769999999552965
FS( 191 ),1342017.700000000186265,1810346.620000000111759,1498248.750000000000000,1209460.700000000186265,1460246.919999999925494,1210774.199999999953434,1379715.459999999962747,1471831.560000000055879,1279889.260000000242144,12662532.170000001788139
FS( 192 ),1344229.449999999953434,1832500.760000000009313,1494229.610000000102445,1209992.320000000298023,1475014.840000000083819,1212121.000000000000000,1361959.900000000139698,1484829.239999999990687,1285067.500000000000000,12699945.620000001043081
FS( 193 ),1349980.000000000000000,1830306.580000000074506,1500494.739999999990687,1209194.890000000130385,1482445.239999999990687,1213804.500000000000000,1363061.020000000018626,1491677.479999999981374,1278432.880000000121072,12719398.330000001937151
FS( 194 ),1352044.300000000046566,1828961.760000000009313,1499903.689999999944121,1207068.410000000149012,1487275.000000000000000,1216834.800000000046566,1350948.700000000186265,1495590.760000000009313,1303191.340000000083819,12741819.759999999776483
FS( 195 ),1354993.300000000046566,1846939.880000000121072,1515389.199999999953434,1219295.670000000158325,1491547.479999999981374,1225589.000000000000000,1339799.860000000102445,1499783.560000000055879,1361446.540000000037253,12854785.489999998360872
FS( 196 ),1356025.449999999953434,1850549.660000000149012,1520235.809999999823049,1225409.300000000279397,1515417.639999999897555,1227272.500000000000000,1343791.419999999925494,1515576.439999999944121,1387337.740000000223517,12941616.959999999031425
FS( 197 ),1350864.699999999953434,1853876.320000000298023,1536667.000000000000000,1225675.110000000102445,1522476.520000000018626,1223905.500000000000000,1327687.540000000037253,1510964.360000000102445,1393325.080000000074506,12945443.130000000819564
FS( 198 ),1369295.949999999953434,1845595.060000000055879,1545178.120000000111759,1227535.780000000260770,1536037.000000000000000,1223568.800000000046566,1324934.740000000223517,1518651.159999999916181,1401739.720000000204891,12992537.330000001937151
FS( 199 ),1356025.449999999953434,1838587.840000000083819,1554162.079999999841675,1239231.420000000158325,1532693.319999999832362,1211447.599999999860302,1329614.500000000000000,1513619.800000000046566,1387499.560000000055879,12962882.570000000298023
FS( 200 ),1352044.300000000046566,1830589.700000000186265,1543168.549999999813735,1236573.320000000298023,1536315.639999999897555,1218855.000000000000000,1403183.080000000074506,1502998.040000000037253,1391383.240000000223517,13015111.869999999180436
FS( 201 ),1357794.849999999860302,1840640.460000000195578,1552034.299999999813735,1233383.600000000093132,1539752.199999999953434,1206397.099999999860302,1412404.959999999962747,1506631.800000000046566,1395266.920000000158325,13044307.189999999478459
FS( 202 ),1355140.750000000000000,1833562.460000000195578,1555107.760000000009313,1238433.990000000223517,1546532.439999999944121,1220201.800000000046566,1398778.600000000093132,1495730.520000000018626,1398179.680000000167638,13041669.000000000000000
FS( 203 ),1357942.300000000046566,1873977.840000000083819,1552861.770000000018626,1232851.980000000214204,1544674.840000000083819,1226262.400000000139698,1427958.280000000260770,1503137.800000000046566,1415008.960000000195578,13134677.170000001788139
FS( 204 ),1362218.349999999860302,1856778.300000000046566,1556644.489999999990687,1231257.120000000111759,1517182.359999999869615,1225589.000000000000000,1424654.919999999925494,1502858.280000000027940,1434589.180000000167638,13111772.999999998137355
FS( 205 ),1384040.949999999953434,1882825.340000000083819,1634190.250000000000000,1227535.780000000260770,1522197.879999999888241,1221211.900000000139698,1432500.400000000139698,1515157.159999999916181,1423747.240000000223517,13243407.900000000372529
FS( 206 ),1379175.100000000093132,1829174.100000000093132,1617640.850000000093132,1224080.250000000000000,1519411.479999999981374,1217508.199999999953434,1428440.020000000018626,1530251.239999999990687,1431838.240000000223517,13177520.480000000447035
FS( 207 ),1411024.300000000046566,1835190.399999999906868,1618822.949999999953434,1228864.830000000074506,1523405.319999999832362,1203366.800000000046566,1439382.400000000139698,1534583.800000000046566,1434103.720000000204891,13228745.520000003278255
FS( 208 ),1412498.800000000046566,1815301.219999999972060,1629107.219999999972060,1224611.870000000111759,1536222.759999999776483,1198653.000000000000000,1463125.300000000046566,1533325.959999999962747,1426821.820000000065193,13239668.950000002980232
FS( 209 ),1401882.399999999906868,1835048.840000000083819,1613503.500000000000000,1219029.860000000102445,1544024.679999999934807,1183501.500000000000000,1441034.080000000074506,1537938.040000000037253,1407079.780000000260770,13183043.680000003427267
FS( 210 ),1408517.649999999906868,1826059.780000000260770,1605347.010000000009313,1222219.580000000074506,1550340.520000000018626,1180471.200000000186265,1446746.140000000130385,1537099.479999999981374,1412905.300000000046566,13189707.660000003874302
FS( 211 ),1412498.800000000046566,1829740.340000000083819,1611139.299999999813735,1217435.000000000000000,1545325.000000000000000,1187205.199999999953434,1441997.560000000055879,1552333.319999999832362,1423099.960000000195578,13220775.480000000447035
FS( 212 ),1415300.350000000093132,1858972.479999999981374,1613267.079999999841675,1219561.480000000214204,1561393.239999999990687,1193939.199999999953434,1452802.300000000046566,1551075.479999999981374,1437016.479999999981374,13303329.090000001713634
FS( 213 ),1421935.600000000093132,1852743.840000000083819,1615158.439999999944121,1221953.770000000251457,1566501.639999999897555,1196969.500000000000000,1464983.440000000176951,1556386.360000000102445,1451256.640000000130385,13347890.230000000447035
FS( 214 ),1419871.300000000046566,1869164.800000000046566,1627925.120000000111759,1208663.270000000251457,1579690.599999999860302,1189225.399999999906868,1459821.940000000176951,1564212.919999999925494,1435398.280000000260770,13353974.629999998956919
FS( 215 ),1406305.900000000139698,1883745.479999999981374,1640928.219999999972060,1221156.340000000083819,1586192.199999999953434,1190572.199999999953434,1463813.500000000000000,1566588.840000000083819,1439443.780000000260770,13398747.460000000894070
FS( 216 ),1402767.099999999860302,1879781.800000000046566,1622960.299999999813735,1227535.780000000260770,1579969.239999999990687,1189898.800000000046566,1450531.240000000223517,1571899.719999999972060,1460642.200000000186265,13385987.179999999701977
FS( 217 ),1382419.000000000000000,1859467.939999999944121,1599909.350000000093132,1228864.830000000074506,1551176.439999999944121,1185185.000000000000000,1455968.020000000018626,1567287.639999999897555,1461289.479999999981374,13291568.700000001117587
FS( 218 ),1379027.649999999906868,1846373.640000000130385,1613385.289999999804422,1237104.940000000176951,1538080.359999999869615,1184511.600000000093132,1452595.840000000083819,1563653.879999999888241,1471322.320000000065193,13286056.519999999552965
FS( 219 ),1384630.750000000000000,1857486.100000000093132,1613976.340000000083819,1241889.520000000251457,1554613.000000000000000,1188552.000000000000000,1463538.219999999972060,1556945.400000000139698,1472455.060000000055879,13334087.390000002458692
FS( 220 ),1382566.450000000186265,1852814.620000000111759,1625915.549999999813735,1260762.030000000260770,1561486.120000000111759,1191245.600000000093132,1457000.320000000065193,1565051.479999999981374,1474073.260000000242144,13370916.430000001564622
FS( 221 ),1375193.950000000186265,1860600.420000000158325,1585251.309999999823049,1244281.810000000288710,1554148.599999999860302,1190572.199999999953434,1444268.620000000111759,1540873.000000000000000,1453683.940000000176951,13248874.849999999627471
FS( 222 ),1379617.449999999953434,1866545.939999999944121,1611966.770000000018626,1237370.750000000000000,1561300.359999999869615,1197306.200000000186265,1453008.760000000009313,1551634.520000000018626,1612105.720000000204891,13470857.469999998807907
FS( 223 ),1381534.300000000046566,1856353.620000000111759,1609247.939999999944121,1215042.710000000195578,1548575.800000000046566,1190908.899999999906868,1444543.900000000139698,1534863.319999999832362,1577314.420000000158325,13358385.910000000149012
FS( 224 ),1385368.000000000000000,1873128.479999999981374,1618468.319999999832362,1208397.460000000195578,1550526.280000000027940,1190235.500000000000000,1446952.600000000093132,1536680.199999999953434,1577476.240000000223517,13387234.079999998211861
FS( 225 ),1392150.699999999953434,1889832.560000000055879,1626624.809999999823049,1216903.380000000121072,1563250.840000000083819,1196632.800000000046566,1463125.300000000046566,1557644.199999999953434,1561941.520000000018626,13468107.109999999403954
FS( 226 ),1383451.149999999906868,1876809.040000000037253,1631471.419999999925494,1218498.240000000223517,1570216.840000000083819,1192929.100000000093132,1453628.140000000130385,1548839.319999999832362,1560161.500000000000000,13436005.750000000000000
FS( 227 ),1378437.850000000093132,1881975.979999999981374,1624142.399999999906868,1219561.480000000214204,1570774.120000000111759,1194949.300000000046566,1462505.919999999925494,1564911.719999999972060,1563559.720000000204891,13460819.490000002086163
FS( 228 ),1378290.399999999906868,1879852.580000000074506,1621778.199999999953434,1220093.100000000093132,1569380.919999999925494,1194949.300000000046566,1461748.900000000139698,1570641.879999999888241,1563559.720000000204891,13460296.000000001862645
FS( 229 ),1404978.850000000093132,1896910.560000000055879,1643056.000000000000000,1218232.430000000167638,1591486.359999999869615,1207070.500000000000000,1487487.580000000074506,1584338.360000000102445,1565987.020000000018626,13599548.659999998286366
FS( 230 ),1424442.250000000000000,1906182.740000000223517,1632062.469999999972060,1209460.700000000186265,1583034.280000000027940,1219191.699999999953434,1533872.260000000009313,1535422.360000000102445,1578770.800000000046566,13622440.560000000521541
FS( 231 ),1440809.199999999953434,1959267.740000000223517,1668589.360000000102445,1216637.570000000298023,1597337.800000000046566,1220875.199999999953434,1570278.040000000037253,1573576.840000000083819,1573430.740000000223517,13820803.490000000223517
FS( 232 ),1443020.949999999953434,1920904.979999999981374,1672963.130000000121072,1221953.770000000251457,1605697.000000000000000,1223905.500000000000000,1560712.060000000055879,1547581.479999999981374,1575372.580000000074506,13772112.450000001117587
FS( 233 ),1453784.800000000046566,1967549.000000000232831,1672726.709999999962747,1228864.830000000074506,1585077.639999999897555,1214141.200000000186265,1523824.540000000037253,1501460.680000000167638,1569870.700000000186265,13717301.099999997764826
FS( 234 ),1455554.199999999953434,1950349.460000000195578,1656650.149999999906868,1229662.260000000242144,1606811.560000000055879,1199663.100000000093132,1514671.480000000214204,1517533.080000000074506,1583139.940000000176951,13714036.230000000447035
FS( 235 ),1448181.699999999953434,1969672.399999999906868,1659014.350000000093132,1234712.650000000372529,1611362.679999999934807,1197306.200000000186265,1513639.180000000167638,1533745.239999999990687,1574239.840000000083819,13741875.240000000223517
FS( 236 ),1453637.349999999860302,1995861.000000000232831,1689157.899999999906868,1216903.380000000121072,1606068.520000000018626,1195286.000000000000000,1515084.400000000139698,1556945.400000000139698,1566148.840000000083819,13795093.790000000968575
FS( 237 ),1453195.000000000000000,2023677.540000000037253,1700624.270000000018626,1204410.310000000288710,1608297.639999999897555,1203366.800000000046566,1540960.719999999972060,1573716.599999999860302,1562426.979999999981374,13870676.860000001266599
FS( 238 ),1459830.250000000000000,2004283.820000000298023,1699560.380000000121072,1204941.930000000167638,1609226.439999999944121,1219191.699999999953434,1533115.240000000223517,1570502.120000000111759,1568576.140000000130385,13869229.019999999552965
FS( 239 ),1465285.900000000139698,2052272.660000000149012,1695423.029999999795109,1203878.690000000176951,1599752.679999999934807,1231649.599999999860302,1531188.280000000260770,1585735.959999999962747,1564854.280000000260770,13930042.080000001937151
FS( 240 ),1441841.350000000093132,2065720.859999999869615,1756301.179999999934807,1220093.100000000093132,1612012.840000000083819,1233669.800000000046566,1543988.800000000046566,1583639.560000000055879,1582007.200000000186265,14039275.690000001341105
FS( 241 ),1432552.000000000000000,2080159.979999999981374,1729231.090000000083819,1223548.630000000121072,1608204.759999999776483,1227609.199999999953434,1522654.600000000093132,1578188.919999999925494,1571812.540000000037253,13973962.719999998807907
FS( 242 ),1452752.649999999906868,2080584.660000000149012,1734077.699999999953434,1227801.590000000083819,1616749.719999999972060,1252525.000000000000000,1526577.340000000083819,1590767.319999999832362,1571488.900000000139698,14053325.880000000819564
FS( 243 ),1469856.850000000093132,2096156.260000000009313,1770486.380000000121072,1220890.530000000260770,1618050.039999999804422,1250168.100000000093132,1532427.040000000037253,1586993.800000000046566,1584272.680000000167638,14129302.679999999701977
FS( 244 ),1462042.000000000000000,2104012.839999999850988,1783962.319999999832362,1226206.730000000214204,1610526.759999999776483,1243770.799999999813735,1528091.380000000121072,1567287.639999999897555,1598836.479999999981374,14124737.950000001117587
