代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12749531.560000000521541
真實報酬,2749531.560000000521541

夏普值報酬,0.266253156000000
夏普值風險,0.088318774759186
夏普值,3.014683533891606

二次趨勢線,58.492395067947022 x^2 + -2322.229831026262218 x + 10000000.000000000000000
二次平均預期報酬,12534.838516232281108
風險,150361.629190883832052
二次平均趨勢值,0.083364609599430
一次趨勢線,8798.593517661336591 x + 10000000.000000000000000
一次預期報酬,8798.593517661336591
一次風險,446725.988685132993851
一次趨勢值,0.019695727897001
找到最佳解世代,1946
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),BA[2](1),JPM[13](2),PG[21](20),UNH[23](4),V[25](15),
FS( 167 ),1693939.600000000093132,1969637.159999999916181,2194474.480000000447035,1665269.359999999869615,1960298.920000000158325,1721225.199999999720603,11204848.719999998807907
FS( 168 ),1690606.159999999916181,1966092.870000000111759,2180277.099999999627471,1657488.079999999841675,1951319.320000000298023,1698671.199999999720603,11144458.730000000447035
FS( 169 ),1688939.439999999944121,1990640.359999999869615,2196979.900000000372529,1653896.719999999972060,2021616.760000000242144,1700174.800000000046566,11252251.980000000447035
FS( 170 ),1674696.560000000055879,1976463.200000000186265,2231777.400000000372529,1645317.359999999869615,2030981.200000000186265,1660866.399999999674037,11220106.119999999180436
FS( 171 ),1659090.000000000000000,2000485.609999999869615,2276874.959999999962747,1633346.159999999916181,2064590.560000000288710,1620269.199999999953434,11254660.490000000223517
FS( 172 ),1665302.320000000065193,1998647.830000000074506,2271585.740000000223517,1644120.239999999990687,2061896.680000000167638,1626498.399999999674037,11268055.210000000894070
FS( 173 ),1653332.239999999990687,1997466.400000000139698,2317796.820000000298023,1655891.919999999925494,2022129.880000000121072,1660651.599999999860302,11307272.860000001266599
FS( 174 ),1666059.920000000158325,1998516.560000000288710,2329767.160000000149012,1654295.759999999776483,2018153.200000000186265,1656355.599999999860302,11323152.200000001117587
FS( 175 ),1682424.080000000074506,2023457.859999999869615,2340345.599999999627471,1679634.800000000046566,2044835.440000000409782,1703611.599999999860302,11474313.379999998956919
FS( 176 ),1698939.760000000009313,2039866.609999999869615,2369575.500000000000000,1666067.439999999944121,2043809.200000000186265,1702967.199999999953434,11521229.710000000894070
FS( 177 ),1726667.920000000158325,2054306.310000000288710,2379875.559999999590218,1683425.679999999934807,2054071.600000000325963,1699959.999999999767169,11598311.070000000298023
FS( 178 ),1716819.119999999878928,2063101.400000000139698,2358718.680000000633299,1698589.199999999953434,2045989.960000000428408,1686212.799999999813735,11569435.160000000149012
FS( 179 ),1745456.399999999906868,2056537.900000000139698,2359553.820000000298023,1699586.800000000046566,2059459.360000000102445,1701248.799999999813735,11621847.079999998211861
FS( 180 ),1745456.399999999906868,2027789.770000000018626,2358718.680000000633299,1683425.679999999934807,2050736.320000000298023,1699745.199999999720603,11565876.050000000745058
FS( 181 ),1755002.159999999916181,2018600.870000000111759,2394072.940000000409782,1689610.800000000046566,2060485.600000000325963,1707692.799999999813735,11625469.170000001788139
FS( 182 ),1757274.959999999962747,2028183.580000000074506,2364564.660000000149012,1689610.800000000046566,2103074.560000000055879,1682990.799999999580905,11625703.359999999403954
FS( 183 ),1767426.800000000046566,2050236.940000000176951,2378205.280000000260770,1690209.359999999869615,2072287.360000000102445,1677620.799999999580905,11635990.539999999105930
FS( 184 ),1772123.920000000158325,2052993.609999999869615,2408827.080000000074506,1687416.079999999841675,2072928.760000000242144,1683205.599999999860302,11677499.050000000745058
FS( 185 ),1773790.640000000130385,2067302.040000000037253,2414951.440000000409782,1681630.000000000000000,2069593.480000000447035,1678479.999999999767169,11685751.600000001490116
FS( 186 ),1762123.600000000093132,2067039.500000000232831,2418848.759999999776483,1685420.879999999888241,2072800.480000000447035,1673324.800000000046566,11679562.020000001415610
FS( 187 ),1765608.560000000055879,2071633.950000000186265,2423302.839999999850988,1695197.359999999869615,2091401.080000000307336,1678694.800000000046566,11725842.589999999850988
FS( 188 ),1776821.040000000037253,2067302.040000000037253,2425529.879999999888241,1688014.639999999897555,2086398.160000000149012,1682990.799999999580905,11727060.559999998658895
FS( 189 ),1769245.040000000037253,2049186.780000000027940,2407991.940000000409782,1677440.079999999841675,2071004.560000000288710,1681916.799999999813735,11656789.199999999254942
FS( 190 ),1768790.479999999981374,2043804.709999999962747,2391010.759999999776483,1683026.639999999897555,2065873.360000000102445,1682561.199999999720603,11635071.149999998509884
FS( 191 ),1755002.159999999916181,2043673.440000000176951,2402145.959999999962747,1677639.599999999860302,2053045.360000000102445,1675902.399999999674037,11607412.919999999925494
FS( 192 ),1760002.320000000065193,2060607.270000000018626,2428313.680000000633299,1680033.840000000083819,2071132.840000000083819,1707692.799999999813735,11707786.750000000000000
FS( 193 ),1758032.560000000055879,2082266.820000000065193,2419405.520000000484288,1686019.439999999944121,2077033.720000000204891,1721654.800000000046566,11744416.860000001266599
FS( 194 ),1766972.239999999990687,2083448.250000000232831,2397135.120000000111759,1697192.560000000055879,2080497.280000000260770,1741846.000000000000000,11767095.449999999254942
FS( 195 ),1786669.839999999850988,2088567.780000000027940,2397413.500000000000000,1696594.000000000000000,2083447.720000000204891,1765903.599999999627471,11818600.439999999478459
FS( 196 ),1803034.000000000000000,2078328.719999999972060,2399083.780000000260770,1684024.239999999990687,2077546.840000000083819,1756022.799999999813735,11798044.379999998956919
FS( 197 ),1804852.239999999990687,2088173.969999999972060,2406043.280000000260770,1665867.919999999925494,2072800.480000000447035,1746571.599999999860302,11784313.490000000223517
FS( 198 ),1814549.520000000018626,2092505.880000000121072,2424137.980000000447035,1671055.439999999944121,2076777.160000000149012,1757096.799999999813735,11836126.780000001192093
FS( 199 ),1806973.520000000018626,2077934.909999999916181,2400754.059999999590218,1672851.120000000111759,2082806.320000000298023,1747860.399999999906868,11789184.330000000074506
FS( 200 ),1803791.600000000093132,2085023.490000000223517,2413559.540000000037253,1676242.959999999962747,2075622.640000000363216,1743564.399999999906868,11797808.630000000819564
FS( 201 ),1818337.520000000018626,2069796.169999999925494,2325869.839999999850988,1700185.359999999869615,2060998.720000000204891,1745497.599999999860302,11720689.209999999031425
FS( 202 ),1818186.000000000000000,2078328.719999999972060,2336726.660000000149012,1694598.800000000046566,2023540.960000000428408,1752586.000000000000000,11703971.140000000596046
FS( 203 ),1815004.080000000074506,2087255.080000000074506,2318910.339999999850988,1690009.840000000083819,2035855.840000000083819,1755593.199999999953434,11702632.379999998956919
FS( 204 ),1818337.520000000018626,2094212.390000000130385,2329210.400000000372529,1744877.840000000083819,2035342.720000000204891,1757956.000000000000000,11779940.870000001043081
FS( 205 ),1819549.679999999934807,2072027.760000000009313,2330323.919999999925494,1735101.359999999869615,2040602.200000000186265,1764614.800000000046566,11762223.719999998807907
FS( 206 ),1817882.959999999962747,2107601.930000000167638,2358440.299999999813735,1753058.159999999916181,2058048.280000000260770,1787813.199999999953434,11882848.829999998211861
FS( 207 ),1846823.280000000027940,2196996.800000000279397,2394908.080000000074506,1739091.759999999776483,2068438.960000000428408,1802204.800000000046566,12048467.680000001564622
FS( 208 ),1847732.399999999906868,2220100.320000000298023,2414951.440000000409782,1727918.639999999897555,2087809.240000000223517,1788027.999999999767169,12086544.039999999105930
FS( 209 ),1847883.920000000158325,2201459.979999999981374,2419962.280000000260770,1730312.879999999888241,2090887.960000000428408,1799412.399999999674037,12089923.420000001788139
FS( 210 ),1843035.280000000027940,2173499.470000000204891,2394908.080000000074506,1730911.439999999944121,2079342.760000000242144,1797908.799999999813735,12019609.829999998211861
FS( 211 ),1838792.719999999972060,2145276.419999999925494,2355934.879999999888241,1747870.639999999897555,2079471.040000000037253,1776643.599999999627471,11943993.299999998882413
FS( 212 ),1950917.520000000018626,2152496.270000000018626,2364843.040000000037253,1742483.599999999860302,2087296.120000000344589,1770843.999999999767169,12068884.550000000745058
FS( 213 ),1947584.080000000074506,2130049.100000000093132,2354821.360000000335276,1751062.959999999962747,2062281.520000000018626,1767836.799999999813735,12013639.820000000298023
FS( 214 ),1955917.680000000167638,2131886.880000000353903,2426921.780000000260770,1744079.759999999776483,2076520.600000000325963,1849031.199999999720603,12184361.900000000372529
FS( 215 ),1974251.599999999860302,2152627.540000000037253,2415508.200000000186265,1743880.239999999990687,2059074.520000000018626,1843661.199999999720603,12189007.299999998882413
FS( 216 ),1993040.080000000074506,2185707.580000000074506,2414116.299999999813735,1756050.959999999962747,2059331.080000000307336,1842587.199999999953434,12250837.199999999254942
FS( 217 ),2000767.599999999860302,2150395.950000000186265,2392959.419999999925494,1762435.599999999860302,2056508.920000000158325,1827766.000000000000000,12190837.490000000223517
FS( 218 ),2006525.359999999869615,2156565.640000000130385,2427478.540000000037253,1769219.280000000027940,2058176.560000000288710,1838291.199999999720603,12256260.580000000074506
FS( 219 ),2001979.760000000009313,2182163.290000000037253,2421910.940000000409782,1755252.879999999888241,2062153.240000000223517,1845164.800000000046566,12268628.910000000149012
FS( 220 ),2019707.599999999860302,2205791.890000000130385,2453924.640000000596046,1762036.560000000055879,2078059.960000000428408,1856763.999999999767169,12376288.650000002235174
FS( 221 ),2045920.560000000288710,2211961.580000000074506,2493176.220000000670552,1753058.159999999916181,2092683.880000000121072,1865570.799999999580905,12462375.200000001117587
FS( 222 ),2053345.039999999804422,2222463.180000000167638,2521849.360000000335276,1818101.679999999934807,2107564.360000000335276,1880392.000000000000000,12603719.620000001043081
FS( 223 ),2050920.719999999972060,2242284.950000000186265,2520179.080000000074506,1811517.520000000018626,2099354.440000000409782,1877599.599999999627471,12601860.310000000521541
FS( 224 ),2056526.959999999962747,2267226.250000000000000,2511827.680000000633299,1817503.120000000111759,2022001.600000000325963,1878673.599999999627471,12553763.210000000894070
FS( 225 ),2071375.919999999925494,2304638.200000000186265,2533541.320000000298023,1829075.280000000027940,2059844.200000000186265,1888554.399999999906868,12687033.320000002160668
FS( 226 ),2077588.240000000223517,2302012.800000000279397,2534933.220000000670552,1824486.319999999832362,2059844.200000000186265,1885976.799999999813735,12684845.580000001937151
FS( 227 ),2068800.080000000074506,2321703.300000000279397,2536881.879999999888241,1818301.199999999953434,2085885.040000000037253,1894139.199999999953434,12725714.699999999254942
FS( 228 ),2070769.839999999850988,2329316.959999999962747,2514611.480000000447035,1816705.039999999804422,2091785.920000000158325,1899509.199999999953434,12722702.439999999478459
FS( 229 ),2074860.880000000121072,2355439.689999999944121,2517395.280000000260770,1813512.719999999972060,2121546.880000000353903,1890272.799999999813735,12773032.250000000000000
FS( 230 ),2075770.000000000232831,2365941.290000000037253,2522684.500000000000000,1817104.079999999841675,2121546.880000000353903,1888983.999999999767169,12792034.750000000000000
FS( 231 ),2118195.600000000093132,2414248.649999999906868,2605641.740000000223517,1828875.759999999776483,2154386.560000000055879,1911537.999999999767169,13032890.310000000521541
FS( 232 ),2105619.439999999944121,2402171.810000000055879,2564998.259999999776483,1813911.759999999776483,2146304.920000000391155,1901657.199999999953434,12934667.389999998733401
FS( 233 ),2118044.080000000074506,2391538.939999999944121,2583371.339999999850988,1805731.439999999944121,2157721.839999999850988,1907242.000000000000000,12963653.639999998733401
FS( 234 ),2111377.200000000186265,2375130.189999999944121,2558873.900000000372529,1803137.679999999934807,2164135.839999999850988,1910463.999999999767169,12923122.810000000521541
FS( 235 ),2114104.560000000055879,2389438.620000000111759,2544676.520000000484288,1801541.520000000018626,2159004.640000000596046,1913041.599999999860302,12921811.460000000894070
FS( 236 ),2106225.520000000018626,2385763.060000000055879,2539108.919999999925494,1798548.719999999972060,2154001.720000000204891,1910893.599999999627471,12894545.540000000968575
FS( 237 ),2101376.880000000353903,2370404.470000000204891,2549130.599999999627471,1802539.120000000111759,2155284.520000000018626,1914115.599999999860302,12892855.189999999478459
FS( 238 ),2108346.799999999813735,2345856.979999999981374,2541057.580000000074506,1817104.079999999841675,2180555.680000000167638,1927433.199999999953434,12920358.319999998435378
FS( 239 ),2109255.919999999925494,2350451.430000000167638,2543284.620000000111759,1821892.560000000055879,2183506.120000000111759,1935595.599999999860302,12943990.249999998137355
FS( 240 ),2106074.000000000000000,2346250.790000000037253,2547460.320000000298023,1815707.439999999944121,2168753.920000000391155,1923566.799999999813735,12907817.269999999552965
FS( 241 ),2128347.439999999944121,2345988.250000000000000,2553584.680000000633299,1823688.239999999990687,2203646.080000000074506,1931514.399999999906868,12986773.089999999850988
FS( 242 ),2131832.399999999906868,2339162.209999999962747,2551079.259999999776483,1824486.319999999832362,2197488.640000000596046,1934092.000000000000000,12978144.830000000074506
FS( 243 ),2121226.000000000000000,2364234.779999999795109,2524354.780000000260770,1815707.439999999944121,2176963.839999999850988,1938387.999999999767169,12940878.839999999850988
FS( 244 ),2143499.439999999944121,2354914.609999999869615,2506260.080000000074506,1820096.879999999888241,2155156.240000000223517,1915619.199999999953434,12895550.449999999254942
FS( 245 ),2118953.200000000186265,2309889.000000000000000,2432767.759999999776483,1819498.319999999832362,2151307.839999999850988,1891561.599999999860302,12723981.719999998807907
FS( 246 ),2142893.359999999869615,2323278.540000000037253,2436665.080000000074506,1815507.919999999925494,2142713.080000000074506,1901442.399999999674037,12762504.380000000819564
FS( 247 ),2135317.359999999869615,2326954.100000000093132,2432767.759999999776483,1811118.479999999748543,2120392.360000000335276,1908745.599999999860302,12735299.659999998286366
FS( 248 ),2131074.799999999813735,2308051.220000000204891,2429983.959999999962747,1807128.079999999841675,2116672.240000000223517,1915833.999999999767169,12708748.299999998882413
FS( 249 ),2134711.279999999795109,2311726.779999999795109,2428592.059999999590218,1805531.919999999925494,2111541.040000000037253,1910678.799999999813735,12702785.879999998956919
FS( 250 ),2178955.120000000111759,2328266.800000000279397,2466451.740000000223517,1810918.959999999962747,2121162.040000000037253,1914330.399999999906868,12820089.060000000521541
FS( 251 ),2183803.760000000242144,2331811.089999999850988,2457265.200000000186265,1807726.639999999897555,2096660.560000000288710,1915619.199999999953434,12792890.449999999254942
FS( 252 ),2180924.880000000353903,2336405.540000000037253,2478422.080000000074506,1799745.840000000083819,2116543.960000000428408,1911967.599999999860302,12824013.900000000372529
FS( 253 ),2176833.839999999850988,2321703.300000000279397,2445294.860000000335276,1792762.639999999897555,2103972.520000000018626,1908960.399999999906868,12749531.560000000521541
