代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14029379.880000000819564
真實報酬,4029379.880000000819564

夏普值報酬,0.394237988000000
夏普值風險,0.113071151264525
夏普值,3.486636366491901

二次趨勢線,95.487790000068088 x^2 + -8254.527414454290920 x + 10000000.000000000000000
二次加權預期報酬,23893.028552235300594
風險,228766.987897369341226
二次加權趨勢值,0.104442641710850
一次趨勢線,9828.401910033864624 x + 10000000.000000000000000
一次預期報酬,9828.401910033864624
一次風險,718697.833462974871509
一次趨勢值,0.013675290855792
找到最佳解世代,2107
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),CSCO[4](3),HD[9](1),MCD[15](5),
FS( 226 ),3746943.600000000093132,2968014.470000000204891,3124998.399999999906868,3316553.180000000167638,13156509.650000000372529
FS( 227 ),3790624.720000000204891,2954810.300000000279397,3126995.199999999720603,3300432.669999999925494,13172862.890000000596046
FS( 228 ),3815004.880000000353903,2959211.690000000409782,3123667.199999999720603,3301748.630000000353903,13199632.400000000372529
FS( 229 ),3885097.839999999850988,2963613.080000000074506,3143635.199999999720603,3282667.210000000428408,13275013.330000000074506
FS( 230 ),3935889.839999999850988,2916664.919999999925494,3166265.600000000093132,3266217.710000000428408,13285038.070000000298023
FS( 231 ),3950619.520000000484288,2916664.919999999925494,3158944.000000000000000,3265230.740000000223517,13291459.180000001564622
FS( 232 ),3955698.720000000204891,2899059.360000000335276,3155615.999999999534339,3273455.490000000223517,13283829.570000000298023
FS( 233 ),3868844.400000000372529,2875585.280000000260770,3154284.799999999813735,3287931.050000000279397,13186645.530000001192093
FS( 234 ),3847511.760000000242144,2857979.720000000204891,3087724.799999999813735,3286286.100000000093132,13079502.380000000819564
FS( 235 ),3850559.280000000260770,2847709.810000000055879,3154284.799999999813735,3295826.810000000521541,13148380.700000001117587
FS( 236 ),3932842.320000000763685,2887322.319999999832362,3182905.600000000093132,3189892.029999999795109,13192962.269999999552965
FS( 237 ),3955698.720000000204891,2904927.879999999888241,3201542.399999999906868,3185944.150000000372529,13248113.150000000372529
FS( 238 ),4005474.880000000353903,2909329.269999999552965,3234156.800000000279397,3180022.330000000074506,13328983.280000001192093
FS( 239 ),4122296.479999999981374,2966547.339999999850988,3270764.799999999813735,3183970.210000000428408,13543578.830000001937151
FS( 240 ),4278227.919999999925494,2963613.080000000074506,3292729.599999999627471,3200748.700000000651926,13735319.300000000745058
FS( 241 ),4248768.560000000521541,2921066.310000000055879,3274758.399999999906868,3225422.950000000651926,13670016.220000002533197
FS( 242 ),4248768.560000000521541,2938671.870000000111759,3264774.399999999906868,3212921.330000000074506,13665136.160000000149012
FS( 243 ),4361526.800000000745058,2954810.300000000279397,3250131.199999999720603,3215224.260000000242144,13781692.560000000521541
FS( 244 ),4397081.199999999254942,3017896.890000000130385,3286739.200000000186265,3212592.340000000316650,13914309.629999998956919
FS( 245 ),4371685.199999999254942,3007626.979999999981374,3314028.799999999813735,3181996.270000000018626,13875337.250000000000000
FS( 246 ),4348828.800000000745058,2990021.419999999925494,3306707.199999999720603,3151729.189999999944121,13797286.609999999403954
FS( 247 ),4324956.560000000521541,3012028.370000000111759,3297388.799999999813735,3143504.439999999944121,13777878.169999999925494
FS( 248 ),4404192.080000000074506,3057509.399999999906868,3336659.200000000186265,3190221.020000000018626,13988581.699999999254942
FS( 249 ),4458539.519999999552965,3067779.310000000055879,3330668.799999999813735,3202393.650000000372529,14059381.279999999329448
FS( 250 ),4481395.919999999925494,3092720.519999999552965,3322015.999999999534339,3193839.910000000149012,14089972.349999999627471
FS( 251 ),4425016.800000000745058,3085384.870000000111759,3322015.999999999534339,3212263.350000000093132,14044681.019999999552965
FS( 252 ),4350352.560000000521541,3102990.429999999701977,3348640.000000000000000,3227396.890000000130385,14029379.880000000819564
