代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13124441.750000000000000
真實報酬,3124441.750000000000000

夏普值報酬,0.303744175000000
夏普值風險,0.079667550649331
夏普值,3.812646083936702

二次趨勢線,11.676306139576869 x^2 + 9657.531995114532037 x + 10000000.000000000000000
二次加權預期報酬,13604.123470291520789
風險,155304.693136211601086
二次加權趨勢值,0.087596344936981
一次趨勢線,11877.481063580509726 x + 10000000.000000000000000
一次預期報酬,11877.481063580509726
一次風險,176552.998027629539138
一次趨勢值,0.067274309676247
找到最佳解世代,2968
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AAPL[0](12),DD[7](1),MRK[17](9),PFE[20](10),UNH[23](14),V[25](2),
FS( 167 ),2020006.990000000223517,2107297.099999999627471,1839153.609999999869615,1856217.199999999720603,2084095.739999999990687,2012823.459999999962747,11919598.099999997764826
FS( 168 ),2035239.549999999813735,2072598.800000000046566,1866210.489999999757856,1857373.000000000000000,2093422.199999999953434,2010831.759999999776483,11935679.799999998882413
FS( 169 ),2072776.930000000167638,2061032.700000000186265,1863204.169999999692664,1842925.500000000000000,2106140.099999999627471,2026765.360000000102445,11972848.759999997913837
FS( 170 ),2121466.719999999739230,2077449.100000000093132,1872598.919999999692664,1842347.599999999860302,2101618.179999999701977,2031545.439999999944121,12047029.959999999031425
FS( 171 ),2160908.169999999925494,2075583.600000000093132,1872598.919999999692664,1833679.099999999860302,2105009.620000000111759,2026367.019999999785796,12074150.429999999701977
FS( 172 ),2142139.479999999981374,2124459.700000000186265,1885751.569999999832362,1839458.099999999860302,2095965.780000000027940,2042698.959999999962747,12130477.589999999850988
FS( 173 ),2200621.630000000353903,2057301.699999999953434,1869968.389999999897555,1804206.199999999953434,2083813.120000000111759,2009238.399999999906868,12025153.439999999478459
FS( 174 ),2195453.439999999944121,2066256.100000000093132,1853057.839999999850988,1807095.699999999953434,2081552.160000000149012,2019196.899999999906868,12022616.140000000596046
FS( 175 ),2206877.859999999869615,2051332.099999999860302,1834268.339999999850988,1805939.899999999906868,2056116.360000000102445,2008840.059999999823049,11963378.619999999180436
FS( 176 ),2176140.729999999981374,2086403.500000000000000,1856064.159999999916181,1822698.999999999767169,2077312.860000000102445,2010433.419999999925494,12029057.669999999925494
FS( 177 ),2201165.649999999906868,2167739.299999999813735,1862452.589999999850988,1825010.599999999860302,2083530.500000000000000,2007645.039999999804422,12147547.679999997839332
FS( 178 ),2197629.520000000018626,2219973.299999999813735,1857567.319999999832362,1811141.000000000000000,2092856.959999999962747,1986134.679999999934807,12165306.780000001192093
FS( 179 ),2181308.919999999925494,2181170.900000000372529,1839529.399999999906868,1771265.899999999906868,2038876.540000000037253,2048275.719999999972060,12060431.380000000819564
FS( 180 ),2178316.810000000055879,2165873.799999999813735,1815854.629999999888241,1748149.899999999906868,2006940.480000000214204,2025968.679999999934807,11941108.299999998882413
FS( 181 ),2154379.930000000167638,2206168.600000000558794,1818109.369999999878928,1748149.899999999906868,1991961.620000000111759,2065006.000000000000000,11983779.420000001788139
FS( 182 ),2166348.370000000111759,2210272.700000000186265,1807211.459999999962747,1748149.899999999906868,2008353.580000000074506,2068989.399999999906868,12009329.410000000149012
FS( 183 ),2156556.010000000242144,2242359.299999999813735,1800071.449999999720603,1741793.000000000000000,1999027.120000000111759,2123561.979999999981374,12063372.859999999403954
FS( 184 ),2140235.410000000149012,2311755.900000000372529,1837650.449999999720603,1778200.699999999953434,2045659.419999999925494,2144674.000000000000000,12258179.879999998956919
FS( 185 ),2115754.510000000242144,2332649.500000000000000,1833516.759999999776483,1774733.300000000046566,2045942.040000000037253,2151844.120000000111759,12254444.230000000447035
FS( 186 ),2133435.160000000149012,2326306.799999999813735,1853433.629999999888241,1748149.899999999906868,2073073.560000000055879,2150649.100000000093132,12285052.150000000372529
FS( 187 ),2215310.169999999925494,2331530.200000000186265,1854936.789999999804422,1753928.899999999906868,2101335.559999999590218,2171362.779999999795109,12428408.400000000372529
FS( 188 ),2206061.829999999608845,2360258.900000000372529,1856815.739999999757856,1750461.499999999767169,2095117.919999999925494,2178134.560000000055879,12446854.450000001117587
FS( 189 ),2191373.290000000037253,2383391.100000000558794,1868465.229999999748543,1765486.899999999906868,2115466.559999999590218,2192873.139999999664724,12517060.219999998807907
FS( 190 ),2176412.740000000223517,2369586.400000000372529,1871095.759999999776483,1770688.000000000000000,2110944.639999999664724,2187694.720000000204891,12486426.259999999776483
FS( 191 ),2154923.949999999720603,2369586.400000000372529,1876732.609999999869615,1773577.500000000000000,2113488.219999999739230,2200043.259999999776483,12488355.939999999478459
FS( 192 ),2180220.880000000353903,2359139.599999999627471,1880866.299999999813735,1770110.099999999860302,2128184.459999999962747,2217570.220000000204891,12536095.560000000521541
FS( 193 ),2149483.750000000000000,2330784.000000000000000,1859822.059999999823049,1760285.800000000046566,2107553.200000000186265,2200839.939999999944121,12408772.749999998137355
FS( 194 ),2102154.010000000242144,2320337.200000000186265,1868841.019999999785796,1763753.199999999953434,2122532.059999999590218,2202433.299999999813735,12380054.789999999105930
FS( 195 ),2113578.430000000167638,2316233.099999999627471,1869216.809999999823049,1765486.899999999906868,2098226.740000000223517,2189288.080000000074506,12352034.059999998658895
FS( 196 ),2098617.880000000353903,2290489.200000000186265,1883121.039999999804422,1776466.999999999767169,2162381.480000000447035,2206018.359999999869615,12417098.960000000894070
FS( 197 ),2111946.370000000111759,2293100.900000000372529,1871095.759999999776483,1788602.899999999906868,2137228.299999999813735,2213188.479999999981374,12415166.710000000894070
FS( 198 ),2085017.380000000121072,2263626.000000000000000,1860949.429999999934807,1787447.099999999860302,2150228.820000000298023,2210001.759999999776483,12357274.490000000223517
FS( 199 ),2070872.859999999869615,2269222.500000000000000,1874477.869999999878928,1773577.500000000000000,2111227.259999999776483,2202034.959999999962747,12301416.949999999254942
FS( 200 ),2081753.260000000009313,2225942.900000000372529,1996233.829999999841675,1764908.999999999767169,2089748.140000000130385,2180126.259999999776483,12338717.390000000596046
FS( 201 ),2123370.790000000037253,2266237.700000000186265,1991724.349999999860302,1791492.399999999906868,2092009.100000000093132,2217171.879999999888241,12482010.219999998807907
FS( 202 ),2165804.350000000093132,2287504.400000000372529,1973686.429999999934807,1801894.599999999860302,2115183.940000000409782,2228325.399999999906868,12572403.119999999180436
FS( 203 ),2153835.910000000149012,2289369.900000000372529,1972934.849999999860302,1801316.699999999953434,2056398.980000000214204,2208408.399999999906868,12482268.740000000223517
FS( 204 ),2101065.969999999739230,2288623.700000000186265,1952266.399999999906868,1796693.500000000000000,2049616.100000000093132,2312375.139999999664724,12500644.809999998658895
FS( 205 ),2133707.169999999925494,2440475.400000000372529,1947756.919999999692664,1804784.099999999860302,2067703.780000000027940,2309586.759999999776483,12704018.129999998956919
FS( 206 ),2143227.520000000018626,2427043.799999999813735,1929719.000000000000000,1807095.699999999953434,2074486.660000000149012,2320341.939999999944121,12701918.619999999180436
FS( 207 ),2161180.180000000167638,2376302.200000000186265,1939113.750000000000000,1792070.300000000046566,2068834.260000000242144,2272939.479999999981374,12610444.170000001788139
FS( 208 ),2122010.740000000223517,2306532.500000000000000,1953393.769999999785796,1738903.500000000000000,2023615.060000000055879,2203229.979999999981374,12347689.550000000745058
FS( 209 ),2139147.370000000111759,2290116.100000000558794,1974062.219999999972060,1714053.799999999813735,2025028.160000000149012,2153437.479999999981374,12295849.130000000819564
FS( 210 ),1968325.089999999850988,2287877.500000000000000,1986839.079999999841675,1757974.199999999953434,2026723.879999999888241,2200441.600000000093132,12228185.349999999627471
FS( 211 ),1946020.270000000251457,2376675.299999999813735,1962036.939999999944121,1740059.299999999813735,2014005.980000000214204,2162200.959999999962747,12201002.750000000000000
FS( 212 ),1942212.130000000121072,2407642.599999999627471,2010889.639999999897555,1781090.199999999953434,2057529.459999999962747,2199644.919999999925494,12399012.949999999254942
FS( 213 ),1945204.240000000223517,2418089.400000000372529,1990596.979999999748543,1756818.399999999906868,2042833.220000000204891,2145470.679999999701977,12299016.919999999925494
FS( 214 ),1949012.380000000121072,2374436.700000000186265,1957151.669999999692664,1768376.399999999906868,1999309.739999999990687,2125952.020000000018626,12174242.910000000149012
FS( 215 ),1977029.410000000149012,2388987.599999999627471,2010889.639999999897555,1816920.000000000000000,1992809.480000000214204,2136707.200000000186265,12323347.329999998211861
FS( 216 ),1991989.960000000195578,2383018.000000000000000,2011641.219999999972060,1771265.899999999906868,2001570.699999999953434,2147064.040000000037253,12306553.820000000298023
FS( 217 ),1991717.949999999953434,2422193.500000000000000,2020660.179999999934807,1782246.000000000000000,2002983.800000000279397,2180922.939999999944121,12400728.369999999180436
FS( 218 ),2019462.969999999739230,2422939.700000000186265,2058239.179999999934807,1804206.199999999953434,2016832.180000000167638,2208806.740000000223517,12530490.970000000670552
FS( 219 ),2055640.299999999813735,2435625.099999999627471,2062748.659999999916181,1818653.699999999953434,1971047.739999999990687,2196458.200000000186265,12540177.699999999254942
FS( 220 ),2082841.299999999813735,2488605.299999999813735,2093187.649999999906868,1842347.599999999860302,1995918.300000000279397,2213985.159999999683350,12716889.310000000521541
FS( 221 ),2082569.290000000037253,2463980.700000000186265,2066882.349999999860302,1826744.299999999813735,1985178.739999999990687,2232308.799999999813735,12657668.179999999701977
FS( 222 ),2115754.510000000242144,2460249.700000000186265,2070640.250000000000000,1831945.399999999906868,2012592.879999999888241,2231113.779999999795109,12722300.520000001415610
FS( 223 ),2113850.439999999944121,2481889.500000000000000,2083417.109999999869615,1845815.000000000000000,2077878.100000000093132,2250632.439999999944121,12853486.589999997988343
FS( 224 ),2121738.729999999981374,2485620.500000000000000,2092811.859999999869615,1842347.599999999860302,2086639.320000000065193,2251429.120000000111759,12880591.129999998956919
FS( 225 ),2088281.499999999767169,2467338.599999999627471,2068385.509999999776483,1819231.599999999860302,2078725.959999999962747,2229520.419999999925494,12751487.589999997988343
FS( 226 ),2064072.609999999869615,2504648.599999999627471,2097321.339999999850988,1823276.899999999906868,2076747.620000000111759,2225537.020000000018626,12791608.089999999850988
FS( 227 ),2041223.770000000251457,2495321.099999999627471,2105588.719999999739230,1818075.800000000046566,2086074.080000000074506,2224342.000000000000000,12770629.470000000670552
FS( 228 ),2049928.089999999850988,2494574.900000000372529,2111225.570000000298023,1848704.499999999767169,2148250.480000000447035,2252624.139999999664724,12905311.679999999701977
FS( 229 ),2028711.309999999823049,2509125.799999999813735,2101079.239999999292195,1842925.500000000000000,2128749.700000000186265,2261785.959999999962747,12872381.509999997913837
FS( 230 ),2010486.639999999897555,2541212.400000000372529,2114607.679999999701977,1848704.499999999767169,2149663.580000000074506,2251827.459999999962747,12916506.259999997913837
FS( 231 ),2050472.109999999869615,2577403.099999999627471,2129263.489999999292195,1862574.099999999627471,2148533.099999999627471,2253420.819999999832362,13021670.719999996945262
FS( 232 ),2045031.910000000149012,2588223.000000000000000,2141664.559999999590218,1855639.299999999813735,2183860.599999999627471,2250234.100000000093132,13064657.469999998807907
FS( 233 ),2050744.120000000111759,2573672.100000000558794,2120244.530000000260770,1848126.599999999860302,2179056.059999999590218,2205221.679999999701977,12977069.089999999850988
FS( 234 ),2064344.620000000111759,2628144.700000000186265,2144295.089999999850988,1889157.499999999767169,2208165.919999999925494,2245852.359999999869615,13179964.189999999478459
FS( 235 ),2068696.779999999795109,2652023.099999999627471,2137530.870000000111759,1892624.899999999906868,2204209.240000000223517,2218765.240000000223517,13173854.129999998956919
FS( 236 ),2062440.549999999813735,2644934.200000000186265,2151810.889999999664724,1875865.800000000046566,2194317.540000000037253,2229520.419999999925494,13158893.400000000372529
FS( 237 ),2061352.510000000009313,2630756.400000000372529,2159702.479999999515712,1874132.099999999860302,2187534.660000000149012,2246250.700000000186265,13159732.850000001490116
FS( 238 ),2063256.579999999841675,2647545.899999999441206,2154065.629999999888241,1871820.500000000000000,2201100.419999999925494,2245852.359999999869615,13183645.389999998733401
FS( 239 ),2083113.309999999823049,2617324.799999999813735,2130390.859999999403954,1873554.199999999953434,2198274.219999999739230,2262582.639999999664724,13165244.029999997466803
FS( 240 ),2085289.389999999897555,2605012.500000000000000,2134900.339999999850988,1848126.599999999860302,2193187.059999999590218,2251827.459999999962747,13118347.350000001490116
FS( 241 ),2062168.540000000037253,2589715.400000000372529,2096569.759999999776483,1798427.199999999953434,2176512.480000000447035,2198848.240000000223517,12922245.620000001043081
FS( 242 ),2039047.689999999711290,2584865.099999999627471,2093187.649999999906868,1804784.099999999860302,2139489.259999999776483,2198449.899999999906868,12859827.699999999254942
FS( 243 ),2046935.979999999981374,2603520.099999999627471,2114231.889999999664724,1815764.199999999953434,2169446.980000000447035,2228723.740000000223517,12978626.890000000596046
FS( 244 ),2064888.639999999897555,2638964.600000000558794,2117989.790000000037253,1845237.099999999860302,2204491.860000000335276,2254615.839999999850988,13126191.830000001937151
FS( 245 ),2064344.620000000111759,2635979.799999999813735,2104085.559999999590218,1832523.300000000046566,2259885.379999999888241,2229122.080000000074506,13125944.740000000223517
FS( 246 ),2054552.260000000009313,2669558.799999999813735,2089053.959999999962747,1844081.299999999813735,2304256.719999999739230,2209205.080000000074506,13170712.119999999180436
FS( 247 ),2070600.850000000093132,2667693.299999999813735,2054105.489999999757856,1859684.599999999860302,2298886.940000000409782,2224342.000000000000000,13175317.179999999701977
FS( 248 ),2095353.760000000009313,2665081.600000000558794,2021035.969999999972060,1819809.499999999767169,2297191.219999999739230,2198449.899999999906868,13096925.950000001117587
FS( 249 ),2117930.589999999850988,2690825.500000000000000,2074022.359999999869615,1838880.199999999953434,2292104.059999999590218,2174947.839999999850988,13188714.549999997019768
FS( 250 ),2097529.839999999850988,2626279.200000000186265,2105212.929999999701977,1859684.599999999860302,2304539.339999999850988,2147860.720000000204891,13141110.630000000819564
FS( 251 ),2088553.510000000009313,2549793.700000000186265,2094315.019999999785796,1855061.399999999906868,2289843.099999999627471,2148657.399999999906868,13026228.129999998956919
FS( 252 ),2086105.419999999925494,2560986.700000000186265,2103709.769999999552965,1842347.599999999860302,2306800.299999999813735,2112010.120000000111759,13011963.910000000149012
FS( 253 ),2085833.410000000149012,2581880.299999999813735,2133397.179999999701977,1856217.199999999720603,2317257.240000000223517,2149852.419999999925494,13124441.750000000000000
