代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13671749.870000001043081
真實報酬,3671749.870000001043081

夏普值報酬,0.358474987000000
夏普值風險,0.097432701017782
夏普值,3.679206090515520

預期報酬,15188.768055805583572
風險,212453.764183336665155
趨勢值,0.071492110832635
找到最佳解世代,1748
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](5),GS[8](7),HD[9](3),NKE[19](4),UNH[23](1),
20150429,2561456.820000000298023,2371697.280000000260770,2685508.250000000000000,2583279.319999999832362,2779423.040000000037253,12981364.710000000894070
20150430,2536031.480000000447035,2346137.120000000111759,2642772.060000000055879,2548726.080000000074506,2725357.600000000093132,12799024.339999999850988
20150501,2578018.280000000260770,2359394.959999999962747,2706258.770000000018626,2598750.919999999925494,2769392.800000000279397,13011815.730000000447035
20150504,2589914.540000000037253,2380535.840000000316650,2718857.300000000279397,2600298.080000000074506,2802663.839999999850988,13092269.600000001490116
20150505,2584782.820000000298023,2356528.399999999906868,2669451.300000000279397,2589467.959999999962747,2773551.680000000167638,12973782.160000000149012
20150506,2559357.480000000447035,2344106.640000000130385,2675627.050000000279397,2584310.759999999776483,2776487.359999999869615,12939889.290000000968575
20150507,2548627.520000000484288,2357722.799999999813735,2718363.240000000223517,2616285.399999999906868,2807556.640000000130385,13048555.600000001490116
20150508,2568454.620000000111759,2394868.640000000130385,2778391.530000000260770,2641555.679999999701977,2830063.520000000018626,13213333.989999998360872
20150511,2533232.360000000335276,2409559.759999999776483,2764310.820000000298023,2650838.639999999664724,2807801.279999999795109,13165742.859999999403954
20150512,2548161.000000000000000,2395226.959999999962747,2779626.680000000167638,2640008.519999999552965,2804620.959999999962747,13167644.120000001043081
20150513,2546994.700000000186265,2405976.560000000055879,2746771.689999999944121,2634335.599999999627471,2834467.040000000037253,13168545.589999999850988
20150514,2564255.940000000409782,2420189.920000000391155,2765298.939999999944121,2667341.679999999701977,2899785.919999999925494,13316872.400000000372529
20150515,2572886.559999999590218,2424370.320000000298023,2800130.169999999925494,2707052.120000000111759,2919357.120000000111759,13423796.289999999105930
20150518,2573586.339999999850988,2444555.680000000167638,2824339.109999999869615,2701379.200000000186265,2930855.199999999720603,13474715.529999997466803
20150519,2578951.320000000298023,2453394.240000000223517,2775180.140000000130385,2698284.879999999888241,2949203.199999999720603,13455013.780000001192093
20150520,2570553.959999999962747,2449572.160000000149012,2769251.419999999925494,2697769.160000000149012,2966083.359999999869615,13453230.059999998658895
20150521,2574985.900000000372529,2448019.439999999944121,2767028.150000000372529,2692096.240000000223517,2947001.439999999944121,13429131.169999999925494
20150522,2571953.520000000484288,2482059.840000000316650,2770733.600000000093132,2693127.679999999701977,2925717.760000000242144,13443592.400000000372529
20150526,2552826.200000000186265,2465099.359999999869615,2740348.910000000149012,2666825.959999999962747,2892691.359999999869615,13317791.789999999105930
20150527,2574519.379999999888241,2497109.280000000260770,2770733.600000000093132,2651870.080000000074506,2922292.800000000279397,13416525.140000000596046
20150528,2578251.540000000037253,2490181.759999999776483,2771474.689999999944121,2637945.639999999664724,2926451.680000000167638,13404305.309999998658895
20150529,2574519.379999999888241,2462830.000000000000000,2752453.380000000353903,2621958.319999999832362,2940885.439999999944121,13352646.519999999552965
20150601,2588281.719999999739230,2482179.280000000260770,2758629.130000000353903,2624021.200000000186265,2932323.040000000037253,13385434.370000001043081
20150602,2583383.259999999776483,2465696.560000000055879,2756652.890000000130385,2633304.160000000149012,2880704.000000000000000,13319740.870000001043081
20150603,2593180.179999999701977,2487912.399999999906868,2795436.600000000093132,2643618.559999999590218,2895382.399999999906868,13415530.139999998733401
20150604,2572886.559999999590218,2494839.920000000391155,2753441.500000000000000,2629178.399999999906868,2853793.600000000093132,13304139.980000000447035
20150605,2572886.559999999590218,2513711.439999999944121,2726515.230000000447035,2631241.279999999795109,2850857.919999999925494,13295212.429999999701977
20150608,2549327.299999999813735,2505828.399999999906868,2715645.910000000149012,2615769.679999999701977,2860154.239999999757856,13246725.529999999329448
20150609,2531366.280000000260770,2496631.520000000484288,2705764.709999999962747,2613706.799999999813735,2862111.359999999869615,13209580.669999999925494
20150610,2565888.759999999776483,2545721.359999999869615,2741584.060000000055879,2664763.080000000074506,2900275.199999999720603,13418232.459999999031425
20150611,2580350.879999999888241,2555396.000000000000000,2749241.990000000223517,2678687.519999999552965,2919112.479999999981374,13482788.870000001043081
20150612,2564722.459999999962747,2544885.280000000260770,2732196.919999999925494,2676108.919999999925494,2878257.600000000093132,13396171.179999999701977
20150615,2570087.440000000409782,2529358.080000000074506,2717622.150000000372529,2665278.799999999813735,2910794.720000000204891,13393141.190000001341105
20150616,2590614.320000000298023,2550857.280000000260770,2723056.810000000055879,2696222.000000000000000,2973667.199999999720603,13534417.609999999403954
20150617,2600644.500000000000000,2543332.560000000055879,2728985.530000000260770,2701379.200000000186265,2929387.359999999869615,13503729.150000000372529
20150618,2640998.480000000447035,2563279.040000000037253,2763075.669999999925494,2733353.839999999850988,2957520.959999999962747,13658227.990000002086163
20150619,2627002.879999999888241,2546438.000000000000000,2777403.410000000149012,2747278.279999999795109,2943821.120000000111759,13641943.690000001341105
20150622,2648229.540000000037253,2586092.080000000074506,2793213.330000000074506,2753982.639999999664724,2941864.000000000000000,13723381.589999999850988
20150623,2668756.419999999925494,2608666.240000000223517,2795930.660000000149012,2764297.040000000037253,3002779.359999999869615,13840429.719999998807907
20150624,2653827.780000000260770,2561248.560000000055879,2775427.169999999925494,2739026.759999999776483,2915442.879999999888241,13644973.149999998509884
20150625,2669689.459999999962747,2542018.720000000204891,2772709.839999999850988,2713240.759999999776483,2992749.120000000111759,13690407.899999998509884
20150626,2682285.500000000000000,2546199.120000000111759,2781602.919999999925494,2829277.759999999776483,3015256.000000000000000,13854621.300000000745058
20150629,2637033.059999999590218,2480268.240000000223517,2730714.740000000223517,2776674.319999999832362,2964860.160000000149012,13589550.519999999552965
20150630,2662458.400000000372529,2493884.399999999906868,2745289.509999999776483,2785441.559999999590218,2984676.000000000000000,13671749.870000001043081
