代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13223429.809999998658895
真實報酬,3223429.809999998658895

夏普值報酬,0.313642981000000
夏普值風險,0.087883880059632
夏普值,3.568834020382168

預期報酬,13750.427845279564281
風險,148473.315283292991808
趨勢值,0.092612115645449
找到最佳解世代,3312
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
BA[2](12),CAT[3](9),DD[7](1),MRK[17](8),MSFT[18](16),
20140429,2506231.390000000596046,2553028.450000000186265,3027709.319999999366701,2528309.389999999664724,2345680.910000000149012,12960959.460000000894070
20140430,2518921.340000000782311,2555452.950000000186265,3102364.500000000000000,2521420.269999999552965,2339311.580000000074506,13037470.640000000596046
20140501,2507988.459999999962747,2547452.100000000093132,3028582.480000000447035,2567060.689999999478459,2316150.379999999888241,12967234.109999999403954
20140502,2536882.500000000000000,2545997.400000000372529,3027272.740000000223517,2506780.889999999664724,2298200.450000000186265,12915133.980000000447035
20140505,2576318.959999999962747,2534117.350000000093132,3068747.839999999850988,2524434.259999999776483,2283145.669999999925494,12986764.080000000074506
20140506,2554257.970000000670552,2518358.100000000093132,3053467.540000000037253,2458987.620000000111759,2261721.560000000521541,12846792.790000000968575
20140507,2544886.929999999701977,2536541.850000000093132,3078789.179999999701977,2404305.230000000447035,2282566.640000000596046,12847089.830000000074506
20140508,2549181.990000000223517,2544300.250000000000000,3059579.660000000149012,2360817.660000000149012,2295305.299999999813735,12809184.859999999403954
20140509,2559529.179999999701977,2547209.650000000372529,3063508.879999999888241,2377179.320000000298023,2289515.000000000000000,12836942.030000001192093
20140512,2588813.679999999701977,2574848.950000000186265,3116335.059999999590218,2380623.879999999888241,2314413.290000000037253,12975034.859999999403954
20140513,2605408.229999999515712,2597881.700000000186265,3111969.259999999776483,2400430.099999999627471,2340469.640000000596046,13056158.929999999701977
20140514,2596427.650000000372529,2582849.800000000279397,3121137.439999999478459,2427125.439999999478459,2330047.100000000558794,13057587.429999999701977
20140515,2561676.709999999962747,2545512.500000000000000,3022470.360000000335276,2406458.080000000074506,2292989.180000000633299,12829106.830000001937151
20140516,2553867.509999999776483,2570727.300000000279397,3045172.519999999552965,2405596.939999999478459,2306306.870000000111759,12881671.140000000596046
20140519,2564409.929999999701977,2555210.500000000000000,3067438.099999999627471,2426264.299999999813735,2301674.629999999888241,12914997.459999997168779
20140520,2529854.220000000670552,2462352.150000000372529,3092323.160000000149012,2411194.349999999627471,2297621.419999999925494,12793345.300000000745058
20140521,2556795.959999999962747,2494355.550000000279397,3104983.980000000447035,2436167.410000000149012,2336416.430000000633299,12928719.330000001937151
20140522,2573976.200000000186265,2499204.550000000279397,3094942.639999999664724,2432292.280000000260770,2321940.680000000633299,12922356.350000001490116
20140523,2585104.309999999590218,2522237.300000000279397,3150824.879999999888241,2446070.519999999552965,2323098.740000000223517,13027335.749999998137355
20140527,2619464.790000000037253,2513751.550000000279397,3166541.759999999776483,2440903.679999999701977,2327151.950000000186265,13067813.730000000447035
20140528,2622588.470000000670552,2495082.899999999906868,3218931.360000000335276,2428417.149999999441206,2316729.410000000149012,13081749.290000000968575
20140529,2638402.099999999627471,2511811.950000000186265,3262152.779999999329448,2484391.250000000000000,2335837.400000000372529,13232595.479999998584390
20140530,2640549.629999999888241,2478596.300000000279397,3240323.779999999329448,2491280.370000000111759,2370579.200000000186265,13221329.279999997466803
20140602,2653239.580000000074506,2515691.150000000372529,3264772.259999999776483,2494294.359999999403954,2361893.750000000000000,13289891.099999999627471
20140603,2652849.120000000111759,2533390.000000000000000,3270884.379999999888241,2493433.219999999739230,2332942.250000000000000,13283498.969999998807907
20140604,2642111.470000000670552,2529025.900000000372529,3263025.939999999478459,2494294.359999999403954,2334679.339999999850988,13263137.009999999776483
20140605,2671200.740000000223517,2593275.149999999906868,3271757.540000000037253,2501614.049999999813735,2386213.009999999776483,13424060.490000000223517
20140606,2699118.629999999888241,2622854.050000000279397,3303191.299999999813735,2490849.799999999813735,2401846.820000000298023,13517860.600000001490116
20140609,2693456.959999999962747,2636673.700000000186265,3294459.699999999254942,2494724.929999999701977,2389687.190000000409782,13509002.480000000447035
20140610,2679595.629999999888241,2650250.900000000372529,3304501.040000000037253,2518406.280000000260770,2380422.709999999962747,13533176.560000002384186
20140611,2618098.179999999701977,2635219.000000000000000,3286601.259999999776483,2532184.519999999552965,2365946.959999999962747,13438049.919999998062849
20140612,2580809.250000000000000,2585759.200000000186265,3232901.919999999925494,2510225.450000000186265,2349734.120000000111759,13259429.940000001341105
20140613,2582761.549999999813735,2588668.600000000093132,3257786.980000000447035,2507642.030000000260770,2387371.070000000298023,13324230.230000000447035
20140616,2587642.299999999813735,2589638.400000000372529,3251674.860000000335276,2500322.339999999850988,2403004.879999999888241,13332282.780000001192093
20140617,2585885.229999999515712,2586244.100000000093132,3232901.919999999925494,2499891.769999999552965,2413427.419999999925494,13318350.439999999478459
20140618,2586470.919999999925494,2605882.550000000279397,3265208.839999999850988,2514961.719999999739230,2411690.330000000074506,13384214.360000001266599
20140619,2593108.740000000223517,2600306.200000000186265,3237267.719999999739230,2510225.450000000186265,2403583.910000000149012,13344492.019999999552965
20140620,2579052.179999999701977,2651948.050000000279397,3262152.779999999329448,2536920.790000000037253,2413427.419999999925494,13443501.220000000670552
20140623,2554648.429999999701977,2637401.050000000279397,3288347.579999999143183,2518836.849999999627471,2431377.350000000558794,13430611.259999997913837
20140624,2521459.330000000074506,2613883.400000000372529,3252984.599999999627471,2493863.790000000037253,2417480.629999999888241,13299671.750000000000000
20140625,2480656.259999999776483,2629157.750000000000000,3270884.379999999888241,2534337.370000000111759,2433693.469999999739230,13348729.230000000447035
20140626,2499398.340000000782311,2631097.350000000093132,3240323.779999999329448,2520128.559999999590218,2415743.540000000037253,13306691.570000000298023
20140627,2509550.299999999813735,2637401.050000000279397,3208890.019999999552965,2477071.559999999590218,2446432.129999999888241,13279345.059999998658895
20140630,2483975.169999999925494,2634734.100000000093132,3199285.259999999776483,2490849.799999999813735,2414585.480000000447035,13223429.809999998658895
