天數,二次加權,一次,二次平均
Day 62,11198132.699999999254942,11198132.699999999254942,11198132.699999999254942
Day 63,11243785.959999999031425,11243785.959999999031425,11243785.959999999031425
Day 64,11290460.380000000819564,11290460.380000000819564,11290460.380000000819564
Day 65,11236845.759999999776483,11236845.759999999776483,11236845.759999999776483
Day 66,11200231.300000000745058,11200231.300000000745058,11200231.300000000745058
Day 67,11129296.160000000149012,11129296.160000000149012,11129296.160000000149012
Day 68,11150622.620000001043081,11150622.620000001043081,11150622.620000001043081
Day 69,11193967.100000001490116,11193967.100000001490116,11193967.100000001490116
Day 70,11216205.360000001266599,11216205.360000001266599,11216205.360000001266599
Day 71,11183122.519999999552965,11183122.519999999552965,11183122.519999999552965
Day 72,11240600.740000000223517,11240600.740000000223517,11240600.740000000223517
Day 73,11275995.980000000447035,11275995.980000000447035,11275995.980000000447035
Day 74,11106573.400000000372529,11106573.400000000372529,11106573.400000000372529
Day 75,11150484.019999999552965,11150484.019999999552965,11150484.019999999552965
Day 76,11227554.500000001862645,11227554.500000001862645,11227554.500000001862645
Day 77,11370087.240000000223517,11370087.240000000223517,11370087.240000000223517
Day 78,11436670.960000000894070,11436670.960000000894070,11436670.960000000894070
Day 79,11405511.080000001937151,11405511.080000001937151,11405511.080000001937151
Day 80,11606142.440000001341105,11606142.440000001341105,11606142.440000001341105
Day 81,11730711.060000000521541,11730711.060000000521541,11730711.060000000521541
Day 82,11780961.199999999254942,11780961.199999999254942,11780961.199999999254942
Day 83,11863101.380000000819564,11863101.380000000819564,11863101.380000000819564
Day 84,11748850.500000000000000,11748850.500000000000000,11748850.500000000000000
Day 85,11781441.900000000372529,11781441.900000000372529,11781441.900000000372529
Day 86,11715650.859999999403954,11715650.859999999403954,11715650.859999999403954
Day 87,11798646.179999999701977,11798646.179999999701977,11798646.179999999701977
Day 88,11866038.640000000596046,11866038.640000000596046,11866038.640000000596046
Day 89,11936055.359999999403954,11936055.359999999403954,11936055.359999999403954
Day 90,11836228.900000002235174,11836228.900000002235174,11836228.900000002235174
Day 91,11944448.820000000298023,11944448.820000000298023,11944448.820000000298023
Day 92,11941915.560000000521541,11941915.560000000521541,11941915.560000000521541
Day 93,11990384.400000002235174,11990384.400000002235174,11990384.400000002235174
Day 94,11995252.480000000447035,11995252.480000000447035,11995252.480000000447035
Day 95,12083257.919999999925494,12083257.919999999925494,12083257.919999999925494
Day 96,12093542.240000000223517,12093542.240000000223517,12093542.240000000223517
Day 97,11948890.179999999701977,11948890.179999999701977,11948890.179999999701977
Day 98,11885365.379999998956919,11885365.379999998956919,11885365.379999998956919
Day 99,11770531.300000000745058,11770531.300000000745058,11770531.300000000745058
Day 100,11814952.280000001192093,11814952.280000001192093,11814952.280000001192093
Day 101,11809695.380000000819564,11809695.380000000819564,11809695.380000000819564
Day 102,11833967.900000000372529,11833967.900000000372529,11833967.900000000372529
Day 103,11986878.439999999478459,11986878.439999999478459,11986878.439999999478459
Day 104,11833230.679999999701977,11833230.679999999701977,11833230.679999999701977
Day 105,11907160.160000000149012,11907160.160000000149012,11907160.160000000149012
Day 106,11819378.080000001937151,11819378.080000001937151,11819378.080000001937151
Day 107,11744645.239999998360872,11744645.239999998360872,11744645.239999998360872
Day 108,11747632.960000000894070,11747632.960000000894070,11747632.960000000894070
Day 109,11757403.980000000447035,11757403.980000000447035,11757403.980000000447035
Day 110,11990845.859999999403954,11990845.859999999403954,11990845.859999999403954
Day 111,11724187.359999999403954,11724187.359999999403954,11724187.359999999403954
Day 112,11779343.679999999701977,11779343.679999999701977,11779343.679999999701977
Day 113,11878159.100000001490116,11878159.100000001490116,11878159.100000001490116
Day 114,11772177.880000000819564,11772177.880000000819564,11772177.880000000819564
Day 115,11834238.739999998360872,11834238.739999998360872,11834238.739999998360872
Day 116,11895838.019999999552965,11895838.019999999552965,11895838.019999999552965
Day 117,12022725.039999999105930,12022725.039999999105930,12022725.039999999105930
Day 118,12142962.859999999403954,12142962.859999999403954,12142962.859999999403954
Day 119,12068654.500000000000000,12068654.500000000000000,12068654.500000000000000
Day 120,12066189.440000001341105,12066189.440000001341105,12066189.440000001341105
Day 121,11877197.660000000149012,11877197.660000000149012,11877197.660000000149012
Day 122,11966224.759999999776483,11966224.759999999776483,11966224.759999999776483
Day 123,12192638.679999999701977,12192638.679999999701977,12192638.679999999701977
Day 124,12204188.500000000000000,12204188.500000000000000,12204188.500000000000000
Day 125,12183702.940000001341105,12183702.940000001341105,12183702.940000001341105
result_train_2011_Q3-Q4(2011 Q1).csv,127
Day 1,10000000.000000000000000,10000000.000000000000000,10000000.000000000000000
Day 2,9980358.310000000521541,10019492.620000001043081,9998832.459999999031425
Day 3,9990478.689999999478459,10027366.089999999850988,10024518.339999997988343
Day 4,10067495.529999999329448,10159625.550000000745058,10047869.139999998733401
Day 5,9982107.069999998435378,10132565.310000000521541,9994162.299999997019768
Day 6,9932119.539999999105930,10001946.269999999552965,9964973.799999997019768
Day 7,9877071.820000000298023,10021625.899999998509884,9922942.359999997541308
Day 8,9878043.070000000298023,10055615.509999999776483,9919439.739999998360872
Day 9,9904521.759999999776483,10056552.890000000596046,10018680.639999998733401
Day 10,9878450.949999999254942,10146667.890000000596046,9980151.819999998435378
Day 11,9843832.629999998956919,10198351.820000000298023,9970811.500000000000000
Day 12,9948291.759999999776483,10306020.480000000447035,10065382.239999998360872
Day 13,9992632.779999999329448,10439181.610000001266599,10072387.479999998584390
Day 14,10050594.250000000000000,10565158.890000000596046,10103911.059999998658895
Day 15,10141290.190000001341105,10725347.230000000447035,10339754.139999998733401
Day 16,10133300.949999999254942,10720690.890000000596046,10288382.379999998956919
Day 17,10092069.969999998807907,10766480.509999999776483,10276706.979999998584390
Day 18,9934322.080000001937151,10498828.519999999552965,10168125.759999999776483
Day 19,9850883.769999999552965,10546542.169999999925494,10131932.019999999552965
Day 20,9803422.509999999776483,10513545.400000000372529,10096905.819999998435378
Day 21,9705601.539999999105930,10541792.599999999627471,10086397.959999999031425
Day 22,9433297.089999999850988,10336140.500000000000000,9931115.139999998733401
Day 23,9479014.690000001341105,10396471.220000000670552,9987157.059999998658895
Day 24,9235299.669999999925494,10059122.230000000447035,9840047.019999999552965
Day 25,9151318.390000000596046,10078772.929999999701977,9933450.219999998807907
Day 26,8731547.019999999552965,9555218.859999999403954,9586690.839999997988343
Day 27,9122374.629999998956919,9932147.669999999925494,10036193.739999998360872
Day 28,8789375.949999999254942,9689707.700000001117587,9816696.219999998807907
Day 29,9127442.470000000670552,10332802.509999999776483,10073555.019999999552965
Day 30,9212433.250000000000000,10388022.879999998956919,10099240.899999998509884
Day 31,9350906.529999999329448,10470737.129999998956919,10136602.179999997839332
Day 32,9568122.459999999031425,10430046.449999999254942,10119089.079999998211861
Day 33,9656052.489999998360872,10430822.589999999850988,10215994.899999998509884
Day 34,9375559.959999999031425,10040702.830000000074506,9995329.839999997988343
Day 35,9432014.859999999403954,10021263.500000000000000,10184471.319999998435378
Day 36,9517405.870000001043081,10031256.259999999776483,10246350.939999999478459
Day 37,9733719.400000000372529,10357044.029999999329448,10453005.519999999552965
Day 38,9940266.879999998956919,10409747.539999999105930,10523057.919999998062849
Day 39,9785223.699999999254942,10250828.769999999552965,10357267.239999998360872
Day 40,9878224.120000001043081,10444589.120000001043081,10499707.119999999180436
Day 41,9927067.060000000521541,10628184.450000001117587,10600115.559999998658895
Day 42,9869309.530000001192093,10604676.350000001490116,10598948.019999999552965
Day 43,9821845.719999998807907,10549064.739999998360872,10555749.039999997243285
Day 44,9740739.939999999478459,10529974.370000001043081,10516052.679999997839332
Day 45,9581434.480000000447035,10338372.919999999925494,10401633.759999999776483
Day 46,9547976.049999998882413,10355599.210000000894070,10370110.179999997839332
Day 47,9687038.199999999254942,10540776.470000000670552,10424984.559999998658895
Day 48,9591529.359999999403954,10602521.879999998956919,10345591.839999997988343
Day 49,9302224.179999999701977,10299842.150000000372529,9927612.519999999552965
Day 50,9435282.939999999478459,10425523.320000000298023,10063047.159999998286366
Day 51,9473396.230000000447035,10522984.350000001490116,10054874.379999998956919
Day 52,9629966.379999998956919,10588160.109999999403954,10128429.399999998509884
Day 53,9807758.739999998360872,10747014.980000000447035,10282544.679999997839332
Day 54,9865523.919999999925494,10817797.310000000521541,10308230.559999998658895
Day 55,9860486.679999999701977,10922989.640000000596046,10368942.639999998733401
Day 56,9952294.060000000521541,10964324.539999999105930,10427319.639999998733401
Day 57,9715755.070000000298023,10737407.859999999403954,10218329.979999998584390
Day 58,9518897.139999998733401,10470078.519999999552965,10039696.359999997541308
Day 59,9690663.160000000149012,10607103.080000000074506,10200816.879999998956919
Day 60,9843781.690000001341105,10752761.540000000968575,10430822.259999999776483
Day 61,9850797.129999998956919,10747078.740000000223517,10477523.859999997541308
Day 62,9712856.620000001043081,10610438.679999999701977,10277874.519999999552965
Day 63,9782503.690000001341105,10579195.580000000074506,10365440.019999999552965
Day 64,9601224.009999997913837,10377872.669999999925494,10253356.179999997839332
Day 65,9321901.570000000298023,10177414.789999999105930,10043198.979999998584390
Day 66,9468547.629999998956919,10256892.849999999627471,10096905.819999998435378
Day 67,9479608.660000000149012,10409911.839999999850988,10021015.719999998807907
Day 68,9629201.620000001043081,10574892.129999998956919,10170460.839999997988343
Day 69,9707964.669999999925494,10486070.589999999850988,10180968.699999999254942
Day 70,9885173.259999999776483,10811628.540000000968575,10333916.439999999478459
Day 71,9940432.570000000298023,10934385.719999998807907,10430822.259999999776483
Day 72,9884584.390000000596046,10969922.679999999701977,10316403.339999997988343
Day 73,9897842.859999999403954,11103118.210000000894070,10427319.639999998733401
Day 74,10021742.289999999105930,11286822.649999998509884,10500874.659999998286366
Day 75,9892568.529999999329448,11137430.660000000149012,10351429.539999997243285
Day 76,10126744.390000000596046,11268779.500000000000000,10465848.459999999031425
Day 77,10050706.449999999254942,10965378.670000001788139,10463513.379999998956919
Day 78,10060018.719999998807907,10915317.770000001415610,10392293.439999999478459
Day 79,10407071.230000000447035,11060279.179999999701977,10778749.179999997839332
Day 80,10367193.880000000819564,11207588.470000000670552,10742555.439999999478459
Day 81,10263338.919999999925494,11136895.259999999776483,10714534.479999998584390
Day 82,10333347.969999998807907,11163050.830000000074506,10715702.019999999552965
Day 83,10545965.140000000596046,11444244.910000000149012,10917686.439999999478459
Day 84,10362962.199999999254942,11463622.429999999701977,10892000.559999998658895
Day 85,10293715.359999999403954,11438833.929999999701977,10840628.799999997019768
Day 86,10203447.699999999254942,11123803.839999999850988,10730880.039999997243285
Day 87,10300899.040000000968575,11211413.950000001117587,10803267.519999999552965
Day 88,10390955.109999999403954,11354118.679999999701977,10858141.899999998509884
Day 89,10430072.800000000745058,11326928.059999998658895,10952712.639999998733401
Day 90,10606679.769999999552965,11348810.519999999552965,11047283.379999998956919
Day 91,10687189.029999997466803,11474296.789999999105930,11044948.299999997019768
Day 92,10467174.039999999105930,11145251.530000001192093,10817278.000000000000000
Day 93,10508229.130000000819564,11281285.269999999552965,10888497.939999999478459
Day 94,10712864.710000000894070,11420395.110000001266599,11063628.939999999478459
Day 95,10697865.129999998956919,11324001.080000000074506,10981901.139999998733401
Day 96,10697296.660000000149012,11470908.689999999478459,11029770.279999997466803
Day 97,10588929.580000001937151,11312858.710000000894070,10875655.000000000000000
Day 98,10508777.199999999254942,11140764.640000000596046,10775246.559999998658895
Day 99,10570440.129999998956919,11121197.859999999403954,10827785.859999997541308
Day 100,10431961.750000000000000,10957927.699999999254942,10774079.019999999552965
Day 101,10459006.359999999403954,11028242.570000000298023,10817278.000000000000000
Day 102,10334518.060000000521541,10798258.250000000000000,10726209.879999998956919
Day 103,10341138.369999999180436,10792819.080000000074506,10753063.299999997019768
Day 104,10551030.429999999701977,11086278.769999999552965,10946874.939999999478459
Day 105,10759489.809999998658895,10976698.790000000968575,10911848.739999998360872
Day 106,10915139.710000000894070,11346317.580000000074506,11152361.979999998584390
Day 107,10930307.530000001192093,11388665.120000001043081,11150026.899999998509884
Day 108,11023659.730000000447035,11407136.310000000521541,11173377.699999999254942
Day 109,11042704.899999998509884,11475902.660000000149012,11132513.799999997019768
Day 110,11093485.240000000223517,11469266.630000000819564,11209571.439999999478459
Day 111,11174983.599999999627471,11522683.099999999627471,11260943.199999999254942
Day 112,11090795.829999998211861,11468335.650000000372529,11315817.579999998211861
Day 113,11199155.259999999776483,11605235.769999999552965,11445414.519999999552965
Day 114,11200921.869999999180436,11532195.919999999925494,11497953.819999998435378
Day 115,11099391.789999999105930,11470997.719999998807907,11441911.899999998509884
Day 116,11026257.399999998509884,11269231.089999999850988,11396377.839999997988343
Day 117,11095313.050000000745058,11290233.169999999925494,11458257.459999999031425
Day 118,11193496.000000000000000,11264310.570000000298023,11382367.359999997541308
Day 119,11148953.589999999850988,11213593.140000000596046,11353178.859999997541308
Day 120,11479413.250000000000000,11559630.580000000074506,11537650.179999997839332
Day 121,11508402.910000000149012,11476872.820000000298023,11582016.699999999254942
Day 122,11462486.469999998807907,11518049.439999999478459,11511964.299999997019768
Day 123,11576112.580000001937151,11696051.099999999627471,11692933.000000000000000
Day 124,11617160.019999999552965,11766003.879999998956919,11739634.599999997764826
Day 125,11466606.009999999776483,11601917.419999999925494,11626383.219999998807907
Day 126,11603751.160000000149012,11692491.890000000596046,11769990.639999998733401
Day 127,11579814.039999999105930,11637402.300000000745058,11713948.719999998807907
result_train_2012_Q1-Q2(2012 Q1).csv,125
Day 1,10000000.000000000000000,10000000.000000000000000,10000000.000000000000000
Day 2,9901206.560000000521541,10030085.779999999329448,9991591.400000000372529
Day 3,9847323.519999999552965,10061223.820000000298023,10020643.379999998956919
Day 4,9752029.370000001043081,10045099.350000001490116,9997548.550000000745058
Day 5,9765330.509999999776483,10056153.380000000819564,10004902.309999998658895
Day 6,9793384.570000000298023,10079466.919999999925494,10022055.660000000149012
Day 7,9780131.520000001415610,10043174.369999999180436,9981943.309999998658895
Day 8,9763572.850000001490116,10042746.280000001192093,9967612.339999999850988
Day 9,9738219.260000001639128,10002462.160000000149012,9922928.000000000000000
Day 10,9780845.430000001564622,10067660.419999999925494,9984922.230000000447035
Day 11,9801202.709999999031425,10161126.679999999701977,10036219.650000000372529
Day 12,9826861.029999999329448,10178831.810000000521541,10026467.800000000745058
Day 13,9876859.500000000000000,10194830.029999999329448,10080639.140000000596046
Day 14,9844422.310000000521541,10165438.219999998807907,10030260.509999999776483
Day 15,9789349.360000001266599,10080194.740000000223517,9902420.089999999850988
Day 16,9811042.230000000447035,10150450.719999998807907,9967011.910000000149012
Day 17,9734092.210000000894070,10055031.629999998956919,9867198.780000001192093
Day 18,9681256.449999999254942,10029491.430000001564622,9839752.949999999254942
Day 19,9748364.609999999403954,10062221.119999999180436,9865309.070000000298023
Day 20,9759676.500000000000000,10081507.199999999254942,9895722.609999999403954
Day 21,9830985.230000000447035,10177791.740000000223517,10025069.509999999776483
Day 22,9797589.230000000447035,10124452.030000001192093,9970185.470000000670552
Day 23,9837459.179999999701977,10190418.450000001117587,10018351.609999999403954
Day 24,9852440.290000000968575,10194192.989999998360872,10022886.710000000894070
Day 25,9848197.040000000968575,10253746.619999999180436,10078923.289999999105930
Day 26,9833874.300000000745058,10275930.619999999180436,10091046.480000000447035
Day 27,9835551.179999999701977,10309124.540000000968575,10134104.560000000521541
Day 28,9811038.410000000149012,10289958.019999999552965,10112374.660000000149012
Day 29,9865638.109999999403954,10341860.130000000819564,10160601.949999999254942
Day 30,9903705.940000001341105,10390281.109999999403954,10195917.310000000521541
Day 31,9836909.940000001341105,10349553.339999999850988,10156145.140000000596046
Day 32,9892698.809999998658895,10388085.639999998733401,10206395.879999998956919
Day 33,9960912.540000000968575,10456386.939999999478459,10257661.359999999403954
Day 34,9818868.960000000894070,10384513.240000000223517,10183138.880000000819564
Day 35,9735068.610000001266599,10332340.280000001192093,10114333.259999999776483
Day 36,9721239.750000000000000,10345557.599999999627471,10109351.500000000000000
Day 37,9727337.260000001639128,10354344.440000001341105,10117814.689999999478459
Day 38,9700661.679999999701977,10366930.800000000745058,10121422.869999999180436
Day 39,9728307.630000000819564,10397706.990000000223517,10145771.640000000596046
Day 40,9781713.290000000968575,10424678.580000000074506,10160022.489999998360872
Day 41,9781839.599999999627471,10458140.349999999627471,10197969.450000001117587
Day 42,9792513.179999999701977,10449934.330000000074506,10185562.080000000074506
Day 43,9844599.150000000372529,10477127.259999997913837,10214345.620000001043081
Day 44,9772021.250000000000000,10327054.769999999552965,10086168.890000000596046
Day 45,9838197.400000000372529,10372233.679999999701977,10102724.299999998882413
Day 46,9885400.740000000223517,10450121.980000000447035,10184058.950000001117587
Day 47,9903866.310000000521541,10514323.129999998956919,10222774.050000000745058
Day 48,9985889.730000000447035,10537198.240000000223517,10243535.910000000149012
Day 49,10021746.240000000223517,10662970.470000000670552,10366752.059999998658895
Day 50,10023426.390000000596046,10672781.559999998658895,10374357.209999999031425
Day 51,10043289.790000000968575,10678115.559999998658895,10385260.859999999403954
Day 52,10015704.640000000596046,10660530.379999998956919,10358793.589999999850988
Day 53,10028297.100000001490116,10689660.899999998509884,10391184.250000000000000
Day 54,10028388.679999999701977,10662910.570000002160668,10339962.589999999850988
Day 55,10063475.710000000894070,10638726.480000000447035,10314228.509999999776483
Day 56,10072637.470000000670552,10633155.519999999552965,10301509.669999999925494
Day 57,10060878.220000000670552,10589901.759999999776483,10310668.769999999552965
Day 58,10098150.130000000819564,10708391.660000000149012,10426036.730000000447035
Day 59,10034909.720000000670552,10665892.439999999478459,10384638.830000000074506
Day 60,10043943.549999998882413,10642665.349999999627471,10369830.189999999478459
Day 61,10062687.130000000819564,10703401.820000002160668,10440482.169999999925494
Day 62,10106611.050000000745058,10796413.299999998882413,10538346.480000000447035
Day 63,10145484.740000000223517,10818328.539999999105930,10569892.440000001341105
Day 64,10083163.660000000149012,10793894.279999999329448,10522455.570000000298023
Day 65,10041485.789999999105930,10747379.259999999776483,10473255.199999999254942
Day 66,10003842.900000000372529,10764459.480000000447035,10449735.089999999850988
Day 67,9928713.460000000894070,10668358.359999999403954,10318361.859999999403954
Day 68,9821419.709999999031425,10480719.679999999701977,10188741.810000000521541
Day 69,9867650.850000001490116,10564817.119999999180436,10255144.189999999478459
Day 70,9905451.370000001043081,10666098.839999999850988,10348494.500000000000000
Day 71,9847371.209999999031425,10615666.059999998658895,10265444.800000000745058
Day 72,9930149.099999999627471,10675197.120000001043081,10305616.570000000298023
Day 73,10099667.299999998882413,10823365.410000000149012,10482150.880000000819564
Day 74,10113908.240000000223517,10795323.780000001192093,10441066.880000000819564
Day 75,10120782.480000000447035,10845709.339999999850988,10534663.070000000298023
Day 76,10223327.120000001043081,10946655.959999999031425,10653240.800000000745058
Day 77,10028212.530000001192093,10834425.390000000596046,10535056.509999999776483
Day 78,10028404.200000001117587,10803498.869999999180436,10540331.759999999776483
Day 79,10043042.580000000074506,10887896.399999998509884,10586711.969999998807907
Day 80,10222382.870000001043081,11001381.709999997168779,10716879.910000000149012
Day 81,10279025.949999999254942,11001013.589999999850988,10708404.530000001192093
Day 82,10269773.160000000149012,10964822.349999999627471,10645127.990000000223517
Day 83,10323179.710000000894070,11045250.400000000372529,10741045.140000000596046
Day 84,10333675.779999999329448,11082377.289999999105930,10724159.589999999850988
Day 85,10349233.300000000745058,11068843.730000000447035,10713540.960000000894070
Day 86,10280418.550000000745058,10936050.349999999627471,10601419.259999999776483
Day 87,10343450.849999999627471,10981942.990000000223517,10691351.330000000074506
Day 88,10330740.399999998509884,10944473.519999999552965,10718677.279999999329448
Day 89,10287357.220000000670552,10904812.830000000074506,10695609.109999999403954
Day 90,10351782.119999999180436,10961791.639999998733401,10761740.129999998956919
Day 91,10418519.650000000372529,10994337.010000001639128,10803811.400000000372529
Day 92,10348014.970000000670552,10927260.080000000074506,10746342.820000000298023
Day 93,10361701.570000000298023,10875847.349999999627471,10729780.890000000596046
Day 94,10328143.410000000149012,10853000.650000000372529,10699495.970000000670552
Day 95,10448850.240000000223517,10768025.730000000447035,10700862.609999999403954
Day 96,10453337.419999999925494,10734953.570000000298023,10636984.850000001490116
Day 97,10492960.530000001192093,10857480.320000000298023,10747214.040000000968575
Day 98,10520071.150000000372529,10909093.080000000074506,10769661.980000000447035
Day 99,10520071.150000000372529,10909093.080000000074506,10769661.980000000447035
Day 100,10658739.450000001117587,11013317.669999999925494,10867807.929999999701977
Day 101,10661826.110000001266599,11010539.359999999403954,10852055.359999999403954
Day 102,10717893.849999999627471,11107662.509999999776483,10931604.639999998733401
Day 103,10657937.540000000968575,11023516.099999999627471,10862122.640000000596046
Day 104,10682183.179999999701977,11036111.610000001266599,10900436.880000000819564
Day 105,10538148.480000000447035,10793740.419999999925494,10693838.269999999552965
Day 106,10614130.300000000745058,10840445.699999997392297,10722405.269999999552965
Day 107,10556302.050000000745058,10884198.509999999776483,10760640.379999998956919
Day 108,10693464.840000001713634,11086223.200000001117587,10936702.090000001713634
Day 109,10663084.920000001788139,11100345.919999999925494,10925399.019999999552965
Day 110,10905666.529999999329448,11278896.479999998584390,11097526.039999999105930
Day 111,10850047.589999999850988,11173641.989999998360872,11016709.779999999329448
Day 112,10918089.589999999850988,11263308.449999999254942,11098998.660000000149012
Day 113,10862609.640000000596046,11128705.630000000819564,11062042.699999999254942
Day 114,11006737.879999998956919,11281891.740000000223517,11257102.929999999701977
Day 115,11013696.660000000149012,11292821.250000000000000,11253531.480000000447035
Day 116,11051089.440000001341105,11321288.370000001043081,11279887.960000000894070
Day 117,11015005.080000000074506,11370925.410000000149012,11317607.939999999478459
Day 118,11009602.490000000223517,11359729.959999999031425,11314415.750000000000000
Day 119,10924992.960000000894070,11180623.789999999105930,11181090.289999999105930
Day 120,10967266.050000000745058,11264639.070000000298023,11250655.390000000596046
Day 121,10983113.470000000670552,11146904.929999999701977,11146509.330000000074506
Day 122,11035411.730000000447035,11236114.930000001564622,11234688.970000000670552
Day 123,11090809.910000000149012,11287870.309999998658895,11322257.410000000149012
Day 124,11101183.100000001490116,11286218.859999999403954,11335867.939999999478459
Day 125,11297010.589999999850988,11297426.820000000298023,11455728.719999998807907
result_train_2012_Q3-Q4(2012 Q1).csv,125
Day 1,10000000.000000000000000,10000000.000000000000000,10000000.000000000000000
Day 2,9977890.149999998509884,9977955.560000000521541,9977955.560000000521541
Day 3,10028426.949999999254942,10051125.830000000074506,10051125.830000000074506
Day 4,9892609.299999998882413,9991398.980000000447035,9991398.980000000447035
Day 5,9763108.750000000000000,9931239.230000000447035,9931239.230000000447035
Day 6,9655718.049999998882413,9940924.460000000894070,9940924.460000000894070
Day 7,9535693.150000000372529,9913856.050000000745058,9913856.050000000745058
Day 8,9684145.000000000000000,9925942.589999999850988,9925942.589999999850988
Day 9,9797852.799999998882413,10072580.599999999627471,10072580.599999999627471
Day 10,10041061.149999998509884,10071428.439999999478459,10071428.439999999478459
Day 11,10126342.000000000000000,10070662.580000000074506,10070662.580000000074506
Day 12,10094756.500000000000000,10138233.029999999329448,10138233.029999999329448
Day 13,9902084.949999999254942,10116315.599999999627471,10116315.599999999627471
Day 14,9930511.900000000372529,10016164.519999999552965,10016164.519999999552965
Day 15,9829438.299999998882413,9977287.019999999552965,9977287.019999999552965
Day 16,9684145.000000000000000,9926303.830000000074506,9926303.830000000074506
Day 17,9649400.949999999254942,9935277.959999999031425,9935277.959999999031425
Day 18,10009475.650000000372529,10243226.589999999850988,10243226.589999999850988
Day 19,10195830.099999999627471,10368600.390000000596046,10368600.390000000596046
Day 20,10331647.750000000000000,10344519.099999999627471,10344519.099999999627471
Day 21,10192671.550000000745058,10181070.639999998733401,10181070.639999998733401
Day 22,10066329.549999998882413,10121657.189999999478459,10121657.189999999478459
Day 23,10208464.299999998882413,10096941.910000000149012,10096941.910000000149012
Day 24,10341123.400000000372529,10253462.750000000000000,10253462.750000000000000
Day 25,10347440.499999998137355,10258086.329999998211861,10258086.329999998211861
Day 26,10296903.699999999254942,10262105.810000000521541,10262105.810000000521541
Day 27,10356916.149999998509884,10290953.359999999403954,10290953.359999999403954
Day 28,10148451.849999999627471,10231074.649999998509884,10231074.649999998509884
Day 29,10192671.550000000745058,10233891.009999999776483,10233891.009999999776483
Day 30,10132659.099999999627471,10238097.250000000000000,10238097.250000000000000
Day 31,10255842.549999998882413,10338753.709999999031425,10338753.709999999031425
Day 32,10192671.550000000745058,10306840.580000000074506,10306840.580000000074506
Day 33,10240049.799999998882413,10390708.570000000298023,10390708.570000000298023
Day 34,10161086.049999998882413,10417716.989999998360872,10417716.989999998360872
Day 35,10120024.899999998509884,10381596.870000001043081,10381596.870000001043081
Day 36,10069488.099999999627471,10362365.129999998956919,10362365.129999998956919
Day 37,10116866.349999999627471,10385946.640000000596046,10385946.640000000596046
Day 38,10041061.149999998509884,10353378.599999999627471,10353378.599999999627471
Day 39,10003158.549999998882413,10398613.640000000596046,10398613.640000000596046
Day 40,10082122.299999998882413,10388252.239999998360872,10388252.239999998360872
Day 41,10060012.449999999254942,10445519.919999999925494,10445519.919999999925494
Day 42,10110549.249999998137355,10461998.589999999850988,10461998.589999999850988
Day 43,10006317.099999999627471,10393794.329999998211861,10393794.329999998211861
Day 44,10126342.000000000000000,10426763.050000000745058,10426763.050000000745058
Day 45,10148451.849999999627471,10425675.759999999776483,10425675.759999999776483
Day 46,10075805.199999999254942,10398343.129999998956919,10398343.129999998956919
Day 47,10227415.599999999627471,10569205.780000001192093,10569205.780000001192093
Day 48,10243208.349999999627471,10550604.039999999105930,10550604.039999999105930
Day 49,10161086.049999998882413,10564375.850000001490116,10564375.850000001490116
Day 50,10382184.549999998882413,10582901.940000001341105,10582901.940000001341105
Day 51,10540112.049999998882413,10668750.730000000447035,10668750.730000000447035
Day 52,10656978.400000000372529,10741648.789999999105930,10741648.789999999105930
Day 53,10600124.500000000000000,10690984.730000000447035,10690984.730000000447035
Day 54,10571697.549999998882413,10686997.109999999403954,10686997.109999999403954
Day 55,10555904.799999998882413,10684966.500000000000000,10684966.500000000000000
Day 56,10644344.199999999254942,10736556.330000000074506,10736556.330000000074506
Day 57,10628551.449999999254942,10707662.339999999850988,10707662.339999999850988
Day 58,10660136.949999999254942,10722415.229999998584390,10722415.229999998584390
Day 59,10562221.899999998509884,10660547.759999997913837,10660547.759999997913837
Day 60,10625392.899999998509884,10696913.980000000447035,10696913.980000000447035
Day 61,10464306.849999999627471,10630196.469999998807907,10630196.469999998807907
Day 62,10574856.099999997764826,10706317.689999999478459,10706317.689999999478459
Day 63,10603283.049999998882413,10702464.890000000596046,10702464.890000000596046
Day 64,10795954.599999999627471,10786162.160000000149012,10786162.160000000149012
Day 65,10739100.699999999254942,10737496.389999998733401,10737496.389999998733401
Day 66,10938089.349999999627471,10823981.349999999627471,10823981.349999999627471
Day 67,11029687.299999998882413,10913923.820000000298023,10913923.820000000298023
Day 68,11077065.549999998882413,10990582.429999999701977,10990582.429999999701977
Day 69,10953882.099999999627471,10883061.560000000521541,10883061.560000000521541
Day 70,10799113.149999998509884,10748011.039999999105930,10748011.039999999105930
Day 71,10849649.949999999254942,10689842.699999999254942,10689842.699999999254942
Day 72,10979150.499999998137355,10697735.100000001490116,10697735.100000001490116
Day 73,10985467.599999999627471,10711745.040000000968575,10711745.040000000968575
Day 74,11045480.049999998882413,10833956.419999999925494,10833956.419999999925494
Day 75,11146553.649999998509884,10950203.989999998360872,10950203.989999998360872
Day 76,11257102.899999998509884,11065148.519999999552965,11065148.519999999552965
Day 77,11203407.549999998882413,11126941.689999999478459,11126941.689999999478459
Day 78,11051797.150000000372529,11037502.530000001192093,11037502.530000001192093
Day 79,10975991.949999999254942,10967529.400000000372529,10967529.400000000372529
Day 80,10789637.499999998137355,10828394.859999999403954,10828394.859999999403954
Day 81,10777003.299999998882413,10798682.149999998509884,10798682.149999998509884
