代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13400854.339999999850988
真實報酬,3400854.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14508.359866104618050
風險,159144.241384080261923
起點值,0.091164843540207
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
FS( 171 ),2424999.030000000260770,2339158.830000000074506,2091330.000000000232831,1789241.320000000065193,2097985.480000000447035,1992922.659999999916181,12735641.320000000298023
FS( 172 ),2415960.910000000149012,2335560.550000000279397,2032470.000000000000000,1754036.919999999925494,2117205.910000000149012,1990684.959999999729916,12645923.250000000000000
FS( 173 ),2410398.990000000223517,2320524.879999999888241,1992358.000000000000000,1760917.780000000027940,2108735.890000000130385,1994041.509999999776483,12586981.050000000745058
FS( 174 ),2418394.250000000000000,2296493.509999999776483,2012414.000000000000000,1770038.919999999925494,2115251.290000000502914,2007915.250000000000000,12620511.220000000670552
FS( 175 ),2419437.109999999403954,2300991.360000000335276,2019608.000000000000000,1749876.399999999906868,2108084.350000000093132,2016418.509999999776483,12614419.729999998584390
FS( 176 ),2415787.099999999627471,2296879.040000000037253,2002604.000000000000000,1718032.419999999925494,2098311.250000000000000,2003887.389999999664724,12535505.199999999254942
FS( 177 ),2441337.169999999925494,2296622.020000000018626,2035304.000000000000000,1742355.459999999962747,2109387.430000000167638,2012166.879999999888241,12637176.959999997168779
FS( 178 ),2445334.799999999813735,2289939.500000000000000,2024185.999999999767169,1726033.419999999925494,2105803.959999999962747,2014852.119999999878928,12606153.799999998882413
FS( 179 ),2433168.099999999627471,2314484.910000000149012,2025494.000000000000000,1723153.060000000055879,2113296.670000000391155,2019327.519999999785796,12628928.259999999776483
FS( 180 ),2458718.169999999925494,2305360.699999999720603,2079776.000000000232831,1722833.019999999785796,2115251.290000000502914,1995607.899999999906868,12677551.080000000074506
FS( 181 ),2430560.950000000186265,2261281.770000000018626,2015030.000000000232831,1728913.780000000027940,2091795.849999999860302,1970545.659999999916181,12498132.009999999776483
FS( 182 ),2458022.929999999701977,2274389.790000000037253,2015030.000000000232831,1734514.479999999981374,2118508.990000000223517,1980839.079999999608845,12581309.269999999552965
FS( 183 ),2449332.429999999701977,2277988.069999999832362,2010670.000000000000000,1726193.439999999944121,2113296.670000000391155,1988447.259999999776483,12565931.869999999180436
FS( 184 ),2444465.750000000000000,2259482.629999999888241,2008926.000000000232831,1728113.679999999934807,2116880.140000000130385,1995831.669999999692664,12553703.870000001043081
FS( 185 ),2448637.189999999478459,2263080.910000000149012,1994974.000000000000000,1700750.260000000009313,2120789.379999999888241,1990461.189999999944121,12518696.929999997839332
FS( 186 ),2499389.709999999962747,2279273.170000000391155,2026366.000000000000000,1714992.040000000037253,2126979.010000000242144,1994265.279999999795109,12641269.210000000894070
FS( 187 ),2504951.629999999888241,2282742.939999999944121,2024404.000000000000000,1729393.839999999850988,2132842.870000000111759,1995607.899999999906868,12669947.180000001564622
FS( 188 ),2501649.240000000223517,2287240.790000000037253,2032252.000000000000000,1724753.260000000009313,2140661.350000000093132,1991803.809999999823049,12678364.450000001117587
FS( 189 ),2496956.370000000111759,2272847.670000000391155,2022224.000000000000000,1718192.439999999944121,2145547.900000000372529,1988671.029999999795109,12644443.410000000149012
FS( 190 ),2497651.609999999403954,2270148.959999999962747,2011542.000000000000000,1725073.299999999813735,2135449.030000000260770,1999635.759999999776483,12639504.659999998286366
FS( 191 ),2516249.280000000260770,2296493.509999999776483,2052090.000000000000000,1738835.019999999785796,2141312.890000000130385,1986657.099999999860302,12731641.800000000745058
FS( 192 ),2503213.530000000260770,2275674.890000000130385,2054488.000000000000000,1738514.979999999981374,2135774.800000000279397,1992251.349999999860302,12699921.550000000745058
FS( 193 ),2496956.370000000111759,2279401.680000000167638,2088931.999999999767169,1748916.280000000027940,2141312.890000000130385,1993593.969999999972060,12749117.190000001341105
FS( 194 ),2491394.450000000186265,2298421.160000000149012,2082392.000000000000000,1742035.419999999925494,2139684.040000000502914,1985762.019999999785796,12739693.090000001713634
FS( 195 ),2488439.679999999701977,2281843.370000000111759,2117708.000000000000000,1751156.560000000055879,2134797.490000000223517,1988447.259999999776483,12762396.359999999403954
FS( 196 ),2461672.939999999478459,2294822.879999999888241,2116836.000000000000000,1743795.639999999897555,2133168.640000000130385,1988223.489999999757856,12738523.589999999850988
FS( 197 ),2464627.709999999962747,2262438.360000000335276,2068004.000000000000000,1743795.639999999897555,2125024.390000000130385,1984419.399999999906868,12648313.500000001862645
FS( 198 ),2451591.959999999962747,2256912.430000000167638,2029635.999999999767169,1697869.899999999906868,2115902.830000000074506,1988671.029999999795109,12540588.150000000372529
FS( 199 ),2465149.140000000596046,2300605.830000000074506,2052308.000000000000000,1698990.040000000037253,2133168.640000000130385,2009705.409999999916181,12659931.060000002384186
FS( 200 ),2454199.109999999403954,2285570.160000000149012,2057758.000000000000000,1691149.060000000055879,2130236.709999999962747,2007915.250000000000000,12626832.289999999105930
FS( 201 ),2445160.990000000223517,2292638.209999999962747,2037702.000000000000000,1667946.159999999916181,2118834.760000000242144,2008362.789999999804422,12570648.909999998286366
FS( 202 ),2475751.549999999813735,2304204.110000000335276,2063644.000000000000000,1678347.459999999962747,2133820.180000000167638,2039690.589999999850988,12695461.890000000596046
FS( 203 ),2472796.780000000260770,2318083.189999999944121,2056231.999999999767169,1678507.479999999981374,2163139.480000000447035,2039690.589999999850988,12728453.520000001415610
FS( 204 ),2496608.750000000000000,2339672.870000000111759,2110514.000000000000000,1695149.560000000055879,2199951.490000000223517,2055354.489999999757856,12897255.160000000149012
FS( 205 ),2512077.839999999850988,2358306.819999999832362,2276412.000000000000000,1707951.159999999916181,2212656.520000000018626,2061172.509999999776483,13128580.849999999627471
FS( 206 ),2497303.990000000223517,2335175.020000000018626,2281644.000000000000000,1697549.859999999869615,2209724.590000000316650,2054683.179999999701977,13076084.639999998733401
FS( 207 ),2499215.899999999441206,2354580.030000000260770,2238480.000000000000000,1687788.639999999897555,2224058.470000000204891,2049760.239999999757856,13053887.280000001192093
FS( 208 ),2496782.559999999590218,2375270.140000000130385,2229324.000000000000000,1707471.100000000093132,2230248.100000000093132,2041256.979999999748543,13080356.879999998956919
FS( 209 ),2547708.890000000596046,2343913.699999999720603,2223656.000000000000000,1694989.540000000037253,2261196.250000000000000,2042152.059999999823049,13113620.439999999478459
FS( 210 ),2563873.219999999739230,2357407.250000000000000,2212974.000000000000000,1686028.419999999925494,2257612.780000000260770,2070794.619999999878928,13148694.290000000968575
FS( 211 ),2556051.769999999552965,2356764.699999999720603,2213628.000000000000000,1707791.139999999897555,2250445.840000000316650,2068556.919999999692664,13153242.369999999180436
FS( 212 ),2546839.839999999850988,2352652.379999999888241,2166758.000000000000000,1677227.320000000065193,2241650.050000000279397,2072584.779999999795109,13057716.369999999180436
FS( 213 ),2589075.669999999925494,2377583.319999999832362,2172208.000000000000000,1692909.280000000027940,2247839.680000000167638,2060724.969999999972060,13140344.919999999925494
FS( 214 ),2659468.719999999739230,2390562.830000000074506,2166322.000000000000000,1707151.060000000055879,2245885.060000000055879,2056920.879999999888241,13226314.550000000745058
FS( 215 ),2676502.099999999627471,2402000.220000000204891,2164578.000000000000000,1681547.859999999869615,2249142.760000000242144,2058711.039999999804422,13232485.979999998584390
FS( 216 ),2663813.969999999739230,2354065.990000000223517,2187904.000000000000000,1704270.699999999953434,2257938.550000000279397,2064305.289999999804422,13232302.500000000000000
FS( 217 ),2675806.859999999403954,2363832.750000000000000,2201638.000000000000000,1699630.119999999878928,2230248.100000000093132,2060948.739999999757856,13232108.569999998435378
FS( 218 ),2713176.009999999776483,2354965.560000000055879,2195534.000000000000000,1695629.619999999878928,2227641.939999999944121,2075046.250000000000000,13261997.379999998956919
FS( 219 ),2706223.609999999403954,2343913.699999999720603,2232812.000000000000000,1709871.399999999906868,2229270.790000000502914,2086234.750000000000000,13308330.250000000000000
FS( 220 ),2702225.979999999515712,2347897.509999999776483,2231068.000000000000000,1716272.199999999953434,2261196.250000000000000,2084444.589999999850988,13343108.529999999329448
FS( 221 ),2611497.160000000149012,2297521.589999999850988,2183108.000000000000000,1675467.100000000093132,2198322.640000000130385,2053340.559999999823049,13019261.050000000745058
FS( 222 ),2651299.649999999441206,2279787.209999999962747,2184852.000000000000000,1682988.040000000037253,2205815.350000000093132,2052221.709999999729916,13056967.959999997168779
FS( 223 ),2660337.769999999552965,2322966.569999999832362,2233030.000000000000000,1704590.739999999990687,2205163.810000000055879,2069452.000000000000000,13195544.890000000596046
FS( 224 ),2676502.099999999627471,2360362.979999999981374,2229978.000000000000000,1698189.939999999944121,2229922.330000000074506,2088024.909999999916181,13282984.259999999776483
FS( 225 ),2673199.709999999962747,2358049.800000000279397,2259190.000000000000000,1700590.239999999990687,2237415.040000000502914,2100332.259999999776483,13328781.050000000745058
FS( 226 ),2665204.450000000186265,2380667.560000000055879,2266166.000000000000000,1699790.139999999897555,2240346.970000000204891,2121590.410000000149012,13373769.530000001192093
FS( 227 ),2674416.379999999888241,2404056.379999999888241,2289492.000000000000000,1682027.919999999925494,2268037.420000000391155,2126737.120000000111759,13444771.219999998807907
FS( 228 ),2669897.320000000298023,2397887.899999999906868,2303444.000000000000000,1675787.139999999897555,2279113.600000000093132,2118457.629999999888241,13444591.589999999850988
FS( 229 ),2670940.179999999701977,2401614.689999999944121,2299302.000000000000000,1665225.820000000065193,2293773.250000000000000,2119576.479999999515712,13450436.419999998062849
FS( 230 ),2655123.469999999739230,2411252.939999999944121,2298430.000000000000000,1655944.659999999916181,2275204.360000000335276,2130988.750000000000000,13426948.179999999701977
FS( 231 ),2662423.490000000223517,2407269.129999999888241,2303226.000000000000000,1668586.239999999990687,2283674.379999999888241,2134792.839999999850988,13459976.079999998211861
FS( 232 ),2701878.359999999403954,2444665.540000000037253,2309766.000000000000000,1650023.919999999925494,2337752.200000000186265,2151575.589999999850988,13595665.609999999403954
FS( 233 ),2675459.240000000223517,2428216.259999999776483,2293416.000000000000000,1651304.079999999841675,2354692.240000000223517,2160526.389999999664724,13563618.210000000894070
FS( 234 ),2684497.359999999403954,2399944.060000000055879,2279246.000000000000000,1666986.040000000037253,2362510.720000000204891,2143519.870000000111759,13536708.050000000745058
FS( 235 ),2700487.879999999888241,2417292.910000000149012,2256574.000000000000000,1660585.239999999990687,2358275.709999999962747,2150232.969999999739230,13543452.709999997168779
FS( 236 ),2693883.099999999627471,2440810.240000000223517,2289274.000000000000000,1664265.699999999953434,2343941.830000000074506,2150232.969999999739230,13582411.839999999850988
FS( 237 ),2589423.290000000037253,2442095.339999999850988,2309112.000000000000000,1702670.500000000000000,2290841.319999999832362,2115996.160000000149012,13450142.609999999403954
FS( 238 ),2527546.929999999701977,2441709.810000000055879,2312382.000000000000000,1728913.780000000027940,2273249.740000000223517,2092276.539999999804422,13376082.799999998882413
FS( 239 ),2547882.700000000186265,2455717.399999999906868,2305406.000000000000000,1730353.959999999962747,2301591.730000000447035,2127632.200000000186265,13468587.989999998360872
FS( 240 ),2523027.870000000111759,2472295.189999999944121,2282734.000000000000000,1705870.899999999906868,2289212.470000000204891,2133002.679999999701977,13406147.110000001266599
FS( 241 ),2507906.399999999441206,2511747.759999999776483,2319576.000000000000000,1701550.359999999869615,2277158.980000000447035,2107269.129999999888241,13425212.629999998956919
FS( 242 ),2472796.780000000260770,2524470.250000000000000,2345736.000000000000000,1733874.399999999906868,2280416.680000000167638,2107269.129999999888241,13464567.239999998360872
FS( 243 ),2543537.450000000186265,2558396.890000000130385,2343338.000000000000000,1719632.619999999878928,2308758.670000000391155,2121142.870000000111759,13594810.500000000000000
FS( 244 ),2520420.719999999739230,2548758.640000000130385,2333528.000000000000000,1703950.659999999916181,2277484.750000000000000,2111968.299999999813735,13496115.070000000298023
FS( 245 ),2535368.379999999888241,2559553.479999999981374,2255702.000000000000000,1672106.679999999934807,2289212.470000000204891,2115548.620000000111759,13427495.629999998956919
FS( 246 ),2531196.939999999478459,2563023.250000000000000,2263768.000000000000000,1671466.600000000093132,2288886.700000000186265,2102346.189999999478459,13420691.679999997839332
FS( 247 ),2542494.589999999850988,2598877.540000000037253,2269654.000000000000000,1680267.699999999953434,2319834.850000000093132,2138820.700000000186265,13549953.379999998956919
FS( 248 ),2534499.330000000074506,2569962.790000000037253,2272706.000000000000000,1666505.979999999981374,2297682.490000000223517,2130764.979999999515712,13472125.570000000298023
FS( 249 ),2498173.040000000037253,2555955.199999999720603,2265730.000000000000000,1665385.839999999850988,2254680.850000000093132,2123604.339999999850988,13363533.269999999552965
FS( 250 ),2534673.140000000596046,2565336.430000000167638,2320666.000000000000000,1668746.260000000009313,2273901.280000000260770,2153365.750000000000000,13516692.859999999403954
FS( 251 ),2497303.990000000223517,2537578.270000000018626,2303008.000000000000000,1666185.939999999944121,2231225.410000000149012,2112863.379999999888241,13348168.989999998360872
FS( 252 ),2503213.530000000260770,2541305.060000000055879,2342684.000000000000000,1669546.359999999869615,2245559.290000000502914,2098542.099999999627471,13400854.339999999850988
