代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12072299.049999998882413
真實報酬,2072299.049999998882413

夏普值報酬,0.198529905000000
夏普值風險,0.062659360458620
夏普值,3.168399797682401

預期報酬,9022.274779385941656
風險,161582.976826390367933
趨勢值,0.055836790215096
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CVX[5](5),INTC[11](15),JPM[13](2),MRK[17](3),PG[21](16),UNH[23](1),V[25](12),
20161111,1596878.760000000009313,1528370.339999999850988,1849999.809999999823049,1726651.000000000000000,1450611.849999999860302,1622727.639999999897555,1529437.599999999860302,11304679.999999998137355
20161114,1596130.060000000055879,1522629.669999999692664,1918026.670000000158325,1715311.000000000000000,1440545.949999999953434,1687668.159999999916181,1464061.099999999860302,11344375.609999999403954
20161115,1631618.439999999711290,1541618.039999999804422,1914408.219999999972060,1718551.000000000000000,1451306.050000000046566,1687114.059999999823049,1467610.109999999636784,11412228.919999998062849
20161116,1622484.299999999813735,1538526.909999999916181,1867127.140000000130385,1691011.000000000000000,1443843.399999999906868,1679024.199999999953434,1495815.399999999906868,11337835.349999999627471
20161117,1619040.280000000027940,1546475.530000000027940,1882083.399999999906868,1692901.000000000000000,1441760.799999999813735,1670934.340000000083819,1514307.609999999636784,11367505.959999999031425
20161118,1635212.199999999953434,1543384.399999999906868,1874605.269999999785796,1670491.000000000000000,1423190.949999999953434,1656306.099999999860302,1509637.859999999636784,11312830.779999999329448
20161121,1649886.719999999972060,1544709.169999999692664,1882807.089999999850988,1682101.000000000000000,1434298.149999999906868,1666944.819999999832362,1525888.589999999850988,11386638.539999999105930
20161122,1656475.280000000027940,1566788.669999999692664,1894386.129999999888241,1665901.000000000000000,1436380.750000000000000,1687446.519999999785796,1493013.550000000046566,11400394.900000000372529
20161123,1662165.399999999906868,1554424.149999999906868,1902346.719999999972060,1664281.000000000000000,1434992.350000000093132,1701631.479999999981374,1486289.109999999636784,11406133.209999999031425
20161125,1662165.399999999906868,1565022.309999999823049,1901623.029999999795109,1679671.000000000000000,1448529.249999999767169,1693541.619999999878928,1496749.349999999860302,11447304.959999999031425
20161128,1654678.399999999906868,1568113.439999999711290,1889320.299999999813735,1668601.000000000000000,1441760.799999999813735,1685784.220000000204891,1477136.399999999906868,11385397.560000000521541
20161129,1637308.560000000055879,1559281.639999999897555,1903794.100000000093132,1679131.000000000000000,1438636.899999999906868,1746513.580000000074506,1478443.929999999934807,11443112.710000000894070
20161130,1670550.839999999850988,1532344.649999999906868,1933947.850000000093132,1652131.000000000000000,1431174.249999999767169,1754603.439999999944121,1444261.359999999636784,11419016.389999998733401
20161201,1696455.860000000102445,1490835.189999999711290,1973027.110000000102445,1640521.000000000000000,1420761.250000000000000,1783638.280000000027940,1408958.050000000046566,11414199.740000000223517
20161202,1692113.399999999906868,1508498.789999999804422,1968443.739999999757856,1650511.000000000000000,1430132.949999999953434,1781311.059999999823049,1414374.959999999729916,11445388.899999998509884
20161205,1695856.899999999906868,1518655.359999999869615,2008487.920000000158325,1626751.000000000000000,1440372.399999999906868,1746956.859999999869615,1444074.569999999832362,11481158.009999999776483
20161206,1688519.639999999897555,1533227.829999999841675,2018860.809999999823049,1627561.000000000000000,1438984.000000000000000,1743521.439999999944121,1440338.769999999785796,11491016.489999998360872
20161207,1713675.959999999962747,1567671.849999999860302,2028027.549999999813735,1621621.000000000000000,1461024.850000000093132,1766572.000000000000000,1481432.569999999832362,11640028.779999999329448
20161208,1724606.979999999981374,1576503.649999999906868,2053356.699999999953434,1623241.000000000000000,1449223.449999999953434,1765685.439999999944121,1480872.199999999953434,11673492.419999998062849
20161209,1734190.339999999850988,1579153.189999999711290,2062282.209999999729916,1653211.000000000000000,1464322.300000000046566,1774551.040000000037253,1478257.139999999897555,11745970.219999998807907
20161212,1754255.500000000000000,1588426.579999999841675,2043948.729999999981374,1666441.000000000000000,1477512.099999999860302,1767569.380000000121072,1466302.579999999841675,11764458.870000001043081
20161213,1758298.479999999981374,1625078.549999999813735,2044672.420000000158325,1668331.000000000000000,1478379.850000000093132,1779205.479999999981374,1479377.879999999888241,11833346.660000000149012
20161214,1736436.439999999711290,1614038.799999999813735,2043948.729999999981374,1668601.000000000000000,1464322.300000000046566,1771669.720000000204891,1478070.349999999860302,11777090.339999999850988
20161215,1752758.099999999860302,1624636.959999999729916,2074584.939999999944121,1683991.000000000000000,1469702.350000000093132,1780092.040000000037253,1484981.579999999841675,11870749.970000000670552
20161216,1768181.319999999832362,1603440.639999999897555,2049014.559999999823049,1685881.000000000000000,1469702.350000000093132,1816884.280000000027940,1463500.729999999748543,11856607.879999998956919
20161219,1761742.500000000000000,1629052.859999999869615,2060834.830000000074506,1650781.000000000000000,1470222.999999999767169,1790287.479999999981374,1458830.979999999748543,11821755.650000000372529
20161220,1766234.699999999953434,1643183.739999999990687,2087370.129999999888241,1633501.000000000000000,1467793.299999999813735,1790841.580000000074506,1463687.519999999785796,11852614.970000000670552
20161221,1765635.739999999757856,1633027.169999999692664,2092677.189999999944121,1604611.000000000000000,1462760.349999999860302,1787960.260000000009313,1459578.139999999897555,11806252.849999999627471
20161222,1778513.379999999888241,1630819.219999999739230,2096054.409999999916181,1608661.000000000000000,1466057.800000000046566,1790730.760000000009313,1455095.179999999934807,11825934.750000000000000
20161223,1773272.479999999981374,1632585.579999999841675,2099914.089999999850988,1608121.000000000000000,1474561.749999999767169,1806799.659999999916181,1459764.929999999934807,11855022.489999998360872
20161227,1770277.679999999934807,1637001.479999999981374,2101843.929999999701977,1614331.000000000000000,1468313.949999999953434,1802477.679999999701977,1463500.729999999748543,11857749.449999999254942
20161228,1765635.739999999757856,1617571.520000000018626,2086646.439999999944121,1600291.000000000000000,1459115.799999999813735,1789179.280000000027940,1462566.779999999795109,11781009.559999998658895
20161229,1764288.079999999841675,1618896.289999999804422,2071931.409999999916181,1594081.000000000000000,1463975.199999999953434,1784746.479999999981374,1463127.149999999906868,11761048.609999999403954
20161230,1762491.199999999953434,1601674.280000000027940,2081580.610000000102445,1589491.000000000000000,1459289.349999999860302,1773664.479999999981374,1457336.659999999683350,11725530.580000000074506
20170103,1764737.299999999813735,1616246.750000000000000,2104256.229999999981374,1624051.000000000000000,1461371.949999999953434,1789290.099999999860302,1484981.579999999841675,11844937.909999998286366
20170104,1764288.079999999841675,1607856.539999999804422,2096536.869999999878928,1623511.000000000000000,1466578.449999999953434,1794387.819999999832362,1497122.929999999934807,11850284.689999999478459
20170105,1756651.339999999850988,1605207.000000000000000,2077238.469999999972060,1622971.000000000000000,1476297.250000000000000,1797379.959999999962747,1514681.189999999944121,11850429.209999999031425
20170106,1749613.560000000055879,1610947.669999999692664,2077479.699999999953434,1627291.000000000000000,1475776.599999999860302,1799928.819999999832362,1535601.669999999692664,11876642.019999999552965
20170109,1734639.560000000055879,1616688.339999999850988,2078927.080000000074506,1649701.000000000000000,1464842.949999999953434,1794831.099999999860302,1527009.329999999841675,11866642.359999999403954
20170110,1721462.439999999711290,1613597.209999999729916,2084957.830000000074506,1617841.000000000000000,1449049.899999999906868,1790730.760000000009313,1518790.569999999832362,11796432.709999999031425
20170111,1735987.219999999972060,1631702.399999999906868,2100637.779999999795109,1664011.000000000000000,1453562.199999999953434,1794166.179999999701977,1527943.279999999795109,11908013.059999998658895
20170112,1739431.239999999757856,1621104.239999999990687,2080374.459999999729916,1679671.000000000000000,1455124.149999999906868,1799374.720000000204891,1519911.309999999823049,11894994.120000001043081
20170113,1742725.519999999785796,1624636.959999999729916,2091471.040000000037253,1683181.000000000000000,1458074.500000000000000,1793168.800000000046566,1516175.509999999776483,11909436.330000000074506
20170117,1741228.119999999878928,1625078.549999999813735,2015483.589999999850988,1659961.000000000000000,1478900.499999999767169,1780535.319999999832362,1517856.619999999878928,11819046.699999999254942
20170118,1736136.959999999962747,1623312.189999999711290,2024891.559999999823049,1651591.000000000000000,1474041.100000000093132,1748175.880000000121072,1524020.689999999944121,11782172.379999998956919
20170119,1730746.319999999832362,1614921.979999999981374,2009452.839999999850988,1628911.000000000000000,1470049.449999999953434,1758814.599999999860302,1526635.750000000000000,11739534.939999999478459
20170120,1731045.799999999813735,1631260.809999999823049,2018378.350000000093132,1688311.000000000000000,1517775.699999999953434,1758371.319999999832362,1528690.439999999944121,11873836.419999998062849
20170123,1727901.260000000009313,1623753.780000000027940,2019343.269999999785796,1668871.000000000000000,1509271.749999999767169,1762914.939999999944121,1534480.929999999934807,11846539.929999997839332
20170124,1742575.780000000027940,1661288.929999999701977,2043707.500000000000000,1652671.000000000000000,1524891.250000000000000,1777986.459999999962747,1554654.250000000000000,11957778.170000001788139
20170125,1755603.159999999916181,1669237.549999999813735,2075308.629999999888241,1649161.000000000000000,1512742.750000000000000,1786962.880000000121072,1567169.179999999934807,12016188.150000000372529
20170126,1745271.099999999860302,1658639.389999999897555,2092677.189999999944121,1652401.000000000000000,1503023.949999999953434,1803696.699999999953434,1554841.039999999804422,12010553.369999997317791
20170127,1703942.860000000102445,1677186.169999999692664,2097019.330000000074506,1667251.000000000000000,1505106.550000000046566,1806356.380000000121072,1564740.909999999683350,12021606.200000001117587
20170130,1674444.079999999841675,1652457.129999999888241,2075308.629999999888241,1658611.000000000000000,1505627.199999999953434,1796382.580000000074506,1563433.379999999888241,11926267.000000000000000
20170131,1667406.299999999813735,1625961.729999999981374,2041536.429999999934807,1673731.000000000000000,1520378.949999999953434,1796493.399999999906868,1544941.169999999692664,11870451.980000000447035
20170201,1662165.399999999906868,1612714.030000000027940,2049255.790000000037253,1676701.000000000000000,1515693.099999999860302,1803253.419999999925494,1539897.839999999850988,11859683.580000000074506
20170202,1680283.939999999711290,1619779.469999999739230,2040571.510000000009313,1732861.000000000232831,1523155.750000000000000,1781643.519999999785796,1537282.779999999795109,11915580.969999996945262
20170203,1700648.579999999841675,1612714.030000000027940,2103050.080000000074506,1735831.000000000232831,1517081.500000000000000,1793944.540000000037253,1607889.399999999906868,12071162.130000000819564
20170206,1691813.919999999925494,1601674.280000000027940,2093159.649999999906868,1753381.000000000000000,1516907.949999999953434,1778873.019999999785796,1603219.649999999906868,12039032.469999998807907
20170207,1668005.260000000009313,1605207.000000000000000,2091953.500000000000000,1733401.000000000000000,1527494.500000000000000,1779094.659999999916181,1602285.699999999953434,12007444.619999999180436
20170208,1670850.319999999832362,1606531.770000000018626,2073620.019999999785796,1736640.999999999767169,1533048.099999999860302,1776656.619999999878928,1589397.189999999944121,11986748.019999997690320
20170209,1681032.639999999897555,1565905.489999999990687,2103532.540000000037253,1738531.000000000000000,1538948.800000000046566,1778097.280000000027940,1598549.899999999906868,12004600.650000000372529
20170210,1692862.099999999860302,1560606.409999999916181,2098707.939999999944121,1732051.000000000232831,1526800.300000000046566,1781532.699999999953434,1604527.179999999934807,11997090.629999998956919
20170213,1705739.739999999757856,1580919.549999999813735,2126449.390000000130385,1748791.000000000000000,1532701.000000000000000,1795274.380000000121072,1614613.839999999850988,12104491.900000000372529
20170214,1684925.879999999888241,1586660.219999999739230,2160462.819999999832362,1772821.000000000000000,1524891.250000000000000,1807907.859999999869615,1622272.229999999748543,12159944.259999999776483
20170215,1685674.579999999841675,1591959.299999999813735,2185309.510000000242144,1759321.000000000000000,1581468.550000000046566,1820762.979999999981374,1635160.739999999990687,12259659.660000002011657
20170216,1657373.719999999972060,1607856.539999999804422,2183862.129999999888241,1762021.000000000232831,1575741.400000000139698,1813670.500000000000000,1632732.469999999739230,12233260.759999997913837
20170217,1652132.819999999832362,1610947.669999999692664,2176625.229999999981374,1765531.000000000000000,1580947.899999999906868,1746846.040000000037253,1633666.419999999692664,12166700.080000000074506
20170221,1672946.679999999934807,1612714.030000000027940,2195441.169999999925494,1767961.000000000000000,1591013.800000000046566,1779537.939999999944121,1642258.759999999776483,12261876.379999998956919
20170222,1652881.519999999785796,1592842.479999999981374,2196647.319999999832362,1762831.000000000232831,1587022.149999999906868,1779537.939999999944121,1640017.279999999795109,12211782.689999999478459
20170223,1662464.879999999888241,1597699.969999999739230,2198335.929999999701977,1777950.999999999767169,1581642.099999999860302,1802034.399999999906868,1647115.300000000046566,12267246.580000000074506
20170224,1648988.280000000027940,1613155.619999999878928,2179037.529999999795109,1786321.000000000000000,1580253.699999999953434,1807132.119999999878928,1651785.050000000046566,12266676.299999998882413
20170227,1673395.899999999906868,1612272.439999999711290,2181449.830000000074506,1777950.999999999767169,1577476.899999999906868,1832842.359999999869615,1643753.079999999841675,12299144.509999999776483
20170228,1684626.399999999906868,1598583.149999999906868,2186033.200000000186265,1778491.000000000232831,1580600.799999999813735,1832842.359999999869615,1642632.339999999850988,12303812.250000000000000
20170301,1705290.519999999785796,1586660.219999999739230,2257919.739999999757856,1787670.999999999767169,1590840.250000000000000,1861212.280000000027940,1662245.289999999804422,12451842.299999997019768
20170302,1697504.039999999804422,1585777.039999999804422,2222700.160000000149012,1784161.000000000000000,1577824.000000000000000,1854230.619999999878928,1653652.949999999953434,12375852.809999998658895
20170303,1700349.099999999860302,1585335.449999999720603,2238621.339999999850988,1797661.000000000000000,1570708.449999999953434,1864093.599999999860302,1658509.489999999990687,12415281.429999999701977
20170306,1694658.979999999981374,1570762.979999999981374,2217393.100000000093132,1794691.000000000000000,1568452.300000000046566,1869634.599999999860302,1661311.339999999850988,12376907.300000000745058
20170307,1674294.339999999850988,1580919.549999999813735,2205090.369999999646097,1780920.999999999767169,1567063.900000000139698,1865201.800000000046566,1663552.819999999832362,12337046.780000001192093
20170308,1641351.539999999804422,1572970.929999999701977,2200265.770000000018626,1776601.000000000000000,1564460.649999999906868,1860879.819999999832362,1661684.919999999692664,12278217.630000000819564
20170309,1647790.360000000102445,1581802.729999999981374,2208950.049999999813735,1779031.000000000000000,1567931.649999999906868,1861988.019999999785796,1664486.769999999785796,12311983.579999998211861
20170310,1656325.539999999804422,1585777.039999999804422,2201954.379999999888241,1771200.999999999767169,1580600.799999999813735,1883819.559999999823049,1676067.750000000000000,12355749.069999998435378
20170313,1637458.299999999813735,1552657.789999999804422,2203884.219999999739230,1732051.000000000232831,1584766.000000000000000,1886368.419999999925494,1683165.769999999785796,12280354.499999998137355
20170314,1607660.039999999804422,1553540.969999999739230,2207502.669999999925494,1733401.000000000000000,1579385.949999999953434,1873624.119999999878928,1672705.529999999795109,12227823.279999997466803
20170315,1630420.519999999785796,1550008.250000000000000,2212809.729999999981374,1746901.000000000000000,1586327.949999999953434,1903767.159999999916181,1679616.759999999776483,12309854.369999999180436
20170316,1615147.039999999804422,1551774.609999999869615,2210638.660000000149012,1732861.000000000232831,1587022.149999999906868,1898447.800000000046566,1681858.239999999990687,12277752.500000000000000
20170317,1612451.719999999972060,1557515.280000000027940,2187480.580000000074506,1725301.000000000000000,1579385.949999999953434,1880716.599999999860302,1685594.039999999804422,12228448.169999998062849
20170320,1612152.239999999757856,1564580.719999999739230,2171800.629999999888241,1730971.000000000000000,1583204.050000000046566,1861877.199999999953434,1665794.300000000046566,12190383.140000000596046
20170321,1617842.360000000102445,1547358.709999999729916,2108115.910000000149012,1725571.000000000000000,1582683.399999999906868,1858552.599999999860302,1644873.819999999832362,12085000.800000000745058
20170322,1623083.260000000009313,1561931.179999999701977,2111493.129999999888241,1714501.000000000000000,1579212.399999999906868,1851127.659999999916181,1653466.159999999683350,12094817.789999999105930
20170323,1615296.780000000027940,1557515.280000000027940,2108115.910000000149012,1708561.000000000000000,1575394.299999999813735,1831844.979999999981374,1659817.019999999785796,12056548.269999999552965
20170324,1617093.659999999916181,1552657.789999999804422,2105703.609999999869615,1705861.000000000000000,1571923.299999999813735,1828631.199999999953434,1665981.089999999850988,12047854.649999998509884
20170327,1591488.119999999878928,1562814.359999999869615,2104497.459999999962747,1706131.000000000000000,1570534.899999999906868,1824198.399999999906868,1661498.129999999888241,12021165.370000001043081
20170328,1604814.979999999981374,1572087.750000000000000,2137304.739999999757856,1710181.000000000000000,1575220.750000000000000,1832509.899999999906868,1664673.559999999823049,12096795.679999999701977
20170329,1618291.579999999841675,1570762.979999999981374,2129344.149999999906868,1718281.000000000000000,1572443.949999999953434,1811343.280000000027940,1665794.300000000046566,12086264.239999998360872
20170330,1613949.119999999878928,1578711.599999999860302,2147677.629999999888241,1713151.000000000000000,1565501.949999999953434,1828520.380000000121072,1662618.869999999878928,12110133.549999998882413
20170331,1607809.780000000027940,1592842.479999999981374,2118971.260000000242144,1715581.000000000000000,1559427.699999999953434,1817660.019999999785796,1660003.809999999823049,12072299.049999998882413
