代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13422152.160000000149012
真實報酬,3422152.160000000149012

夏普值報酬,0.333515216000000
夏普值風險,0.087458212057965
夏普值,3.813423670026037

預期報酬,14617.002568484173025
風險,161114.791172152588842
趨勢值,0.090724150539759
找到最佳解世代,2306
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),BA[2](4),CAT[3](5),CVX[5](21),MSFT[18](1),V[25](7),
20170320,2466143.380000000353903,2302156.159999999683350,2097332.560000000055879,1711657.339999999850988,2114842.959999999962747,2003940.699999999953434,12696077.099999997764826
20170321,2437901.920000000391155,2258138.970000000204891,2032040.080000000074506,1717698.580000000074506,2091391.839999999618158,1978774.299999999813735,12515949.690000001341105
20170322,2465446.060000000055879,2271228.629999999888241,2032040.080000000074506,1723262.879999999888241,2118100.059999999590218,1989110.499999999767169,12599192.209999997168779
20170323,2456729.560000000055879,2274821.870000000111759,2027643.280000000027940,1714995.919999999925494,2112888.700000000186265,1996750.299999999813735,12583833.629999998956919
20170324,2451848.319999999832362,2256342.350000000093132,2025884.560000000055879,1716903.679999999934807,2116471.509999999776483,2004165.399999999906868,12571619.820000000298023
20170327,2456032.240000000223517,2259935.589999999850988,2011814.800000000046566,1689718.099999999860302,2120380.029999999329448,1998772.599999999860302,12536657.359999999403954
20170328,2506936.600000000558794,2276105.170000000391155,2043471.760000000009313,1703867.319999999832362,2126568.520000000484288,2002592.500000000000000,12659545.870000001043081
20170329,2512515.160000000149012,2279570.080000000074506,2041493.199999999953434,1718175.519999999785796,2132431.299999999813735,2003940.699999999953434,12688129.960000000894070
20170330,2509202.890000000130385,2284061.629999999888241,2049407.439999999944121,1713565.099999999860302,2140248.339999999850988,2000120.800000000046566,12696610.199999999254942
20170331,2504495.979999999981374,2269688.670000000391155,2039294.800000000046566,1707046.919999999925494,2145133.990000000223517,1996975.000000000000000,12662639.360000001266599
20170403,2505193.299999999813735,2266993.740000000223517,2028522.639999999897555,1713883.059999999823049,2135036.979999999515712,2007985.299999999813735,12657619.019999999552965
20170404,2523846.610000000335276,2293301.389999999664724,2069412.879999999888241,1727555.339999999850988,2140899.759999999776483,1994952.699999999953434,12749972.679999997839332
20170405,2510771.860000000335276,2272511.930000000167638,2071831.119999999878928,1727237.379999999888241,2135362.690000000409782,2000570.199999999953434,12718289.179999999701977
20170406,2504495.979999999981374,2276233.500000000000000,2106565.839999999850988,1737571.080000000074506,2140899.759999999776483,2001918.399999999906868,12767688.560000000521541
20170407,2498917.420000000391155,2295226.339999999850988,2099970.639999999664724,1730734.939999999944121,2139271.209999999962747,1994053.899999999674037,12758178.450000001117587
20170410,2495953.810000000055879,2278671.770000000018626,2135584.720000000204891,1739796.800000000046566,2134385.559999999590218,1996750.299999999813735,12781146.960000000894070
20170411,2469106.990000000223517,2291633.100000000093132,2134705.359999999869615,1732483.719999999972060,2132757.009999999776483,1996525.599999999627471,12757215.779999999329448
20170412,2472070.600000000558794,2259293.940000000409782,2085461.199999999953434,1732483.719999999972060,2124614.259999999776483,1992705.699999999953434,12666633.419999999925494
20170413,2458995.850000000558794,2253775.750000000000000,2046769.359999999869615,1686856.459999999729916,2115494.379999999888241,1996975.000000000000000,12558870.800000000745058
20170417,2472593.590000000316650,2297407.950000000186265,2069632.719999999972060,1687969.319999999832362,2132757.009999999776483,2018096.799999999813735,12678461.390000000596046
20170418,2461610.799999999813735,2282393.339999999850988,2075128.719999999972060,1680179.300000000046566,2129825.620000000111759,2016299.199999999953434,12645440.980000000447035
20170419,2452545.640000000130385,2289451.490000000223517,2054903.439999999944121,1657127.199999999953434,2118425.770000000484288,2016748.599999999860302,12589206.139999998733401
20170420,2483227.720000000204891,2301001.190000000409782,2081064.399999999906868,1667460.899999999906868,2133408.429999999701977,2048206.600000000093132,12714373.240000000223517
20170421,2480264.110000000335276,2314860.830000000074506,2073589.839999999850988,1667619.879999999888241,2162722.330000000074506,2048206.600000000093132,12747267.589999999850988
20170424,2504147.319999999832362,2336420.270000000018626,2128330.000000000000000,1684153.800000000046566,2199527.559999999590218,2063935.599999999627471,12916518.549999998882413
20170425,2519662.690000000409782,2355028.120000000111759,2295628.240000000223517,1696872.199999999953434,2212230.250000000000000,2069777.799999999813735,13149203.300000000745058
20170426,2504844.640000000130385,2331928.720000000204891,2300904.399999999906868,1686538.500000000000000,2209298.860000000335276,2063261.499999999767169,13096780.620000001043081
20170427,2506762.270000000018626,2351306.549999999813735,2257376.080000000074506,1676840.719999999972060,2223630.099999999627471,2058318.099999999627471,13074237.820000000298023
20170428,2504321.650000000372529,2371967.680000000167638,2248142.800000000279397,1696395.260000000009313,2229818.589999999850988,2049779.499999999767169,13100429.480000000447035
20170501,2555400.340000000316650,2340655.159999999683350,2242426.959999999962747,1683994.819999999832362,2260761.040000000037253,2050678.300000000046566,13133920.620000001043081
20170502,2571613.029999999795109,2354129.810000000055879,2231654.800000000279397,1675091.939999999944121,2257178.229999999515712,2079439.899999999906868,13169111.709999999031425
20170503,2563768.180000000167638,2353488.159999999683350,2232314.320000000298023,1696713.219999999972060,2250012.610000000335276,2077192.899999999906868,13173493.390000002458692
20170504,2554528.690000000409782,2349381.600000000093132,2185048.720000000204891,1666348.040000000037253,2241218.440000000409782,2081237.500000000000000,13077766.990000002086163
20170505,2596890.880000000353903,2374277.620000000111759,2190544.720000000204891,1681928.080000000074506,2247406.929999999701977,2069328.399999999906868,13160380.630000000819564
20170508,2667494.529999999795109,2387238.950000000186265,2184609.040000000037253,1696077.300000000046566,2245452.669999999925494,2065508.500000000000000,13246384.990000000223517
20170509,2684578.870000000577420,2398660.319999999832362,2182850.320000000298023,1670640.500000000000000,2248709.770000000484288,2067306.099999999860302,13252749.880000000819564
20170510,2671852.779999999795109,2350793.229999999981374,2206373.199999999720603,1693215.659999999916181,2257503.940000000409782,2072923.599999999860302,13252666.409999998286366
20170511,2683881.549999999813735,2360546.310000000055879,2220223.119999999646097,1688605.239999999757856,2229818.589999999850988,2069553.099999999627471,13252631.909999998286366
20170512,2721362.500000000000000,2351691.540000000037253,2214067.599999999627471,1684630.739999999757856,2227212.910000000149012,2083709.199999999953434,13282678.489999998360872
20170515,2714389.299999999813735,2340655.159999999683350,2251660.240000000223517,1698779.959999999729916,2228841.459999999962747,2094944.199999999953434,13329274.319999996572733
20170516,2710379.709999999962747,2344633.389999999664724,2249901.520000000018626,1705139.159999999916181,2260761.040000000037253,2093146.600000000093132,13363965.419999999925494
20170517,2619379.450000000186265,2294328.030000000260770,2201536.720000000204891,1664599.260000000009313,2197899.009999999776483,2061913.300000000046566,13039659.770000001415610
20170518,2659301.020000000018626,2276618.490000000223517,2203295.439999999944121,1672071.319999999832362,2205390.339999999850988,2060789.799999999813735,13077470.410000000149012
20170519,2668366.180000000167638,2319737.370000000111759,2251880.080000000074506,1693533.619999999878928,2204738.919999999925494,2078091.699999999953434,13216351.869999999180436
20170522,2684578.870000000577420,2357081.399999999906868,2248802.320000000298023,1687174.419999999925494,2229492.879999999888241,2096741.799999999813735,13303875.690000001341105
20170523,2681266.600000000558794,2354771.459999999962747,2278260.879999999888241,1689559.119999999878928,2236984.209999999962747,2109100.299999999813735,13349946.570000000298023
20170524,2673247.420000000391155,2377357.540000000037253,2285295.760000000242144,1688764.219999999972060,2239915.599999999627471,2130446.799999999813735,13395031.339999999850988
20170525,2682486.910000000149012,2400713.600000000093132,2308818.639999999664724,1671117.439999999944121,2267600.950000000186265,2135614.900000000372529,13466356.439999999478459
20170526,2677954.330000000540167,2394553.760000000242144,2322888.399999999906868,1664917.219999999972060,2278675.089999999850988,2127301.000000000000000,13466293.800000000745058
20170530,2679000.310000000055879,2398275.330000000074506,2318711.439999999944121,1654424.540000000037253,2293332.040000000037253,2128424.500000000000000,13472172.160000000149012
20170531,2663136.279999999795109,2407900.080000000074506,2317832.080000000074506,1645203.699999999953434,2274766.570000000298023,2139884.200000000186265,13448726.910000000149012
20170601,2670458.140000000130385,2403921.850000000093132,2322668.560000000055879,1657763.119999999878928,2283235.029999999329448,2143704.099999999627471,13481754.799999998882413
20170602,2710031.049999999813735,2441265.879999999888241,2329263.760000000242144,1639321.439999999944121,2337302.889999999664724,2160556.599999999627471,13617745.619999999180436
20170605,2683532.890000000130385,2424839.639999999664724,2312775.760000000242144,1640593.279999999795109,2354239.809999999590218,2169544.599999999627471,13585529.979999998584390
20170606,2692598.049999999813735,2396607.040000000037253,2298486.159999999683350,1656173.319999999832362,2362056.849999999627471,2152467.400000000372529,13558392.820000000298023
20170607,2708636.410000000149012,2413931.589999999850988,2275622.800000000279397,1649814.119999999878928,2357822.620000000111759,2159208.400000000372529,13565039.939999999478459
20170608,2702011.870000000577420,2437415.979999999981374,2308598.800000000279397,1653470.659999999916181,2343491.379999999888241,2159208.400000000372529,13604201.090000001713634
20170609,2597239.540000000037253,2438699.280000000260770,2328604.240000000223517,1691625.860000000102445,2290400.649999999441206,2124829.299999999813735,13471402.870000001043081
20170612,2535178.060000000055879,2438314.290000000037253,2331901.839999999850988,1717698.580000000074506,2272812.309999999590218,2101011.099999999627471,13396920.179999997839332
20170613,2555574.670000000391155,2452302.260000000242144,2324866.959999999962747,1719129.399999999906868,2301149.080000000074506,2136513.700000000186265,13489540.070000000298023
20170614,2530645.479999999981374,2468856.830000000074506,2302003.599999999627471,1694805.459999999729916,2288772.099999999627471,2141906.500000000000000,13426993.969999998807907
20170615,2515478.770000000018626,2508254.139999999664724,2339156.560000000055879,1690513.000000000000000,2276720.830000000074506,2116066.000000000000000,13446193.300000000745058
20170616,2480264.110000000335276,2520958.810000000055879,2365537.359999999869615,1722626.959999999729916,2279977.929999999701977,2116066.000000000000000,13485435.169999998062849
20170619,2551216.420000000391155,2554837.930000000167638,2363119.119999999646097,1708477.739999999757856,2308314.700000000186265,2129997.400000000372529,13615967.310000000521541
20170620,2528030.529999999795109,2545213.180000000167638,2353226.320000000298023,1692897.699999999953434,2277046.540000000037253,2120784.700000000186265,13517202.969999998807907
20170621,2543022.910000000149012,2555992.899999999906868,2274743.439999999944121,1661260.679999999934807,2288772.099999999627471,2124379.900000000372529,13448175.929999999701977
20170622,2538838.990000000223517,2559457.810000000055879,2282877.520000000018626,1660624.760000000009313,2288446.389999999664724,2111122.599999999627471,13441372.069999998435378
20170623,2550170.440000000409782,2595261.879999999888241,2288813.199999999720603,1669368.659999999916181,2319388.839999999850988,2147748.700000000186265,13570755.719999998807907
20170626,2542151.260000000242144,2566387.629999999888241,2291890.959999999962747,1655696.379999999888241,2297240.559999999590218,2139659.500000000000000,13493030.289999999105930
20170627,2505716.290000000037253,2552399.659999999683350,2284856.080000000074506,1654583.519999999785796,2254246.839999999850988,2132469.099999999627471,13384275.489999998360872
20170628,2542325.590000000316650,2561767.750000000000000,2340255.760000000242144,1657922.099999999860302,2273463.729999999515712,2162354.200000000186265,13538093.129999998956919
20170629,2504844.640000000130385,2534048.470000000204891,2322448.720000000204891,1655378.419999999925494,2230795.719999999739230,2121683.500000000000000,13369203.469999998807907
20170630,2510771.860000000335276,2537770.040000000037253,2362459.599999999627471,1658717.000000000000000,2245126.959999999962747,2107302.700000000186265,13422152.160000000149012
