代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13091616.730000000447035
真實報酬,3091616.730000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13561.777904153450436
風險,185836.107451836607652
起點值,0.072977087661332
找到最佳解世代,2000
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](3),HD[9](1),TRV[22](4),V[25](2),VZ[26](11),
FS( 196 ),2673444.500000000000000,2835296.000000000000000,2352940.640000000130385,2667953.399999999906868,2304550.950000000186265,12834185.490000002086163
FS( 197 ),2628026.150000000372529,2800650.200000000186265,2344803.679999999701977,2699797.689999999944121,2275354.330000000540167,12748632.050000000745058
FS( 198 ),2641077.400000000372529,2826753.200000000186265,2329885.919999999925494,2701351.070000000298023,2246157.709999999962747,12745225.300000000745058
FS( 199 ),2651518.400000000372529,2878484.599999999627471,2366163.200000000186265,2716108.179999999701977,2240117.030000000260770,12852391.410000000149012
FS( 200 ),2675010.650000000372529,2888451.200000000186265,2389896.000000000000000,2740962.259999999776483,2218974.650000000372529,12913294.759999999776483
FS( 201 ),2729825.900000000372529,2913605.000000000000000,2420070.560000000055879,2768146.410000000149012,2251191.610000000335276,13082839.480000000447035
FS( 202 ),2736612.549999999813735,2933063.599999999627471,2506864.799999999813735,2754942.679999999701977,2304550.950000000186265,13236034.579999998211861
FS( 203 ),2709465.950000000186265,2937335.000000000000000,2492286.080000000074506,2717661.560000000055879,2273340.770000000018626,13130089.359999999403954
FS( 204 ),2703723.400000000372529,2944454.000000000000000,2508560.000000000000000,2699021.000000000000000,2253708.560000000521541,13109466.960000000894070
FS( 205 ),2649952.250000000000000,2930690.599999999627471,2487878.560000000055879,2653196.289999999571592,2218471.260000000242144,12940188.959999999031425
FS( 206 ),2644209.700000000186265,2908384.400000000372529,2481097.760000000242144,2650089.529999999795109,2226525.500000000000000,12910306.890000000596046
FS( 207 ),2623849.750000000000000,2870416.399999999441206,2445159.520000000018626,2671060.160000000149012,2227532.280000000260770,12838018.109999999403954
FS( 208 ),2614452.849999999627471,2849534.000000000000000,2426173.280000000260770,2685817.270000000018626,2251695.000000000000000,12827672.400000000372529
FS( 209 ),2564336.049999999813735,2913130.400000000372529,2405152.799999999813735,2694360.859999999869615,2247164.490000000223517,12824144.599999999627471
FS( 210 ),2598791.349999999627471,2954895.200000000186265,2381080.959999999962747,2793777.179999999701977,2272333.990000000223517,13000878.679999999701977
FS( 211 ),2602967.750000000000000,2943504.799999999813735,2360399.520000000018626,2784456.899999999906868,2241123.810000000521541,12932452.780000001192093
FS( 212 ),2626982.049999999813735,2960590.400000000372529,2343108.479999999981374,2747952.470000000204891,2225015.330000000540167,12903648.730000000447035
FS( 213 ),2634812.799999999813735,2971980.799999999813735,2379046.720000000204891,2793777.179999999701977,2230049.229999999981374,13009666.730000000447035
FS( 214 ),2614452.849999999627471,2942081.000000000000000,2329546.879999999888241,2768146.410000000149012,2174172.939999999944121,12828400.080000000074506
FS( 215 ),2612364.650000000372529,2888451.200000000186265,2339379.040000000037253,2758826.130000000353903,2144976.320000000298023,12743997.340000001713634
FS( 216 ),2456793.750000000000000,2893197.200000000186265,2338700.959999999962747,2775136.619999999646097,2146486.490000000223517,12610315.019999999552965
FS( 217 ),2477153.700000000186265,2902689.199999999254942,2320053.760000000242144,2781350.140000000130385,2142459.370000000577420,12623706.170000001788139
FS( 218 ),2503778.250000000000000,3008050.400000000372529,2313272.959999999962747,2765816.339999999850988,2141452.590000000316650,12732370.539999999105930
FS( 219 ),2462536.299999999813735,2917401.799999999813735,2307848.319999999832362,2717661.560000000055879,2126350.890000000130385,12531798.870000001043081
FS( 220 ),2478197.799999999813735,2906960.599999999627471,2316324.319999999832362,2718438.250000000000000,2099167.830000000540167,12519088.799999998882413
FS( 221 ),2475587.549999999813735,2948250.799999999813735,2327512.640000000130385,2771253.169999999925494,2084066.130000000121072,12606670.290000000968575
FS( 222 ),2501168.000000000000000,3005677.399999999441206,2357687.200000000186265,2827951.539999999571592,2155044.120000000577420,12847528.259999999776483
FS( 223 ),2528836.649999999441206,3028932.799999999813735,2361077.600000000093132,2841931.960000000428408,2155547.510000000242144,12916326.519999999552965
FS( 224 ),2541365.849999999627471,3041747.000000000000000,2380741.919999999925494,2848145.479999999981374,2172662.770000000018626,12984663.019999999552965
FS( 225 ),2571644.750000000000000,3076392.799999999813735,2416341.120000000111759,2876106.320000000298023,2202866.170000000391155,13143351.160000000149012
FS( 226 ),2559637.599999999627471,3069273.799999999813735,2402440.479999999981374,2859019.140000000130385,2179710.229999999981374,13070081.250000000000000
FS( 227 ),2537189.450000000186265,3045069.199999999254942,2401423.359999999869615,2850475.550000000279397,2163601.750000000000000,12997759.310000000521541
FS( 228 ),2568512.450000000186265,3076867.399999999441206,2405830.879999999888241,2859795.830000000074506,2192798.370000000577420,13103804.929999999701977
FS( 229 ),2595659.049999999813735,3048866.000000000000000,2413289.760000000242144,2877659.699999999720603,2215450.920000000391155,13150925.429999999701977
FS( 230 ),2592526.750000000000000,3088257.799999999813735,2401084.319999999832362,2907173.919999999925494,2220988.209999999962747,13210031.000000000000000
FS( 231 ),2573210.900000000372529,3083986.400000000372529,2405491.840000000316650,2886203.289999999571592,2219981.430000000167638,13168873.859999999403954
FS( 232 ),2573732.950000000186265,3048866.000000000000000,2391252.160000000149012,2866009.350000000093132,2198335.660000000149012,13078196.120000001043081
FS( 233 ),2588872.400000000372529,3038424.799999999813735,2508899.040000000037253,2875329.630000000353903,2219981.430000000167638,13231507.300000000745058
FS( 234 ),2561203.750000000000000,3053612.000000000000000,2480080.640000000130385,2883096.529999999795109,2237600.080000000540167,13215593.000000000000000
FS( 235 ),2570600.650000000372529,3058832.599999999627471,2488217.600000000093132,2884649.910000000149012,2235586.520000000018626,13237887.279999999329448
FS( 236 ),2573732.950000000186265,2991914.000000000000000,2486522.400000000372529,2886979.979999999981374,2216457.700000000186265,13155607.030000001192093
FS( 237 ),2583129.849999999627471,2984795.000000000000000,2489573.760000000242144,2891640.119999999646097,2237096.689999999944121,13186235.419999998062849
FS( 238 ),2591482.650000000372529,2986693.399999999441206,2485505.280000000260770,2871446.179999999701977,2254715.340000000316650,13189842.849999999627471
FS( 239 ),2563814.000000000000000,2962014.199999999254942,2482792.959999999962747,2858242.449999999720603,2241123.810000000521541,13107987.419999999925494
FS( 240 ),2540843.799999999813735,2945403.200000000186265,2487539.520000000018626,2851252.240000000223517,2225518.720000000204891,13050557.480000000447035
FS( 241 ),2572688.849999999627471,3004728.200000000186265,2515340.799999999813735,2895523.570000000298023,2220988.209999999962747,13209269.629999998956919
FS( 242 ),2621761.549999999813735,2990015.599999999627471,2520087.359999999869615,2926591.169999999925494,2208403.459999999962747,13266859.140000000596046
FS( 243 ),2607144.149999999441206,2931639.799999999813735,2489573.760000000242144,2896300.259999999776483,2183737.350000000558794,13108395.320000000298023
FS( 244 ),2658827.099999999627471,2941131.799999999813735,2502796.319999999832362,2960765.529999999795109,2205383.120000000577420,13268903.869999999180436
FS( 245 ),2610276.450000000186265,2910282.799999999813735,2468892.319999999832362,2927367.859999999869615,2193301.760000000242144,13110121.189999999478459
FS( 246 ),2604011.849999999627471,2922147.799999999813735,2453296.479999999981374,2935911.449999999720603,2191791.590000000316650,13107159.169999998062849
FS( 247 ),2602445.700000000186265,2901740.000000000000000,2450245.120000000111759,2907950.609999999869615,2187261.080000000540167,13049642.509999999776483
FS( 248 ),2585740.099999999627471,2898417.799999999813735,2434988.319999999832362,2900960.399999999906868,2188771.250000000000000,13008877.869999999180436
FS( 249 ),2565902.200000000186265,2878484.599999999627471,2415324.000000000000000,2886203.289999999571592,2159574.630000000353903,12905488.720000000670552
FS( 250 ),2599313.400000000372529,2935436.599999999627471,2434988.319999999832362,2943678.350000000093132,2178200.060000000521541,13091616.730000000447035
