代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13636028.030000001192093
真實報酬,3636028.030000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14878.474280684589758
風險,161145.038315688347211
起點值,0.092329707673265
找到最佳解世代,1975
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AAPL[0](5),BA[2](12),CAT[3](9),DD[7](1),MRK[17](7),MSFT[18](15),
FS( 171 ),2168139.309999999590218,2079119.650000000139698,1941686.199999999953434,2559763.599999999627471,2046625.360000000102445,1848559.750000000000000,12643897.869999999180436
FS( 172 ),2161582.239999999757856,2080249.660000000381842,1966468.239999999757856,2552921.320000000298023,2060298.139999999897555,1850499.949999999953434,12672023.550000000745058
FS( 173 ),2160441.879999999888241,2075083.900000000139698,1955386.839999999850988,2539236.759999999776483,2067854.150000000139698,1838373.699999999953434,12636381.229999998584390
FS( 174 ),2162437.509999999776483,2048447.950000000186265,1949342.439999999944121,2555442.159999999217689,2062457.000000000000000,1834493.300000000046566,12612624.359999999403954
FS( 175 ),2183249.079999999608845,2028753.490000000223517,1951155.760000000009313,2526272.440000000409782,2039788.969999999972060,1844194.300000000046566,12573418.040000000968575
FS( 176 ),2185529.799999999813735,2008736.170000000391155,1950752.799999999813735,2514388.479999999515712,2044106.690000000176951,1856320.550000000046566,12559838.490000000223517
FS( 177 ),2161297.149999999906868,1967732.950000000186265,1926373.719999999972060,2499623.559999999590218,2007406.070000000065193,1837888.649999999906868,12400326.099999999627471
FS( 178 ),2137064.499999999534339,1987427.410000000149012,1921941.159999999916181,2494942.000000000000000,2004167.780000000260770,1828672.700000000186265,12374219.550000000745058
FS( 179 ),2145332.109999999869615,2024717.740000000223517,1927582.600000000093132,2512948.000000000000000,2024317.139999999897555,1845649.449999999720603,12480551.039999999105930
FS( 180 ),2164148.049999999813735,2002440.400000000372529,1942492.119999999878928,2547159.400000000372529,2027915.239999999990687,1918406.949999999720603,12602566.160000000149012
FS( 181 ),2163577.870000000111759,1973383.000000000000000,1935037.360000000102445,2544278.440000000409782,2014602.270000000251457,1904825.550000000046566,12535708.490000002086163
FS( 182 ),2153314.629999999888241,1997436.070000000298023,1938462.519999999785796,2576689.240000000223517,2000209.870000000111759,1956240.849999999860302,12622357.180000001564622
FS( 183 ),2170134.939999999944121,1978871.620000000111759,1962237.159999999916181,2574888.639999999664724,1966747.540000000037253,1947994.999999999767169,12600878.899999998509884
FS( 184 ),2196078.129999999888241,1992431.740000000223517,1951357.239999999757856,2572367.799999999813735,1935084.260000000009313,1964486.699999999953434,12611809.869999999180436
FS( 185 ),2219740.599999999627471,2002117.540000000037253,1986414.760000000009313,2597216.080000000074506,1985817.469999999972060,1956725.900000000139698,12748036.350000001490116
FS( 186 ),2198358.849999999627471,1994207.470000000204891,1970497.839999999850988,2534915.320000000298023,2015681.700000000186265,1930048.149999999906868,12643713.330000000074506
FS( 187 ),2188950.879999999888241,1989041.709999999962747,1983594.040000000037253,2461090.719999999739230,2005247.209999999962747,1909191.000000000000000,12537119.559999998658895
FS( 188 ),2186385.069999999832362,2009220.459999999962747,2002533.159999999916181,2471894.320000000298023,2014242.459999999962747,1954785.699999999720603,12639065.169999998062849
FS( 189 ),2186099.979999999981374,2025847.750000000000000,2002130.199999999953434,2492061.040000000037253,2042667.450000000186265,1988254.150000000139698,12737064.570000002160668
FS( 190 ),2206056.279999999795109,2069756.710000000195578,2010995.320000000065193,2549320.120000000111759,2028275.050000000046566,2009111.300000000046566,12873518.780000001192093
FS( 191 ),2209762.450000000186265,2071371.010000000242144,2067812.679999999934807,2559043.360000000335276,2031513.340000000083819,2005715.949999999953434,12945222.789999999105930
FS( 192 ),2194367.589999999850988,2078958.220000000204891,2066200.839999999850988,2541757.599999999627471,2022518.090000000083819,1989224.249999999767169,12893030.589999999850988
FS( 193 ),2165858.589999999850988,2056358.020000000018626,2058544.600000000093132,2497102.719999999739230,2019279.800000000046566,1933928.549999999813735,12731076.280000001192093
FS( 194 ),2131932.879999999888241,2027462.050000000279397,2037187.719999999972060,2458209.759999999776483,1985817.469999999972060,1930533.199999999720603,12571147.080000000074506
FS( 195 ),2131932.879999999888241,2004216.130000000353903,2062977.159999999916181,2465412.159999999217689,1980420.320000000065193,1931503.300000000046566,12576465.949999999254942
FS( 196 ),2159871.700000000186265,2048286.520000000018626,2075065.959999999729916,2511507.519999999552965,2054541.180000000167638,1963031.549999999813735,12812308.429999999701977
FS( 197 ),2131932.879999999888241,1995983.200000000186265,2060357.920000000158325,2446325.799999999813735,2009564.930000000167638,1909191.000000000000000,12553359.730000000447035
FS( 198 ),2116252.930000000167638,1970638.689999999944121,2044038.040000000037253,2407792.959999999962747,2012083.600000000093132,1901915.250000000000000,12452725.470000000670552
FS( 199 ),2124805.629999999888241,1989687.430000000167638,2070834.879999999888241,2435882.320000000298023,1999490.250000000000000,1900460.099999999860302,12521164.609999999403954
FS( 200 ),2109410.769999999552965,2006153.290000000037253,2065193.439999999944121,2439483.519999999552965,2016761.129999999888241,1928107.949999999953434,12565114.099999997764826
FS( 201 ),2113687.120000000111759,2034726.400000000372529,2073857.080000000074506,2487379.479999999515712,2024317.139999999897555,1959636.199999999953434,12693607.419999999925494
FS( 202 ),2137919.769999999552965,2065075.240000000223517,2071842.279999999795109,2498543.200000000186265,2031873.150000000139698,1940719.249999999767169,12745976.889999998733401
FS( 203 ),2163292.779999999795109,2063460.939999999944121,2068014.159999999916181,2499983.679999999701977,2059938.330000000074506,1937323.899999999906868,12792017.789999999105930
FS( 204 ),2165573.499999999534339,2059102.330000000074506,2089169.559999999823049,2510067.040000000037253,2078648.450000000186265,1939749.150000000139698,12842314.029999999329448
FS( 205 ),2137064.499999999534339,2108822.770000000018626,2082923.679999999934807,2532034.360000000335276,2068933.580000000074506,1925197.649999999906868,12854980.539999999105930
FS( 206 ),2312394.849999999627471,2096392.660000000381842,2121204.879999999888241,2525192.080000000074506,2070013.010000000009313,1933443.500000000000000,13058644.979999998584390
FS( 207 ),2329500.249999999534339,2077021.060000000055879,2109317.560000000055879,2487379.479999999515712,2059578.520000000251457,1935868.749999999767169,12998669.619999997317791
FS( 208 ),2419588.689999999944121,2050869.400000000372529,2100653.919999999925494,2425438.839999999850988,2039429.160000000149012,1982433.549999999813735,13018417.559999998658895
FS( 209 ),2412461.439999999944121,2072339.590000000316650,2121607.839999999850988,2497462.839999999850988,2112830.399999999906868,1964971.749999999767169,13181677.860000001266599
FS( 210 ),2403338.559999999590218,2082832.540000000270084,2123622.640000000130385,2559043.360000000335276,2107073.439999999944121,1959636.199999999953434,13235550.740000000223517
FS( 211 ),2409040.359999999869615,2073792.460000000195578,2116973.799999999813735,2498183.080000000074506,2145213.299999999813735,1940234.199999999953434,13183441.199999999254942
FS( 212 ),2413316.709999999962747,2097684.100000000093132,2115764.919999999925494,2497102.719999999739230,2094839.900000000139698,1925197.649999999906868,13143910.000000000000000
FS( 213 ),2447527.509999999776483,2130292.960000000428408,2105892.399999999906868,2531314.120000000111759,2109592.110000000335276,1912586.349999999860302,13237209.450000001117587
FS( 214 ),2421014.140000000130385,2112051.370000000577420,2092796.199999999953434,2518709.919999999925494,2054900.989999999990687,1894639.500000000000000,13094116.120000001043081
FS( 215 ),2412461.439999999944121,2104302.729999999981374,2107907.200000000186265,2539596.879999999888241,2009205.120000000111759,1912101.300000000046566,13085578.670000001788139
FS( 216 ),2394785.859999999869615,2107854.189999999944121,2114354.560000000055879,2523751.599999999627471,1972864.310000000055879,1922772.399999999906868,13036386.919999999925494
FS( 217 ),2384807.709999999962747,2116409.979999999981374,2116772.319999999832362,2526992.679999999701977,1986537.090000000083819,1917921.899999999906868,13049445.679999999701977
FS( 218 ),2414457.069999999832362,2140624.479999999981374,2139741.040000000037253,2570567.200000000186265,1989415.570000000065193,1938779.049999999813735,13193588.410000000149012
FS( 219 ),2418163.239999999757856,2154346.029999999795109,2158881.640000000130385,2566966.000000000000000,2005966.830000000074506,1960606.300000000046566,13264934.040000000968575
FS( 220 ),2418733.419999999925494,2146920.250000000465661,2146389.879999999888241,2574528.519999999552965,2028275.050000000046566,1951875.400000000139698,13266726.520000001415610
FS( 221 ),2398206.939999999944121,2118185.710000000428408,2115361.959999999962747,2493141.400000000372529,2011004.170000000158325,1920832.199999999953434,13056736.380000000819564
FS( 222 ),2433558.099999999627471,2111728.510000000242144,2136315.879999999888241,2511867.639999999664724,2010284.550000000046566,1931988.349999999860302,13135747.029999999329448
FS( 223 ),2462352.189999999944121,2120445.729999999981374,2123421.160000000149012,2530233.759999999776483,2027555.430000000167638,1928107.949999999953434,13192120.219999998807907
FS( 224 ),2462922.370000000111759,2091872.620000000344589,2046254.320000000065193,2550760.599999999627471,2014962.080000000074506,1924712.599999999860302,13091488.589999999850988
FS( 225 ),2469479.439999999944121,2114149.960000000428408,2072849.679999999934807,2561204.080000000074506,2035831.060000000055879,1957210.949999999953434,13210729.169999999925494
FS( 226 ),2473185.609999999869615,2128355.800000000279397,2076879.279999999795109,2552921.320000000298023,2032592.770000000251457,1945084.699999999953434,13209023.479999998584390
FS( 227 ),2501124.430000000167638,2137557.310000000055879,2096019.879999999888241,2599016.679999999701977,2044106.690000000176951,1946054.799999999813735,13323883.789999999105930
FS( 228 ),2548164.279999999795109,2165968.989999999757856,2088968.080000000074506,2611981.000000000000000,2039788.969999999972060,1949450.149999999906868,13404325.470000000670552
FS( 229 ),2541322.120000000111759,2168551.870000000577420,2073454.119999999878928,2655195.400000000372529,2029354.479999999981374,1940719.249999999767169,13408601.240000002086163
FS( 230 ),2587791.789999999571592,2181627.699999999720603,2087356.239999999757856,2690847.280000000260770,2076129.780000000260770,1956725.900000000139698,13580482.689999999478459
FS( 231 ),2578098.729999999981374,2183403.430000000167638,2059753.479999999981374,2672841.280000000260770,2081886.739999999990687,1985828.899999999906868,13561816.560000002384186
FS( 232 ),2560423.149999999906868,2193896.380000000353903,2090579.920000000158325,2693008.000000000000000,2084405.410000000149012,1978553.149999999906868,13600870.009999999776483
FS( 233 ),2596629.579999999608845,2193573.520000000018626,2105287.959999999962747,2698049.679999999701977,2083685.790000000037253,1954300.649999999906868,13631531.179999997839332
FS( 234 ),2626278.939999999944121,2184694.870000000577420,2101661.319999999832362,2691567.519999999552965,2084405.410000000149012,1955755.800000000046566,13644367.860000001266599
FS( 235 ),2636542.180000000167638,2208747.939999999944121,2155053.520000000018626,2698769.919999999925494,2090522.180000000167638,1998925.250000000000000,13788564.990000000223517
FS( 236 ),2629129.839999999850988,2231832.430000000167638,2179634.080000000074506,2724698.559999999590218,2081526.930000000167638,2012021.599999999860302,13858847.439999999478459
FS( 237 ),2671323.160000000149012,2227150.960000000428408,2191118.439999999944121,2717496.159999999217689,2084765.219999999972060,2001835.550000000046566,13893693.490000000223517
FS( 238 ),2687003.109999999869615,2215689.430000000167638,2202401.319999999832362,2725778.919999999925494,2104554.770000000018626,1994074.750000000000000,13929506.299999998882413
FS( 239 ),2675884.599999999627471,2164838.979999999981374,2189909.560000000055879,2711014.000000000000000,2116068.689999999944121,1981948.500000000000000,13839668.330000000074506
FS( 240 ),2631125.470000000204891,2134005.850000000093132,2148807.640000000130385,2666719.240000000223517,2097718.379999999888241,1968367.099999999860302,13646747.680000001564622
FS( 241 ),2602331.379999999888241,2135620.149999999906868,2151225.399999999906868,2687246.080000000074506,2095559.520000000251457,1999895.349999999860302,13671881.879999998956919
FS( 242 ),2628559.660000000149012,2139655.899999999906868,2152031.319999999832362,2682204.400000000372529,2089442.750000000000000,2012991.699999999953434,13704889.730000000447035
FS( 243 ),2625138.579999999608845,2138203.029999999795109,2149210.600000000093132,2666719.240000000223517,2089082.940000000176951,2021722.599999999860302,13690080.989999998360872
FS( 244 ),2627989.479999999981374,2138687.319999999832362,2165530.479999999981374,2693368.120000000111759,2101676.290000000037253,2020267.449999999953434,13747523.139999996870756
FS( 245 ),2618866.599999999627471,2144175.939999999944121,2160896.439999999944121,2670320.440000000409782,2097718.379999999888241,2013476.749999999767169,13705458.549999997019768
FS( 246 ),2591783.049999999813735,2132552.979999999981374,2203811.679999999701977,2690847.280000000260770,2120026.600000000093132,2021722.599999999860302,13760748.189999997615814
FS( 247 ),2589502.329999999608845,2112374.229999999981374,2191722.879999999888241,2712454.479999999515712,2104914.580000000074506,2036759.150000000139698,13747731.649999998509884
FS( 248 ),2573822.379999999888241,2084931.130000000353903,2172179.319999999832362,2683284.759999999776483,2084045.600000000093132,2025117.949999999953434,13623385.139999998733401
FS( 249 ),2576103.099999999627471,2051192.260000000242144,2184872.560000000055879,2698049.679999999701977,2117867.740000000223517,2038699.350000000093132,13666788.689999999478459
FS( 250 ),2591497.959999999962747,2066689.540000000270084,2186484.399999999906868,2672841.280000000260770,2105994.010000000242144,2023662.799999999813735,13647173.989999998360872
FS( 251 ),2622287.680000000167638,2075083.900000000139698,2191722.879999999888241,2646912.639999999664724,2070013.010000000009313,2049370.449999999953434,13655394.559999998658895
FS( 252 ),2649371.229999999981374,2053936.570000000298023,2189506.600000000093132,2638990.000000000000000,2081526.930000000167638,2022692.700000000186265,13636028.030000001192093
