代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13051455.669999999925494
真實報酬,3051455.669999999925494

夏普值報酬,0.296445567000000
夏普值風險,0.092427982492654
夏普值,3.207314051494767

二次趨勢線,36.564477834179847 x^2 + 3976.501942306828823 x + 10000000.000000000000000
二次加權預期報酬,16286.542813147380002
風險,236596.620060001878301
二次加權趨勢值,0.068836751805740
一次趨勢線,10900.872780314675765 x + 10000000.000000000000000
一次預期報酬,10900.872780314675765
一次風險,352196.685739050852135
一次趨勢值,0.030951094151952
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,5
CSCO[4](4),INTC[11](3),MRK[17](25),NKE[19](7),V[25](1),
FS( 193 ),2778120.140000000130385,2841624.000000000000000,1669329.659999999683350,2453908.800000000279397,2554497.799999999813735,12297480.400000002235174
FS( 194 ),2786919.560000000055879,2809509.400000000372529,1678216.999999999767169,2489854.399999999906868,2562254.479999999981374,12326754.840000001713634
FS( 195 ),2851658.149999999906868,2889795.899999999906868,1689862.479999999748543,2535360.000000000000000,2610262.040000000037253,12576938.570000000298023
FS( 196 ),2862971.689999999944121,2852698.000000000465661,1696604.599999999860302,2555244.799999999813735,2604601.759999999776483,12572120.849999999627471
FS( 197 ),2838459.020000000018626,2867094.200000000186265,1696911.059999999823049,2530388.800000000279397,2582799.200000000186265,12515652.280000001192093
FS( 198 ),2846001.379999999888241,2871523.800000000279397,1679442.839999999618158,2531536.000000000000000,2569801.520000000018626,12498305.539999999105930
FS( 199 ),2849144.029999999795109,2817261.200000000186265,1693233.539999999804422,2538801.600000000093132,2587201.639999999664724,12485642.010000001639128
FS( 200 ),2829031.069999999832362,2833318.500000000000000,1706104.859999999869615,2520446.399999999906868,2610681.319999999832362,12499582.150000000372529
FS( 201 ),2782519.850000000093132,2814492.700000000186265,1674233.019999999785796,2512798.399999999906868,2583008.839999999850988,12367052.810000000521541
FS( 202 ),2788805.149999999906868,2854359.100000000093132,1674539.479999999748543,2554480.000000000000000,2618647.639999999664724,12490831.370000001043081
FS( 203 ),2785033.970000000204891,2854912.800000000279397,1676071.779999999795109,2537272.000000000000000,2583218.479999999981374,12436509.030000001192093
FS( 204 ),2707096.250000000000000,2814492.700000000186265,1658603.559999999823049,2463468.800000000279397,2515504.759999999776483,12159166.070000000298023
FS( 205 ),2666241.800000000279397,2733098.800000000279397,1636844.899999999674037,2471499.199999999720603,2452822.399999999906868,11960507.099999999627471
FS( 206 ),2769320.720000000204891,2905853.199999999720603,1656151.879999999888241,2520064.000000000000000,2529131.359999999869615,12380521.160000000149012
FS( 207 ),2682583.580000000074506,2834425.899999999906868,1647264.539999999804422,2530388.800000000279397,2461208.000000000000000,12155870.820000000298023
FS( 208 ),2618473.520000000018626,2746387.600000000093132,1688330.179999999934807,2502473.600000000093132,2452612.759999999776483,12008277.660000000149012
FS( 209 ),2695782.709999999962747,2883705.200000000186265,1669329.659999999683350,2540713.600000000093132,2507748.080000000074506,12297279.250000000000000
FS( 210 ),2577619.069999999832362,2708736.000000000000000,1632554.459999999962747,2451996.800000000279397,2481962.359999999869615,11852868.689999999478459
FS( 211 ),2600874.680000000167638,2754693.100000000093132,1657684.179999999934807,2550656.000000000000000,2498943.200000000186265,12062851.160000000149012
FS( 212 ),2589561.140000000130385,2767981.900000000372529,1671474.879999999888241,2616428.800000000279397,2511731.239999999757856,12157177.960000000894070
FS( 213 ),2628530.000000000000000,2789576.200000000186265,1671168.419999999925494,2661169.600000000093132,2540661.560000000055879,12291105.780000001192093
FS( 214 ),2560020.229999999981374,2701537.899999999906868,1635312.599999999860302,2583160.000000000000000,2467497.200000000186265,11947527.929999999701977
FS( 215 ),2587675.550000000279397,2743619.100000000093132,1721121.399999999674037,2569011.200000000186265,2490347.959999999962747,12111775.210000000894070
FS( 216 ),2671898.569999999832362,2838855.500000000465661,1731234.579999999841675,2562128.000000000000000,2530808.479999999981374,12334925.130000000819564
FS( 217 ),2666870.330000000074506,2829442.600000000093132,1722347.239999999990687,2555627.199999999720603,2511102.319999999832362,12285389.689999999478459
FS( 218 ),2724066.560000000055879,2919142.000000000000000,1738896.079999999841675,2591572.799999999813735,2538145.879999999888241,12511823.320000000298023
FS( 219 ),2702696.540000000037253,2871523.800000000279397,1752073.859999999869615,2571688.000000000000000,2531437.399999999906868,12429419.599999999627471
FS( 220 ),2721552.439999999944121,2901423.600000000093132,1797429.939999999711290,2564422.399999999906868,2555126.719999999739230,12539955.099999997764826
FS( 221 ),2802632.810000000055879,2964545.399999999906868,1816430.459999999962747,2581630.400000000372529,2595377.599999999627471,12760616.669999999925494
FS( 222 ),2805146.930000000167638,2968421.300000000279397,1805704.359999999869615,2531536.000000000000000,2595377.599999999627471,12706186.189999999478459
FS( 223 ),2800747.220000000204891,2891457.000000000000000,1797123.479999999748543,2513563.200000000186265,2598731.839999999850988,12601622.740000000223517
FS( 224 ),2771206.310000000055879,2853251.700000000186265,1802946.219999999739230,2527329.600000000093132,2603763.200000000186265,12558497.030000001192093
FS( 225 ),2781262.790000000037253,2829442.600000000093132,1846463.539999999804422,2557539.199999999720603,2609213.839999999850988,12623921.970000000670552
FS( 226 ),2749207.760000000242144,2848822.100000000093132,1841560.179999999934807,2560980.799999999813735,2542338.679999999701977,12542909.519999999552965
FS( 227 ),2747322.169999999925494,2844946.200000000186265,1827463.019999999785796,2549508.800000000279397,2541080.839999999850988,12510321.029999999329448
FS( 228 ),2778748.669999999925494,2937414.100000000093132,1820720.899999999674037,2602280.000000000000000,2664139.520000000018626,12803303.189999997615814
FS( 229 ),2810175.169999999925494,2919695.699999999720603,1822559.659999999683350,2660022.399999999906868,2641708.040000000037253,12854160.969999998807907
FS( 230 ),2783776.910000000149012,2858235.000000000000000,1804172.059999999823049,2615281.600000000093132,2659946.719999999739230,12721412.289999999105930
FS( 231 ),2817717.529999999795109,2952917.700000000186265,1776897.119999999646097,2604192.000000000000000,2673154.040000000037253,12824878.390000000596046
FS( 232 ),2756750.120000000111759,2896440.300000000279397,1756057.839999999618158,2610310.400000000372529,2649464.719999999739230,12669023.379999998956919
FS( 233 ),2793204.859999999869615,2894779.200000000186265,1763106.419999999925494,2558304.000000000000000,2666235.919999999925494,12675630.400000000372529
FS( 234 ),2847258.439999999944121,2922464.200000000186265,1769848.539999999804422,2604192.000000000000000,2686780.639999999664724,12830543.820000000298023
FS( 235 ),2874285.229999999981374,2952917.700000000186265,1758509.519999999785796,2651609.600000000093132,2709841.039999999571592,12947163.089999997988343
FS( 236 ),2873028.169999999925494,2969528.700000000186265,1739508.999999999767169,2617958.399999999906868,2723258.000000000000000,12923282.269999999552965
FS( 237 ),2893769.660000000149012,3008841.400000000372529,1775977.739999999990687,2598456.000000000000000,2742964.160000000149012,13020008.960000000894070
FS( 238 ),2910111.439999999944121,3044278.199999999720603,1779348.799999999813735,2597308.800000000279397,2742964.160000000149012,13074011.400000000372529
FS( 239 ),2886855.830000000074506,3027113.500000000000000,1829301.779999999795109,2616811.200000000186265,2763508.879999999888241,13123591.189999997615814
FS( 240 ),2872399.640000000130385,3039848.600000000093132,1828995.319999999832362,2632489.600000000093132,2750720.839999999850988,13124454.000000000000000
FS( 241 ),2858571.979999999981374,2985586.000000000000000,1814285.239999999990687,2657728.000000000000000,2748414.799999999813735,13064586.019999999552965
FS( 242 ),2838459.020000000018626,3025452.399999999906868,1831140.539999999804422,2728089.600000000093132,2744012.359999999403954,13167153.919999999925494
FS( 243 ),2731608.919999999925494,3034865.300000000279397,1810301.259999999776483,2712793.600000000093132,2723886.919999999925494,13013456.000000000000000
FS( 244 ),2715895.669999999925494,3034865.300000000279397,1812446.479999999748543,2727324.799999999813735,2723886.919999999925494,13014419.169999999925494
FS( 245 ),2749836.290000000037253,3007734.000000000000000,1794978.259999999776483,2729619.199999999720603,2739190.639999999664724,13021358.390000000596046
FS( 246 ),2743550.989999999757856,3014932.100000000093132,1791300.739999999990687,2726942.399999999906868,2740238.839999999850988,13016965.070000000298023
FS( 247 ),2745436.580000000074506,3057013.300000000279397,1813365.859999999869615,2728089.600000000093132,2764766.719999999739230,13108672.059999998658895
FS( 248 ),2738522.750000000000000,3031543.100000000093132,1812140.019999999785796,2760211.200000000186265,2764976.359999999403954,13107393.429999999701977
FS( 249 ),2719038.319999999832362,3069748.399999999906868,1810914.179999999934807,2762888.000000000000000,2752188.319999999832362,13114777.219999998807907
FS( 250 ),2700810.950000000186265,3063104.000000000000000,1789768.439999999711290,2712028.800000000279397,2718855.560000000055879,12984567.750000000000000
FS( 251 ),2693268.590000000316650,3083037.200000000186265,1830221.159999999683350,2762123.200000000186265,2738771.359999999403954,13107421.510000001639128
FS( 252 ),2684469.169999999925494,3056459.600000000093132,1824398.419999999925494,2745680.000000000000000,2740448.479999999981374,13051455.669999999925494
