代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14168481.519999999552965
真實報酬,4168481.519999999552965

夏普值報酬,0.408148152000000
夏普值風險,0.097707395569262
夏普值,4.177249323063532

二次趨勢線,17.372489018551011 x^2 + 11790.400154894581647 x + 10000000.000000000000000
二次加權預期報酬,17615.974805782028852
風險,156622.595762768498389
二次加權趨勢值,0.112474031732078
一次趨勢線,15067.272944361902773 x + 10000000.000000000000000
一次預期報酬,15067.272944361902773
一次風險,199132.042662181804189
一次趨勢值,0.075664733525196
找到最佳解世代,1882
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),CAT[3](5),DD[7](4),INTC[11](2),MRK[17](9),MSFT[18](6),
FS( 167 ),2017657.900000000139698,2122355.439999999478459,2168340.850000000558794,1997430.459999999962747,2104776.229999999515712,2091171.479999999981374,12501736.359999999403954
FS( 168 ),2021239.450000000186265,2121143.500000000000000,2167403.139999999664724,1994409.780000000027940,2055352.029999999795109,2074964.989999999757856,12434516.890000000596046
FS( 169 ),2049891.850000000093132,2111245.990000000223517,2197097.290000000037253,1976285.700000000186265,2069826.260000000009313,2061372.449999999953434,12465723.540000000968575
FS( 170 ),2027686.240000000223517,2098116.639999999664724,2186157.339999999850988,1978551.209999999962747,2016165.699999999953434,2042029.220000000204891,12348710.349999999627471
FS( 171 ),2020523.140000000363216,2113265.889999999664724,2204286.399999999441206,1991389.100000000093132,1971330.889999999897555,2060849.660000000149012,12361649.080000000074506
FS( 172 ),2005719.400000000139698,2119729.570000000298023,2190533.320000000298023,1989123.590000000083819,1935674.859999999869615,2072351.040000000037253,12313135.780000001192093
FS( 173 ),1997362.450000000186265,2122153.450000000186265,2193346.450000000186265,1986102.910000000149012,1949090.000000000000000,2067123.139999999897555,12315182.400000002235174
FS( 174 ),2022194.530000000027940,2145180.310000000521541,2231167.419999999925494,1991389.100000000093132,1951914.239999999757856,2089603.109999999869615,12431452.710000000894070
FS( 175 ),2025298.540000000037253,2164369.360000000335276,2228041.719999999739230,1997430.459999999962747,1968153.619999999878928,2113128.660000000149012,12496426.359999999403954
FS( 176 ),2025776.080000000307336,2151845.980000000447035,2234605.689999999478459,1988368.419999999925494,1990041.479999999748543,2103718.439999999944121,12494360.089999999850988
FS( 177 ),2008584.640000000363216,2120739.519999999552965,2163964.870000000111759,1964202.980000000214204,1973096.039999999804422,2070259.880000000121072,12300851.930000001564622
FS( 178 ),2038192.120000000111759,2141746.480000000447035,2180218.509999999776483,1949854.750000000000000,1972389.979999999748543,2082284.049999999813735,12364689.890000000596046
FS( 179 ),2062307.890000000363216,2128819.120000000111759,2196159.580000000074506,1966468.489999999990687,1989335.419999999925494,2078101.729999999981374,12421196.230000000447035
FS( 180 ),2062785.430000000167638,2051456.949999999953434,2213976.070000000298023,1966468.489999999990687,1976979.369999999878928,2074442.199999999953434,12346112.509999999776483
FS( 181 ),2068277.140000000363216,2078119.629999999888241,2223040.600000000558794,1978551.209999999962747,1997455.109999999869615,2109469.129999999888241,12454916.820000000298023
FS( 182 ),2071381.150000000139698,2082159.429999999934807,2215851.490000000223517,1974775.359999999869615,1994277.839999999850988,2096399.380000000121072,12434848.650000000372529
FS( 183 ),2094780.610000000335276,2101348.480000000447035,2255860.450000000186265,1985347.739999999990687,2005574.800000000046566,2097444.959999999962747,12540361.040000002831221
FS( 184 ),2134177.660000000149012,2094278.830000000074506,2267112.969999999739230,2017064.880000000121072,2001338.439999999711290,2101104.489999999757856,12615081.269999999552965
FS( 185 ),2128447.179999999701977,2078725.599999999860302,2304621.370000000111759,2029902.770000000018626,1991100.569999999832362,2091694.269999999785796,12624495.759999999776483
FS( 186 ),2167366.690000000409782,2092662.909999999916181,2335565.799999999813735,2035944.130000000121072,2036994.469999999972060,2108946.340000000316650,12777484.340000001713634
FS( 187 ),2159248.510000000707805,2064990.280000000027940,2319937.299999999813735,2063130.250000000000000,2042642.949999999953434,2140313.739999999757856,12790267.029999999329448
FS( 188 ),2144444.770000000484288,2095894.750000000000000,2337441.219999999739230,2058599.230000000214204,2045114.159999999916181,2132471.890000000130385,12813970.020000001415610
FS( 189 ),2174768.560000000521541,2110640.019999999552965,2341817.200000000186265,2088806.030000000027940,2044408.099999999860302,2106332.390000000130385,12866776.300000000745058
FS( 190 ),2199600.640000000596046,2107004.200000000186265,2336190.939999999478459,2084275.010000000242144,2045114.159999999916181,2107900.759999999776483,12880089.710000000894070
FS( 191 ),2208196.360000000335276,2160531.549999999813735,2342442.339999999850988,2088806.030000000027940,2051115.669999999925494,2154429.069999999832362,13005525.019999999552965
FS( 192 ),2201988.339999999850988,2185174.330000000074506,2364947.379999999888241,2127319.700000000186265,2042289.919999999925494,2168544.399999999906868,13090268.070000000298023
FS( 193 ),2237326.299999999813735,2196687.759999999776483,2358695.979999999515712,2107685.280000000260770,2045467.189999999711290,2157565.810000000055879,13103432.320000000298023
FS( 194 ),2250458.650000000372529,2207999.200000000186265,2365885.089999999850988,2132605.890000000130385,2064883.839999999850988,2149201.169999999925494,13171037.839999999850988
FS( 195 ),2241146.620000000111759,2195475.820000000298023,2353069.719999999739230,2109195.620000000111759,2076180.800000000046566,2136131.419999999925494,13111204.000000001862645
FS( 196 ),2203659.730000000447035,2154269.860000000335276,2314623.610000000335276,2111461.129999999888241,2058176.269999999785796,2121493.299999999813735,12963687.900000002235174
FS( 197 ),2179543.959999999962747,2156693.740000000223517,2332440.100000000558794,2255698.600000000093132,2056058.089999999850988,2155474.649999999906868,13135913.140000000596046
FS( 198 ),2201510.799999999813735,2157501.700000000186265,2328064.120000000111759,2266270.979999999981374,2050056.579999999841675,2169589.979999999981374,13172998.160000000149012
FS( 199 ),2198645.560000000521541,2154673.839999999850988,2314623.610000000335276,2261739.959999999962747,2049703.550000000046566,2179000.200000000186265,13158390.720000002533197
FS( 200 ),2201033.260000000707805,2171035.030000000260770,2337753.790000000037253,2260229.620000000111759,2062059.599999999860302,2177431.830000000074506,13209547.130000000819564
FS( 201 ),2193392.620000000111759,2166389.259999999776483,2317749.310000000521541,2272312.339999999850988,2058176.269999999785796,2170112.770000000018626,13178136.570000000298023
FS( 202 ),2170709.469999999739230,2209413.129999999888241,2335565.799999999813735,2280619.209999999962747,2080064.129999999888241,2179000.200000000186265,13255375.939999997615814
FS( 203 ),2168799.310000000521541,2197293.730000000447035,2354320.000000000000000,2282884.720000000204891,2065236.869999999878928,2195206.689999999944121,13263745.320000000298023
FS( 204 ),2155666.959999999962747,2177700.700000000186265,2329001.830000000074506,2303274.310000000055879,2044761.129999999888241,2182659.729999999981374,13193068.660000000149012
FS( 205 ),2157577.120000000111759,2190426.070000000298023,2341817.200000000186265,2331970.770000000018626,2077945.949999999953434,2197297.850000000093132,13297038.959999999031425
FS( 206 ),2170470.700000000186265,2192041.990000000223517,2319937.299999999813735,2324419.070000000298023,2066295.959999999962747,2181091.359999999869615,13254260.379999998956919
FS( 207 ),2196257.860000000335276,2197293.730000000447035,2297432.259999999776483,2335746.620000000111759,2030992.959999999962747,2208799.229999999981374,13266526.660000000149012
FS( 208 ),2218941.010000000707805,2195071.839999999850988,2290555.719999999739230,2333481.109999999869615,2042289.919999999925494,2180045.780000000260770,13260389.379999998956919
FS( 209 ),2233028.440000000409782,2205171.339999999850988,2294306.560000000521541,2339522.470000000204891,2065589.899999999906868,2188933.209999999962747,13326555.920000001788139
FS( 210 ),2232073.360000000335276,2213048.950000000186265,2293368.850000000558794,2339522.470000000204891,2084653.519999999785796,2190501.580000000074506,13353172.730000000447035
FS( 211 ),2245205.709999999962747,2243751.429999999701977,2316811.600000000558794,2351605.189999999944121,2089948.969999999972060,2185273.679999999701977,13432600.580000000074506
FS( 212 ),2291527.089999999850988,2225168.349999999627471,2280553.479999999515712,2343298.320000000298023,2065942.929999999934807,2195206.689999999944121,13401700.859999997541308
FS( 213 ),2276723.349999999627471,2211029.049999999813735,2269613.530000000260770,2325174.240000000223517,2053586.879999999888241,2184228.100000000093132,13320359.150000000372529
FS( 214 ),2277678.429999999701977,2224764.370000000111759,2278990.629999999888241,2332725.939999999944121,2067002.019999999785796,2178477.410000000149012,13359642.799999998882413
FS( 215 ),2269321.480000000447035,2209009.150000000372529,2275552.360000000335276,2360667.229999999981374,2068061.109999999869615,2179522.989999999757856,13362138.320000000298023
FS( 216 ),2273619.339999999850988,2221128.549999999813735,2296807.120000000111759,2359912.060000000055879,2063118.689999999711290,2200434.590000000316650,13415024.349999999627471
FS( 217 ),2302988.049999999813735,2223754.419999999925494,2292431.139999999664724,2378036.140000000130385,2053939.909999999916181,2203048.540000000037253,13454202.199999999254942
FS( 218 ),2276007.040000000037253,2218906.660000000149012,2294306.560000000521541,2394649.879999999888241,2044408.099999999860302,2219255.030000000260770,13447537.269999999552965
FS( 219 ),2263113.459999999962747,2250215.110000000335276,2317749.310000000521541,2616669.859999999869615,2052880.819999999832362,2304469.799999999813735,13805102.359999999403954
FS( 220 ),2222761.330000000074506,2203151.439999999478459,2298995.110000000335276,2544928.710000000428408,2033464.169999999925494,2327995.350000000093132,13631300.109999999403954
FS( 221 ),2254756.510000000707805,2225370.339999999850988,2300870.530000000260770,2544928.710000000428408,2059588.389999999897555,2336359.989999999757856,13721878.470000002533197
FS( 222 ),2243056.780000000260770,2226582.280000000260770,2308372.209999999962747,2572114.830000000074506,2047585.369999999878928,2344201.840000000316650,13741917.310000000521541
FS( 223 ),2261680.839999999850988,2223148.450000000186265,2328064.120000000111759,2627242.240000000223517,2062765.659999999916181,2343679.049999999813735,13846584.359999999403954
FS( 224 ),2320657.030000000260770,2189214.129999999888241,2398704.939999999478459,2605342.310000000055879,2051468.699999999953434,2345770.209999999962747,13911161.320000000298023
FS( 225 ),2316836.709999999962747,2121749.469999999739230,2396516.950000000186265,2586463.060000000055879,2054999.000000000000000,2321199.080000000074506,13797768.269999999552965
FS( 226 ),2332117.990000000223517,2117911.660000000149012,2390890.689999999478459,2586463.060000000055879,2052880.819999999832362,2326426.979999999981374,13806695.200000001117587
FS( 227 ),2364351.940000000409782,2103772.360000000335276,2390265.549999999813735,2584952.719999999739230,2046526.279999999795109,2298719.109999999869615,13788591.959999999031425
FS( 228 ),2349070.660000000149012,2114679.820000000298023,2379325.600000000558794,2581932.040000000037253,2068061.109999999869615,2294536.790000000037253,13787610.019999999552965
FS( 229 ),2343578.950000000186265,2088219.129999999888241,2336190.939999999478459,2594014.760000000242144,2050409.609999999869615,2278330.299999999813735,13690747.689999997615814
FS( 230 ),2282692.599999999627471,2035095.760000000009313,2273364.370000000111759,2559276.939999999944121,2003103.589999999850988,2256373.119999999646097,13409910.379999998956919
FS( 231 ),2295347.410000000149012,2030449.989999999990687,2268988.389999999664724,2547949.390000000130385,2005221.769999999785796,2240689.419999999925494,13388650.369999999180436
FS( 232 ),2282453.830000000074506,2056506.699999999953434,2300557.959999999962747,2571359.659999999683350,2014400.550000000046566,2267351.709999999962747,13492634.410000000149012
FS( 233 ),2271231.640000000596046,2050245.010000000009313,2274614.649999999441206,2478473.750000000000000,1978038.459999999962747,2252190.799999999813735,13304798.310000002384186
FS( 234 ),2267411.320000000298023,2050043.020000000018626,2292118.570000000298023,2480739.260000000242144,1974508.159999999916181,2234415.939999999944121,13299240.269999999552965
FS( 235 ),2255950.360000000335276,2059132.570000000065193,2284304.320000000298023,2467901.370000000111759,1964270.289999999804422,2260032.649999999906868,13291595.560000000521541
FS( 236 ),2262158.379999999888241,2086199.229999999981374,2327126.410000000149012,2461860.010000000242144,1996396.019999999785796,2258464.280000000260770,13392208.329999998211861
FS( 237 ),2292004.629999999888241,2110842.009999999776483,2305871.649999999441206,2493577.150000000372529,2000279.349999999860302,2258464.280000000260770,13461043.070000000298023
FS( 238 ),2291527.089999999850988,2107408.179999999701977,2305871.649999999441206,2501884.020000000018626,2013341.459999999962747,2275193.560000000055879,13495229.959999999031425
FS( 239 ),2321850.879999999888241,2124173.349999999627471,2336816.080000000074506,2575135.510000000242144,2042289.919999999925494,2304469.799999999813735,13704739.539999999105930
FS( 240 ),2328058.900000000372529,2134272.849999999627471,2320562.439999999478459,2563052.790000000037253,2075121.709999999962747,2314402.810000000055879,13735475.500000001862645
FS( 241 ),2339519.860000000335276,2135888.769999999552965,2315561.320000000298023,2580421.700000000186265,2069120.199999999953434,2341587.890000000130385,13782103.740000000223517
FS( 242 ),2367694.719999999739230,2160935.530000000260770,2354007.429999999701977,2598545.779999999795109,2062412.629999999888241,2358317.169999999925494,13901917.259999999776483
FS( 243 ),2400406.209999999962747,2167399.209999999962747,2362759.389999999664724,2593259.590000000316650,2079711.099999999860302,2369818.549999999813735,13973358.050000000745058
FS( 244 ),2401361.290000000037253,2175478.810000000521541,2372449.060000000521541,2605342.310000000055879,2099833.809999999590218,2349952.530000000260770,14004421.810000002384186
FS( 245 ),2401600.060000000521541,2180932.540000000037253,2362446.820000000298023,2654428.359999999869615,2077592.919999999925494,2364067.859999999869615,14041072.560000000521541
FS( 246 ),2419269.040000000037253,2167601.200000000186265,2364009.669999999925494,2638569.790000000037253,2088889.879999999888241,2360408.330000000074506,14038751.909999998286366
FS( 247 ),2424521.980000000447035,2180932.540000000037253,2364947.379999999888241,2628752.580000000074506,2108659.559999999590218,2361453.910000000149012,14069271.949999999254942
FS( 248 ),2409001.929999999701977,2182750.450000000186265,2363697.100000000558794,2627997.409999999683350,2125251.969999999739230,2353089.270000000018626,14061792.129999998956919
FS( 249 ),2438609.410000000149012,2192647.959999999962747,2387764.990000000223517,2627242.240000000223517,2128076.209999999962747,2345770.209999999962747,14120115.020000003278255
FS( 250 ),2441474.650000000372529,2194667.860000000335276,2387764.990000000223517,2616669.859999999869615,2118191.370000000111759,2346293.000000000000000,14105065.730000000447035
FS( 251 ),2447443.900000000372529,2203151.439999999478459,2383701.580000000074506,2637059.450000000186265,2122074.700000000186265,2375046.450000000186265,14168481.519999999552965
