代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14453527.100000001490116
真實報酬,4453527.100000001490116

夏普值報酬,0.436652710000000
夏普值風險,0.111567643131781
夏普值,3.913793441744014

二次趨勢線,10.133484152634082 x^2 + 15832.086943582013191 x + 10000000.000000000000000
二次加權預期報酬,19257.204587172345782
風險,191207.104314097901806
二次加權趨勢值,0.100713855043473
一次趨勢線,17758.708122920976166 x + 10000000.000000000000000
一次預期報酬,17758.708122920976166
一次風險,204624.623162250529276
一次趨勢值,0.086786760305185
找到最佳解世代,1724
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](18),CAT[3](2),CVX[5](4),IBM[10](3),KO[14](12),MCD[15](24),PFE[20](5),UNH[23](1),
FS( 132 ),1435309.950000000186265,1881193.770000000018626,1468904.059999999823049,1457594.450000000186265,1559448.199999999953434,1499011.919999999925494,1401766.159999999683350,1608435.229999999981374,12311663.740000002086163
FS( 133 ),1428293.050000000279397,1905446.119999999878928,1492246.909999999916181,1447843.040000000037253,1562859.439999999944121,1513327.280000000027940,1398430.639999999897555,1586006.070000000065193,12334452.550000000745058
FS( 134 ),1455403.800000000279397,1890051.150000000139698,1489480.349999999860302,1457493.919999999925494,1569194.600000000093132,1483189.679999999934807,1394261.239999999757856,1589025.380000000121072,12328100.120000001043081
FS( 135 ),1461144.900000000372529,1891105.600000000093132,1498298.760000000009313,1450657.880000000121072,1579915.640000000130385,1461905.000000000000000,1397596.760000000009313,1580830.109999999869615,12321454.650000000372529
FS( 136 ),1475497.650000000139698,1896799.629999999888241,1504869.339999999850988,1455885.439999999944121,1575529.759999999776483,1460963.200000000186265,1419277.639999999897555,1581692.770000000018626,12370515.429999999701977
FS( 137 ),1479006.100000000093132,1932440.039999999804422,1528039.280000000027940,1450456.820000000065193,1579915.640000000130385,1452487.000000000000000,1433453.600000000093132,1591613.359999999869615,12447411.839999999850988
FS( 138 ),1473583.950000000186265,1942140.979999999981374,1528212.189999999711290,1465938.439999999944121,1557011.599999999860302,1452487.000000000000000,1426782.559999999823049,1574360.159999999916181,12420516.880000000819564
FS( 139 ),1471032.350000000093132,1963862.650000000139698,1521814.520000000018626,1454880.139999999897555,1577479.039999999804422,1450038.320000000065193,1424280.919999999692664,1529070.510000000009313,12392458.449999999254942
FS( 140 ),1421595.100000000093132,1965549.770000000018626,1539970.069999999832362,1453171.130000000121072,1592098.640000000130385,1444952.599999999860302,1435955.239999999757856,1535971.789999999804422,12389264.339999997988343
FS( 141 ),1403733.900000000139698,1952685.479999999981374,1530114.199999999720603,1457694.979999999981374,1600870.399999999906868,1446836.200000000186265,1420111.520000000018626,1511817.309999999823049,12323863.990000000223517
FS( 142 ),1355572.450000000186265,1967658.669999999925494,1535474.409999999916181,1452769.009999999776483,1591611.319999999832362,1448908.160000000149012,1431785.840000000083819,1517424.599999999860302,12301204.459999999031425
FS( 143 ),1378855.800000000046566,1995707.039999999804422,1542909.540000000037253,1465134.200000000186265,1595509.880000000121072,1447778.000000000000000,1449297.319999999832362,1523894.549999999813735,12399086.330000001937151
FS( 144 ),1365459.900000000372529,1994441.699999999720603,1554840.329999999841675,1467245.329999999841675,1598433.799999999813735,1450603.400000000139698,1464307.159999999683350,1545892.380000000121072,12441224.000000000000000
FS( 145 ),1364184.100000000325963,1991911.020000000018626,1567981.489999999990687,1466642.149999999906868,1597946.479999999981374,1449661.599999999860302,1468476.559999999823049,1542873.070000000065193,12449676.470000000670552
FS( 146 ),1373114.700000000186265,1983897.199999999720603,1558298.530000000027940,1461113.000000000000000,1585276.159999999916181,1439678.520000000251457,1458469.999999999767169,1532952.479999999981374,12392800.589999999850988
FS( 147 ),1364822.000000000232831,1975883.379999999888241,1576799.899999999906868,1464832.610000000102445,1592585.959999999962747,1439678.520000000251457,1466808.799999999813735,1540716.419999999925494,12422127.589999997988343
FS( 148 ),1367054.650000000139698,1977781.389999999897555,1579912.280000000027940,1472975.540000000037253,1595022.559999999823049,1450226.679999999934807,1467642.679999999934807,1548911.689999999711290,12459527.469999998807907
FS( 149 ),1355891.400000000139698,1979679.400000000139698,1583889.209999999729916,1474483.489999999757856,1595997.199999999953434,1445894.400000000139698,1458469.999999999767169,1550205.679999999701977,12444510.779999999329448
FS( 150 ),1368968.350000000325963,1975250.709999999962747,1577837.359999999869615,1475388.259999999776483,1602819.679999999934807,1445894.400000000139698,1460137.760000000009313,1557538.289999999804422,12463834.809999998658895
FS( 151 ),1384277.950000000186265,1985584.320000000065193,1589768.149999999906868,1482626.419999999925494,1589174.719999999972060,1442880.639999999897555,1474313.719999999972060,1601533.949999999953434,12550159.869999999180436
FS( 152 ),1401820.200000000186265,1976305.159999999916181,1583889.209999999729916,1484234.899999999906868,1556524.280000000027940,1399746.200000000186265,1500163.999999999767169,1616199.169999999925494,12518883.120000001043081
FS( 153 ),1436585.750000000232831,1993387.250000000000000,1581122.649999999906868,1478303.630000000121072,1547265.199999999953434,1406338.800000000046566,1510170.559999999823049,1621375.130000000121072,12574548.970000002533197
FS( 154 ),1426698.300000000046566,1972720.030000000027940,1568154.399999999906868,1494488.959999999962747,1536056.839999999850988,1397862.599999999860302,1516007.719999999972060,1655018.869999999878928,12567007.720000000670552
FS( 155 ),1414897.150000000139698,1976726.939999999944121,1576799.899999999906868,1487150.270000000018626,1533132.919999999925494,1400876.360000000102445,1529349.799999999813735,1658469.510000000009313,12577402.849999999627471
FS( 156 ),1418086.650000000139698,1969556.679999999934807,1563312.919999999925494,1484234.899999999906868,1536544.159999999916181,1385619.200000000186265,1522678.760000000009313,1658469.510000000009313,12538502.780000001192093
FS( 157 ),1436585.750000000232831,1981366.520000000018626,1587866.139999999897555,1480615.820000000065193,1527772.399999999906868,1392023.440000000176951,1519343.239999999757856,1685643.299999999813735,12611216.609999999403954
FS( 158 ),1435309.950000000186265,1971665.579999999841675,1598586.559999999823049,1498912.280000000027940,1536056.839999999850988,1386372.639999999897555,1531851.439999999944121,1676154.039999999804422,12634909.329999998211861
FS( 159 ),1437223.650000000372529,1985373.429999999934807,1593917.989999999990687,1496097.439999999944121,1544828.599999999860302,1368855.160000000149012,1519343.239999999757856,1708072.459999999962747,12653711.969999998807907
FS( 160 ),1475178.700000000186265,1982631.860000000102445,1605157.139999999897555,1507959.979999999981374,1538493.439999999944121,1395037.200000000186265,1529349.799999999813735,1758538.070000000065193,12792346.190000001341105
FS( 161 ),1479006.100000000093132,2029449.439999999944121,1614148.459999999729916,1514494.429999999934807,1546777.879999999888241,1406715.520000000251457,1532685.319999999832362,1763282.699999999953434,12886559.849999999627471
FS( 162 ),1442964.750000000232831,2014898.030000000027940,1607577.879999999888241,1565161.550000000046566,1545315.919999999925494,1419335.639999999897555,1527682.039999999804422,1749480.140000000130385,12872415.949999999254942
FS( 163 ),1443921.600000000325963,1974196.260000000009313,1603082.219999999739230,1566267.380000000121072,1533620.239999999990687,1415756.800000000046566,1521010.999999999767169,1738696.890000000130385,12796552.390000000596046
FS( 164 ),1467204.950000000186265,1956059.719999999972060,1621583.589999999850988,1563251.479999999981374,1529721.679999999934807,1412931.400000000139698,1531017.559999999823049,1743010.189999999711290,12824780.570000000298023
FS( 165 ),1460507.000000000232831,1994441.699999999720603,1627116.709999999729916,1604770.369999999878928,1541417.359999999869615,1419900.719999999972060,1538522.479999999748543,1717130.390000000130385,12903806.730000002309680
FS( 166 ),1428930.950000000186265,1990645.679999999934807,1626770.889999999897555,1622966.300000000046566,1534107.560000000055879,1421784.320000000065193,1540190.239999999757856,1752068.119999999878928,12917464.059999998658895
FS( 167 ),1418086.650000000139698,2019326.719999999972060,1636453.849999999860302,1618945.099999999860302,1534107.560000000055879,1415945.160000000149012,1531017.559999999823049,1736108.909999999916181,12909991.509999999776483
FS( 168 ),1420638.250000000232831,2037885.039999999804422,1638355.859999999869615,1619246.689999999944121,1527772.399999999906868,1400499.639999999897555,1541024.119999999878928,1824100.229999999981374,13009522.230000000447035
FS( 169 ),1398949.650000000139698,2017850.490000000223517,1614494.280000000027940,1600548.110000000102445,1516076.719999999972060,1380345.120000000111759,1513506.079999999841675,1765439.349999999860302,12807209.800000000745058
FS( 170 ),1383640.050000000279397,2045898.860000000102445,1641468.239999999990687,1628595.979999999981374,1531670.959999999962747,1387691.160000000149012,1519343.239999999757856,1770615.309999999823049,12908923.800000000745058
FS( 171 ),1390656.950000000186265,2066987.860000000102445,1663773.629999999888241,1644278.659999999916181,1536544.159999999916181,1383923.959999999962747,1602731.239999999757856,1814610.969999999972060,13103507.430000001564622
FS( 172 ),1394484.350000000093132,2089763.979999999981374,1668269.290000000037253,1641664.880000000121072,1531670.959999999962747,1387126.080000000074506,1581050.359999999869615,1809435.010000000009313,13103464.909999998286366
FS( 173 ),1388424.300000000279397,2086389.740000000223517,1682620.819999999832362,1643977.070000000065193,1524848.479999999981374,1390704.919999999925494,1598561.840000000083819,1856449.979999999981374,13171977.150000000372529
FS( 174 ),1397673.850000000093132,2100308.480000000447035,1679162.619999999878928,1648701.979999999981374,1524361.159999999916181,1394848.840000000083819,1609402.280000000027940,1832726.830000000074506,13187186.039999999105930
FS( 175 ),1429568.850000000093132,2118866.799999999813735,1688672.669999999925494,1656945.439999999944121,1523386.520000000018626,1383547.239999999990687,1587721.399999999906868,1803396.390000000130385,13192105.310000000521541
FS( 176 ),1463377.550000000279397,2121819.259999999776483,1690055.949999999720603,1669310.630000000121072,1532158.280000000027940,1419524.000000000000000,1597727.959999999962747,1810297.669999999925494,13304271.299999998882413
FS( 177 ),1458274.350000000093132,2104526.280000000260770,1664119.449999999720603,1655236.429999999934807,1538980.759999999776483,1430260.520000000251457,1588555.280000000027940,1814610.969999999972060,13254564.039999999105930
FS( 178 ),1485385.100000000093132,2121608.370000000111759,1672073.309999999823049,1649606.750000000000000,1548239.839999999850988,1427058.400000000139698,1586887.520000000018626,1830138.849999999860302,13320998.140000000596046
FS( 179 ),1491126.200000000186265,2183610.030000000260770,1667750.559999999823049,1647194.030000000027940,1549214.479999999981374,1434216.080000000074506,1570209.919999999692664,1827982.199999999953434,13371303.500000000000000
FS( 180 ),1483790.350000000325963,2177705.110000000335276,1676396.059999999823049,1640860.639999999897555,1538493.439999999944121,1436099.679999999934807,1588555.280000000027940,1831432.839999999850988,13373333.399999998509884
FS( 181 ),1473265.000000000000000,2172221.969999999739230,1665848.549999999813735,1637040.500000000000000,1539955.399999999906868,1434404.440000000176951,1588555.280000000027940,1812885.649999999906868,13324176.789999999105930
FS( 182 ),1494634.650000000139698,2183820.919999999925494,1671381.669999999925494,1642670.179999999934807,1544828.599999999860302,1431955.760000000009313,1607734.520000000018626,1833158.159999999916181,13410184.459999999031425
FS( 183 ),1460188.050000000279397,2179814.009999999776483,1680200.079999999841675,1651114.700000000186265,1573093.159999999916181,1431202.320000000065193,1615239.439999999944121,1837040.130000000121072,13427891.890000000596046
FS( 184 ),1452214.300000000279397,2232536.509999999776483,1707001.129999999888241,1657146.500000000000000,1573093.159999999916181,1434027.719999999972060,1600229.600000000093132,1847823.380000000121072,13504072.300000000745058
FS( 185 ),1412664.500000000232831,2151343.860000000335276,1734666.729999999748543,1628093.329999999841675,1553600.359999999869615,1425928.239999999990687,1575213.199999999953434,1852999.339999999850988,13334509.559999998658895
FS( 186 ),1385553.750000000000000,2109376.750000000000000,1768384.179999999701977,1610299.520000000018626,1557498.919999999925494,1416321.879999999888241,1564372.760000000009313,1850842.689999999711290,13262650.449999999254942
FS( 187 ),1389381.150000000372529,2120975.700000000186265,1764234.339999999850988,1616230.790000000037253,1556524.280000000027940,1416698.599999999860302,1576047.079999999841675,1843941.409999999916181,13284033.349999999627471
FS( 188 ),1388424.300000000279397,2151132.969999999739230,1765444.709999999729916,1631410.820000000065193,1567245.319999999832362,1402194.879999999888241,1572711.559999999823049,1834020.820000000065193,13312585.380000000819564
FS( 189 ),1389700.100000000093132,2170745.740000000223517,1793974.859999999869615,1627389.619999999878928,1557498.919999999925494,1425551.520000000251457,1604398.999999999767169,1836608.799999999813735,13405868.559999998658895
FS( 190 ),1376304.200000000186265,2106002.509999999776483,1779277.510000000009313,1608188.389999999897555,1581864.919999999925494,1410671.080000000074506,1596060.199999999953434,1831001.510000000009313,13289370.319999998435378
FS( 191 ),1372157.850000000325963,2129411.299999999813735,1789133.379999999888241,1610098.459999999962747,1570169.239999999990687,1406903.879999999888241,1600229.600000000093132,1878879.140000000130385,13356982.849999999627471
FS( 192 ),1412983.450000000186265,2198583.219999999739230,1801582.899999999906868,1643474.419999999925494,1597459.159999999916181,1436099.679999999934807,1648594.639999999897555,1931932.729999999981374,13670710.200000001117587
FS( 193 ),1394484.350000000093132,2173065.530000000260770,1793974.859999999869615,1626886.970000000204891,1588687.399999999906868,1432144.120000000111759,1639421.959999999962747,1917267.510000000009313,13565932.700000001117587
FS( 194 ),1394165.400000000139698,2153874.540000000037253,1781179.520000000018626,1607786.270000000018626,1589174.719999999972060,1437041.480000000214204,1635252.559999999823049,1878879.140000000130385,13477353.630000002682209
FS( 195 ),1442964.750000000232831,2196052.540000000037253,1794320.679999999701977,1631410.820000000065193,1599408.439999999944121,1422914.480000000214204,1641089.719999999972060,1890525.049999999813735,13618686.480000000447035
FS( 196 ),1436904.700000000186265,2158725.009999999776483,1766136.349999999860302,1667400.560000000055879,1598921.120000000111759,1427435.120000000111759,1639421.959999999962747,1918992.830000000074506,13613937.650000000372529
FS( 197 ),1404052.850000000325963,2075001.679999999934807,1713225.889999999897555,1628797.040000000037253,1591124.000000000000000,1444387.520000000251457,1614405.559999999823049,1888799.729999999981374,13359794.270000001415610
FS( 198 ),1412345.550000000279397,2109376.750000000000000,1727923.239999999990687,1632918.770000000018626,1579428.319999999832362,1445329.320000000065193,1623578.239999999757856,1880173.130000000121072,13411073.320000002160668
FS( 199 ),1400544.400000000139698,2153241.870000000111759,1742966.409999999916181,1622463.649999999906868,1557986.239999999990687,1425363.160000000149012,1651930.159999999683350,1861625.939999999711290,13416121.830000000074506
FS( 200 ),1391932.750000000232831,2124771.719999999739230,1750401.540000000037253,1598638.040000000037253,1536056.839999999850988,1415003.360000000102445,1647760.760000000009313,1845666.729999999981374,13310231.740000000223517
FS( 201 ),1351107.150000000139698,2117390.570000000298023,1720661.020000000018626,1538118.979999999981374,1500969.800000000046566,1382228.719999999972060,1609402.280000000027940,1805553.039999999804422,13025431.559999998658895
FS( 202 ),1384915.850000000325963,2174752.650000000372529,1767865.449999999720603,1549981.520000000018626,1517538.679999999934807,1382605.440000000176951,1657767.319999999832362,1823237.570000000065193,13258664.480000000447035
FS( 203 ),1408837.100000000325963,2215665.309999999590218,1777548.409999999916181,1567172.149999999906868,1527772.399999999906868,1374882.679999999934807,1682783.719999999972060,1837471.459999999962747,13392133.230000000447035
FS( 204 ),1413621.350000000093132,2269020.480000000447035,1818873.899999999906868,1585167.020000000018626,1549214.479999999981374,1389386.400000000139698,1666106.119999999878928,1862919.929999999701977,13554309.679999999701977
FS( 205 ),1427336.200000000186265,2252149.280000000260770,1819565.540000000037253,1588383.979999999981374,1547752.520000000018626,1391458.360000000102445,1662770.600000000093132,1843510.080000000074506,13532926.559999998658895
FS( 206 ),1435947.850000000325963,2251516.610000000335276,1823888.290000000037253,1603765.070000000065193,1566270.679999999934807,1403890.120000000111759,1661102.840000000083819,1843941.409999999916181,13590322.870000001043081
FS( 207 ),1454128.000000000232831,2285469.900000000372529,1822159.189999999711290,1608892.099999999860302,1576504.399999999906868,1411424.520000000251457,1692790.280000000027940,1889231.059999999823049,13740599.449999999254942
FS( 208 ),1454128.000000000232831,2300653.980000000447035,1846366.589999999850988,1630405.520000000018626,1589174.719999999972060,1417452.040000000037253,1696959.679999999934807,1887074.409999999916181,13822214.940000001341105
FS( 209 ),1458274.350000000093132,2307191.570000000298023,1833571.250000000000000,1622262.590000000083819,1584788.840000000083819,1412743.040000000037253,1690288.639999999897555,1892250.369999999878928,13801370.650000000372529
FS( 210 ),1456041.700000000186265,2331233.030000000260770,1856568.280000000027940,1637442.619999999878928,1601357.719999999972060,1419712.360000000102445,1699461.319999999832362,1918561.499999999767169,13920378.530000001192093
FS( 211 ),1464334.400000000139698,2352111.139999999664724,1867634.520000000018626,1644680.780000000027940,1609154.840000000083819,1428000.200000000186265,1696125.799999999813735,1958243.859999999869615,14020285.540000002831221
FS( 212 ),1441688.950000000186265,2348315.120000000111759,1858643.199999999720603,1639352.689999999944121,1616464.640000000130385,1433274.280000000027940,1693624.159999999683350,1949617.260000000009313,13980980.299999998882413
FS( 213 ),1446792.150000000139698,2385642.650000000372529,1872994.729999999748543,1651416.290000000037253,1637906.719999999972060,1431390.679999999934807,1699461.319999999832362,1967301.789999999804422,14092906.330000000074506
FS( 214 ),1448705.850000000325963,2391125.790000000037253,1871438.540000000037253,1651215.229999999981374,1648627.759999999776483,1438925.080000000074506,1712803.399999999906868,1966870.459999999962747,14129712.109999999403954
FS( 215 ),1448705.850000000325963,2368560.559999999590218,1890458.639999999897555,1648601.450000000186265,1644241.880000000121072,1442880.639999999897555,1705298.479999999748543,1944872.630000000121072,14093620.130000002682209
FS( 216 ),1476135.550000000279397,2340933.969999999739230,1878873.669999999925494,1649104.099999999860302,1648140.439999999944121,1445140.959999999962747,1691956.399999999906868,1939265.339999999850988,14069550.429999997839332
FS( 217 ),1472308.150000000139698,2316681.620000000111759,1883715.149999999906868,1652522.119999999878928,1643267.239999999990687,1431767.400000000139698,1695291.919999999692664,1916404.849999999860302,14011958.449999999254942
FS( 218 ),1476135.550000000279397,2316048.950000000186265,1896164.669999999925494,1649204.630000000121072,1639368.679999999934807,1432332.480000000214204,1706132.359999999869615,1914248.199999999953434,14029635.519999999552965
FS( 219 ),1479325.050000000279397,2300232.200000000186265,1863657.589999999850988,1648199.329999999841675,1642292.600000000093132,1436288.040000000037253,1723643.840000000083819,1911660.219999999972060,14005298.869999999180436
FS( 220 ),1467842.850000000325963,2247509.700000000186265,1801409.989999999990687,1641162.229999999981374,1630109.600000000093132,1444010.800000000046566,1706132.359999999869615,1932795.390000000130385,13870972.920000001788139
FS( 221 ),1470394.450000000186265,2269864.040000000037253,1795012.319999999832362,1648199.329999999841675,1639368.679999999934807,1448343.080000000074506,1706132.359999999869615,1912091.549999999813735,13889405.809999998658895
FS( 222 ),1463377.550000000279397,2268809.589999999850988,1813513.689999999711290,1658453.389999999897555,1664709.319999999832362,1451733.559999999823049,1708633.999999999767169,1933226.719999999972060,13962457.820000000298023
FS( 223 ),1475178.700000000186265,2261006.660000000149012,1837029.449999999720603,1670919.110000000102445,1657399.519999999785796,1457572.719999999972060,1711969.520000000018626,1940127.999999999767169,14011203.680000001564622
FS( 224 ),1469118.650000000372529,2191202.070000000298023,1806943.109999999869615,1668204.800000000046566,1640343.319999999832362,1450415.040000000037253,1701129.079999999841675,1878447.809999999823049,13805803.879999998956919
FS( 225 ),1487617.750000000232831,2237597.870000000111759,1822505.010000000009313,1662776.179999999934807,1634495.479999999981374,1442880.639999999897555,1711969.520000000018626,1896132.339999999850988,13895974.789999999105930
FS( 226 ),1499099.950000000186265,2283571.889999999664724,1864176.319999999832362,1656241.729999999981374,1653013.640000000130385,1476785.440000000176951,1700295.199999999953434,1908209.580000000074506,14041393.750000000000000
FS( 227 ),1502608.400000000139698,2307613.349999999627471,1869709.439999999711290,1691728.820000000065193,1653988.279999999795109,1448719.800000000046566,1650262.399999999906868,2062194.390000000130385,14186824.880000000819564
FS( 228 ),1500694.700000000186265,2295592.620000000111759,1857432.829999999841675,1685596.489999999757856,1650577.039999999804422,1452863.719999999972060,1679448.199999999953434,2057881.089999999850988,14180086.689999999478459
FS( 229 ),1502289.450000000186265,2360757.629999999888241,1880429.859999999869615,1693839.950000000186265,1631084.239999999990687,1449284.879999999888241,1683617.600000000093132,2042353.209999999962747,14243656.819999996572733
FS( 230 ),1518874.850000000093132,2374887.259999999776483,1884233.879999999888241,1712739.590000000083819,1632546.199999999953434,1466802.360000000102445,1720308.319999999832362,2079447.589999999850988,14389840.049999998882413
FS( 231 ),1547580.350000000325963,2375519.929999999701977,1881467.319999999832362,1716861.320000000065193,1642779.919999999925494,1469816.120000000111759,1736985.919999999692664,2117835.959999999962747,14488846.839999999850988
FS( 232 ),1565441.550000000046566,2433936.459999999962747,1892360.649999999906868,1714850.720000000204891,1643754.559999999823049,1475090.200000000186265,1748660.239999999757856,2123443.250000000000000,14597537.630000000819564
FS( 233 ),1583621.700000000186265,2412003.900000000372529,1870573.989999999990687,1730633.929999999934807,1650089.719999999972060,1481306.080000000074506,1752829.639999999897555,2151479.700000000186265,14632538.660000000149012
FS( 234 ),1591595.450000000186265,2388806.000000000000000,1835819.079999999841675,1737872.090000000083819,1653988.279999999795109,1486956.879999999888241,1704464.600000000093132,2142853.099999999627471,14542355.480000000447035
FS( 235 ),1585216.450000000186265,2336083.500000000000000,1810055.489999999990687,1715252.840000000083819,1643754.559999999823049,1489405.559999999823049,1721142.199999999953434,2137677.139999999664724,14438587.739999998360872
FS( 236 ),1579475.350000000325963,2306980.679999999701977,1774436.030000000027940,1693538.360000000102445,1625236.399999999906868,1480552.639999999897555,1700295.199999999953434,2138539.799999999813735,14299054.460000000894070
FS( 237 ),1601163.950000000186265,2327015.230000000447035,1778931.689999999711290,1697861.149999999906868,1630109.600000000093132,1482436.239999999990687,1713637.280000000027940,2161831.620000000111759,14392986.759999997913837
FS( 238 ),1600845.000000000000000,2354852.709999999962747,1799853.799999999813735,1699972.280000000027940,1631571.559999999823049,1493926.200000000186265,1717806.679999999934807,2176928.169999999925494,14475756.400000000372529
FS( 239 ),1600207.100000000325963,2380370.400000000372529,1804522.369999999878928,1712840.119999999878928,1640830.640000000130385,1501460.599999999860302,1739487.559999999823049,2178653.490000000223517,14558372.280000001192093
FS( 240 ),1589362.800000000046566,2319423.190000000409782,1768211.270000000018626,1703993.479999999981374,1640343.319999999832362,1497693.400000000139698,1718640.559999999823049,2157518.320000000298023,14395186.340000001713634
FS( 241 ),1580113.250000000232831,2290953.040000000037253,1776856.770000000018626,1731538.700000000186265,1664709.319999999832362,1519354.800000000046566,1741989.199999999953434,2160106.299999999813735,14465621.379999998956919
FS( 242 ),1578518.500000000232831,2242448.339999999850988,1770459.099999999860302,1708215.739999999757856,1661298.080000000074506,1520861.679999999934807,1744490.840000000083819,2154499.009999999776483,14380791.289999999105930
FS( 243 ),1597017.600000000093132,2237386.980000000447035,1757663.760000000009313,1697559.560000000055879,1653013.640000000130385,1528396.080000000074506,1749494.119999999878928,2163988.269999999552965,14384520.009999999776483
FS( 244 ),1619025.150000000139698,2152820.089999999850988,1736222.919999999925494,1714046.479999999981374,1656424.880000000121072,1524440.520000000251457,1762836.199999999953434,2156224.330000000074506,14322040.570000000298023
FS( 245 ),1628593.650000000372529,2219672.219999999739230,1778585.869999999878928,1713443.300000000046566,1664222.000000000000000,1535177.040000000037253,1766171.719999999972060,2182966.790000000037253,14488832.589999999850988
FS( 246 ),1652833.850000000093132,2220726.669999999925494,1796049.780000000027940,1714951.250000000000000,1668120.559999999823049,1554201.400000000139698,1753663.520000000018626,2180378.809999999590218,14540925.839999999850988
FS( 247 ),1632740.000000000000000,2200270.339999999850988,1773571.479999999748543,1710628.459999999962747,1664222.000000000000000,1550810.919999999925494,1725311.600000000093132,2145441.080000000074506,14402995.879999998956919
FS( 248 ),1630507.350000000093132,2148813.179999999701977,1752822.280000000027940,1691527.759999999776483,1644241.880000000121072,1554013.040000000037253,1716972.799999999813735,2120423.939999999478459,14259322.229999998584390
FS( 249 ),1612646.150000000372529,2141642.919999999925494,1768384.179999999701977,1688813.450000000186265,1644241.880000000121072,1556650.080000000074506,1711135.639999999897555,2068664.339999999850988,14192178.640000000596046
FS( 250 ),1607861.900000000139698,2177494.219999999739230,1785329.359999999869615,1686400.729999999981374,1630596.919999999925494,1558156.959999999962747,1732816.520000000018626,2064782.369999999878928,14243438.979999998584390
FS( 251 ),1616473.550000000279397,2197317.879999999888241,1787231.369999999878928,1680670.520000000018626,1625236.399999999906868,1552694.520000000251457,1742823.079999999841675,2057449.760000000009313,14259897.080000000074506
FS( 252 ),1630826.300000000279397,2205964.370000000111759,1784637.719999999739230,1683887.479999999981374,1620850.519999999785796,1537437.360000000102445,1745324.719999999972060,2083329.559999999823049,14292258.030000001192093
FS( 253 ),1645816.950000000186265,2231271.169999999925494,1814032.419999999925494,1698263.270000000018626,1628160.319999999832362,1535930.480000000214204,1788686.479999999748543,2111366.009999999776483,14453527.100000001490116
