代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14954496.849999999627471
真實報酬,4954496.849999999627471

夏普值報酬,0.486749685000000
夏普值風險,0.125430086522431
夏普值,3.880645373811114

二次趨勢線,67.517414589441984 x^2 + 2903.133628845538624 x + 10000000.000000000000000
二次加權預期報酬,25633.996540624335466
風險,134809.545931222324725
二次加權趨勢值,0.190149713535141
一次趨勢線,15689.193880027138221 x + 10000000.000000000000000
一次預期報酬,15689.193880027138221
一次風險,500251.458132472354919
一次趨勢值,0.031362614990864
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](5),BA[2](2),CAT[3](1),CVX[5](7),INTC[11](11),MCD[15](8),UNH[23](4),
FS( 148 ),1602388.399999999906868,2087982.280000000027940,1764718.599999999860302,1385070.400000000139698,1371851.349999999860302,1866741.949999999953434,1746283.010000000009313,11825038.989999998360872
FS( 149 ),1603132.799999999813735,2093819.320000000298023,1776584.400000000139698,1399742.199999999953434,1372633.689999999944121,1864874.910000000149012,1753745.159999999916181,11864535.480000000447035
FS( 150 ),1587686.500000000000000,2064808.360000000102445,1776884.800000000046566,1408493.800000000046566,1369895.500000000000000,1856589.919999999925494,1749882.399999999906868,11814244.279999999329448
FS( 151 ),1586197.699999999953434,2044073.800000000046566,1757058.400000000139698,1438738.300000000046566,1398842.079999999841675,1846321.199999999953434,1741717.929999999934807,11812952.410000000149012
FS( 152 ),1570937.499999999767169,2058797.080000000074506,1768924.199999999953434,1438867.000000000000000,1390236.339999999850988,1865925.120000000111759,1739874.339999999850988,11833564.580000000074506
FS( 153 ),1567959.899999999906868,2080315.720000000204891,1769675.199999999953434,1425739.600000000093132,1376545.389999999897555,1863708.010000000009313,1736187.159999999916181,11820133.980000000447035
FS( 154 ),1594758.299999999813735,2096084.440000000176951,1785446.200000000186265,1448133.399999999906868,1399233.250000000000000,1884945.590000000083819,1752252.729999999981374,11960856.910000000149012
FS( 155 ),1610762.899999999906868,2095997.320000000298023,1816537.600000000093132,1447747.300000000046566,1411750.689999999944121,1824266.790000000270084,1733729.039999999804422,11940794.640000000596046
FS( 156 ),1612437.799999999813735,2107758.520000000484288,1796861.399999999906868,1469497.600000000093132,1421138.769999999785796,1832085.020000000018626,1741278.979999999981374,11981061.089999999850988
FS( 157 ),1604063.299999999813735,2136508.120000000111759,1809628.400000000139698,1472972.500000000000000,1427006.319999999832362,1832085.020000000018626,1736011.579999999841675,12018278.240000000223517
FS( 158 ),1618951.299999999813735,2169352.360000000335276,1822996.200000000186265,1475289.099999999860302,1447347.159999999916181,1831151.499999999767169,1739962.129999999888241,12105052.750000000000000
FS( 159 ),1635328.100000000093132,2204897.320000000298023,1859945.399999999906868,1482496.300000000046566,1447347.159999999916181,1828350.940000000176951,1740049.919999999925494,12198418.139999998733401
FS( 160 ),1656357.399999999906868,2199495.879999999888241,1873613.599999999860302,1497296.800000000046566,1456344.069999999832362,1837102.690000000176951,1708972.260000000009313,12229185.699999999254942
FS( 161 ),1645749.699999999953434,2225631.879999999888241,1875265.800000000046566,1497682.900000000139698,1450085.349999999860302,1865691.739999999990687,1718629.159999999916181,12278739.530000001192093
FS( 162 ),1645563.599999999860302,2230684.839999999850988,1874364.600000000093132,1498969.899999999906868,1455170.560000000055879,1855773.090000000083819,1713888.500000000000000,12274418.089999999850988
FS( 163 ),1645191.399999999906868,2234256.759999999776483,1868957.400000000139698,1509523.300000000046566,1454388.219999999972060,1854372.810000000055879,1694750.280000000027940,12261443.169999999925494
FS( 164 ),1641655.499999999767169,2215700.200000000186265,1867305.199999999953434,1518532.300000000046566,1453605.879999999888241,1823449.959999999962747,1683513.159999999916181,12203765.199999999254942
FS( 165 ),1650588.299999999813735,2210298.759999999776483,1870159.000000000232831,1512483.399999999906868,1465732.149999999906868,1789493.169999999925494,1691853.209999999729916,12190610.989999998360872
FS( 166 ),1665476.299999999813735,2224063.719999999739230,1870309.199999999953434,1511582.500000000000000,1468470.339999999850988,1797661.470000000204891,1707567.620000000111759,12245134.149999998509884
FS( 167 ),1677572.799999999813735,2215264.600000000558794,1880973.400000000139698,1513770.400000000139698,1479814.269999999785796,1837802.830000000074506,1721701.809999999823049,12326903.110000001266599
FS( 168 ),1683527.999999999767169,2214741.879999999888241,1873163.000000000000000,1512226.000000000000000,1489593.519999999785796,1828350.940000000176951,1719507.059999999823049,12321113.400000000372529
FS( 169 ),1685016.800000000046566,2230249.240000000223517,1873313.199999999953434,1511325.100000000093132,1527145.839999999850988,1831618.260000000009313,1733465.669999999925494,12392137.109999999403954
FS( 170 ),1701579.699999999953434,2225631.879999999888241,1885179.000000000232831,1516344.399999999906868,1540445.620000000111759,1830451.360000000102445,1743912.679999999934807,12443547.640000000596046
FS( 171 ),1693763.500000000000000,2228245.480000000447035,1903653.599999999860302,1513255.600000000093132,1538880.939999999944121,1834535.510000000009313,1760153.829999999841675,12472491.459999999031425
FS( 172 ),1696554.999999999767169,2255514.040000000037253,1898546.800000000046566,1526125.600000000093132,1546313.169999999925494,1853089.220000000204891,1737504.010000000009313,12513650.839999999850988
FS( 173 ),1703812.899999999906868,2252813.320000000298023,1906507.400000000139698,1506177.100000000093132,1550224.870000000111759,1862424.419999999925494,1738908.649999999906868,12520871.660000000149012
FS( 174 ),1706418.299999999813735,2251158.040000000037253,1905756.399999999906868,1514928.699999999953434,1559221.779999999795109,1868492.300000000046566,1723457.610000000102445,12529436.130000000819564
FS( 175 ),1710140.299999999813735,2273286.520000000484288,1925432.600000000093132,1528957.000000000000000,1551007.209999999962747,1873860.040000000270084,1709235.629999999888241,12571922.300000000745058
FS( 176 ),1711442.999999999767169,2277729.639999999664724,1931590.800000000046566,1535778.100000000093132,1537316.259999999776483,1903849.370000000111759,1714327.449999999720603,12612037.619999997317791
FS( 177 ),1704929.500000000000000,2281824.280000000260770,1952468.600000000093132,1533332.800000000046566,1533013.389999999897555,1912717.810000000055879,1693784.589999999850988,12612073.970000000670552
FS( 178 ),1728192.000000000000000,2271631.240000000223517,1963283.000000000232831,1533590.199999999953434,1551789.550000000046566,1929754.550000000046566,1690272.989999999990687,12668516.530000001192093
FS( 179 ),1711442.999999999767169,2263006.360000000335276,1974698.199999999953434,1546074.099999999860302,1555310.079999999841675,1925553.709999999962747,1696242.709999999729916,12672331.159999998286366
FS( 180 ),1706418.299999999813735,2253161.799999999813735,1960729.599999999860302,1547232.399999999906868,1556483.589999999850988,1930104.620000000111759,1790090.219999999739230,12744223.529999997466803
FS( 181 ),1713676.199999999953434,2265532.839999999850988,1971994.599999999860302,1520591.500000000000000,1574477.409999999916181,1934422.150000000139698,1801854.079999999841675,12782551.779999999329448
FS( 182 ),1710326.399999999906868,2256820.839999999850988,1975899.800000000279397,1521235.000000000000000,1568218.689999999944121,1942940.520000000018626,1784471.659999999916181,12759915.910000000149012
FS( 183 ),1713862.300000000046566,2306566.360000000335276,1973046.000000000232831,1526897.800000000046566,1581518.469999999972060,1940606.720000000204891,1821694.620000000111759,12864195.269999999552965
FS( 184 ),1719259.199999999720603,2285396.200000000186265,1977852.400000000139698,1530630.100000000093132,1597165.269999999785796,1906066.479999999981374,1817480.699999999720603,12833853.349999999627471
FS( 185 ),1746802.000000000000000,2317456.360000000335276,2076383.600000000093132,1534491.100000000093132,1601859.310000000055879,1912367.739999999990687,1827488.760000000009313,13016851.870000001043081
FS( 186 ),1740660.699999999953434,2251419.400000000372529,2055355.600000000093132,1524323.800000000046566,1595209.419999999925494,1908867.040000000270084,1822309.149999999906868,12898148.110000003129244
FS( 187 ),1780858.299999999813735,2258824.599999999627471,2056857.600000000093132,1524323.800000000046566,1617506.109999999869615,1913884.709999999962747,1836267.760000000009313,12988525.880000000819564
FS( 188 ),1782719.300000000046566,2234343.879999999888241,2069925.000000000000000,1461260.800000000046566,1736812.959999999962747,1929987.929999999934807,1866555.309999999823049,13081608.179999999701977
FS( 189 ),1769320.099999999860302,2258650.360000000335276,2050098.600000000093132,1472200.300000000046566,1735639.449999999720603,1939789.889999999897555,1838374.719999999739230,13064076.420000001788139
FS( 190 ),1777694.599999999860302,2247586.120000000111759,2039734.800000000279397,1491505.300000000046566,1779450.489999999990687,1947724.810000000055879,1845661.289999999804422,13129360.409999998286366
FS( 191 ),1782719.300000000046566,2252116.360000000335276,2047094.599999999860302,1491634.000000000000000,1827173.229999999981374,1941423.550000000046566,1839603.780000000027940,13181767.820000000298023
FS( 192 ),1786255.199999999953434,2288096.919999999925494,2049798.199999999953434,1484298.100000000093132,1842428.859999999869615,1961610.919999999925494,1853386.809999999823049,13265878.009999999776483
FS( 193 ),1794629.699999999953434,2280430.360000000335276,2052201.399999999906868,1479922.300000000046566,1812699.939999999944121,1968028.870000000111759,1868925.639999999897555,13256841.210000000894070
FS( 194 ),1792024.300000000046566,2300642.200000000186265,2068423.000000000232831,1506305.800000000046566,1826782.060000000055879,1984598.849999999860302,1862341.389999999897555,13341120.599999999627471
FS( 195 ),1774903.100000000093132,2318588.919999999925494,2084945.000000000000000,1508879.800000000046566,1829911.419999999925494,1992767.150000000139698,1867433.209999999729916,13377431.599999997764826
FS( 196 ),1770436.699999999720603,2313710.200000000186265,2062114.599999999860302,1501543.899999999906868,1826782.060000000055879,1984948.919999999925494,1850489.739999999990687,13310029.120000001043081
FS( 197 ),1744754.899999999906868,2288706.759999999776483,2032825.600000000093132,1508879.800000000046566,1811135.259999999776483,1948775.020000000018626,1857425.149999999906868,13192505.490000000223517
FS( 198 ),1740474.599999999860302,2272589.560000000521541,2049948.399999999906868,1508107.600000000093132,1782971.019999999785796,1932321.729999999981374,1853123.439999999944121,13139539.349999999627471
FS( 199 ),1747546.399999999906868,2286267.400000000372529,2050699.400000000139698,1508751.100000000093132,1789620.909999999916181,1953092.550000000046566,1867082.049999999813735,13203062.810000002384186
FS( 200 ),1744941.000000000000000,2280517.480000000447035,2065869.599999999860302,1504761.399999999906868,1793923.779999999795109,1961727.610000000102445,1858742.000000000000000,13210485.869999999180436
FS( 201 ),1735636.000000000000000,2290100.680000000633299,2014200.800000000046566,1498712.500000000000000,1778276.979999999981374,1952509.099999999860302,1842500.850000000093132,13111939.910000000149012
FS( 202 ),1741219.000000000000000,2297418.759999999776483,2048146.000000000232831,1474516.899999999906868,1785709.209999999962747,1961494.229999999981374,1853650.179999999934807,13162157.280000001192093
FS( 203 ),1743638.299999999813735,2284873.480000000447035,2044691.399999999906868,1476318.699999999953434,1745809.870000000111759,1945507.699999999953434,1842852.010000000009313,13083694.459999999031425
FS( 204 ),1748476.899999999906868,2305520.919999999925494,2056407.000000000000000,1476447.399999999906868,1745418.699999999720603,1947958.190000000176951,1845924.659999999916181,13126156.769999999552965
FS( 205 ),1757037.499999999767169,2326081.240000000223517,2066770.800000000046566,1482238.899999999906868,1757936.139999999897555,1963944.720000000204891,1866555.309999999823049,13220567.610000001266599
FS( 206 ),1746057.599999999860302,2310051.160000000149012,2072929.000000000000000,1491762.699999999953434,1746592.209999999962747,1972696.470000000204891,1854440.289999999804422,13194532.429999999701977
FS( 207 ),1739730.199999999953434,2316410.919999999925494,2063616.599999999860302,1499484.699999999953434,1750503.909999999916181,1973396.610000000102445,1865765.199999999720603,13208911.139999998733401
FS( 208 ),1739544.099999999860302,2313797.320000000298023,2060612.600000000093132,1487644.300000000046566,1740333.489999999990687,1971646.260000000009313,1864799.510000000009313,13178380.579999998211861
FS( 209 ),1773228.199999999953434,2334793.240000000223517,2087648.600000000093132,1498712.500000000000000,1749721.569999999832362,1999418.479999999981374,1897632.969999999739230,13341158.560000002384186
FS( 210 ),1797793.399999999906868,2346205.959999999962747,2073680.000000000000000,1508107.600000000093132,1719210.310000000055879,1988799.690000000176951,1956803.429999999934807,13390603.389999998733401
FS( 211 ),1818450.499999999767169,2411545.959999999962747,2120091.799999999813735,1531402.300000000046566,1754024.439999999944121,2006769.949999999953434,2003244.339999999850988,13645532.289999999105930
FS( 212 ),1821242.000000000000000,2364326.919999999925494,2125649.200000000186265,1538094.699999999953434,1747765.719999999972060,2017272.050000000046566,1991041.530000000027940,13605395.120000001043081
FS( 213 ),1834827.300000000046566,2421739.000000000000000,2125348.799999999813735,1555211.800000000046566,1740333.489999999990687,1991366.870000000111759,1943986.089999999850988,13612816.349999997764826
FS( 214 ),1837060.499999999767169,2400568.839999999850988,2104921.599999999627471,1549420.300000000046566,1699260.639999999897555,2018672.330000000074506,1932310.020000000018626,13542217.229999998584390
FS( 215 ),1827755.499999999767169,2424352.599999999627471,2107925.600000000558794,1539381.699999999953434,1699651.810000000055879,2024390.139999999897555,1930993.169999999925494,13554453.520000001415610
FS( 216 ),1834641.199999999953434,2456587.000000000000000,2146226.599999999627471,1539639.099999999860302,1685178.519999999785796,2017738.810000000055879,1932836.760000000009313,13612850.990000000223517
FS( 217 ),1834082.899999999906868,2490825.160000000149012,2160796.000000000000000,1543371.399999999906868,1695740.109999999869615,2020539.370000000111759,1965845.799999999813735,13711203.740000002086163
FS( 218 ),1842457.399999999906868,2466954.280000000260770,2159444.200000000186265,1549806.399999999906868,1707866.379999999888241,2021706.270000000018626,1955837.739999999990687,13704075.669999999925494
FS( 219 ),1849343.100000000093132,2526021.639999999664724,2154187.200000000186265,1540282.600000000093132,1694957.769999999785796,2009803.889999999897555,1953379.620000000111759,13727978.820000000298023
FS( 220 ),1819753.199999999953434,2542574.439999999478459,2231540.200000000186265,1543500.100000000093132,1695348.939999999944121,2025206.970000000204891,1969708.559999999823049,13827635.410000000149012
FS( 221 ),1808028.899999999906868,2560346.919999999925494,2197144.400000000372529,1538352.100000000093132,1692219.579999999841675,2020422.679999999934807,1942493.659999999916181,13759011.240000000223517
FS( 222 ),1833524.599999999860302,2560869.639999999664724,2203302.599999999627471,1540926.100000000093132,1743071.679999999934807,2031158.160000000149012,1947497.689999999944121,13860353.469999998807907
FS( 223 ),1855112.199999999953434,2580036.040000000037253,2249564.200000000186265,1540540.000000000000000,1809570.579999999841675,2032791.819999999832362,1954959.839999999850988,14022577.679999999701977
FS( 224 ),1845248.899999999906868,2589706.360000000335276,2266687.000000000000000,1542341.800000000046566,1840081.839999999850988,2023339.929999999934807,1949429.069999999832362,14056837.899999998509884
FS( 225 ),1833338.500000000000000,2595369.160000000149012,2290869.200000000186265,1555855.300000000046566,1860422.679999999934807,2009103.749999999767169,1952413.929999999934807,14097375.519999999552965
FS( 226 ),1833152.399999999906868,2570365.719999999739230,2322711.599999999627471,1606434.399999999906868,1829129.079999999841675,2005369.669999999925494,1946356.419999999925494,14113522.289999999105930
FS( 227 ),1837618.799999999813735,2570975.560000000521541,2339383.799999999813735,1608493.600000000093132,1826782.060000000055879,2000351.999999999767169,1931519.909999999916181,14115128.730000000447035
FS( 228 ),1834455.099999999860302,2573240.680000000633299,2349747.599999999627471,1621363.600000000093132,1802529.519999999785796,1998835.030000000027940,1928008.309999999823049,14108182.839999999850988
FS( 229 ),1844876.699999999720603,2575505.799999999813735,2365969.200000000186265,1615829.500000000000000,1803703.029999999795109,2014938.249999999767169,1935207.089999999850988,14156032.569999998435378
FS( 230 ),1855484.399999999906868,2581865.560000000521541,2379487.200000000186265,1616215.600000000093132,1808005.899999999906868,2019955.919999999925494,1955837.739999999990687,14216855.320000002160668
FS( 231 ),1848226.500000000000000,2569320.280000000260770,2366870.400000000372529,1611196.300000000046566,1805658.879999999888241,2008520.300000000046566,1935558.250000000000000,14145353.910000000149012
FS( 232 ),1841340.799999999813735,2586134.439999999478459,2358759.599999999627471,1641955.600000000093132,1832649.609999999869615,2021356.199999999953434,1941703.549999999813735,14223902.799999997019768
FS( 233 ),1852692.899999999906868,2594497.959999999962747,2362364.400000000372529,1653924.699999999953434,1770453.579999999841675,2012837.830000000074506,1962070.829999999841675,14208845.199999999254942
FS( 234 ),1876885.899999999906868,2584653.400000000372529,2394807.599999999627471,1648776.700000000186265,1737986.469999999972060,2026957.319999999832362,1970586.459999999729916,14240656.850000001490116
FS( 235 ),1881166.199999999953434,2690678.439999999478459,2432658.000000000000000,1646074.000000000000000,1750112.739999999990687,2031041.470000000204891,2008160.579999999841675,14439894.430000001564622
FS( 236 ),1863858.899999999906868,2702091.160000000149012,2493789.400000000372529,1654182.100000000093132,1750112.739999999990687,2029641.190000000176951,1973307.949999999720603,14466986.439999999478459
FS( 237 ),1870744.599999999860302,2774226.520000000484288,2499797.400000000372529,1645301.800000000046566,1706301.699999999720603,2025090.280000000027940,1983140.429999999934807,14504605.729999998584390
FS( 238 ),1883771.599999999860302,2790169.480000000447035,2491386.200000000186265,1655855.199999999953434,1662490.659999999916181,2024740.209999999962747,1968391.709999999729916,14476808.060000000521541
FS( 239 ),1874652.699999999953434,2858645.799999999813735,2541402.799999999813735,1706176.899999999906868,1698087.129999999888241,2023339.929999999934807,1978838.719999999739230,14681146.979999996721745
FS( 240 ),1879119.099999999860302,2929125.879999999888241,2557924.799999999813735,1719433.000000000000000,1691437.239999999990687,2025440.349999999860302,2007370.469999999739230,14809853.839999999850988
FS( 241 ),1867394.800000000046566,2919978.280000000260770,2543055.000000000000000,1698969.699999999953434,1687525.540000000037253,2026723.940000000176951,2044769.010000000009313,14788419.269999999552965
FS( 242 ),1875211.000000000000000,3058063.480000000447035,2530888.799999999813735,1703474.200000000186265,1736421.790000000037253,2041893.639999999897555,2093316.879999999888241,15039272.789999999105930
FS( 243 ),1858462.000000000000000,2963538.280000000260770,2535845.400000000372529,1693564.300000000046566,1739942.319999999832362,2037109.349999999860302,2134841.549999999813735,14963306.199999999254942
FS( 244 ),1824405.699999999953434,2942368.120000000111759,2559577.000000000000000,1689832.000000000232831,1753242.099999999860302,2055196.300000000046566,2136509.559999999590218,14961133.780000001192093
FS( 245 ),1829802.599999999860302,2944720.360000000335276,2566786.599999999627471,1706048.199999999953434,1789620.909999999916181,2056246.510000000009313,2138353.150000000372529,15031581.330000000074506
FS( 246 ),1823475.199999999953434,2923724.439999999478459,2544857.400000000372529,1686228.400000000139698,1801747.179999999934807,2063247.910000000149012,2152838.500000000000000,14996122.029999999329448
FS( 247 ),1848040.399999999906868,2915883.639999999664724,2528485.600000000558794,1690990.299999999813735,1780232.829999999841675,2055196.300000000046566,2149678.059999999590218,14968510.129999998956919
FS( 248 ),1855298.299999999813735,2989238.680000000633299,2543956.200000000186265,1681466.500000000000000,1772018.259999999776483,2049828.560000000055879,2152575.129999999888241,15044384.629999998956919
FS( 249 ),1854181.699999999720603,2990197.000000000000000,2509260.000000000000000,1688416.300000000046566,1958997.519999999785796,2081334.860000000102445,2181458.040000000037253,15263848.419999998062849
FS( 250 ),1850087.499999999767169,2969288.200000000186265,2441970.400000000372529,1653538.599999999860302,1955085.819999999832362,2074450.150000000139698,2172152.299999999813735,15116575.970000002533197
FS( 251 ),1837060.499999999767169,2942193.879999999888241,2459694.000000000000000,1611711.100000000093132,1908536.589999999850988,2012721.139999999897555,2077690.260000000009313,14849610.470000000670552
FS( 252 ),1849901.399999999906868,3087335.799999999813735,2444974.400000000372529,1613255.500000000000000,1883110.540000000037253,1997084.679999999934807,2078831.530000000027940,14954496.849999999627471
