代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15056214.280000001192093
真實報酬,5056214.280000001192093

夏普值報酬,0.496921428000000
夏普值風險,0.115324912197166
夏普值,4.308881910531473

二次趨勢線,31.651905834291547 x^2 + 10975.990827850460846 x + 10000000.000000000000000
二次加權預期報酬,21632.132458728614438
風險,120305.030248208713601
二次加權趨勢值,0.179810706286329
一次趨勢線,16970.046991328945296 x + 10000000.000000000000000
一次預期報酬,16970.046991328945296
一次風險,255884.795439320296282
一次趨勢值,0.066319090832238
找到最佳解世代,1792
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](2),CAT[3](1),HD[9](14),MCD[15](6),UNH[23](3),V[25](4),
FS( 167 ),2618644.799999999813735,1958630.620000000111759,1928997.359999999869615,2167064.759999999776483,1990673.949999999953434,2228762.799999999813735,12892778.289999999105930
FS( 168 ),2602350.160000000149012,1958457.450000000186265,1937364.159999999916181,2202938.160000000149012,1998647.300000000046566,2237821.750000000000000,12937582.980000000447035
FS( 169 ),2605630.959999999962747,1966596.440000000176951,1941097.039999999804422,2176631.000000000000000,2016975.650000000139698,2222576.200000000186265,12929511.290000002831221
FS( 170 ),2599725.520000000484288,1980276.870000000111759,1966326.159999999916181,2163969.799999999813735,2018114.699999999953434,2229204.699999999720603,12957621.750000000000000
FS( 171 ),2627284.240000000223517,1986510.989999999990687,1974049.359999999869615,2180148.000000000000000,2017079.199999999953434,2242461.699999999720603,13027537.489999998360872
FS( 172 ),2619300.959999999962747,1981315.890000000130385,1974049.359999999869615,2179444.600000000093132,2018321.800000000046566,2237821.750000000000000,13010258.359999999403954
FS( 173 ),2562543.120000000111759,1980103.700000000186265,1998634.879999999888241,2179444.600000000093132,2017596.950000000186265,2230972.299999999813735,12969299.550000000745058
FS( 174 ),2546904.640000000596046,1959496.470000000204891,1980871.519999999785796,2203360.200000000186265,1994194.649999999906868,2198271.699999999720603,12883103.180000001564622
FS( 175 ),2568776.640000000596046,1954301.370000000111759,1993743.519999999785796,2212926.440000000409782,1998854.400000000139698,2211528.700000000186265,12940135.070000000298023
FS( 176 ),2593601.360000000335276,1969193.989999999990687,1985762.879999999888241,2212363.719999999739230,2005999.350000000093132,2250857.799999999813735,13017783.099999997764826
FS( 177 ),2615692.080000000074506,1968154.970000000204891,1933116.399999999674037,2217428.200000000186265,2014179.800000000046566,2267650.000000000000000,13016225.450000001117587
FS( 178 ),2598413.200000000186265,1976293.960000000195578,1959890.159999999916181,2235435.240000000223517,2006620.650000000139698,2282895.549999999813735,13059552.760000001639128
FS( 179 ),2576541.200000000186265,1959323.300000000279397,1926680.399999999674037,2221226.560000000055879,1995540.799999999813735,2257265.349999999627471,12936581.609999997541308
FS( 180 ),2578509.680000000633299,1972830.560000000288710,1898619.439999999944121,2219397.719999999739230,1976073.399999999906868,2264998.600000000093132,12910433.400000002235174
FS( 181 ),2577525.440000000409782,1967289.120000000111759,1920630.559999999823049,2227838.520000000018626,1988602.949999999953434,2280686.049999999813735,12962576.640000000596046
FS( 182 ),2622034.959999999962747,2005732.860000000102445,1929769.679999999934807,2245845.560000000055879,2017182.750000000000000,2299466.799999999813735,13120036.609999999403954
FS( 183 ),2603881.200000000186265,1987203.670000000158325,1919343.359999999869615,2234169.120000000111759,2011487.500000000232831,2279802.250000000000000,13035891.100000001490116
FS( 184 ),2610989.600000000558794,1987723.180000000167638,1908402.159999999916181,2228541.919999999925494,2016768.550000000046566,2280686.049999999813735,13033115.460000000894070
FS( 185 ),2579822.000000000000000,1997593.870000000111759,1926422.959999999962747,2234309.799999999813735,2012730.100000000093132,2283558.399999999906868,13034441.129999998956919
FS( 186 ),2593929.440000000409782,1992745.110000000102445,1948820.239999999757856,2246267.600000000093132,2020289.250000000000000,2293059.250000000000000,13095114.890000000596046
FS( 187 ),2630127.600000000558794,2009023.090000000316650,1928868.639999999897555,2242187.879999999888241,2037271.449999999953434,2292838.299999999813735,13140320.960000000894070
FS( 188 ),2629799.520000000484288,2035691.270000000018626,1930928.159999999916181,2244298.080000000074506,2028469.699999999953434,2291954.500000000000000,13161145.230000000447035
FS( 189 ),2621050.719999999739230,2034652.250000000000000,1929254.800000000046566,2250488.000000000000000,2059741.800000000046566,2287314.549999999813735,13182506.120000001043081
FS( 190 ),2628377.840000000782311,2048332.680000000167638,1940968.319999999832362,2248237.120000000111759,2068543.550000000046566,2295710.649999999906868,13230174.160000002011657
FS( 191 ),2591960.959999999962747,2048679.020000000018626,1968643.120000000111759,2238248.839999999850988,2063987.350000000093132,2276046.100000000093132,13187569.390000000596046
FS( 192 ),2565933.280000000260770,2025820.580000000307336,2015368.479999999981374,2225869.000000000000000,2054357.199999999953434,2279802.250000000000000,13167154.789999999105930
FS( 193 ),2584415.120000000111759,2039501.010000000009313,2033003.120000000111759,2249503.240000000223517,2052182.649999999906868,2310293.350000000093132,13268902.490000000223517
FS( 194 ),2611427.040000000037253,2040366.860000000102445,2055271.679999999934807,2246830.320000000298023,2047833.550000000046566,2307421.000000000000000,13309154.450000001117587
FS( 195 ),2631221.200000000186265,2058549.710000000195578,2038666.800000000046566,2272434.080000000074506,2066783.200000000186265,2345424.399999999906868,13413083.389999998733401
FS( 196 ),2631111.840000000782311,2094395.900000000139698,2058489.679999999934807,2199280.479999999981374,2044934.150000000139698,2346750.099999999627471,13374966.150000000372529
FS( 197 ),2645875.440000000409782,2071710.630000000121072,2059905.600000000093132,2208706.040000000037253,2053839.450000000186265,2338354.000000000000000,13378395.160000000149012
FS( 198 ),2681964.240000000223517,2086430.080000000307336,2051667.519999999785796,2208706.040000000037253,2047626.449999999953434,2343877.750000000000000,13420276.079999998211861
FS( 199 ),2723192.959999999962747,2101842.209999999962747,2039052.959999999962747,2207580.600000000093132,2052286.200000000186265,2326643.649999999906868,13450602.580000000074506
FS( 200 ),2767811.840000000782311,2144442.030000000260770,2031458.479999999981374,2204204.280000000260770,2052389.750000000000000,2316259.000000000000000,13516569.380000002682209
FS( 201 ),2761031.520000000484288,2160200.500000000000000,2029527.679999999934807,2214755.280000000260770,2015733.050000000046566,2329074.099999999627471,13510326.130000000819564
FS( 202 ),2793839.520000000484288,2162105.370000000111759,2042657.120000000111759,2249221.879999999888241,2027123.550000000046566,2329074.099999999627471,13604025.540000000968575
FS( 203 ),2800182.400000000372529,2161066.350000000558794,2049221.839999999850988,2237264.080000000074506,2021531.850000000093132,2326864.600000000093132,13596135.120000001043081
FS( 204 ),2804666.160000000149012,2154832.230000000447035,2059262.000000000000000,2235575.919999999925494,1998957.949999999953434,2332388.350000000093132,13585686.609999999403954
FS( 205 ),2781372.480000000447035,2152927.360000000335276,2073807.359999999869615,2198295.719999999739230,1985703.550000000046566,2276267.049999999813735,13468377.520000003278255
FS( 206 ),2774592.160000000149012,2156217.589999999850988,2075866.879999999888241,2157357.839999999850988,1995540.799999999813735,2274499.449999999720603,13434078.719999998807907
FS( 207 ),2791871.040000000037253,2156390.759999999776483,2071490.399999999674037,2167205.440000000409782,2014076.250000000232831,2295489.699999999720603,13496527.589999999850988
FS( 208 ),2780825.680000000633299,2168685.830000000074506,2090026.080000000074506,2215599.360000000335276,2030747.800000000046566,2310735.250000000000000,13596624.000000001862645
FS( 209 ),2780169.520000000484288,2159680.990000000223517,2105472.479999999515712,2204204.280000000260770,2028159.050000000046566,2310735.250000000000000,13588425.570000000298023
FS( 210 ),2799635.600000000558794,2159854.160000000149012,2111393.599999999627471,2208143.320000000298023,2044623.500000000000000,2329736.949999999720603,13653391.129999998956919
FS( 211 ),2793839.520000000484288,2173534.589999999850988,2126196.399999999441206,2206736.520000000018626,2056945.949999999953434,2333051.200000000186265,13690308.179999999701977
FS( 212 ),2797120.320000000298023,2194834.500000000000000,2127741.040000000037253,2211660.320000000298023,2076102.699999999953434,2326864.600000000093132,13734327.479999998584390
FS( 213 ),2831350.000000000000000,2188946.720000000670552,2138424.799999999813735,2234028.440000000409782,2049386.800000000046566,2347412.949999999720603,13789553.710000000894070
FS( 214 ),2827959.839999999850988,2198124.730000000447035,2134949.359999999403954,2245282.839999999850988,2051043.600000000093132,2358239.500000000000000,13815603.869999999180436
FS( 215 ),2825882.000000000000000,2197258.879999999888241,2133147.280000000260770,2252598.200000000186265,2032818.800000000279397,2364426.100000000093132,13806135.259999999776483
FS( 216 ),2853659.440000000409782,2219944.150000000372529,2126067.679999999701977,2259069.479999999981374,2016043.700000000186265,2371054.600000000093132,13845843.049999998882413
FS( 217 ),2859236.799999999813735,2227044.120000000111759,2127226.160000000149012,2295224.240000000223517,2022049.599999999860302,2396021.949999999720603,13926806.869999999180436
FS( 218 ),2864376.720000000670552,2251114.750000000000000,2118730.639999999664724,2305915.919999999925494,1997818.899999999906868,2388730.600000000093132,13926691.530000001192093
FS( 219 ),2851581.600000000558794,2263582.990000000223517,2117186.000000000000000,2326455.200000000186265,1993676.900000000139698,2400882.849999999627471,13953369.540000000968575
FS( 220 ),2840754.959999999962747,2276743.910000000149012,2113968.000000000000000,2321390.719999999739230,2000718.299999999813735,2392928.649999999906868,13946508.540000000968575
FS( 221 ),2828397.280000000260770,2260639.099999999627471,2102769.359999999403954,2326877.240000000223517,2111413.250000000000000,2376136.450000000186265,14006236.679999999701977
FS( 222 ),2843926.400000000372529,2273626.849999999627471,2104056.559999999590218,2332082.400000000372529,2125288.950000000186265,2381881.149999999906868,14060866.310000000521541
FS( 223 ),2832990.400000000372529,2278129.270000000484288,2101353.440000000409782,2342352.040000000037253,2104786.049999999813735,2364647.049999999813735,14024262.250000003725290
FS( 224 ),2895434.959999999962747,2274839.040000000037253,2103799.120000000111759,2339538.440000000409782,2148691.250000000000000,2376357.399999999906868,14138664.210000000894070
FS( 225 ),2868860.480000000447035,2280380.480000000447035,2120661.440000000409782,2297897.160000000149012,2143720.849999999627471,2375915.500000000000000,14087439.910000002011657
FS( 226 ),2909104.959999999962747,2393980.000000000000000,2137266.320000000298023,2305493.879999999888241,2155525.549999999813735,2395359.099999999627471,14296733.810000000521541
FS( 227 ),2826210.080000000074506,2369736.200000000186265,2137781.200000000186265,2301273.479999999981374,2149416.099999999627471,2419221.699999999720603,14203642.759999999776483
FS( 228 ),2835505.679999999701977,2371467.900000000372529,2158118.959999999962747,2307322.719999999739230,2165880.549999999813735,2426071.149999999906868,14264370.959999999031425
FS( 229 ),2804775.519999999552965,2386533.690000000409782,2154128.639999999664724,2326736.560000000055879,2201605.299999999813735,2424082.599999999627471,14297866.310000000521541
FS( 230 ),2835286.959999999962747,2363675.250000000000000,2127998.479999999515712,2338553.679999999701977,2168365.750000000000000,2431373.950000000186265,14265258.070000000298023
FS( 231 ),2821398.240000000223517,2351726.520000000484288,2134048.320000000298023,2348119.919999999925494,2176960.400000000372529,2430048.250000000000000,14262305.650000000372529
FS( 232 ),2827084.959999999962747,2360211.849999999627471,2128899.519999999552965,2340523.200000000186265,2169815.450000000186265,2454131.799999999813735,14280670.780000001192093
FS( 233 ),2872250.640000000596046,2363328.910000000149012,2094531.280000000027940,2364860.839999999850988,2186072.799999999813735,2452143.250000000000000,14333191.720000002533197
FS( 234 ),2862626.959999999962747,2366099.629999999888241,2116156.239999999292195,2372598.240000000223517,2204401.150000000372529,2460539.350000000093132,14382425.570000000298023
FS( 235 ),2887998.480000000447035,2384801.990000000223517,2113968.000000000000000,2392574.799999999813735,2196634.900000000372529,2472912.549999999813735,14448894.719999998807907
FS( 236 ),2910526.640000000596046,2403850.690000000409782,2106759.679999999701977,2402422.400000000372529,2202640.799999999813735,2476668.700000000186265,14502872.910000000149012
FS( 237 ),2904402.480000000447035,2377528.849999999627471,2111779.759999999776483,2392996.839999999850988,2182655.650000000372529,2485064.799999999813735,14454432.379999998956919
FS( 238 ),2873016.160000000149012,2343760.700000000186265,2101739.599999999627471,2349386.040000000037253,2190836.099999999627471,2477773.449999999720603,14336516.049999998882413
FS( 239 ),2852784.560000000521541,2363502.080000000074506,2112552.080000000074506,2329550.160000000149012,2185762.150000000372529,2472028.750000000000000,14316183.780000001192093
FS( 240 ),2869954.080000000074506,2364367.930000000633299,2128513.359999999403954,2354591.200000000186265,2202226.599999999627471,2461423.149999999906868,14381080.320000000298023
FS( 241 ),2862736.320000000298023,2381858.099999999627471,2163396.479999999515712,2365001.520000000018626,2192389.350000000558794,2474238.250000000000000,14439624.019999999552965
FS( 242 ),2874765.919999999925494,2322287.620000000111759,2130058.000000000000000,2353887.799999999813735,2173232.600000000558794,2436013.899999999906868,14290249.840000001713634
FS( 243 ),2883952.160000000149012,2361424.040000000037253,2156188.160000000149012,2364720.160000000149012,2186383.450000000186265,2453027.049999999813735,14405699.019999999552965
FS( 244 ),2868204.320000000298023,2357441.129999999888241,2159277.440000000409782,2345447.000000000000000,2173646.799999999813735,2426513.049999999813735,14330533.740000002086163
FS( 245 ),2894122.640000000596046,2370948.389999999664724,2194160.559999999590218,2348401.280000000260770,2177271.049999999813735,2429385.399999999906868,14414293.320000002160668
FS( 246 ),2919931.600000000558794,2382897.120000000111759,2225182.080000000074506,2367674.440000000409782,2201605.299999999813735,2462527.899999999906868,14559822.440000003203750
FS( 247 ),2899809.360000000335276,2389997.089999999850988,2214884.479999999515712,2378225.440000000409782,2187315.400000000372529,2448608.049999999813735,14518843.820000000298023
FS( 248 ),2907792.640000000596046,2379260.549999999813735,2218359.919999999925494,2379069.520000000018626,2200673.349999999627471,2474017.299999999813735,14559177.280000001192093
FS( 249 ),2904511.839999999850988,2375797.150000000372529,2241915.679999999701977,2376959.320000000298023,2199534.299999999813735,2483076.250000000000000,14581798.539999999105930
FS( 250 ),2930867.600000000558794,2406967.750000000000000,2272937.200000000186265,2410441.160000000149012,2238262.000000000000000,2504729.350000000093132,14764209.060000000521541
FS( 251 ),2945193.760000000707805,2390862.940000000409782,2281690.160000000149012,2397639.280000000260770,2308054.700000000186265,2427396.850000000093132,14750841.689999999478459
FS( 252 ),3027213.760000000707805,2444372.470000000670552,2314771.200000000186265,2419304.000000000000000,2362832.650000000372529,2487716.200000000186265,15056214.280000001192093
