代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12345614.620000001043081
真實報酬,2345614.620000001043081

夏普值報酬,0.225861462000000
夏普值風險,0.082640487825229
夏普值,2.733060609197514

二次趨勢線,61.297384417364825 x^2 + -4878.693298129337563 x + 10000000.000000000000000
二次加權預期報酬,15839.822634939975615
風險,230078.027453559043352
二次加權趨勢值,0.068845438263926
一次趨勢線,6775.426575920065261 x + 10000000.000000000000000
一次預期報酬,6775.426575920065261
一次風險,497262.551555699552409
一次趨勢值,0.013625451091627
找到最佳解世代,2440
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),KO[14](7),TRV[22](14),VZ[26](12),WMT[28](15),
FS( 192 ),3086287.580000000074506,2074295.839999999850988,1911766.699999999953434,2150534.929999999701977,2187843.200000000186265,11410728.250000000000000
FS( 193 ),3069270.020000000018626,2059916.000000000000000,1862421.409999999916181,2133441.219999999739230,2172005.440000000409782,11297054.089999999850988
FS( 194 ),3071701.100000000093132,2061114.319999999832362,1858499.929999999934807,2143366.599999999627471,2204785.919999999925494,11339467.869999999180436
FS( 195 ),3137340.260000000242144,2075494.159999999916181,1866016.100000000093132,2162665.950000000186265,2201471.040000000037253,11442987.509999997913837
FS( 196 ),3155573.359999999869615,2082684.079999999841675,1882682.389999999897555,2156049.030000000260770,2212888.959999999962747,11489877.820000000298023
FS( 197 ),3195281.000000000000000,2101857.199999999720603,1882682.389999999897555,2168180.049999999813735,2234988.160000000149012,11582988.799999998882413
FS( 198 ),3288472.399999999906868,2104853.000000000000000,1908825.589999999850988,2177002.609999999403954,2246774.400000000372529,11725928.000000000000000
FS( 199 ),3412862.660000000149012,2103654.679999999701977,1926472.250000000000000,2176451.200000000186265,2249720.959999999962747,11869161.750000000000000
FS( 200 ),3389362.220000000204891,2107249.640000000130385,1930720.519999999785796,2180311.070000000298023,2255245.759999999776483,11862889.209999999031425
FS( 201 ),3389362.220000000204891,2101857.199999999720603,1934642.000000000000000,2181965.299999999813735,2240881.280000000260770,11848708.000000000000000
FS( 202 ),3479312.180000000167638,2109047.120000000111759,1932027.679999999934807,2186376.580000000074506,2237198.080000000074506,11943961.640000000596046
FS( 203 ),3507674.779999999795109,2115038.719999999739230,1933334.839999999850988,2185273.759999999776483,2232041.600000000558794,11973363.699999999254942
FS( 204 ),3487415.779999999795109,2130616.879999999888241,1912093.489999999990687,2193544.910000000149012,2230568.320000000298023,11954239.380000000819564
FS( 205 ),3469182.680000000167638,2139604.279999999795109,1894446.829999999841675,2186927.989999999292195,2233883.200000000186265,11924044.980000000447035
FS( 206 ),3450139.220000000204891,2141401.760000000242144,1901963.000000000000000,2173694.150000000372529,2237566.400000000372529,11904764.530000001192093
FS( 207 ),3513347.299999999813735,2153984.120000000111759,1923204.350000000093132,2168731.459999999962747,2254140.799999999813735,12013408.030000001192093
FS( 208 ),3556701.560000000055879,2153384.959999999962747,1911113.119999999878928,2131786.989999999292195,2250089.280000000260770,12003075.910000000149012
FS( 209 ),3574934.660000000149012,2176752.199999999720603,1920590.030000000027940,2109730.589999999850988,2253772.480000000447035,12035779.960000000894070
FS( 210 ),3529959.680000000167638,2211503.479999999515712,1916668.549999999813735,2099253.799999999813735,2240144.640000000596046,11997530.150000000372529
FS( 211 ),3470398.220000000204891,2217495.079999999608845,1934642.000000000000000,2108076.359999999403954,2254140.799999999813735,11984752.460000000894070
FS( 212 ),3581012.359999999869615,2221090.040000000037253,1938890.269999999785796,2124067.250000000000000,2260033.919999999925494,12125093.839999999850988
FS( 213 ),3642599.720000000204891,2209706.000000000000000,1937256.320000000065193,2120758.790000000037253,2233883.200000000186265,12144204.030000001192093
FS( 214 ),3613831.939999999944121,2200718.599999999627471,1935295.579999999841675,2116898.919999999925494,2219518.719999999739230,12086263.759999997913837
FS( 215 ),3668126.060000000055879,2201317.760000000242144,1924184.719999999972060,2076645.989999999757856,2234619.839999999850988,12104894.369999999180436
FS( 216 ),3682712.540000000037253,2183342.959999999962747,1897061.149999999906868,2065617.790000000037253,2214730.560000000521541,12043465.000000001862645
FS( 217 ),3637737.560000000055879,2157579.079999999608845,1887257.449999999953434,2029224.729999999748543,2207364.160000000149012,11919162.980000000447035
FS( 218 ),3624771.799999999813735,2160574.879999999888241,1900982.630000000121072,2061206.510000000009313,2202576.000000000000000,11950111.820000000298023
FS( 219 ),3604917.979999999981374,2163570.679999999701977,1931374.100000000093132,2070580.479999999748543,2215098.879999999888241,11985542.120000001043081
FS( 220 ),3503217.799999999813735,2155182.439999999944121,1899348.679999999934807,2054589.589999999850988,2201471.040000000037253,11813809.550000000745058
FS( 221 ),3358163.359999999869615,2170161.439999999944121,1933334.839999999850988,2063963.559999999823049,2231304.959999999962747,11756928.160000000149012
FS( 222 ),3529149.319999999832362,2215697.599999999627471,1960458.409999999916181,2081057.270000000018626,2278818.240000000223517,12065180.839999999850988
FS( 223 ),3521450.899999999906868,2222288.360000000335276,1943465.329999999841675,2076645.989999999757856,2285816.320000000298023,12049666.900000000372529
FS( 224 ),3400302.080000000074506,2211503.479999999515712,2016339.500000000000000,2103665.080000000074506,2274398.400000000372529,12006208.540000000968575
FS( 225 ),3316429.819999999832362,2221090.040000000037253,2050652.449999999953434,2135646.859999999403954,2300180.799999999813735,12023999.969999998807907
FS( 226 ),3309136.580000000074506,2207908.520000000018626,2055881.089999999850988,2126824.299999999813735,2192999.679999999701977,11892750.169999998062849
FS( 227 ),3243092.240000000223517,2220490.879999999888241,2070913.429999999934807,2178105.429999999701977,2127807.040000000037253,11840409.019999999552965
FS( 228 ),3530770.040000000037253,2245056.439999999944121,2084311.820000000065193,2177002.609999999403954,2112705.919999999925494,12149846.830000000074506
FS( 229 ),3517399.100000000093132,2267824.520000000018626,2116664.030000000260770,2213395.669999999925494,2171268.799999999813735,12286552.120000001043081
FS( 230 ),3490252.040000000037253,2295985.040000000037253,2091827.990000000223517,2218358.359999999403954,2174215.360000000335276,12270638.789999999105930
FS( 231 ),3380448.260000000242144,2286398.479999999515712,2101958.479999999515712,2226629.509999999776483,2169795.519999999552965,12165230.250000000000000
FS( 232 ),3369508.399999999906868,2304972.439999999944121,2111108.599999999627471,2236554.889999999664724,2175688.640000000596046,12197832.969999998807907
FS( 233 ),3391793.299999999813735,2311563.199999999720603,2115683.660000000149012,2238760.530000000260770,2173478.719999999739230,12231279.410000000149012
FS( 234 ),3367887.680000000167638,2319951.439999999944121,2116010.450000000186265,2240966.169999999925494,2172742.080000000074506,12217557.820000000298023
FS( 235 ),3271860.020000000018626,2306769.919999999925494,2107840.700000000186265,2220012.589999999850988,2162060.799999999813735,12068544.030000001192093
FS( 236 ),3296170.819999999832362,2315158.160000000149012,2110781.810000000521541,2234900.660000000149012,2180108.480000000447035,12137119.930000001564622
FS( 237 ),3288877.580000000074506,2310964.040000000037253,2104246.009999999776483,2236003.479999999515712,2174952.000000000000000,12115043.109999999403954
FS( 238 ),3294550.100000000093132,2300179.160000000149012,2088886.880000000121072,2219461.179999999701977,2174215.360000000335276,12077292.679999999701977
FS( 239 ),3302248.520000000018626,2319352.279999999795109,2112415.759999999776483,2236003.479999999515712,2180108.480000000447035,12150128.519999999552965
FS( 240 ),3280368.799999999813735,2321149.760000000242144,2111762.179999999701977,2269639.489999999292195,2188579.839999999850988,12171500.070000000298023
FS( 241 ),3231342.020000000018626,2303174.959999999962747,2107187.120000000111759,2254751.419999999925494,2175688.640000000596046,12072144.160000000149012
FS( 242 ),3201763.879999999888241,2293588.399999999906868,2096403.050000000046566,2263573.979999999515712,2186001.600000000558794,12041330.910000000149012
FS( 243 ),3160840.700000000186265,2286997.640000000130385,2078756.389999999897555,2254200.009999999776483,2180108.480000000447035,11960903.219999998807907
FS( 244 ),3068459.660000000149012,2250448.879999999888241,2049018.500000000000000,2281219.099999999627471,2271820.160000000149012,11920966.300000000745058
FS( 245 ),3070080.379999999888241,2218693.399999999906868,2032025.419999999925494,2290041.660000000149012,2299444.160000000149012,11910285.019999999552965
FS( 246 ),3248764.760000000242144,2232474.079999999608845,2049018.500000000000000,2279564.870000000111759,2321911.679999999701977,12131733.890000000596046
FS( 247 ),3224048.779999999795109,2222887.520000000018626,2052939.979999999981374,2282321.919999999925494,2347325.759999999776483,12129523.959999999031425
FS( 248 ),3302653.700000000186265,2222887.520000000018626,2052939.979999999981374,2282321.919999999925494,2347325.759999999776483,12208128.880000000819564
FS( 249 ),3272265.200000000186265,2263630.399999999906868,2065031.209999999962747,2282321.919999999925494,2396680.639999999664724,12279929.370000001043081
FS( 250 ),3254842.459999999962747,2254043.839999999850988,2045750.600000000093132,2285630.379999999888241,2405520.320000000298023,12245787.600000001490116
FS( 251 ),3312378.020000000018626,2260634.599999999627471,2054900.719999999972060,2302172.679999999701977,2419148.160000000149012,12349234.179999999701977
FS( 252 ),3352490.839999999850988,2248651.399999999906868,2022548.510000000009313,2283976.150000000372529,2410308.480000000447035,12317975.380000000819564
FS( 253 ),3343982.060000000055879,2239064.839999999850988,2042155.909999999916181,2296107.169999999925494,2424304.639999999664724,12345614.620000001043081
