代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13738304.899999998509884
真實報酬,3738304.899999998509884

夏普值報酬,0.365130490000000
夏普值風險,0.089444289959641
夏普值,4.082211286653984

二次趨勢線,0.526337923128876 x^2 + 14639.901886582387306 x + 10000000.000000000000000
二次加權預期報酬,14816.400536804929288
風險,176518.470948259899160
二次加權趨勢值,0.083936828011318
一次趨勢線,14739.181984933507920 x + 10000000.000000000000000
一次預期報酬,14739.181984933507920
一次風險,176557.787257595540723
一次趨勢值,0.083480781073843
找到最佳解世代,2130
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](1),TRV[22](3),V[25](2),VZ[26](9),WMT[28](8),
FS( 193 ),2930843.779999999329448,2374271.100000000093132,2649754.020000000018626,2337833.759999999776483,2552792.599999999627471,12845495.259999997913837
FS( 194 ),2911016.959999999962747,2369547.289999999571592,2653845.669999999925494,2315064.399999999441206,2519010.830000000074506,12768485.150000000372529
FS( 195 ),2913050.479999999515712,2373180.990000000223517,2632569.090000000316650,2333068.080000000074506,2508432.700000000186265,12760301.339999999850988
FS( 196 ),2883564.439999999478459,2432773.669999999925494,2689852.189999999944121,2342599.439999999478459,2527200.349999999627471,12875990.089999997988343
FS( 197 ),2900340.979999999515712,2454212.500000000465661,2730768.689999999944121,2377018.240000000223517,2527541.580000000074506,12989881.990000000223517
FS( 198 ),2963888.479999999515712,2487279.169999999925494,2761046.900000000372529,2413555.119999999180436,2564053.190000000409782,13189822.859999999403954
FS( 199 ),3022860.559999999590218,2492002.979999999981374,2746316.959999999962747,2357955.519999999552965,2542214.469999999739230,13161350.489999998360872
FS( 200 ),2994899.659999999217689,2488369.280000000260770,2738951.989999999757856,2360603.119999999180436,2524811.740000000223517,13107635.789999999105930
FS( 201 ),2992357.759999999776483,2487642.539999999571592,2734860.340000000316650,2378077.279999999329448,2523446.820000000298023,13116384.739999998360872
FS( 202 ),3023368.939999999478459,2479285.030000000260770,2757773.580000000074506,2397140.000000000000000,2537778.480000000447035,13195346.030000001192093
FS( 203 ),3013709.719999999739230,2487279.169999999925494,2753681.929999999701977,2408789.439999999478459,2550745.219999999739230,13214205.479999996721745
FS( 204 ),3020827.040000000037253,2493093.089999999850988,2761865.229999999981374,2416732.240000000223517,2540508.320000000298023,13233025.919999999925494
FS( 205 ),3019301.899999999441206,2486189.060000000055879,2736497.000000000000000,2418850.319999999366701,2550403.990000000223517,13211242.269999997690320
FS( 206 ),3036078.439999999478459,2488369.280000000260770,2752863.600000000093132,2415673.199999999254942,2534024.950000000186265,13227009.469999998807907
FS( 207 ),3008117.540000000037253,2462933.379999999888241,2711128.770000000018626,2414084.639999999664724,2531636.339999999850988,13127900.669999998062849
FS( 208 ),3044212.519999999552965,2485825.689999999944121,2739770.319999999832362,2423086.479999999515712,2524470.509999999776483,13217365.519999997690320
FS( 209 ),3069123.139999999664724,2480375.140000000130385,2747135.290000000037253,2413025.599999999627471,2518328.370000000111759,13227987.539999999105930
FS( 210 ),3079290.740000000223517,2509808.109999999869615,2797053.419999999925494,2425734.080000000074506,2526859.120000000111759,13338745.469999998807907
FS( 211 ),3067089.620000000111759,2496363.419999999925494,2782323.479999999981374,2428381.679999999701977,2516622.219999999739230,13290780.419999998062849
FS( 212 ),3140296.339999999850988,2507627.890000000130385,2833878.270000000018626,2450621.519999999552965,2531977.570000000298023,13464401.589999999850988
FS( 213 ),3138771.200000000186265,2517438.879999999888241,2857609.840000000316650,2502514.479999999515712,2549721.530000000260770,13566055.929999999701977
FS( 214 ),3212994.679999999701977,2527613.240000000223517,2869884.790000000037253,2491394.559999999590218,2563711.959999999962747,13665599.230000000447035
FS( 215 ),3145888.519999999552965,2526886.500000000465661,2837969.919999999925494,2465977.599999999627471,2567806.719999999739230,13544529.259999997913837
FS( 216 ),3098609.179999999701977,2518892.359999999869615,2797871.750000000000000,2441619.679999999701977,2529930.190000000409782,13386923.160000000149012
FS( 217 ),3037095.200000000186265,2521799.320000000298023,2810965.030000000260770,2424145.519999999552965,2573607.629999999888241,13367612.699999999254942
FS( 218 ),2999983.459999999962747,2513078.439999999944121,2844516.559999999590218,2393433.360000000335276,2559617.200000000186265,13310629.019999999552965
FS( 219 ),3027944.360000000335276,2497090.160000000149012,2846153.220000000204891,2362721.199999999254942,2586915.599999999627471,13320824.539999999105930
FS( 220 ),3083357.779999999329448,2535970.750000000465661,2861701.489999999757856,2356366.959999999962747,2632640.419999999925494,13470037.400000000372529
FS( 221 ),3094033.759999999776483,2561406.649999999906868,2887888.049999999813735,2334127.119999999180436,2624450.899999999441206,13501906.480000000447035
FS( 222 ),3120977.899999999441206,2593746.580000000074506,2916529.600000000093132,2368016.399999999441206,2628545.660000000149012,13627816.140000000596046
FS( 223 ),3141821.479999999515712,2686769.299999999813735,2902617.989999999757856,2424145.519999999552965,2612507.849999999627471,13767862.139999998733401
FS( 224 ),3146396.899999999441206,2671144.390000000130385,2863338.150000000372529,2391315.279999999329448,2580432.230000000447035,13652626.949999999254942
FS( 225 ),3154022.599999999627471,2688586.149999999906868,2843698.229999999981374,2370664.000000000000000,2581455.919999999925494,13638426.900000000372529
FS( 226 ),3139279.580000000074506,2666420.580000000074506,2795416.759999999776483,2333597.599999999627471,2551086.450000000186265,13485800.969999998807907
FS( 227 ),3115385.719999999739230,2659153.180000000167638,2792143.439999999944121,2342069.919999999925494,2553133.830000000074506,13461886.089999999850988
FS( 228 ),3074715.319999999366701,2620635.959999999962747,2814238.350000000093132,2343128.959999999962747,2570195.330000000074506,13422913.919999999925494
FS( 229 ),3052346.599999999627471,2600287.240000000223517,2829786.619999999646097,2368545.919999999925494,2563029.500000000000000,13413995.879999998956919
FS( 230 ),3120469.519999999552965,2577758.299999999813735,2838788.250000000000000,2363780.240000000223517,2559958.429999999701977,13460754.740000000223517
FS( 231 ),3165206.959999999962747,2551959.030000000260770,2943534.489999999757856,2390256.240000000223517,2506385.320000000298023,13557342.040000000968575
FS( 232 ),3153005.839999999850988,2529793.459999999962747,2933714.530000000260770,2357426.000000000000000,2483181.679999999701977,13457121.509999999776483
FS( 233 ),3171307.519999999552965,2511261.589999999850988,2895253.020000000018626,2340481.360000000335276,2495807.190000000409782,13414110.679999999701977
FS( 234 ),3183508.639999999664724,2549778.810000000055879,2943534.489999999757856,2345776.559999999590218,2516963.450000000186265,13539561.949999999254942
FS( 235 ),3151480.700000000186265,2496726.789999999571592,2916529.600000000093132,2286999.839999999850988,2494783.500000000000000,13346520.429999999701977
FS( 236 ),3094033.759999999776483,2507264.520000000018626,2906709.640000000130385,2256287.679999999701977,2473286.009999999776483,13237581.609999999403954
FS( 237 ),3099117.559999999590218,2506537.780000000260770,2923894.569999999832362,2257876.240000000223517,2467485.099999999627471,13254911.250000000000000
FS( 238 ),3109285.159999999217689,2486552.430000000167638,2930441.209999999962747,2253640.080000000074506,2473286.009999999776483,13253204.890000000596046
FS( 239 ),3222145.519999999552965,2479285.030000000260770,2914074.609999999869615,2252581.040000000037253,2450423.599999999627471,13318509.799999998882413
FS( 240 ),3125044.939999999478459,2473471.109999999869615,2863338.150000000372529,2236695.439999999478459,2433362.099999999627471,13131911.739999998360872
FS( 241 ),3113860.580000000074506,2482555.359999999869615,2864156.479999999981374,2208101.360000000335276,2344983.530000000260770,13013657.310000002384186
FS( 242 ),3158089.639999999664724,2494546.570000000298023,2919802.919999999925494,2192215.759999999776483,2321438.660000000149012,13086093.549999998882413
FS( 243 ),3219603.620000000111759,2526886.500000000465661,2979541.009999999776483,2266878.080000000074506,2355220.429999999701977,13348129.640000000596046
FS( 244 ),3244514.240000000223517,2530520.200000000186265,2994270.950000000186265,2267407.599999999627471,2354537.969999999739230,13391250.960000000894070
FS( 245 ),3258240.500000000000000,2551595.660000000149012,3000817.590000000316650,2285411.279999999329448,2350784.440000000409782,13446849.469999998807907
FS( 246 ),3295352.239999999292195,2589749.509999999776483,3030277.470000000204891,2317182.479999999515712,2395485.570000000298023,13628047.269999999552965
FS( 247 ),3287726.540000000037253,2574851.339999999850988,3012274.209999999962747,2292824.559999999590218,2385589.899999999441206,13553266.549999997019768
FS( 248 ),3261799.159999999217689,2573761.229999999981374,3003272.580000000074506,2275879.919999999925494,2371599.469999999739230,13486312.359999999403954
FS( 249 ),3295860.620000000111759,2578485.039999999571592,3013092.540000000037253,2306592.080000000074506,2407769.849999999627471,13601800.129999998956919
FS( 250 ),3265866.199999999254942,2586479.180000000167638,3031914.129999999888241,2330420.479999999515712,2416983.059999999590218,13631663.049999997019768
FS( 251 ),3308061.739999999292195,2573397.859999999869615,3063010.669999999925494,2336245.199999999254942,2457589.429999999701977,13738304.899999998509884
