代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15624614.760000001639128
真實報酬,5624614.760000001639128

夏普值報酬,0.553761476000000
夏普值風險,0.159136080577673
夏普值,3.479798383809724

二次趨勢線,31.891056806659567 x^2 + 19834.716825053015782 x + 10000000.000000000000000
二次加權預期報酬,30528.851207552834239
風險,357554.840376997890417
二次加權趨勢值,0.085382290379187
一次趨勢線,25850.143639570273081 x + 10000000.000000000000000
一次預期報酬,25850.143639570273081
一次風險,422856.772740586835425
一次趨勢值,0.061132149952411
找到最佳解世代,1739
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),MRK[17](3),MSFT[18](2),V[25](5),WMT[28](28),
FS( 192 ),4125475.580000000074506,2157579.520000000484288,3088049.000000000000000,3108085.759999999776483,2143010.179999999701977,14622200.040000000968575
FS( 193 ),4171382.180000000167638,2296165.080000000074506,3147499.099999999627471,3135307.519999999552965,2163624.259999999776483,14913978.139999998733401
FS( 194 ),4241772.299999999813735,2301089.440000000409782,3193488.799999999813735,3186548.479999999515712,2202275.660000000149012,15125174.679999999701977
FS( 195 ),4247893.180000000633299,2292647.680000000633299,3199097.299999999813735,3189751.040000000037253,2200987.280000000260770,15130376.480000000447035
FS( 196 ),4403975.620000000111759,2351740.000000000000000,3251817.200000000186265,3248998.399999999441206,2233196.780000000260770,15489728.000000000000000
FS( 197 ),4437640.459999999962747,2364402.639999999664724,3254060.600000000558794,3245795.839999999850988,2246510.040000000037253,15548409.579999998211861
FS( 198 ),4443761.339999999850988,2336966.919999999925494,3266399.299999999813735,3234586.879999999888241,2274854.400000000372529,15556568.839999997988343
FS( 199 ),4416217.379999999888241,2320083.399999999441206,3293320.099999999627471,3199358.719999999739230,2286449.820000000298023,15515429.419999998062849
FS( 200 ),4469775.080000000074506,2328525.160000000149012,3323606.000000000000000,3202561.280000000260770,2284731.980000000447035,15609199.500000000000000
FS( 201 ),4517211.899999999441206,2378472.240000000223517,3313510.700000000186265,3184947.200000000186265,2283014.139999999664724,15677156.179999999701977
FS( 202 ),4524863.000000000000000,2412239.280000000260770,3365108.900000000372529,3224979.200000000186265,2304487.139999999664724,15831677.519999999552965
FS( 203 ),4501909.700000000186265,2472035.080000000074506,3377447.599999999627471,3218574.080000000074506,2325530.679999999701977,15895497.139999998733401
FS( 204 ),4382552.540000000037253,2485401.200000000186265,3340431.500000000000000,3210567.679999999701977,2342279.620000000111759,15761232.539999999105930
FS( 205 ),4370310.779999999329448,2564894.440000000409782,3322484.299999999813735,3202561.280000000260770,2331113.660000000149012,15791364.460000000894070
FS( 206 ),4500379.480000000447035,2562080.520000000484288,3358378.700000000186265,3220175.360000000335276,2348292.059999999590218,15989306.120000001043081
FS( 207 ),4469775.080000000074506,2548010.919999999925494,3355013.600000000558794,3228181.759999999776483,2355592.879999999888241,15956574.240000002086163
FS( 208 ),4463654.200000000186265,2572632.719999999739230,3341553.200000000186265,3274618.879999999888241,2360316.940000000409782,16012775.940000001341105
FS( 209 ),4385612.980000000447035,2552935.280000000260770,3277616.299999999813735,3215371.519999999552965,2346144.759999999776483,15777680.839999999850988
FS( 210 ),4370310.779999999329448,2547307.440000000409782,3298928.600000000558794,3242593.280000000260770,2342709.080000000074506,15801849.180000001564622
FS( 211 ),4306041.540000000037253,2594440.600000000558794,3366230.600000000558794,3321056.000000000000000,2351298.280000000260770,15939067.020000003278255
FS( 212 ),4289209.120000000111759,2588812.759999999776483,3340431.500000000000000,3292232.959999999962747,2343568.000000000000000,15854254.339999999850988
FS( 213 ),4295330.000000000000000,2586702.320000000298023,3346040.000000000000000,3204162.560000000521541,2337985.019999999552965,15770219.900000000372529
FS( 214 ),4226470.100000000558794,2581777.959999999962747,3362865.500000000000000,3213770.240000000223517,2329395.820000000298023,15714279.620000001043081
FS( 215 ),4130066.239999999757856,2581777.959999999962747,3341553.200000000186265,3199358.719999999739230,2359028.559999999590218,15611784.679999995976686
FS( 216 ),4149959.100000000093132,2557156.160000000149012,3316875.799999999813735,3202561.280000000260770,2336696.639999999664724,15563248.980000000447035
FS( 217 ),4324404.180000000633299,2613434.559999999590218,3332579.600000000558794,3273017.600000000558794,2322095.000000000000000,15865530.940000001341105
FS( 218 ),4293799.779999999329448,2640870.280000000260770,3350526.799999999813735,3295435.519999999552965,2348721.519999999552965,15929353.899999998509884
FS( 219 ),4255544.279999999329448,2607806.719999999739230,3348283.400000000372529,3257004.799999999813735,2347003.679999999701977,15815642.879999998956919
FS( 220 ),4306041.540000000037253,2657050.320000000298023,3377447.599999999627471,3393113.600000000558794,2322095.000000000000000,16055748.060000002384186
FS( 221 ),4244832.739999999292195,2673230.360000000335276,3367352.299999999813735,3449158.399999999441206,2318229.860000000335276,16052803.659999996423721
FS( 222 ),4263195.379999999888241,2655643.360000000335276,3376325.900000000372529,3484386.560000000521541,2289885.500000000000000,16069436.700000001117587
FS( 223 ),4194335.480000000447035,2622579.799999999813735,3320240.900000000372529,3484386.560000000521541,2265835.740000000223517,15887378.480000000447035
FS( 224 ),4272376.700000000186265,2631021.559999999590218,3405490.099999999627471,3561248.000000000000000,2269700.879999999888241,16139837.239999998360872
FS( 225 ),4333585.500000000000000,2651422.479999999515712,3423437.299999999813735,3503601.919999999925494,2293321.179999999701977,16205368.379999998956919
FS( 226 ),4379492.100000000558794,2655643.360000000335276,3457088.299999999813735,3455563.519999999552965,2290744.419999999925494,16238531.700000001117587
FS( 227 ),4417747.600000000558794,2620469.360000000335276,3468305.300000000745058,3449158.399999999441206,2289885.500000000000000,16245566.160000000149012
FS( 228 ),4569239.379999999888241,2602178.879999999888241,3477278.900000000372529,3453962.240000000223517,2301910.379999999888241,16404569.780000001192093
FS( 229 ),4625857.520000000484288,2623283.280000000260770,3496347.800000000745058,3473177.600000000558794,2318229.860000000335276,16536896.060000002384186
FS( 230 ),4570769.600000000558794,2609917.160000000149012,3521025.200000000186265,3524418.560000000521541,2323812.839999999850988,16549943.360000001266599
FS( 231 ),4625857.520000000484288,2607103.240000000223517,3472792.100000000558794,3529222.399999999441206,2331972.580000000074506,16566947.840000001713634
FS( 232 ),4605964.660000000149012,2570522.280000000260770,3418950.500000000000000,3502000.640000000596046,2295468.480000000447035,16392906.560000002384186
FS( 233 ),4677885.000000000000000,2603585.839999999850988,3471670.400000000372529,3529222.399999999441206,2328966.360000000335276,16611330.000000000000000
FS( 234 ),4687066.319999999366701,2614138.040000000037253,3472792.100000000558794,3487589.120000000111759,2305775.519999999552965,16567361.100000001490116
FS( 235 ),4612085.540000000037253,2649312.040000000037253,3451479.799999999813735,3441152.000000000000000,2300622.000000000000000,16454651.379999998956919
FS( 236 ),4602904.219999999739230,2653532.919999999925494,3415585.400000000372529,3473177.600000000558794,2301910.379999999888241,16447110.519999999552965
FS( 237 ),4633508.620000000111759,2652125.959999999962747,3439141.100000000558794,3482785.280000000260770,2290314.959999999962747,16497875.920000001788139
FS( 238 ),4593722.899999999441206,2662678.160000000149012,3395394.799999999813735,3473177.600000000558794,2328107.440000000409782,16453080.900000002235174
FS( 239 ),4540165.200000000186265,2641573.759999999776483,3372960.799999999813735,3457164.799999999813735,2350439.360000000335276,16362303.919999998062849
FS( 240 ),4604434.439999999478459,2738654.000000000000000,3404368.400000000372529,3489190.399999999441206,2362464.240000000223517,16599111.479999998584390
FS( 241 ),4578420.700000000186265,2813222.879999999888241,3472792.100000000558794,3500399.360000000335276,2328107.440000000409782,16692942.480000000447035
FS( 242 ),4501909.700000000186265,2776641.919999999925494,3461575.099999999627471,3449158.399999999441206,2305346.059999999590218,16494631.179999995976686
FS( 243 ),4700838.299999999813735,2857542.120000000111759,3488495.900000000372529,3516412.160000000149012,2320377.160000000149012,16883665.640000000596046
FS( 244 ),4628917.959999999962747,2886384.799999999813735,3431289.200000000186265,3500399.360000000335276,2313076.339999999850988,16760067.660000000149012
FS( 245 ),4547816.299999999813735,2819554.200000000186265,3366230.600000000558794,3380303.360000000335276,2272707.100000000558794,16386611.560000002384186
FS( 246 ),4322873.959999999962747,2734433.120000000111759,3248452.100000000558794,3311448.320000000298023,2273566.019999999552965,15890773.519999999552965
FS( 247 ),4439170.680000000633299,2726694.839999999850988,3288833.299999999813735,3284226.560000000521541,2270989.259999999776483,16009914.640000000596046
FS( 248 ),4501909.700000000186265,2714032.200000000186265,3309023.900000000372529,3248998.399999999441206,2302339.839999999850988,16076304.039999999105930
FS( 249 ),4544755.859999999403954,2718253.080000000074506,3328092.800000000745058,3359486.719999999739230,2293321.179999999701977,16243909.640000000596046
FS( 250 ),4356538.799999999813735,2671119.919999999925494,3270886.100000000558794,3308245.759999999776483,2259393.839999999850988,15866184.419999999925494
FS( 251 ),4198926.140000000596046,2685893.000000000000000,3160959.500000000000000,3284226.560000000521541,2294609.559999999590218,15624614.760000001639128
