代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13847660.009999999776483
真實報酬,3847660.009999999776483

夏普值報酬,0.376066001000000
夏普值風險,0.090255913669741
夏普值,4.166663276780692

二次趨勢線,0.879192050770232 x^2 + 14615.475195487097153 x + 10000000.000000000000000
二次加權預期報酬,14911.469852579741200
風險,175594.643760909966659
二次加權趨勢值,0.084919844553364
一次趨勢線,14781.971537236329823 x + 10000000.000000000000000
一次預期報酬,14781.971537236329823
一次風險,175706.662307641818188
一次趨勢值,0.084128691212373
找到最佳解世代,1877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](9),BA[2](5),CAT[3](7),DD[7](1),MRK[17](12),UNH[23](18),V[25](3),
FS( 148 ),1582108.080000000074506,2172037.700000000186265,1304108.440000000176951,1724684.649999999906868,1595450.800000000046566,1911429.279999999795109,1727153.479999999748543,12016975.430000001564622
FS( 149 ),1619272.879999999888241,2176658.950000000186265,1309737.400000000139698,1720585.100000000093132,1633317.100000000093132,1937320.519999999785796,1746311.919999999925494,12143206.869999999180436
FS( 150 ),1624615.319999999832362,2178322.599999999627471,1314584.559999999823049,1737929.350000000093132,1620918.399999999906868,1937053.599999999627471,1733660.119999999878928,12147086.949999999254942
FS( 151 ),1604174.680000000167638,2130261.599999999627471,1313020.959999999962747,1741082.850000000093132,1620583.300000000046566,1935718.999999999767169,1704741.719999999739230,12049587.109999999403954
FS( 152 ),1602781.000000000000000,2166492.200000000186265,1316617.239999999990687,1795953.750000000000000,1616226.999999999767169,1948264.239999999757856,1721369.799999999813735,12167708.230000000447035
FS( 153 ),1618576.040000000270084,2157064.849999999627471,1306141.120000000111759,1767256.899999999906868,1604833.599999999860302,1926376.800000000046566,1683775.879999999655411,12064028.189999999478459
FS( 154 ),1596044.879999999888241,2133958.599999999627471,1295508.639999999897555,1730045.600000000093132,1600142.199999999953434,1907959.320000000065193,1649435.279999999795109,11913097.519999997690320
FS( 155 ),1614627.280000000027940,2116028.150000000372529,1305984.760000000009313,1748020.550000000046566,1584057.400000000139698,1905290.119999999878928,1661364.119999999878928,11935375.379999998956919
FS( 156 ),1624847.600000000093132,2197916.700000000186265,1324904.320000000065193,1814244.050000000046566,1591429.600000000093132,1974689.320000000065193,1708356.519999999785796,12236391.109999999403954
FS( 157 ),1635300.200000000186265,2180910.500000000000000,1338664.000000000000000,1844517.650000000139698,1584727.599999999860302,1982429.999999999767169,1736913.439999999711290,12303466.390000000596046
FS( 158 ),1645985.080000000074506,2208268.299999999813735,1348514.679999999934807,1833165.050000000046566,1566632.199999999953434,1994441.399999999906868,1748119.319999999832362,12345129.029999999329448
FS( 159 ),1654811.719999999972060,2184607.500000000000000,1340853.040000000037253,1815820.800000000046566,1560600.399999999906868,1971753.199999999953434,1729322.359999999869615,12257772.019999997690320
FS( 160 ),1662941.520000000018626,2224535.099999999627471,1348983.760000000009313,1847040.449999999953434,1580706.399999999906868,2006986.639999999897555,1768000.719999999739230,12439197.589999999850988
FS( 161 ),1674090.959999999729916,2260580.849999999627471,1342416.639999999897555,1858708.399999999906868,1578695.800000000046566,1905023.199999999953434,1791858.399999999906868,12411377.250000000000000
FS( 162 ),1688724.600000000093132,2264832.399999999441206,1365714.280000000027940,1855239.550000000046566,1561940.800000000046566,1835357.080000000074506,1811378.319999999832362,12383190.029999999329448
FS( 163 ),1730070.440000000176951,2245423.150000000372529,1371343.239999999990687,1857447.000000000000000,1558589.799999999813735,1820409.560000000055879,1807763.519999999785796,12391049.710000000894070
FS( 164 ),1725192.559999999823049,2264093.000000000000000,1394328.160000000149012,1865961.449999999953434,1557249.399999999906868,1838026.279999999795109,1807402.039999999804422,12452255.889999998733401
FS( 165 ),1741916.719999999972060,2384984.900000000372529,1309737.400000000139698,1842940.899999999906868,1560265.300000000046566,1815338.080000000074506,1797280.599999999860302,12452466.900000000372529
FS( 166 ),1765144.719999999972060,2384245.500000000000000,1321777.120000000111759,1824335.250000000000000,1548871.899999999906868,1804661.279999999795109,1833790.079999999608845,12482828.849999999627471
FS( 167 ),1745400.919999999925494,2425097.349999999627471,1325529.760000000009313,1774825.300000000046566,1559595.099999999860302,1804928.199999999953434,1835236.000000000000000,12470615.629999998956919
FS( 168 ),1758408.600000000093132,2400882.000000000000000,1317868.120000000111759,1756535.000000000000000,1519718.199999999953434,1786777.639999999897555,1835236.000000000000000,12375428.560000000521541
FS( 169 ),1714507.680000000167638,2396815.299999999813735,1314584.559999999823049,1771987.149999999906868,1527425.500000000000000,1817206.519999999785796,1845718.919999999925494,12388248.629999998956919
FS( 170 ),1741916.719999999972060,2397185.000000000000000,1305515.679999999934807,1763157.349999999860302,1516032.100000000093132,1815338.080000000074506,1842104.119999999878928,12381252.049999998882413
FS( 171 ),1734483.760000000009313,2412342.700000000186265,1303483.000000000000000,1772617.850000000093132,1511005.600000000093132,1822011.080000000074506,1777399.199999999953434,12333346.189999999478459
FS( 172 ),1725657.120000000111759,2459109.750000000000000,1307079.280000000027940,1749281.949999999953434,1515696.999999999767169,1831887.119999999878928,1799810.959999999729916,12388526.179999997839332
FS( 173 ),1747956.000000000000000,2454673.349999999627471,1311770.080000000074506,1724684.649999999906868,1532116.899999999906868,1840428.560000000055879,1775230.319999999832362,12386862.860000001266599
FS( 174 ),1743542.680000000167638,2469091.649999999441206,1314271.840000000083819,1738875.399999999906868,1520053.300000000046566,1834289.399999999906868,1783544.359999999869615,12403671.630000000819564
FS( 175 ),1728676.760000000009313,2460218.849999999627471,1316929.959999999962747,1763157.349999999860302,1540159.300000000046566,1876195.840000000083819,1798726.519999999785796,12484067.579999998211861
FS( 176 ),1700570.879999999888241,2431012.549999999813735,1308017.440000000176951,1736667.949999999953434,1535467.899999999906868,1862049.080000000074506,1772338.479999999748543,12346127.280000001192093
FS( 177 ),1727515.360000000102445,2467612.850000000558794,1317242.679999999934807,1781447.650000000139698,1568307.699999999953434,1881801.159999999916181,1791858.399999999906868,12535788.800000000745058
FS( 178 ),1722405.200000000186265,2449867.250000000000000,1315835.440000000176951,1781132.299999999813735,1575009.699999999953434,1881801.159999999916181,1800895.399999999906868,12526949.450000001117587
FS( 179 ),1725657.120000000111759,2446170.250000000000000,1311144.639999999897555,1766626.200000000186265,1594780.600000000093132,1867120.560000000055879,1791858.399999999906868,12503360.770000001415610
FS( 180 ),1727747.639999999897555,2461697.649999999441206,1316617.239999999990687,1778294.149999999906868,1586403.100000000093132,1895414.080000000074506,1805594.639999999897555,12571771.500000000000000
FS( 181 ),1752601.600000000093132,2497188.849999999627471,1309737.400000000139698,1800999.350000000093132,1602487.899999999906868,1906891.639999999897555,1808847.959999999729916,12678757.699999999254942
FS( 182 ),1742149.000000000000000,2515489.000000000000000,1309424.679999999934807,1806675.649999999906868,1610865.399999999906868,1918369.199999999953434,1825476.039999999804422,12728451.969999998807907
FS( 183 ),1721011.520000000018626,2557634.799999999813735,1314115.480000000214204,1790592.800000000046566,1608854.799999999813735,1913297.720000000204891,1806679.079999999608845,12712189.200000001117587
FS( 184 ),1724031.159999999916181,2532125.500000000000000,1308330.160000000149012,1783024.399999999906868,1610865.399999999906868,1911429.279999999795109,1783905.839999999850988,12653714.740000000223517
FS( 185 ),1708932.959999999729916,2448388.450000000186265,1292850.520000000251457,1763157.349999999860302,1612876.000000000000000,1921305.320000000065193,1790412.479999999748543,12537926.080000001937151
FS( 186 ),1729373.600000000093132,2457261.250000000000000,1284094.360000000102445,1779870.899999999906868,1629295.899999999906868,1946128.879999999888241,1821861.239999999757856,12647889.130000000819564
FS( 187 ),1724960.280000000027940,2513455.650000000372529,1295977.719999999972060,1781132.299999999813735,1640019.099999999860302,1968283.239999999757856,1826560.479999999748543,12750391.770000001415610
FS( 188 ),1737967.959999999729916,2458555.200000000186265,1319744.440000000176951,1751804.750000000000000,1664146.299999999813735,1977091.599999999627471,1824753.079999999608845,12734066.330000000074506
FS( 189 ),1770022.600000000093132,2491458.500000000000000,1319119.000000000000000,1742028.900000000139698,1661465.500000000000000,1989102.999999999767169,1839212.279999999795109,12812412.779999999329448
FS( 190 ),1811600.719999999972060,2490349.400000000372529,1323966.160000000149012,1755904.300000000046566,1669843.000000000000000,1984832.279999999795109,1843550.039999999804422,12880048.899999998509884
FS( 191 ),1845281.319999999832362,2481661.450000000186265,1322871.639999999897555,1754327.550000000046566,1669843.000000000000000,1988035.320000000065193,1838850.799999999813735,12900874.079999998211861
FS( 192 ),1829254.000000000000000,2479997.799999999813735,1317399.040000000037253,1795638.399999999906868,1681571.500000000000000,1979493.879999999888241,1853671.479999999748543,12937029.100000001490116
FS( 193 ),1879194.200000000186265,2440070.200000000186265,1311457.360000000102445,1738875.399999999906868,1667497.299999999813735,1968016.320000000065193,1823307.159999999683350,12828420.940000001341105
FS( 194 ),1874780.879999999888241,2430827.700000000186265,1313020.959999999962747,1746443.800000000046566,1652417.800000000046566,1965880.959999999962747,1832344.159999999683350,12815719.260000001639128
FS( 195 ),1884536.639999999897555,2453564.250000000000000,1319900.800000000046566,1733829.799999999813735,1635662.800000000046566,1941858.159999999916181,1822945.679999999701977,12792301.129999998956919
FS( 196 ),1858289.000000000000000,2498852.500000000000000,1336944.040000000037253,1763472.699999999953434,1655098.599999999860302,1961877.159999999916181,1824391.599999999860302,12898928.599999999627471
FS( 197 ),1879658.760000000009313,2489610.000000000000000,1346169.280000000027940,1832219.000000000000000,1660795.300000000046566,1967749.399999999906868,1821861.239999999757856,12998065.980000000447035
FS( 198 ),1876639.120000000111759,2471494.700000000186265,1351329.160000000149012,1876368.000000000000000,1656439.000000000000000,1976557.759999999776483,1802341.319999999832362,13011172.060000000521541
FS( 199 ),1862702.319999999832362,2450421.799999999813735,1333504.120000000111759,1843571.600000000093132,1640354.199999999953434,1925576.040000000037253,1858732.199999999953434,12914865.279999997466803
FS( 200 ),1860147.239999999990687,2457815.799999999813735,1338038.559999999823049,1830642.250000000000000,1619242.899999999906868,1895414.080000000074506,1838489.319999999832362,12839793.150000000372529
FS( 201 ),1839706.600000000093132,2473897.750000000000000,1345543.840000000083819,1864700.050000000046566,1621253.500000000000000,1881267.320000000065193,1873914.359999999869615,12900286.419999998062849
FS( 202 ),1849926.919999999925494,2490349.400000000372529,1366339.719999999972060,1868168.900000000139698,1611535.600000000093132,1896748.679999999934807,1877529.159999999683350,12960601.380000000819564
FS( 203 ),1841564.840000000083819,2511792.000000000000000,1359147.160000000149012,1895289.000000000000000,1605168.699999999953434,1887940.320000000065193,1927051.919999999925494,13027956.939999999478459
FS( 204 ),1827628.040000000270084,2504582.850000000558794,1378692.160000000149012,1953944.100000000093132,1638678.699999999953434,1931982.119999999878928,1946210.359999999869615,13181721.329999998211861
FS( 205 ),1806722.840000000083819,2498667.649999999441206,1368841.480000000214204,1971603.700000000186265,1634992.599999999860302,1932249.040000000037253,1952717.000000000000000,13165797.309999998658895
FS( 206 ),1821821.040000000270084,2526395.149999999441206,1390575.520000000251457,1966242.750000000000000,1652752.899999999906868,1957873.359999999869615,1951632.559999999823049,13267296.279999999329448
FS( 207 ),1891737.319999999832362,2521404.200000000186265,1406680.599999999860302,1970657.650000000139698,1654093.300000000046566,1984565.359999999869615,1970429.519999999785796,13399570.949999999254942
FS( 208 ),1883839.799999999813735,2529352.750000000000000,1421534.800000000046566,1994939.599999999860302,1655768.799999999813735,1978693.119999999878928,1976574.679999999701977,13440706.549999998882413
FS( 209 ),1871296.680000000167638,2555971.150000000372529,1425287.440000000176951,2014491.300000000046566,1666156.899999999906868,1997911.359999999869615,1989949.439999999711290,13521067.269999999552965
FS( 210 ),1858521.280000000027940,2530646.700000000186265,1420909.360000000102445,2002823.349999999860302,1668502.599999999860302,1993640.639999999897555,1985250.199999999953434,13460297.130000000819564
FS( 211 ),1840171.159999999916181,2512531.399999999441206,1420909.360000000102445,2002823.349999999860302,1673529.099999999860302,1996042.919999999925494,1996456.079999999608845,13442466.369999999180436
FS( 212 ),1861773.200000000186265,2523067.850000000558794,1419971.200000000186265,1993993.549999999813735,1677215.199999999953434,2009922.759999999776483,2012361.199999999953434,13498307.959999999031425
FS( 213 ),1835525.559999999823049,2526395.149999999441206,1405273.360000000102445,1970026.949999999953434,1658449.600000000093132,1990437.599999999627471,1997179.039999999804422,13383290.259999997913837
FS( 214 ),1795108.840000000083819,2543955.900000000372529,1404491.559999999823049,1961197.149999999906868,1666491.999999999767169,2004584.359999999869615,1998624.959999999729916,13374457.769999997690320
FS( 215 ),1804864.600000000093132,2558559.049999999813735,1386041.080000000074506,1957728.300000000046566,1666827.100000000093132,1981629.239999999757856,1986696.119999999878928,13342348.490000000223517
FS( 216 ),1792089.200000000186265,2597377.549999999813735,1390575.520000000251457,1935969.149999999906868,1679225.800000000046566,2042220.080000000074506,2001878.279999999795109,13439338.580000000074506
FS( 217 ),1803470.919999999925494,2603107.899999999441206,1393859.080000000074506,1938176.600000000093132,1668502.599999999860302,2018464.199999999953434,2008384.919999999925494,13433969.219999998807907
FS( 218 ),1780475.200000000186265,2627323.250000000000000,1402771.599999999860302,1913263.949999999953434,1659454.900000000139698,2030742.519999999785796,2005493.079999999608845,13419527.500000000000000
FS( 219 ),1768396.639999999897555,2623071.700000000186265,1415280.400000000139698,1917994.199999999953434,1671518.500000000000000,1993907.560000000055879,1998263.479999999748543,13388435.480000002309680
FS( 220 ),1777687.840000000083819,2600889.700000000186265,1405586.080000000074506,1881413.599999999860302,1780090.899999999906868,1973621.639999999897555,1978382.079999999608845,13397674.839999999850988
FS( 221 ),1813226.680000000167638,2588135.049999999813735,1416062.200000000186265,1915471.400000000139698,1776069.699999999953434,1975756.999999999767169,2011999.719999999739230,13496724.750000000000000
FS( 222 ),1849462.360000000102445,2599410.900000000372529,1444988.800000000046566,1933446.350000000093132,1759984.900000000139698,1997644.439999999944121,2022121.159999999683350,13607061.910000000149012
FS( 223 ),1839242.040000000270084,2591832.049999999813735,1438734.400000000139698,1935023.100000000093132,1759314.699999999953434,1942125.080000000074506,2004047.159999999683350,13510321.529999999329448
FS( 224 ),1794179.719999999972060,2596453.299999999813735,1429821.879999999888241,1934392.400000000139698,1740884.199999999953434,1935718.999999999767169,2098393.439999999478459,13529846.939999999478459
FS( 225 ),1822053.319999999832362,2618820.149999999441206,1416687.639999999897555,2062739.849999999860302,1736863.000000000000000,1952801.879999999888241,2095863.079999999608845,13705831.919999996200204
FS( 226 ),1830183.120000000111759,2668729.650000000372529,1401677.080000000074506,2051387.250000000000000,1720778.199999999953434,1959207.959999999962747,2105623.040000000037253,13737589.300000000745058
FS( 227 ),1845513.600000000093132,2612165.549999999813735,1383539.320000000065193,2008499.649999999906868,1729155.699999999953434,1953869.560000000055879,2062606.919999999925494,13595353.300000000745058
FS( 228 ),1812065.280000000027940,2526025.450000000186265,1347420.160000000149012,1949529.199999999953434,1741889.499999999767169,1911162.359999999869615,1999347.919999999925494,13287442.869999999180436
FS( 229 ),1826698.919999999925494,2539149.799999999813735,1427476.480000000214204,1935653.800000000046566,1760320.000000000000000,1912496.959999999962747,1954162.919999999925494,13355961.880000000819564
FS( 230 ),1680827.080000000074506,2534158.849999999627471,1445926.959999999962747,1933761.699999999953434,1771713.399999999906868,1914098.479999999748543,1996817.559999999823049,13277307.030000001192093
FS( 231 ),1661780.120000000111759,2399033.500000000000000,1417000.360000000102445,2008815.000000000000000,1749596.800000000046566,1902087.080000000074506,1962115.479999999748543,13100431.340000001713634
FS( 232 ),1658528.200000000186265,2338957.250000000000000,1457341.239999999990687,2034989.050000000046566,1793159.799999999813735,1943192.759999999776483,1996094.599999999860302,13222265.899999998509884
FS( 233 ),1661083.280000000027940,2315481.299999999813735,1468442.800000000046566,2043818.850000000093132,1775064.399999999906868,1929312.919999999925494,1946933.319999999832362,13140139.870000001043081
FS( 234 ),1664335.200000000186265,2275184.000000000000000,1445145.160000000149012,2006922.899999999906868,1745240.500000000000000,1888207.239999999757856,1929220.799999999813735,12954258.800000000745058
FS( 235 ),1688260.040000000270084,2255959.599999999627471,1446396.040000000037253,2019221.550000000046566,1793159.799999999813735,1882068.080000000074506,1938980.759999999776483,13024048.869999999180436
FS( 236 ),1701035.440000000176951,2244129.200000000186265,1437952.599999999860302,2014175.949999999953434,1793830.000000000000000,1890342.599999999627471,1948379.239999999757856,13029848.030000001192093
FS( 237 ),1700803.159999999916181,2267605.150000000372529,1467191.919999999925494,2047287.699999999953434,1801872.400000000139698,1891677.199999999953434,1979105.039999999804422,13155545.569999998435378
FS( 238 ),1724495.719999999972060,2348014.899999999441206,1483453.360000000102445,2047918.399999999906868,1835382.400000000139698,1904756.279999999795109,2004408.639999999897555,13348432.699999999254942
FS( 239 ),1755388.959999999729916,2350602.799999999813735,1477668.040000000037253,2058640.300000000046566,1839403.599999999860302,1861515.239999999757856,1993202.759999999776483,13336424.699999999254942
FS( 240 ),1778616.959999999729916,2406057.799999999813735,1484860.599999999860302,2103420.000000000000000,1866546.699999999953434,1885004.199999999953434,2009107.879999999655411,13533617.139999996870756
FS( 241 ),1778384.680000000167638,2368533.250000000000000,1503780.160000000149012,2082606.900000000139698,1843089.699999999953434,1874861.239999999757856,2025735.959999999729916,13476994.889999998733401
FS( 242 ),1806722.840000000083819,2393857.700000000186265,1502842.000000000000000,2079453.399999999906868,1846440.699999999953434,1900752.479999999748543,2024651.519999999785796,13554723.639999998733401
FS( 243 ),1805096.879999999888241,2406057.799999999813735,1509721.840000000083819,2097743.699999999720603,1857834.099999999860302,1962410.999999999767169,2042364.039999999804422,13681232.359999997541308
FS( 244 ),1811833.000000000000000,2414745.750000000000000,1509878.200000000186265,2100897.200000000186265,1866211.599999999860302,1970685.519999999785796,2043087.000000000000000,13717341.269999999552965
FS( 245 ),1783262.559999999823049,2373339.349999999627471,1504405.599999999860302,2085445.049999999813735,1844430.099999999860302,1963211.759999999776483,2023205.599999999860302,13577303.019999997690320
FS( 246 ),1762589.639999999897555,2394966.799999999813735,1515507.160000000149012,2116980.049999999813735,1870232.800000000046566,1961343.320000000065193,2019590.799999999813735,13641213.570000000298023
FS( 247 ),1743078.120000000111759,2371306.000000000000000,1524576.040000000037253,2109096.299999999813735,1877605.000000000000000,1970151.679999999934807,2018506.359999999869615,13614322.500000000000000
FS( 248 ),1750511.080000000074506,2395521.349999999627471,1521761.559999999823049,2108465.600000000093132,1882631.500000000000000,2028874.080000000074506,2044171.439999999711290,13731939.609999999403954
FS( 249 ),1732393.239999999990687,2343578.500000000000000,1507532.800000000046566,2120764.250000000000000,1873583.799999999813735,2010456.599999999627471,2052485.479999999748543,13640797.669999999925494
FS( 250 ),1716830.479999999981374,2340436.049999999813735,1519885.239999999990687,2147884.350000000093132,1885647.400000000139698,2030208.679999999934807,2043448.479999999748543,13684343.679999999701977
FS( 251 ),1750975.639999999897555,2376481.799999999813735,1512067.239999999990687,2178473.299999999813735,1898716.299999999813735,2029140.999999999767169,2044894.399999999906868,13790752.679999999701977
FS( 252 ),1746330.040000000270084,2383136.399999999441206,1516288.959999999962747,2187618.450000000186265,1909774.600000000093132,2062505.999999999767169,2042002.559999999823049,13847660.009999999776483
