代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12528078.470000002533197
真實報酬,2528078.470000002533197

夏普值報酬,0.244107847000000
夏普值風險,0.079291770003656
夏普值,3.078602571095900

二次趨勢線,38.373423811350790 x^2 + 2018.214921436071108 x + 10000000.000000000000000
二次加權預期報酬,14937.267604590841074
風險,105330.751979556196602
二次加權趨勢值,0.141812977918263
一次趨勢線,9285.153560593951624 x + 10000000.000000000000000
一次預期報酬,9285.153560593951624
一次風險,293360.506705296225846
一次趨勢值,0.031651000555169
找到最佳解世代,1443
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](11),CAT[3](1),CSCO[4](4),DD[7](2),INTC[11](3),MCD[15](18),MRK[17](9),MSFT[18](7),
FS( 132 ),1422440.000000000000000,1404395.290000000037253,1094535.179999999934807,1610285.880000000121072,1304417.790000000037253,1211111.919999999925494,1409268.700000000186265,1443003.410000000149012,10899458.169999999925494
FS( 133 ),1447922.800000000046566,1398918.179999999934807,1102260.139999999897555,1618716.520000000251457,1308728.109999999869615,1197728.360000000102445,1412356.300000000046566,1452475.969999999972060,10939106.380000000819564
FS( 134 ),1467082.800000000046566,1405727.559999999823049,1096466.419999999925494,1653926.840000000316650,1318426.329999999841675,1203788.840000000083819,1433197.600000000093132,1467079.500000000000000,11045695.890000000596046
FS( 135 ),1466891.200000000186265,1423639.189999999944121,1103225.760000000009313,1637561.480000000214204,1322736.649999999906868,1198107.139999999897555,1415186.600000000093132,1478920.199999999953434,11046268.220000000670552
FS( 136 ),1490266.400000000139698,1422751.010000000009313,1075222.779999999795109,1635081.880000000121072,1330818.500000000000000,1205303.959999999962747,1417759.600000000093132,1484445.860000000102445,11061649.990000000223517
FS( 137 ),1488925.199999999953434,1429264.329999999841675,1089224.269999999785796,1649463.560000000055879,1334051.239999999990687,1209344.280000000027940,1426507.800000000046566,1484840.549999999813735,11111621.230000000447035
FS( 138 ),1494481.600000000093132,1429412.359999999869615,1081982.119999999878928,1651943.160000000149012,1334051.239999999990687,1212374.520000000018626,1432940.300000000046566,1476946.750000000000000,11114132.050000000745058
FS( 139 ),1470914.800000000046566,1424231.309999999823049,1075705.590000000083819,1639793.120000000111759,1320042.699999999953434,1206440.300000000046566,1416215.800000000046566,1480498.959999999962747,11033842.580000001937151
FS( 140 ),1453862.399999999906868,1434741.439999999944121,1076671.209999999962747,1664589.120000000111759,1332973.659999999916181,1208965.500000000000000,1436027.900000000139698,1489971.520000000018626,11097802.750000000000000
FS( 141 ),1437768.000000000232831,1443327.179999999934807,1068463.439999999944121,1658390.120000000111759,1315732.380000000121072,1217803.699999999953434,1441688.500000000232831,1499049.389999999897555,11082222.710000000894070
FS( 142 ),1443899.200000000186265,1440662.639999999897555,1067980.629999999888241,1657894.200000000186265,1327046.969999999972060,1218435.000000000000000,1445548.000000000000000,1487603.379999999888241,11089070.019999999552965
FS( 143 ),1428954.400000000139698,1427191.909999999916181,1054461.949999999953434,1667564.640000000130385,1326508.179999999934807,1219950.120000000111759,1438600.899999999906868,1481683.030000000027940,11044915.129999998956919
FS( 144 ),1416117.199999999953434,1438886.280000000027940,1058807.239999999990687,1688889.200000000186265,1336206.399999999906868,1210733.139999999897555,1447863.700000000186265,1478920.199999999953434,11076423.359999999403954
FS( 145 ),1444282.399999999906868,1431484.780000000027940,1058324.429999999934807,1712941.320000000065193,1334051.239999999990687,1200506.080000000074506,1457898.399999999906868,1494313.110000000102445,11133801.759999999776483
FS( 146 ),1440450.400000000139698,1435481.589999999850988,1052530.709999999962747,1720132.160000000149012,1334051.239999999990687,1201389.900000000139698,1466389.300000000046566,1512074.160000000149012,11162499.460000000894070
FS( 147 ),1444474.000000000000000,1425711.609999999869615,1041426.079999999958090,1710461.720000000204891,1320042.699999999953434,1190910.319999999832362,1451723.200000000186265,1491155.590000000083819,11075905.219999998807907
FS( 148 ),1454054.000000000000000,1436221.739999999990687,1053496.329999999841675,1746663.880000000121072,1325969.389999999897555,1199243.479999999981374,1468190.400000000139698,1516021.059999999823049,11199860.280000001192093
FS( 149 ),1457119.600000000093132,1426599.790000000037253,1055910.379999999888241,1762533.320000000065193,1320042.699999999953434,1199748.520000000018626,1463559.000000000232831,1504180.360000000102445,11189693.669999999925494
FS( 150 ),1452712.800000000046566,1444807.479999999748543,1053496.329999999841675,1757822.080000000074506,1327046.969999999972060,1206819.080000000074506,1473336.400000000139698,1505759.119999999878928,11221800.259999997913837
FS( 151 ),1451946.400000000139698,1436665.829999999841675,1049151.040000000037253,1748399.600000000325963,1327585.760000000009313,1205809.000000000000000,1478739.699999999953434,1495891.869999999878928,11194189.199999999254942
FS( 152 ),1453287.600000000093132,1432224.929999999934807,1047219.799999999930151,1759557.800000000046566,1338361.560000000055879,1202021.199999999953434,1474880.200000000186265,1492734.350000000093132,11200287.439999999478459
FS( 153 ),1467274.400000000139698,1433557.199999999953434,1043357.319999999832362,1739473.040000000270084,1332434.869999999878928,1247222.280000000027940,1458670.300000000046566,1500628.150000000139698,11222617.560000000521541
FS( 154 ),1468807.199999999953434,1433261.139999999897555,1053496.329999999841675,1731290.359999999869615,1334051.239999999990687,1246338.459999999962747,1461757.900000000139698,1510495.400000000139698,11239498.029999999329448
FS( 155 ),1452521.200000000186265,1415349.510000000009313,1039012.029999999911524,1721124.000000000000000,1323814.229999999981374,1229419.620000000111759,1435513.300000000046566,1495497.179999999934807,11112251.070000000298023
FS( 156 ),1436235.199999999953434,1412092.849999999860302,1030804.260000000009313,1717900.520000000251457,1320042.699999999953434,1232071.080000000074506,1433197.600000000093132,1487998.070000000065193,11070342.280000001192093
FS( 157 ),1441791.600000000093132,1416237.689999999944121,1038529.219999999972060,1730298.520000000251457,1330818.500000000000000,1232323.599999999860302,1447606.400000000139698,1501812.219999999972060,11139417.750000000000000
FS( 158 ),1454437.199999999953434,1427191.909999999916181,1044322.939999999827705,1753854.720000000204891,1337283.979999999981374,1228662.060000000055879,1450179.400000000139698,1561015.719999999972060,11256947.930000001564622
FS( 159 ),1454054.000000000000000,1421714.800000000046566,1044322.939999999827705,1751871.040000000270084,1348059.780000000027940,1213384.599999999860302,1440659.300000000046566,1549964.400000000139698,11224030.860000001266599
FS( 160 ),1447156.400000000139698,1424231.309999999823049,1053979.139999999897555,1774187.439999999944121,1370150.169999999925494,1219697.599999999860302,1430367.300000000279397,1591801.540000000037253,11311570.899999998509884
FS( 161 ),1458460.800000000279397,1441698.849999999860302,1044805.750000000000000,1772947.640000000130385,1356141.630000000121072,1205430.219999999972060,1406438.399999999906868,1585091.809999999823049,11271015.100000001490116
FS( 162 ),1475896.400000000139698,1433705.229999999748543,1041426.079999999958090,1771211.920000000391155,1353447.679999999934807,1214394.680000000167638,1383796.000000000232831,1598511.270000000018626,11272389.259999999776483
FS( 163 ),1491799.200000000186265,1459462.449999999953434,1078602.449999999953434,1788321.160000000149012,1371766.540000000037253,1210985.659999999916181,1420075.300000000046566,1592196.230000000214204,11413208.990000002086163
FS( 164 ),1477429.200000000186265,1447768.079999999841675,1077636.829999999841675,1745424.080000000074506,1367456.219999999972060,1210101.840000000083819,1441431.200000000186265,1570488.280000000027940,11337735.729999998584390
FS( 165 ),1471106.400000000139698,1457390.030000000027940,1063152.529999999795109,1694592.280000000260770,1363684.689999999944121,1214142.159999999916181,1433969.500000000000000,1553516.610000000102445,11251554.199999999254942
FS( 166 ),1469382.000000000000000,1471304.849999999860302,1078119.639999999897555,1702031.080000000074506,1380387.179999999934807,1227778.239999999990687,1440402.000000000000000,1590617.469999999972060,11360022.459999999031425
FS( 167 ),1469190.400000000139698,1471008.790000000037253,1082464.929999999934807,1715916.840000000316650,1390624.189999999944121,1237752.780000000027940,1460728.700000000186265,1617851.080000000074506,11445537.710000000894070
FS( 168 ),1482602.399999999906868,1477522.109999999869615,1115296.010000000009313,1755342.480000000214204,1400322.409999999916181,1236111.400000000139698,1450436.699999999953434,1634822.750000000000000,11552456.259999999776483
FS( 169 ),1485093.200000000186265,1519266.569999999832362,1109985.099999999860302,1762037.400000000139698,1394934.510000000009313,1232197.340000000083819,1452752.400000000139698,1632059.920000000158325,11588326.440000001341105
FS( 170 ),1474746.800000000046566,1518082.329999999841675,1114813.199999999953434,1750135.320000000065193,1422951.589999999850988,1233081.159999999916181,1446319.900000000139698,1618640.459999999962747,11578770.760000001639128
FS( 171 ),1455586.800000000046566,1512457.189999999944121,1096466.419999999925494,1719388.280000000260770,1409481.839999999850988,1235732.620000000111759,1444004.199999999953434,1573645.799999999813735,11446763.149999998509884
FS( 172 ),1432786.400000000139698,1496766.010000000009313,1103225.760000000009313,1692608.600000000325963,1427261.909999999916181,1224874.260000000009313,1420075.300000000046566,1570882.969999999972060,11368481.210000000894070
FS( 173 ),1432786.400000000139698,1515713.849999999860302,1107571.050000000046566,1697567.800000000046566,1449891.089999999850988,1238384.080000000074506,1416215.800000000046566,1571672.350000000093132,11429802.419999999925494
FS( 174 ),1451563.200000000186265,1524595.649999999906868,1116261.629999999888241,1729306.679999999934807,1453662.619999999878928,1241793.099999999860302,1469219.600000000093132,1597327.199999999953434,11583729.679999999701977
FS( 175 ),1432786.400000000139698,1513789.459999999962747,1093569.559999999823049,1684425.920000000391155,1424029.169999999925494,1255429.180000000167638,1437057.100000000093132,1553516.610000000102445,11394603.399999998509884
FS( 176 ),1422248.400000000139698,1501799.030000000027940,1084396.169999999925494,1657894.200000000186265,1410559.419999999925494,1253661.540000000037253,1438858.200000000186265,1547596.260000000009313,11317013.220000000670552
FS( 177 ),1427996.400000000139698,1521487.020000000018626,1103225.760000000009313,1677235.080000000074506,1431033.439999999944121,1264014.860000000102445,1429852.700000000186265,1546412.189999999944121,11401257.449999997392297
FS( 178 ),1417650.000000000000000,1517342.179999999934807,1105157.000000000000000,1679714.679999999934807,1442348.030000000027940,1273105.580000000074506,1442203.100000000093132,1568909.520000000018626,11446430.089999997988343
FS( 179 ),1420524.000000000000000,1523707.469999999972060,1111916.340000000083819,1712693.359999999869615,1450968.669999999925494,1273105.580000000074506,1447606.400000000139698,1594564.369999999878928,11535086.189999999478459
FS( 180 ),1436810.000000000000000,1522227.169999999925494,1120606.919999999925494,1720380.120000000111759,1456895.359999999869615,1265782.500000000000000,1453009.699999999953434,1579171.459999999962747,11554883.230000000447035
FS( 181 ),1453862.399999999906868,1519414.599999999860302,1129780.309999999823049,1721371.960000000195578,1452046.250000000000000,1258459.419999999925494,1473079.100000000093132,1576408.629999999888241,11584422.669999998062849
FS( 182 ),1455395.199999999953434,1534957.750000000000000,1135574.029999999795109,1728314.840000000316650,1446119.560000000055879,1254040.319999999832362,1486458.700000000186265,1578382.080000000074506,11619242.480000002309680
FS( 183 ),1436235.199999999953434,1530368.819999999832362,1134608.409999999916181,1743440.400000000139698,1441270.449999999953434,1251641.379999999888241,1479511.600000000093132,1566541.379999999888241,11583617.640000000596046
FS( 184 ),1554069.200000000186265,1558494.520000000018626,1126400.639999999897555,1738729.160000000149012,1441270.449999999953434,1260605.840000000083819,1480283.500000000232831,1573251.110000000102445,11733104.419999999925494
FS( 185 ),1565565.199999999953434,1549760.750000000000000,1110467.909999999916181,1712693.359999999869615,1414869.739999999990687,1271842.979999999981374,1472821.800000000046566,1575224.559999999823049,11673246.300000002607703
FS( 186 ),1626110.800000000279397,1543395.459999999962747,1111433.529999999795109,1670044.239999999990687,1418641.269999999785796,1266540.060000000055879,1458413.000000000000000,1613114.799999999813735,11707693.160000000149012
FS( 187 ),1621320.800000000279397,1558790.579999999841675,1118192.869999999878928,1719636.239999999990687,1426723.119999999878928,1281565.000000000000000,1510902.199999999953434,1598905.959999999962747,11836036.769999999552965
FS( 188 ),1615189.600000000093132,1560270.880000000121072,1115778.819999999832362,1762037.400000000139698,1438037.709999999962747,1280049.879999999888241,1506785.400000000139698,1594564.369999999878928,11872714.060000000521541
FS( 189 ),1619021.600000000093132,1555385.889999999897555,1110950.719999999972060,1720132.160000000149012,1425106.750000000000000,1274746.959999999962747,1534059.199999999953434,1578776.770000000018626,11818180.049999998882413
FS( 190 ),1621895.600000000093132,1554497.709999999962747,1107571.050000000046566,1719388.280000000260770,1422951.589999999850988,1280681.180000000167638,1498037.199999999953434,1566541.379999999888241,11771563.989999998360872
FS( 191 ),1644887.600000000093132,1547244.239999999990687,1108536.669999999925494,1742944.480000000214204,1410020.630000000121072,1277019.639999999897555,1508586.500000000232831,1556279.439999999944121,11795519.199999999254942
FS( 192 ),1627068.800000000046566,1537622.290000000037253,1096949.229999999748543,1734265.880000000121072,1411637.000000000000000,1274620.699999999953434,1469476.900000000139698,1541675.910000000149012,11693316.709999999031425
FS( 193 ),1621320.800000000279397,1548724.540000000037253,1104191.379999999888241,1748647.560000000055879,1420796.429999999934807,1287372.959999999962747,1436799.800000000279397,1555884.750000000000000,11723738.220000002533197
FS( 194 ),1609441.600000000093132,1553461.500000000000000,1111433.529999999795109,1737737.320000000065193,1419180.060000000055879,1287246.699999999953434,1410812.500000000000000,1564567.929999999934807,11693881.139999998733401
FS( 195 ),1602735.600000000093132,1555237.859999999869615,1111433.529999999795109,1739968.960000000195578,1417024.899999999906868,1299620.180000000167638,1420589.900000000139698,1560621.030000000027940,11707231.959999999031425
FS( 196 ),1622662.000000000000000,1572113.280000000027940,1119641.300000000046566,1769972.120000000111759,1420796.429999999934807,1298736.360000000102445,1422648.300000000046566,1577592.699999999953434,11804162.490000000223517
FS( 197 ),1625152.800000000046566,1586176.130000000121072,1103708.569999999832362,1767492.520000000251457,1425106.750000000000000,1307195.780000000027940,1434484.100000000093132,1595353.750000000000000,11844670.400000000372529
FS( 198 ),1625536.000000000232831,1576998.270000000018626,1101294.519999999785796,1772699.679999999934807,1418641.269999999785796,1300882.780000000027940,1450436.699999999953434,1588249.330000000074506,11834738.549999998882413
FS( 199 ),1611740.800000000279397,1554201.649999999906868,1167439.489999999990687,1716660.720000000204891,1401399.989999999990687,1294191.000000000000000,1438086.300000000046566,1562989.170000000158325,11746709.120000001043081
FS( 200 ),1635499.200000000186265,1569596.770000000018626,1176612.879999999888241,1729554.640000000130385,1391162.979999999981374,1302271.639999999897555,1437571.699999999953434,1572067.040000000037253,11814336.850000001490116
FS( 201 ),1654850.800000000279397,1560122.849999999860302,1175647.260000000009313,1742200.600000000325963,1403016.359999999869615,1289014.340000000083819,1449922.100000000093132,1568909.520000000018626,11843683.830000000074506
FS( 202 ),1655234.000000000000000,1503427.359999999869615,1164542.629999999888241,1756334.320000000065193,1403016.359999999869615,1281943.780000000027940,1440916.600000000093132,1566146.689999999944121,11771561.739999998360872
FS( 203 ),1659640.800000000279397,1522967.319999999832362,1181923.790000000037253,1763525.160000000149012,1411637.000000000000000,1294948.560000000055879,1455840.000000000000000,1592590.920000000158325,11883073.550000000745058
FS( 204 ),1662131.600000000093132,1525927.919999999925494,1177095.689999999944121,1757822.080000000074506,1408943.049999999813735,1293559.699999999953434,1453524.300000000046566,1582723.670000000158325,11861728.009999999776483
FS( 205 ),1680908.400000000139698,1539990.770000000018626,1183855.029999999795109,1789560.960000000195578,1416486.109999999869615,1287878.000000000000000,1461757.900000000139698,1583513.049999999813735,11943950.219999998807907
FS( 206 ),1712522.399999999906868,1534809.719999999972060,1193028.419999999925494,1798487.520000000251457,1439115.290000000037253,1292423.360000000102445,1458670.300000000046566,1586275.879999999888241,12015332.890000000596046
FS( 207 ),1707924.000000000000000,1523411.409999999916181,1198339.329999999841675,1828242.720000000204891,1448274.719999999972060,1279039.800000000046566,1451208.600000000093132,1579171.459999999962747,12015612.039999999105930
FS( 208 ),1739154.800000000046566,1533625.479999999748543,1191579.989999999990687,1852790.760000000009313,1452585.040000000037253,1279544.840000000083819,1484657.600000000093132,1592196.230000000214204,12126134.740000000223517
FS( 209 ),1732640.400000000139698,1513345.369999999878928,1188683.129999999888241,1840392.760000000009313,1471981.479999999981374,1280681.180000000167638,1488774.400000000139698,1615877.629999999888241,12132376.350000001490116
FS( 210 ),1720761.200000000186265,1535993.959999999962747,1196408.090000000083819,1854278.520000000251457,1468748.739999999990687,1288256.780000000027940,1490575.500000000000000,1609957.280000000027940,12164980.070000000298023
FS( 211 ),1745094.400000000139698,1546800.149999999906868,1191579.989999999990687,1857749.960000000195578,1490300.339999999850988,1280933.699999999953434,1490060.899999999906868,1590222.780000000027940,12192742.219999998807907
FS( 212 ),1765020.800000000279397,1544135.609999999869615,1182889.409999999916181,1853286.679999999934807,1487067.600000000093132,1293433.439999999944121,1490575.500000000000000,1591406.850000000093132,12207815.889999998733401
FS( 213 ),1771918.400000000139698,1583363.559999999823049,1192545.609999999869615,1858245.880000000121072,1490300.339999999850988,1293559.699999999953434,1494949.600000000093132,1626534.260000000009313,12311417.349999999627471
FS( 214 ),1766936.800000000046566,1601423.219999999972060,1198822.139999999897555,1876099.000000000000000,1517778.630000000121072,1287372.959999999962747,1488517.100000000093132,1637190.889999999897555,12374140.740000000223517
FS( 215 ),1795293.600000000093132,1609860.929999999934807,1197373.709999999962747,1871139.800000000046566,1503770.089999999850988,1280049.879999999888241,1490832.800000000046566,1628902.400000000139698,12377223.210000000894070
FS( 216 ),1805831.600000000093132,1618150.609999999869615,1207029.909999999916181,1876842.880000000121072,1521550.159999999916181,1273736.879999999888241,1504984.300000000046566,1622587.360000000102445,12430713.699999999254942
FS( 217 ),1798359.200000000186265,1608972.750000000000000,1208961.149999999906868,1866676.520000000251457,1504847.669999999925494,1267928.919999999925494,1513217.900000000139698,1612720.110000000102445,12381684.220000000670552
FS( 218 ),1768278.000000000232831,1578774.630000000121072,1190614.369999999878928,1836177.439999999944121,1506464.040000000037253,1259595.760000000009313,1500095.600000000093132,1601668.790000000037253,12241668.629999998956919
FS( 219 ),1748926.400000000139698,1580550.989999999990687,1192545.609999999869615,1850311.160000000149012,1609372.929999999934807,1268812.739999999990687,1498551.800000000046566,1627323.639999999897555,12376395.270000001415610
FS( 220 ),1766553.600000000093132,1581143.109999999869615,1184337.840000000083819,1846839.720000000204891,1616915.989999999990687,1276514.599999999860302,1494177.700000000186265,1637980.270000000018626,12404462.829999998211861
FS( 221 ),1764254.400000000139698,1579070.689999999944121,1182889.409999999916181,1836177.439999999944121,1613683.250000000000000,1278661.020000000018626,1493920.400000000139698,1645084.689999999944121,12393741.299999998882413
FS( 222 ),1766170.400000000139698,1591061.119999999878928,1189165.939999999944121,1854526.480000000214204,1612605.669999999925494,1279671.099999999860302,1502925.899999999906868,1643900.619999999878928,12440027.230000000447035
FS( 223 ),1760039.200000000186265,1587656.429999999934807,1193028.419999999925494,1838657.040000000270084,1621226.310000000055879,1286741.659999999916181,1500095.600000000093132,1638374.959999999962747,12425819.620000001043081
FS( 224 ),1741837.199999999953434,1619186.819999999832362,1198822.139999999897555,1852790.760000000009313,1627153.000000000000000,1286867.919999999925494,1516048.200000000186265,1645084.689999999944121,12487790.729999998584390
FS( 225 ),1740304.400000000139698,1610305.020000000018626,1192545.609999999869615,1867668.359999999869615,1628769.369999999878928,1286741.659999999916181,1505241.600000000093132,1657320.080000000074506,12488896.099999997764826
FS( 226 ),1729766.400000000139698,1595946.109999999869615,1184337.840000000083819,1847583.600000000325963,1643316.699999999953434,1281186.219999999972060,1490318.200000000186265,1647847.520000000018626,12420302.589999999850988
FS( 227 ),1731299.200000000186265,1605272.000000000000000,1193511.229999999748543,1857749.960000000195578,1663790.719999999972060,1282953.860000000102445,1514504.400000000139698,1658898.840000000083819,12507980.209999999031425
FS( 228 ),1741645.600000000093132,1606456.239999999990687,1190131.559999999823049,1840392.760000000009313,1658402.820000000065193,1281691.260000000009313,1506013.500000000232831,1646663.449999999953434,12471397.189999999478459
FS( 229 ),1762338.400000000139698,1610305.020000000018626,1192545.609999999869615,1822539.640000000130385,1666484.669999999925494,1281059.959999999962747,1480283.500000000232831,1667582.020000000018626,12483138.820000000298023
FS( 230 ),1780540.400000000139698,1608676.689999999944121,1199787.760000000009313,1817084.520000000251457,1664868.299999999813735,1271969.239999999990687,1488517.100000000093132,1645874.070000000065193,12477318.080000000074506
FS( 231 ),1791844.800000000046566,1616078.189999999944121,1210892.389999999897555,1820060.040000000270084,1669178.619999999878928,1275252.000000000000000,1505498.900000000139698,1652583.799999999813735,12541388.739999998360872
FS( 232 ),1791078.400000000139698,1621851.359999999869615,1208478.340000000083819,1819316.160000000149012,1669178.619999999878928,1269317.780000000027940,1519393.100000000093132,1653767.869999999878928,12552381.629999998956919
FS( 233 ),1801616.400000000139698,1644351.919999999925494,1216203.300000000046566,1837913.160000000149012,1677799.260000000009313,1274999.479999999981374,1523252.600000000093132,1649820.969999999972060,12625957.089999999850988
FS( 234 ),1838786.800000000046566,1630733.159999999916181,1218134.540000000037253,1809149.800000000046566,1671872.570000000065193,1264772.419999999925494,1505756.200000000186265,1657320.080000000074506,12596525.569999998435378
FS( 235 ),1826907.600000000093132,1620371.059999999823049,1210409.579999999841675,1800471.200000000186265,1658941.609999999869615,1263762.340000000083819,1496750.700000000186265,1649031.590000000083819,12526645.679999999701977
FS( 236 ),1827674.000000000000000,1630437.099999999860302,1228273.550000000046566,1807910.000000000000000,1664329.510000000009313,1276135.819999999832362,1506528.100000000093132,1644690.000000000000000,12585978.079999998211861
FS( 237 ),1820968.000000000232831,1618890.760000000009313,1228273.550000000046566,1805182.439999999944121,1684264.739999999990687,1269949.080000000074506,1507300.000000000000000,1645479.379999999888241,12580307.949999999254942
FS( 238 ),1824416.800000000046566,1627772.559999999823049,1232136.029999999795109,1822043.720000000204891,1683725.949999999953434,1267297.620000000111759,1503697.800000000046566,1661266.980000000214204,12622357.460000000894070
FS( 239 ),1847983.600000000093132,1629696.949999999953434,1228273.550000000046566,1818572.280000000260770,1696656.909999999916181,1268560.219999999972060,1497008.000000000000000,1663240.429999999934807,12649991.939999999478459
FS( 240 ),1826332.800000000046566,1626144.229999999748543,1239378.179999999934807,1820060.040000000270084,1708510.290000000037253,1266413.800000000046566,1490060.899999999906868,1675475.820000000065193,12652376.060000000521541
FS( 241 ),1815986.400000000139698,1649088.880000000121072,1254345.290000000037253,1838657.040000000270084,1866914.549999999813735,1253409.020000000018626,1496236.100000000093132,1739810.290000000037253,12914447.570000000298023
FS( 242 ),1783606.000000000232831,1614597.889999999897555,1237446.939999999944121,1823779.439999999944121,1815729.500000000000000,1242045.620000000111759,1482084.600000000093132,1757571.340000000083819,12756861.330000000074506
FS( 243 ),1809280.400000000139698,1630881.189999999944121,1250965.619999999878928,1825267.200000000186265,1815729.500000000000000,1249873.739999999990687,1501124.800000000279397,1763886.379999999888241,12847008.830000001937151
FS( 244 ),1799892.000000000000000,1631769.369999999878928,1248068.760000000009313,1831218.239999999990687,1835125.940000000176951,1231692.300000000046566,1492376.600000000093132,1769806.730000000214204,12839949.940000001341105
FS( 245 ),1814836.800000000046566,1629252.859999999869615,1252896.859999999869615,1846839.720000000204891,1874457.609999999869615,1215531.020000000018626,1503440.500000000000000,1769412.040000000037253,12906667.410000000149012
FS( 246 ),1862162.000000000000000,1604383.819999999832362,1239860.989999999990687,1902878.679999999934807,1858832.699999999953434,1203915.099999999860302,1495206.900000000139698,1770990.799999999813735,12938230.989999998360872
FS( 247 ),1859096.400000000139698,1554941.800000000046566,1247103.139999999897555,1901142.960000000195578,1845362.949999999953434,1203915.099999999860302,1497779.900000000139698,1752440.369999999878928,12861782.619999999180436
FS( 248 ),1871358.800000000046566,1552129.229999999748543,1253862.479999999748543,1896679.679999999934807,1845362.949999999953434,1208586.719999999972060,1496236.100000000093132,1756387.270000000018626,12880603.229999998584390
FS( 249 ),1897224.800000000046566,1541767.130000000121072,1251448.429999999934807,1896183.760000000009313,1844285.369999999878928,1209344.280000000027940,1491604.699999999953434,1735468.699999999953434,12867327.169999998062849
FS( 250 ),1884962.399999999906868,1549760.750000000000000,1241309.419999999925494,1887505.160000000149012,1842130.209999999729916,1209849.319999999832362,1507300.000000000000000,1732311.179999999934807,12855128.439999999478459
FS( 251 ),1880555.600000000093132,1530368.819999999832362,1237446.939999999944121,1853286.679999999934807,1850750.850000000093132,1211490.699999999953434,1494435.000000000000000,1720075.790000000037253,12778410.379999998956919
FS( 252 ),1831697.600000000093132,1491436.929999999934807,1218134.540000000037253,1803446.720000000204891,1825966.510000000009313,1193940.560000000055879,1459956.800000000046566,1703498.809999999823049,12528078.470000002533197
