代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14907971.019999999552965
真實報酬,4907971.019999999552965

夏普值報酬,0.482097102000000
夏普值風險,0.108415126362329
夏普值,4.446769728320073

二次趨勢線,-43.137165408668764 x^2 + 30452.715727297014382 x + 10000000.000000000000000
二次加權預期報酬,15872.353819166975882
風險,208278.680544678558363
二次加權趨勢值,0.076207290048403
一次趨勢線,22251.294060161268135 x + 10000000.000000000000000
一次預期報酬,22251.294060161268135
一次風險,373661.411595317884348
一次趨勢值,0.059549349677723
找到最佳解世代,1745
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
KO[14](14),MCD[15](22),PFE[20](3),UNH[23](1),WBA[27](4),XOM[29](9),
FS( 167 ),2128960.219999999739230,1890763.510000000242144,2253452.229999999981374,2548168.120000000111759,2719611.000000000000000,2518099.719999999739230,14059058.800000000745058
FS( 168 ),2162266.719999999739230,1871026.940000000176951,2241739.930000000167638,2540388.400000000372529,2680706.000000000000000,2496607.790000000037253,13992739.780000001192093
FS( 169 ),2146279.599999999627471,1866030.340000000083819,2247596.080000000074506,2606815.240000000223517,2625486.000000000000000,2504851.269999999552965,13997062.529999999329448
FS( 170 ),2183582.879999999888241,1904753.989999999990687,2315527.419999999925494,2680423.359999999403954,2668783.500000000000000,2526637.609999999403954,14279712.759999997913837
FS( 171 ),2171592.540000000037253,1899507.560000000055879,2302643.890000000130385,2660076.400000000372529,2649958.500000000000000,2504851.269999999552965,14188634.160000000149012
FS( 172 ),2172258.669999999925494,1906003.140000000130385,2296787.739999999757856,2606815.240000000223517,2626113.500000000000000,2494252.509999999776483,14102234.799999998882413
FS( 173 ),2186247.400000000372529,1887265.890000000130385,2304986.350000000093132,2622973.120000000111759,2659998.500000000000000,2490719.589999999850988,14152194.850000001490116
FS( 174 ),2185581.270000000484288,1893261.810000000055879,2302643.890000000130385,2662470.160000000149012,2673803.500000000000000,2484242.570000000298023,14202007.200000001117587
FS( 175 ),2174923.189999999478459,1915746.510000000242144,2267506.989999999757856,2620579.359999999403954,2633016.000000000000000,2395919.570000000298023,14007695.619999999180436
FS( 176 ),2158936.069999999366701,1916995.660000000149012,2280390.520000000018626,2608610.560000000521541,2631133.500000000000000,2417705.910000000149012,14013776.220000000670552
FS( 177 ),2129626.349999999627471,1890513.680000000167638,2320212.339999999850988,2582877.639999999664724,2609798.500000000000000,2425360.570000000298023,13958393.079999998211861
FS( 178 ),2099650.500000000000000,1876773.030000000260770,2314356.189999999944121,2560735.359999999403954,2577168.500000000000000,2396213.980000000447035,13824901.560000000521541
FS( 179 ),2051689.140000000130385,1833302.609999999869615,2260479.609999999869615,2505080.439999999478459,2548303.500000000000000,2334976.700000000186265,13533836.000000000000000
FS( 180 ),2074337.560000000055879,1833802.270000000251457,2328410.949999999720603,2529616.480000000447035,2583443.500000000000000,2389442.549999999813735,13739057.309999998658895
FS( 181 ),2088326.290000000037253,1823559.239999999990687,2363547.850000000093132,2549365.000000000000000,2567128.500000000000000,2380315.839999999850988,13772246.720000000670552
FS( 182 ),2117636.009999999776483,1842796.150000000139698,2340123.250000000000000,2584672.959999999962747,2633643.500000000000000,2438903.429999999701977,13957779.300000000745058
FS( 183 ),2115637.620000000111759,1845544.280000000260770,2335438.330000000074506,2557743.160000000149012,2460453.500000000000000,2430659.950000000186265,13745480.839999999850988
FS( 184 ),2140950.559999999590218,1862033.060000000055879,2333095.870000000111759,2558341.599999999627471,2499358.500000000000000,2431837.589999999850988,13825621.179999999701977
FS( 185 ),2154939.290000000037253,1872026.260000000242144,2377602.609999999869615,2621177.799999999813735,2506888.500000000000000,2435664.919999999925494,13968303.380000000819564
FS( 186 ),2172258.669999999925494,1880020.820000000065193,2383458.760000000242144,2618185.599999999627471,2487436.000000000000000,2461867.410000000149012,14003231.259999999776483
FS( 187 ),2166263.500000000000000,1873775.070000000065193,2374088.919999999925494,2625366.879999999888241,2464846.000000000000000,2457451.259999999776483,13961795.630000000819564
FS( 188 ),2188911.919999999925494,1883018.780000000260770,2386972.449999999720603,2661871.719999999739230,2505633.500000000000000,2450974.240000000223517,14077386.610000001266599
FS( 189 ),2199570.000000000000000,1894011.300000000046566,2382287.529999999795109,2716928.200000000186265,2510026.000000000000000,2487481.080000000074506,14190308.110000001266599
FS( 190 ),2209561.950000000186265,1901006.540000000037253,2378773.839999999850988,2704959.400000000372529,2518811.000000000000000,2476882.320000000298023,14189999.050000000745058
FS( 191 ),2238871.669999999925494,1898508.239999999990687,2386972.449999999720603,2729495.439999999478459,2569011.000000000000000,2493074.870000000111759,14315937.669999998062849
FS( 192 ),2253526.530000000260770,1908501.440000000176951,2405712.129999999888241,2728897.000000000000000,2562108.500000000000000,2498668.660000000149012,14357418.260000001639128
FS( 193 ),2247531.360000000335276,1913747.869999999878928,2395171.060000000055879,2698376.560000000521541,2579678.500000000000000,2514861.209999999962747,14349370.560000002384186
FS( 194 ),2252860.400000000372529,1916745.830000000074506,2376431.379999999888241,2690596.839999999850988,2586581.000000000000000,2507795.370000000111759,14331014.820000000298023
FS( 195 ),2246199.099999999627471,1899007.900000000139698,2381116.299999999813735,2658879.519999999552965,2593483.500000000000000,2524871.150000000372529,14303561.470000000670552
FS( 196 ),2240870.059999999590218,1899757.390000000130385,2396342.290000000037253,2655887.320000000298023,2573403.500000000000000,2530464.940000000409782,14296729.500000000000000
FS( 197 ),2244866.839999999850988,1905003.820000000065193,2420938.120000000111759,2652296.679999999701977,2594111.000000000000000,2507206.549999999813735,14324427.010000001639128
FS( 198 ),2228213.589999999850988,1915246.850000000093132,2396342.290000000037253,2681620.240000000223517,2589718.500000000000000,2448913.370000000111759,14260058.839999999850988
FS( 199 ),2240870.059999999590218,1920992.940000000176951,2396342.290000000037253,2652895.120000000111759,2592856.000000000000000,2448324.549999999813735,14252284.960000000894070
FS( 200 ),2275508.819999999366701,1925489.879999999888241,2399855.979999999981374,2682218.679999999701977,2601013.500000000000000,2456568.030000000260770,14340658.890000000596046
FS( 201 ),2265516.870000000111759,1933234.609999999869615,2404540.899999999906868,2691793.719999999739230,2627368.500000000000000,2481592.879999999888241,14404051.480000000447035
FS( 202 ),2242202.319999999366701,1923741.070000000065193,2389314.909999999683350,2606216.799999999813735,2613563.500000000000000,2446558.089999999850988,14221600.689999997615814
FS( 203 ),2234208.759999999776483,1913747.869999999878928,2404540.899999999906868,2630752.839999999850988,2658743.500000000000000,2467166.790000000037253,14309164.660000000149012
FS( 204 ),2259521.700000000186265,1958717.270000000251457,2388143.680000000167638,2647509.160000000149012,2670666.000000000000000,2521632.640000000596046,14446194.450000001117587
FS( 205 ),2260853.959999999962747,1921492.600000000093132,2317869.879999999888241,2861152.240000000223517,2678823.500000000000000,2542535.750000000000000,14582731.929999999701977
FS( 206 ),2256191.049999999813735,1926988.859999999869615,2358862.930000000167638,2855167.839999999850988,2663763.500000000000000,2538414.009999999776483,14599392.189999999478459
FS( 207 ),2229545.849999999627471,1922242.090000000083819,2364719.080000000074506,2833624.000000000000000,2690118.500000000000000,2573743.209999999962747,14613996.730000000447035
FS( 208 ),2231544.240000000223517,1945476.280000000260770,2416253.199999999720603,2885089.839999999850988,2690746.000000000000000,2584341.969999999739230,14753455.530000001192093
FS( 209 ),2245532.969999999739230,1949473.560000000055879,2439677.799999999813735,2938351.000000000000000,2708943.500000000000000,2571387.929999999701977,14853370.759999997913837
FS( 210 ),2246865.229999999515712,1956468.800000000046566,2456075.020000000018626,2946130.719999999739230,2680706.000000000000000,2590230.169999999925494,14876479.939999999478459
FS( 211 ),2255524.919999999925494,1964713.190000000176951,2461931.169999999925494,2985029.320000000298023,2654978.500000000000000,2560494.759999999776483,14882675.860000001266599
FS( 212 ),2260853.959999999962747,1972208.090000000083819,2393999.830000000074506,2973060.519999999552965,2705806.000000000000000,2520749.410000000149012,14826681.809999998658895
FS( 213 ),2246865.229999999515712,1975455.879999999888241,2417424.430000000167638,2965879.240000000223517,2684471.000000000000000,2496902.200000000186265,14787001.980000000447035
FS( 214 ),2221552.290000000037253,1963713.869999999878928,2388143.680000000167638,2967076.120000000111759,2666901.000000000000000,2432426.410000000149012,14639817.370000001043081
FS( 215 ),2228213.589999999850988,1966212.170000000158325,2406883.359999999869615,2999391.879999999888241,2656861.000000000000000,2434487.280000000260770,14692053.280000001192093
FS( 216 ),2230211.979999999515712,1981451.800000000046566,2412739.510000000242144,3020337.279999999329448,2704551.000000000000000,2448913.370000000111759,14798208.939999997615814
FS( 217 ),2242868.450000000186265,1991445.000000000000000,2443191.489999999757856,3022731.040000000037253,2729651.000000000000000,2453623.929999999701977,14883514.910000000149012
FS( 218 ),2242202.319999999366701,1986448.400000000139698,2413910.739999999757856,2993407.480000000447035,2766673.500000000000000,2388264.910000000149012,14790911.349999999627471
FS( 219 ),2275508.819999999366701,2015178.850000000093132,2446705.180000000167638,2996998.120000000111759,2819383.500000000000000,2386204.040000000037253,14939982.509999997913837
FS( 220 ),2270845.910000000149012,2017177.489999999990687,2450218.870000000111759,2989218.400000000372529,2821893.500000000000000,2380904.660000000149012,14930262.830000001937151
FS( 221 ),2259521.700000000186265,2027170.690000000176951,2457246.250000000000000,3002384.080000000074506,2831306.000000000000000,2362356.830000000074506,14939989.550000000745058
FS( 222 ),2264184.610000000335276,2021924.260000000242144,2475985.930000000167638,2991612.160000000149012,2779851.000000000000000,2367361.799999999813735,14900923.760000001639128
FS( 223 ),2274842.689999999478459,2036164.570000000065193,2480670.850000000093132,3028715.439999999478459,2772948.500000000000000,2406518.330000000074506,14999864.379999998956919
FS( 224 ),2280171.729999999515712,2061397.400000000139698,2463102.399999999906868,3025124.799999999813735,2775458.500000000000000,2423888.519999999552965,15029147.349999997764826
FS( 225 ),2274842.689999999478459,2056900.459999999962747,2423280.580000000074506,2976651.160000000149012,2784243.500000000000000,2401513.359999999403954,14917435.750000000000000
FS( 226 ),2247531.360000000335276,2061147.570000000065193,2411568.279999999795109,2941941.639999999664724,2792401.000000000000000,2375016.459999999962747,14829610.310000002384186
FS( 227 ),2247531.360000000335276,2064645.190000000176951,2403369.669999999925494,2870128.839999999850988,2779223.500000000000000,2393269.879999999888241,14758172.440000001341105
FS( 228 ),2228879.719999999739230,2066643.830000000074506,2433821.649999999906868,2864742.879999999888241,2769811.000000000000000,2412995.349999999627471,14776898.429999997839332
FS( 229 ),2221552.290000000037253,2059398.760000000242144,2447876.409999999683350,2854569.400000000372529,2742201.000000000000000,2425654.980000000447035,14751256.840000001713634
FS( 230 ),2215557.120000000111759,2039162.530000000260770,2451390.100000000093132,2890475.799999999813735,2742828.500000000000000,2432720.820000000298023,14772138.870000001043081
FS( 231 ),2225549.069999999366701,2037163.890000000130385,2512294.060000000055879,2929374.400000000372529,2737808.500000000000000,2457451.259999999776483,14899645.179999999701977
FS( 232 ),2223550.679999999701977,2023173.410000000149012,2465444.859999999869615,2893468.000000000000000,2718356.000000000000000,2415056.219999999739230,14739053.169999998062849
FS( 233 ),2199570.000000000000000,2017427.320000000065193,2459588.709999999962747,2955705.759999999776483,2712081.000000000000000,2394447.519999999552965,14738824.309999998658895
FS( 234 ),2182916.750000000000000,2012180.890000000130385,2440849.029999999795109,2923390.000000000000000,2707688.500000000000000,2390031.370000000111759,14657060.539999999105930
FS( 235 ),2178919.969999999739230,2016178.170000000158325,2429136.729999999981374,2881499.200000000186265,2694511.000000000000000,2363828.879999999888241,14564077.949999999254942
FS( 236 ),2171592.540000000037253,2027170.690000000176951,2429136.729999999981374,2870727.279999999329448,2693883.500000000000000,2355290.990000000223517,14547805.730000000447035
FS( 237 ),2178253.839999999850988,2027420.520000000251457,2422109.350000000093132,2884491.400000000372529,2709571.000000000000000,2377666.150000000372529,14599516.260000001639128
FS( 238 ),2194907.089999999850988,2030168.650000000139698,2430307.959999999962747,3028117.000000000000000,2735926.000000000000000,2390031.370000000111759,14809462.070000000298023
FS( 239 ),2178253.839999999850988,2007683.949999999953434,2355349.239999999757856,2956902.639999999664724,2696393.500000000000000,2348813.969999999739230,14543401.139999996870756
FS( 240 ),2168928.020000000484288,2016927.660000000149012,2396342.290000000037253,2938949.439999999478459,2729651.000000000000000,2332621.419999999925494,14583423.830000000074506
FS( 241 ),2185581.270000000484288,2035415.080000000074506,2410397.049999999813735,2968273.000000000000000,2767301.000000000000000,2366478.570000000298023,14733449.970000000670552
FS( 242 ),2164265.110000000335276,2029668.989999999990687,2364719.080000000074506,2953312.000000000000000,2747848.500000000000000,2315840.049999999813735,14575657.730000000447035
FS( 243 ),2180918.360000000335276,2043909.300000000046566,2370575.229999999981374,2971863.639999999664724,2784871.000000000000000,2332327.009999999776483,14684468.540000000968575
FS( 244 ),2185581.270000000484288,2061647.229999999981374,2372917.689999999944121,2989816.839999999850988,2803068.500000000000000,2326438.809999999590218,14739474.339999999850988
FS( 245 ),2192908.700000000186265,2065894.340000000083819,2374088.919999999925494,3068212.480000000447035,2835071.000000000000000,2346753.099999999627471,14882932.540000000968575
FS( 246 ),2206897.429999999701977,2068642.469999999972060,2392828.600000000093132,3125064.279999999329448,2715846.000000000000000,2372072.359999999403954,14881355.139999998733401
FS( 247 ),2211560.339999999850988,2064895.020000000251457,2375260.149999999906868,3098732.919999999925494,2676313.500000000000000,2349991.609999999403954,14776757.539999999105930
FS( 248 ),2164265.110000000335276,2055901.140000000130385,2418595.659999999683350,3061031.200000000186265,2672548.500000000000000,2309363.030000000260770,14681708.640000000596046
FS( 249 ),2162932.849999999627471,2044658.790000000037253,2351835.549999999813735,3019738.839999999850988,2597248.500000000000000,2260490.969999999739230,14436909.500000000000000
FS( 250 ),2171592.540000000037253,2056650.629999999888241,2362376.620000000111759,3053849.919999999925494,2617956.000000000000000,2294053.709999999962747,14556483.420000001788139
FS( 251 ),2199570.000000000000000,2107366.120000000111759,2406883.359999999869615,3098134.480000000447035,2609798.500000000000000,2344397.820000000298023,14766154.280000001192093
FS( 252 ),2221552.290000000037253,2112862.379999999888241,2420938.120000000111759,3084370.359999999403954,2620466.000000000000000,2362651.240000000223517,14822844.389999998733401
FS( 253 ),2241536.189999999478459,2106616.629999999888241,2412739.510000000242144,3086764.120000000111759,2664391.000000000000000,2395919.570000000298023,14907971.019999999552965
