代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14522920.219999998807907
真實報酬,4522920.219999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17084.953605346865515
風險,181754.966602021246217
起點值,0.093999927070806
找到最佳解世代,1502
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
BA[2](4),MMM[16](1),MRK[17](15),NKE[19](3),UNH[23](10),UTX[24](2),
FS( 171 ),2306333.500000000000000,2019928.560000000055879,1915415.719999999739230,2101977.000000000000000,2262547.000000000000000,2057136.880000000121072,12663342.660000002011657
FS( 172 ),2293791.000000000000000,2022917.840000000083819,1914609.399999999906868,2089117.000000000232831,2263158.160000000149012,2048208.430000000167638,12631805.830000000074506
FS( 173 ),2318011.000000000000000,2052810.639999999897555,1924688.399999999906868,2102620.000000000000000,2268964.179999999701977,2073009.680000000167638,12740107.899999998509884
FS( 174 ),2339203.500000000000000,2067757.040000000037253,1934364.239999999757856,2148273.000000000000000,2280576.219999999739230,2108326.660000000149012,12878504.660000000149012
FS( 175 ),2362126.000000000000000,2087451.119999999878928,1940814.799999999813735,2173350.000000000000000,2297383.120000000111759,2139477.029999999795109,13000606.069999998435378
FS( 176 ),2374452.250000000000000,2078483.280000000027940,1929123.159999999916181,2188782.000000000000000,2283937.599999999627471,2139477.029999999795109,12994259.320000000298023
FS( 177 ),2407538.500000000000000,2085516.879999999888241,1926704.199999999720603,2183638.000000000000000,2275992.520000000484288,2150587.990000000223517,13029982.090000001713634
FS( 178 ),2501391.000000000000000,2096594.800000000046566,1942830.599999999627471,2192640.000000000000000,2295549.639999999664724,2176579.700000000186265,13205589.739999998360872
FS( 179 ),2532531.000000000000000,2108903.600000000093132,1935573.719999999739230,2196498.000000000000000,2270797.660000000149012,2190269.990000000223517,13234577.970000000670552
FS( 180 ),2560427.250000000000000,2132817.840000000316650,1951296.959999999729916,2233792.000000000000000,2231989.000000000000000,2202571.410000000149012,13312898.460000000894070
FS( 181 ),2574267.250000000000000,2137741.359999999869615,1945652.719999999739230,2234435.000000000000000,2164761.400000000372529,2222214.000000000000000,13279075.729999998584390
FS( 182 ),2522151.000000000000000,2110310.320000000298023,1935573.719999999739230,2230577.000000000000000,2156510.739999999292195,2174198.779999999795109,13129325.559999996796250
FS( 183 ),2541181.000000000000000,2129652.719999999739230,1922269.439999999711290,2217717.000000000000000,2194708.239999999292195,2171024.220000000204891,13176556.619999999180436
FS( 184 ),2573402.250000000000000,2124201.679999999701977,1916222.039999999804422,2232506.000000000000000,2209987.239999999292195,2182532.000000000000000,13238855.209999997168779
FS( 185 ),2562806.000000000000000,2113651.280000000260770,1921866.279999999795109,2215788.000000000000000,2199597.520000000484288,2167849.660000000149012,13181562.740000002086163
FS( 186 ),2581619.750000000000000,2121739.919999999925494,1922269.439999999711290,2261441.000000000000000,2205097.959999999962747,2175786.060000000055879,13267958.130000000819564
FS( 187 ),2567779.750000000000000,2114002.959999999962747,1926704.199999999720603,2367536.000000000000000,2199903.099999999627471,2169833.759999999776483,13345763.769999999552965
FS( 188 ),2540964.750000000000000,2099759.919999999925494,1919447.319999999832362,2335386.000000000000000,2188291.059999999590218,2139278.619999999646097,13223131.669999999925494
FS( 189 ),2546371.000000000000000,2103452.560000000055879,1965004.399999999906868,2328313.000000000000000,2217932.320000000298023,2130548.580000000074506,13291625.860000001266599
FS( 190 ),2548317.250000000000000,2096067.280000000027940,1950087.479999999748543,2311595.000000000000000,2217626.739999999292195,2082930.180000000167638,13206627.929999999701977
FS( 191 ),2492092.250000000000000,2084637.679999999934807,1949684.319999999832362,2303236.000000000000000,2216098.839999999850988,2057335.290000000037253,13103088.379999998956919
FS( 192 ),2534477.250000000000000,2099584.080000000074506,1944443.239999999757856,2319311.000000000000000,2230461.099999999627471,2068843.069999999832362,13197123.740000000223517
FS( 193 ),2523448.500000000000000,2087099.439999999944121,1930735.799999999813735,2293591.000000000000000,2205403.540000000037253,2064081.229999999981374,13104363.509999997913837
FS( 194 ),2496417.250000000000000,2060195.919999999925494,1925091.559999999823049,2259512.000000000000000,2184318.520000000484288,2038883.160000000149012,12964422.410000000149012
FS( 195 ),2475441.000000000000000,2067405.359999999869615,1905739.879999999888241,2279445.000000000000000,2181262.719999999739230,2040470.440000000176951,12949768.399999996647239
FS( 196 ),2571239.750000000000000,2098529.040000000037253,1914609.399999999906868,2361106.000000000000000,2260713.520000000484288,2101580.720000000204891,13307782.430000001564622
FS( 197 ),2551344.750000000000000,2122794.959999999962747,1906546.199999999720603,2361749.000000000000000,2269575.339999999850988,2123207.410000000149012,13335221.660000000149012
FS( 198 ),2583349.750000000000000,2134752.080000000074506,1884775.559999999823049,2381039.000000000000000,2283326.439999999478459,2121024.899999999906868,13388271.730000000447035
FS( 199 ),2555669.750000000000000,2106969.359999999869615,1877518.679999999934807,2369465.000000000000000,2257352.139999999664724,2099199.799999999813735,13266178.730000000447035
FS( 200 ),2602379.750000000000000,2126663.439999999944121,1901708.279999999795109,2395828.000000000000000,2297688.700000000186265,2111699.630000000353903,13435971.799999998882413
FS( 201 ),2644548.500000000000000,2156204.560000000055879,1899289.319999999832362,2396471.000000000000000,2180957.139999999664724,2143246.819999999832362,13420721.339999999850988
FS( 202 ),2649522.250000000000000,2160073.040000000037253,1879131.319999999832362,2441481.000000000000000,2101200.759999999776483,2137691.339999999850988,13369103.709999999031425
FS( 203 ),2626816.000000000000000,2167282.479999999981374,1875099.719999999739230,2446625.000000000000000,2084088.280000000027940,2135310.419999999925494,13335225.899999998509884
FS( 204 ),2648657.250000000000000,2176953.679999999701977,1873487.079999999841675,2442124.000000000000000,2104256.559999999590218,2105747.330000000074506,13351229.900000000372529
FS( 205 ),2790084.750000000000000,2166403.280000000260770,1877115.520000000018626,2429264.000000000000000,2078282.260000000009313,2110905.990000000223517,13452059.800000000745058
FS( 206 ),2789219.750000000000000,2171502.639999999664724,1863408.079999999841675,2427978.000000000000000,2066059.059999999823049,2124199.459999999962747,13442370.989999998360872
FS( 207 ),2837011.000000000000000,2187855.760000000242144,1876309.199999999720603,2433765.000000000000000,2066364.640000000130385,2133326.319999999832362,13534635.919999999925494
FS( 208 ),2808682.250000000000000,2196647.760000000242144,1828333.159999999916181,2427978.000000000000000,2045585.199999999953434,2102969.589999999850988,13410199.959999999031425
FS( 209 ),2803924.750000000000000,2202978.000000000000000,1837605.839999999850988,2440838.000000000000000,2080421.319999999832362,2111501.220000000204891,13477273.130000000819564
FS( 210 ),2804357.250000000000000,2194361.840000000316650,1823898.399999999906868,2447911.000000000000000,2078282.260000000009313,2102175.950000000186265,13450990.699999999254942
FS( 211 ),2822089.750000000000000,2213000.879999999888241,1817851.000000000000000,2435694.000000000000000,2085921.760000000009313,2108128.250000000000000,13482689.639999998733401
FS( 212 ),2876801.000000000000000,2213880.080000000074506,1823495.239999999757856,2445339.000000000000000,2097228.219999999739230,2133127.910000000149012,13589875.449999999254942
FS( 213 ),2871611.000000000000000,2221265.359999999869615,1843250.079999999841675,2455627.000000000000000,2107006.780000000260770,2142453.180000000167638,13641217.399999998509884
FS( 214 ),2888478.500000000000000,2217748.560000000055879,1828736.319999999832362,2481990.000000000000000,2099978.439999999478459,2136500.880000000353903,13653436.700000001117587
FS( 215 ),2878098.500000000000000,2235508.399999999906868,1852925.919999999925494,2467844.000000000000000,2147954.500000000000000,2156143.470000000204891,13738478.790000000968575
FS( 216 ),2843931.000000000000000,2222847.919999999925494,1847281.679999999934807,2433765.000000000000000,2131758.759999999776483,2128366.069999999832362,13607954.429999999701977
FS( 217 ),2886748.500000000000000,2250630.639999999664724,1886791.359999999636784,2479418.000000000000000,2154371.679999999701977,2153762.549999999813735,13811726.730000000447035
FS( 218 ),2865988.500000000000000,2249927.280000000260770,1894854.559999999823049,2480704.000000000000000,2154371.679999999701977,2144437.279999999795109,13790287.299999998882413
FS( 219 ),2861663.500000000931323,2257136.720000000204891,1918641.000000000000000,2471702.000000000000000,2137564.780000000260770,2131937.450000000186265,13778649.449999999254942
FS( 220 ),2879828.500000000000000,2261181.040000000037253,1908562.000000000000000,2502566.000000000000000,2169956.259999999776483,2132135.859999999869615,13854233.659999998286366
FS( 221 ),2921348.500000000000000,2282281.839999999850988,1927913.679999999934807,2528286.000000000000000,2183096.200000000186265,2156540.290000000037253,13999470.509999997913837
FS( 222 ),2942757.250000000931323,2283336.879999999888241,1937992.679999999934807,2546933.000000000000000,2196236.139999999664724,2154556.189999999944121,14061816.139999998733401
FS( 223 ),2992062.250000000931323,2288260.399999999906868,1935573.719999999739230,2526357.000000000000000,2190430.120000000111759,2165270.330000000074506,14097957.820000002160668
FS( 224 ),2962219.750000000000000,2286853.680000000167638,1937992.679999999934807,2501923.000000000000000,2188291.059999999590218,2164675.100000000093132,14041959.269999997690320
FS( 225 ),2864258.500000000000000,2271555.600000000093132,1940411.639999999897555,2502566.000000000000000,2199597.520000000484288,2159318.029999999795109,13937711.289999997243285
FS( 226 ),2874638.500000000000000,2292128.879999999888241,1960166.479999999748543,2510925.000000000000000,2228016.459999999962747,2177968.569999999832362,14043847.890000000596046
FS( 227 ),2940378.500000000000000,2303910.160000000149012,1973067.599999999627471,2536002.000000000000000,2253379.599999999627471,2186500.200000000186265,14193242.059999998658895
FS( 228 ),2876152.250000000000000,2307602.799999999813735,2002095.119999999646097,2544361.000000000000000,2263463.739999999292195,2188682.709999999962747,14182361.620000001043081
FS( 229 ),2914644.750000000000000,2323780.080000000074506,1998869.839999999850988,2559150.000000000000000,2277214.839999999850988,2201182.540000000037253,14274846.050000000745058
FS( 230 ),2913347.250000000000000,2347518.479999999981374,2008948.839999999850988,2550791.000000000000000,2272325.559999999590218,2212491.910000000149012,14305427.039999999105930
FS( 231 ),2903183.500000000000000,2347694.319999999832362,2008948.839999999850988,2544361.000000000000000,2275992.520000000484288,2199595.259999999776483,14279779.439999999478459
FS( 232 ),2901237.250000000000000,2245179.600000000093132,2023059.439999999711290,2543075.000000000000000,2266213.959999999962747,2188682.709999999962747,14167451.960000000894070
FS( 233 ),2854527.250000000000000,2226188.879999999888241,2006126.719999999739230,2544361.000000000000000,2253074.020000000484288,2176381.290000000037253,14060663.160000000149012
FS( 234 ),2843714.750000000000000,2223727.119999999646097,1987984.520000000018626,2534073.000000000000000,2250629.379999999888241,2161500.540000000037253,14001633.309999998658895
FS( 235 ),2870313.500000000000000,2230233.199999999720603,1967826.520000000018626,2538574.000000000000000,2223127.179999999701977,2163683.049999999813735,13993761.449999999254942
FS( 236 ),2923294.750000000000000,2261532.720000000204891,1991209.799999999813735,2567509.000000000000000,2246045.679999999701977,2204753.919999999925494,14194349.869999999180436
FS( 237 ),2912482.250000000000000,2260829.359999999869615,1998063.520000000018626,2564937.000000000000000,2252768.439999999478459,2205944.380000000353903,14195028.949999999254942
FS( 238 ),2891289.750000000000000,2242893.679999999701977,1992822.439999999711290,2546933.000000000000000,2262852.580000000074506,2201976.180000000167638,14138771.629999998956919
FS( 239 ),2866637.250000000000000,2229178.159999999683350,1973470.760000000009313,2470416.000000000000000,2204486.799999999813735,2155945.060000000055879,13900138.029999999329448
FS( 240 ),2875287.250000000000000,2225837.199999999720603,1948071.679999999934807,2451126.000000000000000,2169956.259999999776483,2144635.689999999944121,13814918.079999998211861
FS( 241 ),2894101.000000000931323,2223199.600000000093132,1950490.639999999897555,2456270.000000000000000,2153760.520000000484288,2129953.350000000093132,13807779.110000001266599
FS( 242 ),2913347.250000000000000,2244827.919999999925494,1938799.000000000000000,2457556.000000000000000,2171484.160000000149012,2153365.729999999981374,13879384.060000000521541
FS( 243 ),2938432.250000000000000,2310416.239999999757856,1931138.959999999729916,2467844.000000000000000,2161400.020000000484288,2135310.419999999925494,13944545.889999998733401
FS( 244 ),2929998.500000000000000,2387961.680000000167638,1971454.959999999729916,2525714.000000000000000,2211820.719999999739230,2178762.209999999962747,14205716.070000000298023
FS( 245 ),2923078.500000000000000,2398687.919999999925494,1967020.199999999720603,2516069.000000000000000,2212126.299999999813735,2172611.500000000000000,14189597.419999998062849
FS( 246 ),2955516.000000000000000,2404138.959999999962747,1988387.679999999934807,2486491.000000000000000,2241461.979999999515712,2195627.060000000055879,14271626.680000001564622
FS( 247 ),2949677.250000000000000,2405545.680000000167638,1990000.319999999832362,2479418.000000000000000,2272019.979999999515712,2198801.619999999646097,14295466.849999999627471
FS( 248 ),2958976.000000000931323,2408886.640000000130385,1992016.119999999646097,2496779.000000000000000,2265297.219999999739230,2211698.270000000018626,14333657.250000000000000
FS( 249 ),2990116.000000000000000,2431745.839999999850988,2004514.079999999841675,2514140.000000000000000,2287298.979999999515712,2235904.290000000037253,14463723.189999997615814
FS( 250 ),2960489.750000000000000,2450384.879999999888241,2007336.199999999720603,2512854.000000000000000,2282409.700000000186265,2238086.799999999813735,14451565.330000001937151
FS( 251 ),2939297.250000000000000,2451615.759999999776483,2013383.599999999627471,2531501.000000000000000,2285159.919999999925494,2236697.930000000167638,14457659.459999999031425
FS( 252 ),2951623.500000000000000,2466210.479999999981374,2017818.359999999636784,2528286.000000000000000,2301050.080000000074506,2257927.799999999813735,14522920.219999998807907
