代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13609051.330000001937151
真實報酬,3609051.330000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14844.201757355867812
風險,216695.344517342629842
起點值,0.068502633457212
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](6),GS[8](5),HD[9](3),NKE[19](4),UNH[23](1),
FS( 196 ),2473681.920000000391155,2345642.870000000111759,2816885.060000000055879,2563589.180000000167638,2906337.530000000260770,13106136.560000002384186
FS( 197 ),2463505.160000000149012,2344923.530000000260770,2797330.660000000149012,2545640.479999999981374,2915374.040000000037253,13066773.870000001043081
FS( 198 ),2466974.510000000242144,2370579.990000000223517,2787797.890000000130385,2552307.140000000130385,2928806.690000000409782,13106466.220000002533197
FS( 199 ),2474375.790000000037253,2411102.809999999590218,2773132.090000000316650,2559999.439999999944121,2865306.889999999664724,13083917.019999999552965
FS( 200 ),2500280.270000000018626,2400432.599999999627471,2771176.650000000372529,2561537.900000000372529,2969837.330000000074506,13203264.750000000000000
FS( 201 ),2467668.379999999888241,2366144.059999999590218,2740134.040000000037253,2527178.959999999962747,2899254.860000000335276,13000380.300000000745058
FS( 202 ),2503055.750000000000000,2375135.809999999590218,2758710.720000000204891,2564102.000000000000000,2896079.870000000111759,13097084.149999998509884
FS( 203 ),2490566.090000000316650,2360029.669999999925494,2766288.050000000279397,2571794.299999999813735,2913175.969999999739230,13101854.079999998211861
FS( 204 ),2496579.629999999888241,2377773.389999999664724,2761888.310000000055879,2568204.560000000055879,2877274.160000000149012,13081720.050000000745058
FS( 205 ),2521096.370000000111759,2389642.500000000000000,2785598.020000000018626,2592819.919999999925494,2888264.509999999776483,13177421.320000000298023
FS( 206 ),2533354.740000000223517,2373817.020000000484288,2779242.840000000316650,2588717.359999999869615,2898766.400000000372529,13173898.360000001266599
FS( 207 ),2547926.010000000242144,2356193.190000000409782,2722779.510000000242144,2588204.540000000037253,2838930.049999999813735,13054033.300000000745058
FS( 208 ),2542375.050000000279397,2367822.520000000484288,2702980.680000000167638,2560512.259999999776483,2871901.100000000558794,13045591.609999999403954
FS( 209 ),2539830.860000000335276,2380650.750000000000000,2657272.270000000018626,2568717.380000000353903,2774697.559999999590218,12921168.820000000298023
FS( 210 ),2514620.250000000000000,2354994.290000000037253,2614985.880000000353903,2534358.439999999944121,2720722.730000000447035,12739681.589999999850988
FS( 211 ),2556252.450000000186265,2368302.080000000074506,2677804.390000000130385,2584101.979999999981374,2764684.129999999888241,12951145.030000001192093
FS( 212 ),2568048.240000000223517,2389522.610000000335276,2690270.320000000298023,2585640.439999999944121,2797899.410000000149012,13031381.020000001415610
FS( 213 ),2562959.860000000335276,2365424.719999999739230,2641384.320000000298023,2574871.220000000204891,2768836.040000000037253,12913476.160000000149012
FS( 214 ),2537749.250000000000000,2352956.160000000149012,2647495.070000000298023,2569743.020000000018626,2771766.799999999813735,12879710.300000000745058
FS( 215 ),2527109.910000000149012,2366623.620000000111759,2689781.460000000428408,2601537.859999999869615,2802784.009999999776483,12987836.859999999403954
FS( 216 ),2546769.560000000055879,2403909.410000000149012,2749177.950000000186265,2626666.040000000037253,2825253.169999999925494,13151776.130000000819564
FS( 217 ),2511844.770000000018626,2418655.879999999888241,2735245.440000000409782,2635896.799999999813735,2803028.240000000223517,13104671.130000000819564
FS( 218 ),2526647.330000000074506,2404269.080000000074506,2750400.100000000093132,2625127.580000000074506,2799853.250000000000000,13106297.339999999850988
FS( 219 ),2525490.879999999888241,2415059.179999999701977,2717890.910000000149012,2619486.560000000055879,2829649.309999999590218,13107576.839999999850988
FS( 220 ),2542606.340000000316650,2429326.089999999850988,2736223.160000000149012,2652307.040000000037253,2894858.719999999739230,13255321.349999997764826
FS( 221 ),2551164.069999999832362,2433522.240000000223517,2770687.790000000037253,2691794.180000000167638,2914397.120000000111759,13361565.400000002235174
FS( 222 ),2551857.939999999944121,2453783.649999999441206,2794641.930000000167638,2686153.160000000149012,2925875.929999999701977,13412312.609999999403954
FS( 223 ),2557177.610000000335276,2462655.509999999776483,2746000.360000000335276,2683076.240000000223517,2944193.179999999701977,13393102.900000000372529
FS( 224 ),2548851.170000000391155,2458819.030000000260770,2740134.040000000037253,2682563.419999999925494,2961045.049999999813735,13391412.710000000894070
FS( 225 ),2553245.680000000167638,2457260.459999999962747,2737934.170000000391155,2676922.400000000372529,2941995.110000000335276,13367357.820000000298023
FS( 226 ),2550238.910000000149012,2491429.110000000335276,2741600.620000000111759,2677948.040000000037253,2920747.100000000558794,13381963.780000001192093
FS( 227 ),2531273.129999999888241,2474404.729999999515712,2711535.730000000447035,2651794.220000000204891,2887776.049999999813735,13256783.859999999403954
FS( 228 ),2552783.100000000093132,2506535.250000000000000,2741600.620000000111759,2636922.439999999944121,2917327.879999999888241,13355169.289999999105930
FS( 229 ),2556483.740000000223517,2499581.629999999888241,2742333.910000000149012,2623076.299999999813735,2921479.790000000037253,13342955.370000001043081
FS( 230 ),2552783.100000000093132,2472126.820000000298023,2723512.800000000279397,2607178.880000000353903,2935889.360000000335276,13291490.960000000894070
FS( 231 ),2566429.209999999962747,2491549.000000000000000,2729623.550000000279397,2609230.160000000149012,2927341.309999999590218,13324173.230000000447035
FS( 232 ),2561572.120000000111759,2475004.179999999701977,2727668.110000000335276,2618460.919999999925494,2875808.780000000260770,13258514.109999999403954
FS( 233 ),2571286.300000000279397,2497303.719999999739230,2766043.620000000111759,2628717.319999999832362,2890462.580000000074506,13353813.539999999105930
FS( 234 ),2551164.069999999832362,2504257.339999999850988,2724490.520000000018626,2614358.359999999869615,2848943.480000000447035,13243213.769999999552965
FS( 235 ),2551164.069999999832362,2523199.959999999962747,2697847.650000000372529,2616409.640000000130385,2846012.719999999739230,13234634.039999999105930
FS( 236 ),2527803.780000000260770,2515287.219999999739230,2687092.730000000447035,2601025.040000000037253,2855293.459999999962747,13186502.230000000447035
FS( 237 ),2509994.450000000186265,2506055.690000000409782,2677315.530000000260770,2598973.759999999776483,2857247.299999999813735,13149586.730000000447035
FS( 238 ),2544225.370000000111759,2555330.479999999515712,2712757.880000000353903,2649742.939999999944121,2895347.179999999701977,13357403.849999999627471
FS( 239 ),2558565.350000000093132,2565041.570000000298023,2720335.210000000428408,2663589.080000000074506,2914152.889999999664724,13421684.100000001490116
FS( 240 ),2543068.920000000391155,2554491.250000000000000,2703469.540000000037253,2661024.979999999981374,2873366.480000000447035,13335421.169999999925494
FS( 241 ),2548388.590000000316650,2538905.549999999813735,2689048.170000000391155,2650255.759999999776483,2905849.070000000298023,13332447.140000000596046
FS( 242 ),2568742.110000000335276,2560485.750000000000000,2694425.630000000353903,2681024.959999999962747,2968616.179999999701977,13473294.629999998956919
FS( 243 ),2578687.580000000074506,2552932.679999999701977,2700291.950000000186265,2686153.160000000149012,2924410.549999999813735,13442475.920000001788139
FS( 244 ),2618700.750000000000000,2572954.309999999590218,2734023.290000000037253,2717948.000000000000000,2952497.000000000000000,13596123.349999999627471
FS( 245 ),2604823.350000000093132,2556049.820000000298023,2748200.230000000447035,2731794.140000000130385,2938820.120000000111759,13579687.660000000149012
FS( 246 ),2625870.740000000223517,2595853.299999999813735,2763843.750000000000000,2738460.799999999813735,2936866.280000000260770,13660894.870000001043081
FS( 247 ),2646224.260000000242144,2618512.509999999776483,2766532.480000000447035,2748717.200000000186265,2997679.549999999813735,13777666.000000000000000
FS( 248 ),2631421.700000000186265,2570916.179999999701977,2746244.790000000037253,2723589.020000000018626,2910489.440000000409782,13582661.129999998956919
FS( 249 ),2647149.420000000391155,2551613.889999999664724,2743556.060000000055879,2697948.020000000018626,2987666.120000000111759,13627933.510000001639128
FS( 250 ),2659639.080000000074506,2555810.040000000037253,2752355.540000000037253,2813332.520000000018626,3010135.280000000260770,13791272.460000000894070
FS( 251 ),2614768.819999999832362,2489630.759999999776483,2702002.960000000428408,2761024.880000000353903,2959823.900000000372529,13527251.320000002160668
FS( 252 ),2639979.430000000167638,2503298.219999999739230,2716424.330000000074506,2769742.819999999832362,2979606.530000000260770,13609051.330000001937151
