代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13597043.980000000447035
真實報酬,3597043.980000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15585.671641128708870
風險,226710.514892167149810
起點值,0.068747017087151
找到最佳解世代,1972
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](3),INTC[11](8),NKE[19](4),TRV[22](2),
FS( 171 ),2468956.500000000000000,1909806.800000000279397,2060970.879999999888241,2411180.470000000204891,2196225.639999999664724,2061843.489999999990687,13108987.779999999329448
FS( 172 ),2496955.900000000372529,1902451.280000000260770,2069999.160000000149012,2400278.879999999888241,2206530.099999999627471,2077445.199999999953434,13153664.519999999552965
FS( 173 ),2487479.180000000167638,1904903.120000000344589,2077557.719999999972060,2402202.689999999944121,2219074.660000000149012,2075667.789999999804422,13166889.160000000149012
FS( 174 ),2476925.560000000055879,1915732.080000000307336,2092044.959999999962747,2415669.360000000335276,2225346.939999999478459,2077642.689999999944121,13203365.589999999850988
FS( 175 ),2420926.760000000242144,1916549.360000000102445,2108631.800000000279397,2385529.670000000391155,2189057.320000000298023,2090282.050000000046566,13110980.960000000894070
FS( 176 ),2457972.120000000111759,1898977.840000000083819,2092044.959999999962747,2365650.300000000279397,2173824.639999999664724,2074087.869999999878928,13062561.729999998584390
FS( 177 ),2411234.660000000149012,1872211.920000000158325,2077347.760000000009313,2335510.610000000335276,2187713.259999999776483,2059078.629999999888241,12943100.839999999850988
FS( 178 ),2404127.120000000111759,1874663.760000000242144,2105272.439999999944121,2353466.170000000391155,2171584.540000000037253,2065200.819999999832362,12974318.850000001490116
FS( 179 ),2363420.300000000279397,1869351.440000000176951,2094984.400000000139698,2323326.479999999981374,2154559.780000000260770,2037354.729999999748543,12843001.130000002682209
FS( 180 ),2331113.300000000279397,1857296.560000000288710,2100653.319999999832362,2303447.110000000335276,2137983.040000000037253,2035972.300000000046566,12766469.629999998956919
FS( 181 ),2299237.060000000055879,1842381.200000000186265,2037875.280000000027940,2280361.390000000130385,2088252.819999999832362,2035774.809999999823049,12583886.560000000521541
FS( 182 ),2356528.140000000130385,1867103.920000000158325,2077347.760000000009313,2323967.750000000000000,2116926.099999999627471,2062040.979999999748543,12803918.650000000372529
FS( 183 ),2426311.260000000242144,1892235.280000000260770,2113670.839999999850988,2373986.810000000055879,2174720.679999999701977,2092454.439999999944121,13073383.310000000521541
FS( 184 ),2407573.200000000186265,1897956.240000000223517,2140125.800000000279397,2332304.259999999776483,2124542.439999999478459,2088504.639999999897555,12991010.580000000074506
FS( 185 ),2432557.279999999795109,1924722.160000000381842,2173089.520000000018626,2386170.939999999944121,2149183.540000000037253,2099564.080000000074506,13165291.520000001415610
FS( 186 ),2423942.080000000074506,1934733.840000000083819,2178548.479999999981374,2400278.879999999888241,2150079.580000000074506,2112203.440000000409782,13199790.300000000745058
FS( 187 ),2412526.939999999944121,1929217.200000000186265,2174349.280000000260770,2400920.149999999906868,2157247.899999999441206,2107661.169999999925494,13181926.639999998733401
FS( 188 ),2455172.180000000167638,1941680.720000000204891,2178338.520000000018626,2407974.119999999646097,2169344.439999999478459,2107266.190000000409782,13259780.169999998062849
FS( 189 ),2453449.140000000130385,1951283.760000000242144,2194715.399999999906868,2384247.129999999888241,2179648.899999999441206,2112203.440000000409782,13275551.769999999552965
FS( 190 ),2423511.319999999832362,1934938.160000000381842,2189256.439999999944121,2357313.790000000037253,2170240.479999999515712,2111808.459999999962747,13187072.650000002235174
FS( 191 ),2377420.000000000000000,1924517.840000000083819,2203953.640000000130385,2327174.100000000093132,2154111.759999999776483,2090479.539999999804422,13077660.879999998956919
FS( 192 ),2354805.100000000093132,1915527.760000000242144,2171619.800000000279397,2331662.989999999757856,2129022.639999999664724,2082382.449999999953434,12985024.739999998360872
FS( 193 ),2288468.060000000055879,1887535.920000000158325,2126058.479999999981374,2305370.920000000391155,2094525.099999999860302,2057301.219999999972060,12759263.700000001117587
FS( 194 ),2288683.439999999944121,1877524.240000000223517,2119549.720000000204891,2262405.830000000074506,2082428.559999999823049,2038934.649999999906868,12669530.440000001341105
FS( 195 ),2320775.060000000055879,1896730.320000000298023,2192195.879999999888241,2309859.810000000055879,2125438.479999999515712,2073692.889999999897555,12918696.440000001341105
FS( 196 ),2409942.379999999888241,1916345.040000000270084,2240696.640000000130385,2352824.899999999906868,2174272.660000000149012,2116745.709999999962747,13210831.330000001937151
FS( 197 ),2412526.939999999944121,1925743.760000000242144,2202273.959999999962747,2357313.790000000037253,2150527.599999999627471,2090084.559999999823049,13138474.609999999403954
FS( 198 ),2353082.060000000055879,1930034.480000000214204,2192405.839999999850988,2347053.470000000204891,2147391.459999999962747,2077642.689999999944121,13047613.999999998137355
FS( 199 ),2373973.919999999925494,1944949.840000000083819,2177918.600000000093132,2340640.770000000018626,2128574.620000000111759,2080802.529999999795109,13046864.279999999329448
FS( 200 ),2364927.959999999962747,1925335.120000000344589,2155032.959999999962747,2331021.720000000204891,2099453.320000000298023,2049401.619999999878928,12925176.699999999254942
FS( 201 ),2300744.719999999739230,1927786.960000000195578,2120809.479999999981374,2320761.399999999906868,2079292.419999999692664,2058091.179999999701977,12807490.160000000149012
FS( 202 ),2282868.180000000167638,1944745.520000000484288,2186107.040000000037253,2337434.420000000391155,2083324.599999999860302,2104106.349999999627471,12938590.110000001266599
FS( 203 ),2341666.919999999925494,1935755.440000000176951,2167840.520000000018626,2314348.700000000186265,2097213.219999999739230,2090282.050000000046566,12947110.850000001490116
FS( 204 ),2359543.459999999962747,1924109.200000000186265,2173719.399999999906868,2339358.229999999981374,2094973.119999999878928,2073890.379999999888241,12965597.789999999105930
FS( 205 ),2420926.760000000242144,1944132.560000000288710,2227049.239999999757856,2366932.839999999850988,2147391.459999999962747,2136297.219999999739230,13242734.079999998211861
FS( 206 ),2433418.800000000279397,1935346.800000000279397,2212352.040000000037253,2337434.420000000391155,2154111.759999999776483,2113190.889999999664724,13185858.710000000894070
FS( 207 ),2436003.359999999869615,1940454.800000000279397,2233138.080000000074506,2296393.140000000130385,2158591.959999999962747,2114573.319999999366701,13179158.660000000149012
FS( 208 ),2350712.879999999888241,1920022.800000000279397,2207942.879999999888241,2192507.399999999906868,2116926.099999999627471,2094429.339999999850988,12882545.399999998509884
FS( 209 ),2483602.340000000316650,1893461.200000000186265,2199124.560000000055879,2166215.330000000074506,2090492.919999999692664,2065398.309999999823049,12898298.660000002011657
FS( 210 ),2560923.760000000242144,1904698.800000000279397,2259593.040000000037253,2193789.939999999944121,2125438.479999999515712,2064608.350000000093132,13109056.369999999180436
FS( 211 ),2523447.640000000130385,1858522.480000000214204,2192405.839999999850988,2118761.350000000093132,2066747.859999999869615,2030640.069999999832362,12790529.240000000223517
FS( 212 ),2555108.500000000000000,1878341.520000000484288,2192615.800000000279397,2157878.819999999832362,2059131.519999999785796,2065398.309999999823049,12908478.470000000670552
FS( 213 ),2555539.260000000242144,1922678.960000000195578,2251614.560000000055879,2161085.170000000391155,2091388.959999999962747,2094231.850000000093132,13076542.759999999776483
FS( 214 ),2575138.840000000316650,2069380.720000000204891,2276179.879999999888241,2154672.470000000204891,2073020.139999999897555,2107858.660000000149012,13256254.710000000894070
FS( 215 ),2583323.279999999795109,2097168.240000000223517,2288357.560000000055879,2176475.649999999906868,2090940.939999999944121,2121287.979999999515712,13357557.649999998509884
FS( 216 ),2561569.900000000372529,2084500.400000000139698,2289407.360000000335276,2135434.369999999646097,2056443.399999999906868,2117140.690000000409782,13244500.120000001043081
FS( 217 ),2578584.919999999925494,2078575.120000000344589,2274710.160000000149012,2111707.379999999888241,2042554.780000000027940,2088899.619999999878928,13175035.979999998584390
FS( 218 ),2628122.319999999832362,2082457.200000000186265,2323630.839999999850988,2161085.170000000391155,2077948.359999999869615,2103711.370000000111759,13376959.259999997913837
FS( 219 ),2689721.000000000000000,2081435.600000000325963,2316072.280000000260770,2151466.119999999646097,2045690.919999999692664,2128397.620000000111759,13412787.539999999105930
FS( 220 ),2723751.040000000037253,2116374.320000000298023,2354914.879999999888241,2188659.780000000260770,2060923.599999999860302,2133729.849999999627471,13578357.469999998807907
FS( 221 ),2737104.600000000093132,2128429.200000000186265,2349245.959999999962747,2203408.989999999757856,2061819.639999999897555,2132939.889999999664724,13612952.280000001192093
FS( 222 ),2753258.100000000093132,2127407.600000000558794,2351555.520000000018626,2227777.250000000000000,2057787.459999999962747,2132939.889999999664724,13650729.820000000298023
FS( 223 ),2772426.919999999925494,2122095.280000000260770,2351345.560000000055879,2197637.560000000055879,2097213.219999999739230,2132544.910000000149012,13673267.449999999254942
FS( 224 ),2766611.659999999683350,2122708.240000000223517,2329299.759999999776483,2193789.939999999944121,2099005.299999999813735,2132742.399999999441206,13644161.299999997019768
FS( 225 ),2789226.560000000055879,2136193.360000000335276,2356594.560000000055879,2206615.339999999850988,2126782.540000000037253,2129385.069999999366701,13744801.429999999701977
FS( 226 ),2864609.560000000055879,2145183.439999999944121,2357434.399999999906868,2164932.790000000037253,2128574.620000000111759,2114770.809999999590218,13775509.620000001043081
FS( 227 ),2846733.020000000018626,2138645.200000000186265,2451286.520000000018626,2206615.339999999850988,2137535.019999999552965,2124052.839999999850988,13904871.939999999478459
FS( 228 ),2773934.580000000074506,2157034.000000000000000,2442048.280000000260770,2177116.920000000391155,2168896.419999999925494,2111413.479999999515712,13830447.679999999701977
FS( 229 ),2809041.520000000018626,2136397.680000000167638,2422522.000000000000000,2157878.819999999832362,2172928.599999999627471,2129385.069999999366701,13828157.689999997615814
FS( 230 ),2766827.040000000037253,2126590.320000000298023,2409294.520000000018626,2132228.020000000018626,2175616.719999999739230,2121880.450000000186265,13732441.070000000298023
FS( 231 ),2780395.979999999981374,2163572.240000000223517,2438059.040000000037253,2184170.890000000130385,2212354.360000000335276,2130964.990000000223517,13909521.500000001862645
FS( 232 ),2786211.240000000223517,2172970.959999999962747,2437009.239999999757856,2186735.970000000204891,2194881.580000000074506,2121090.490000000223517,13898903.480000000447035
FS( 233 ),2768550.080000000074506,2157034.000000000000000,2409504.479999999981374,2188018.509999999776483,2184577.120000000111759,2110821.009999999776483,13818509.200000001117587
FS( 234 ),2722674.140000000130385,2146000.720000000204891,2433649.879999999888241,2163008.979999999981374,2205634.059999999590218,2125040.290000000037253,13796012.070000000298023
FS( 235 ),2726766.359999999869615,2121278.000000000000000,2402995.720000000204891,2128380.399999999906868,2171136.519999999552965,2089492.089999999850988,13640053.089999999850988
FS( 236 ),2738396.879999999888241,2150700.080000000540167,2419792.520000000018626,2098240.709999999962747,2182785.040000000037253,2107661.169999999925494,13697580.400000000372529
FS( 237 ),2681751.939999999944121,2106362.640000000130385,2363313.280000000260770,2032831.169999999925494,2162176.120000000111759,2068360.659999999916181,13414799.810000002384186
FS( 238 ),2632860.680000000167638,2102276.240000000223517,2374021.239999999757856,2073231.179999999934807,2135742.939999999478459,2086924.719999999972060,13405061.000000000000000
FS( 239 ),2680459.660000000149012,2189725.200000000186265,2437639.120000000111759,1975116.870000000111759,2173824.639999999664724,2129582.559999999590218,13586352.050000000745058
FS( 240 ),2661936.979999999981374,2174809.840000000316650,2410764.239999999757856,1983453.379999999888241,2146495.419999999925494,2107661.169999999925494,13485125.030000001192093
FS( 241 ),2691228.660000000149012,2193811.600000000558794,2446037.520000000018626,1977040.679999999934807,2160384.040000000037253,2151306.459999999962747,13619812.960000000894070
FS( 242 ),2736243.080000000074506,2185434.479999999981374,2426721.200000000186265,1961650.199999999953434,2162624.139999999664724,2147751.639999999664724,13620428.740000002086163
FS( 243 ),2767042.419999999925494,2206070.800000000279397,2437219.200000000186265,1980888.300000000046566,2184577.120000000111759,2162958.370000000111759,13738760.210000000894070
FS( 244 ),2746150.560000000055879,2193811.600000000558794,2417902.879999999888241,1971269.250000000000000,2202497.919999999925494,2154861.280000000260770,13686497.489999998360872
FS( 245 ),2711689.760000000242144,2215469.520000000484288,2466823.560000000055879,2007821.639999999897555,2284485.580000000074506,2167105.660000000149012,13853399.720000002533197
FS( 246 ),2739904.540000000037253,2211178.800000000279397,2437009.239999999757856,2000767.669999999925494,2272837.059999999590218,2164933.269999999552965,13826634.579999998211861
FS( 247 ),2728704.779999999795109,2188499.280000000260770,2438688.919999999925494,1974475.599999999860302,2254916.259999999776483,2157231.160000000149012,13742520.000000000000000
FS( 248 ),2657414.000000000000000,2145387.760000000242144,2386828.800000000279397,1916761.300000000046566,2217730.599999999627471,2125237.780000000260770,13449364.240000002086163
FS( 249 ),2675936.680000000167638,2150291.439999999944121,2359324.040000000037253,1928945.429999999934807,2225346.939999999478459,2109833.559999999590218,13449682.089999999850988
FS( 250 ),2654614.060000000055879,2155195.120000000111759,2390608.080000000074506,2052069.270000000018626,2237443.479999999515712,2115758.259999999776483,13605692.269999997690320
FS( 251 ),2721812.620000000111759,2168271.600000000558794,2406775.000000000000000,2017440.690000000176951,2260292.500000000000000,2165328.250000000000000,13739924.660000000149012
FS( 252 ),2680028.900000000372529,2143140.240000000223517,2385359.080000000074506,2005256.560000000055879,2247747.939999999478459,2135507.259999999776483,13597043.980000000447035
