代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13333416.179999997839332
真實報酬,3333416.179999997839332

夏普值報酬,0.324641618000000
夏普值風險,0.111002365623494
夏普值,2.924636931623092

二次趨勢線,60.520322531157277 x^2 + 508.093582414512866 x + 10000000.000000000000000
二次平均預期報酬,15880.255505328459549
風險,316032.789565602084622
二次平均趨勢值,0.050248759083374
一次趨勢線,12014.475140098624252 x + 10000000.000000000000000
一次預期報酬,12014.475140098624252
一次風險,537880.084195106057450
一次趨勢值,0.022336716850332
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](4),HD[9](3),KO[14](9),V[25](1),VZ[26](11),WMT[28](13),
FS( 167 ),2157609.100000000093132,2112513.600000000093132,1683642.199999999720603,2126261.500000000000000,1709859.939999999711290,1863408.130000000121072,11653298.470000000670552
FS( 168 ),2185296.399999999906868,2107805.600000000093132,1684141.499999999767169,2101850.750000000000000,1728240.339999999618158,1881517.000000000000000,11688855.589999999850988
FS( 169 ),2201841.250000000000000,2089915.199999999953434,1686138.699999999953434,2117844.000000000000000,1730537.889999999664724,1883358.580000000074506,11709639.619999999180436
FS( 170 ),2200490.650000000372529,2093681.599999999860302,1693628.199999999953434,2157406.250000000000000,1736971.029999999562278,1908526.840000000083819,11790708.570000000298023
FS( 171 ),2195425.899999999906868,2093210.800000000046566,1693628.199999999953434,2232322.000000000000000,1725942.789999999804422,1901160.520000000018626,11841694.209999999031425
FS( 172 ),2217373.150000000372529,2126637.600000000093132,1699619.799999999813735,2252524.000000000000000,1738809.069999999832362,1903922.890000000130385,11938890.509999999776483
FS( 173 ),2237969.800000000279397,2128050.000000000000000,1698621.199999999953434,2259258.000000000000000,1752594.369999999878928,1899318.940000000176951,11975816.310000000521541
FS( 174 ),2261605.300000000279397,2140290.799999999813735,1711603.000000000000000,2251682.250000000000000,1742485.149999999906868,1893487.270000000018626,12001157.769999999552965
FS( 175 ),2299422.100000000093132,2126637.600000000093132,1706110.699999999953434,2280301.750000000000000,1742485.149999999906868,1891338.760000000009313,12046300.060000000521541
FS( 176 ),2378769.850000000093132,2131345.600000000093132,1697123.300000000046566,2366160.250000000000000,1742485.149999999906868,1901774.380000000121072,12217662.530000001192093
FS( 177 ),2380120.449999999720603,2134170.399999999906868,1696124.699999999720603,2397305.000000000000000,1731916.419999999692664,1899932.800000000046566,12239573.769999999552965
FS( 178 ),2424352.600000000093132,2162418.399999999906868,1708607.199999999720603,2372052.500000000000000,1752134.859999999869615,1896556.570000000065193,12316126.129999998956919
FS( 179 ),2457442.300000000279397,2168538.800000000279397,1720091.100000000093132,2425082.750000000000000,1747999.269999999785796,1909754.560000000055879,12428912.780000001192093
FS( 180 ),2400717.100000000093132,2152060.799999999813735,1707608.600000000093132,2422557.500000000000000,1738349.559999999590218,1895635.780000000027940,12316933.339999997988343
FS( 181 ),2422326.699999999720603,2162418.399999999906868,1719092.499999999767169,2394779.750000000000000,1748458.779999999562278,1904229.820000000065193,12351309.949999999254942
FS( 182 ),2421989.050000000279397,2199140.799999999813735,1724085.500000000000000,2420032.250000000000000,1767298.689999999711290,1917734.739999999990687,12450285.029999999329448
FS( 183 ),2483441.350000000093132,2209027.600000000093132,1718093.899999999674037,2403197.250000000000000,1768677.219999999739230,1843764.610000000102445,12426205.929999999701977
FS( 184 ),2474662.450000000186265,2192549.600000000093132,1729078.500000000000000,2448651.750000000000000,1755810.939999999711290,1798645.900000000139698,12399403.140000000596046
FS( 185 ),2490869.649999999906868,2210440.000000000000000,1727081.300000000046566,2451177.000000000000000,1752134.859999999869615,1796804.320000000065193,12428511.129999998956919
FS( 186 ),2519907.549999999813735,2211852.399999999906868,1722587.599999999860302,2473904.250000000000000,1752594.369999999878928,1804477.570000000065193,12485327.739999998360872
FS( 187 ),2536114.750000000000000,2209498.399999999906868,1718593.199999999953434,2459594.500000000000000,1752134.859999999869615,1794348.880000000121072,12470288.590000001713634
FS( 188 ),2582710.449999999720603,2223622.399999999906868,1718593.199999999953434,2503365.500000000000000,1753053.879999999655411,1808774.590000000083819,12590124.019999999552965
FS( 189 ),2616475.449999999720603,2239629.600000000093132,1744057.499999999767169,2448651.750000000000000,1751215.839999999618158,1813378.540000000037253,12613412.679999999701977
FS( 190 ),2626267.300000000279397,2234450.799999999813735,1737566.599999999627471,2466328.500000000000000,1765920.159999999683350,1805398.360000000102445,12635935.719999998807907
FS( 191 ),2629643.799999999813735,2232096.799999999813735,1727081.300000000046566,2444443.000000000000000,1776948.399999999906868,1811230.030000000027940,12621447.329999998211861
FS( 192 ),2571905.650000000372529,2231155.200000000186265,1728579.199999999720603,2446126.500000000000000,1792112.229999999748543,1823200.300000000046566,12593083.080000001937151
FS( 193 ),2557724.350000000093132,2184075.200000000186265,1716596.000000000000000,2416665.250000000000000,1777867.419999999692664,1810002.310000000055879,12462934.530000001192093
FS( 194 ),2559750.250000000000000,2231155.200000000186265,1717594.599999999860302,2433500.250000000000000,1786138.599999999627471,1837319.080000000074506,12565461.980000000447035
FS( 195 ),2614449.550000000279397,2251399.600000000093132,1729577.799999999813735,2482321.750000000000000,1802221.449999999720603,1834556.710000000195578,12714530.859999999403954
FS( 196 ),2629643.799999999813735,2264582.000000000000000,1735569.399999999674037,2465486.750000000000000,1796707.329999999841675,1844071.540000000037253,12736064.820000000298023
FS( 197 ),2662733.500000000000000,2287651.200000000186265,1751546.999999999767169,2452018.750000000000000,1806816.549999999813735,1862487.340000000083819,12823258.339999999850988
FS( 198 ),2740393.000000000000000,2313545.200000000186265,1754043.500000000000000,2468012.000000000000000,1814168.709999999497086,1872309.100000000093132,12962475.509999997913837
FS( 199 ),2844051.550000000279397,2329081.600000000093132,1753044.899999999906868,2457069.250000000000000,1813709.199999999720603,1874764.540000000037253,13071725.039999999105930
FS( 200 ),2824467.850000000093132,2316370.000000000000000,1756040.699999999953434,2462119.750000000000000,1816925.769999999785796,1879368.489999999990687,13055296.560000000521541
FS( 201 ),2824467.850000000093132,2309308.000000000000000,1751546.999999999767169,2455385.750000000000000,1818304.299999999813735,1867398.220000000204891,13026415.119999999180436
FS( 202 ),2899426.150000000372529,2298950.399999999906868,1757538.600000000093132,2500840.250000000000000,1821980.379999999655411,1864328.920000000158325,13143068.699999999254942
FS( 203 ),2923061.649999999906868,2324844.399999999906868,1762531.599999999627471,2452018.750000000000000,1821061.359999999869615,1860031.900000000139698,13143553.659999998286366
FS( 204 ),2906179.149999999906868,2344147.200000000186265,1775513.399999999906868,2457069.250000000000000,1827954.009999999776483,1858804.180000000167638,13169671.189999999478459
FS( 205 ),2890984.900000000372529,2338968.399999999906868,1783002.899999999906868,2468012.000000000000000,1822439.889999999664724,1861566.550000000046566,13164978.640000000596046
FS( 206 ),2875115.350000000093132,2332377.200000000186265,1784500.800000000046566,2499998.500000000000000,1811411.649999999906868,1864635.850000000093132,13168043.350000001490116
FS( 207 ),2927788.750000000000000,2360154.399999999906868,1794986.100000000093132,2526934.500000000000000,1807276.059999999590218,1878447.700000000186265,13295591.509999997913837
FS( 208 ),2963917.300000000279397,2355917.200000000186265,1794486.799999999813735,2521042.250000000000000,1776488.889999999664724,1875071.470000000204891,13286927.910000002011657
FS( 209 ),2979111.550000000279397,2349796.799999999813735,1813959.499999999767169,2511783.000000000000000,1758108.489999999757856,1878140.770000000018626,13290904.109999999403954
FS( 210 ),2941632.400000000372529,2349796.799999999813735,1842918.899999999674037,2504207.250000000000000,1749377.799999999813735,1866784.360000000102445,13254721.509999997913837
FS( 211 ),2891997.850000000093132,2368628.800000000279397,1847911.899999999674037,2483163.500000000000000,1756729.959999999497086,1878447.700000000186265,13226883.710000000894070
FS( 212 ),2984176.299999999813735,2353563.200000000186265,1850907.699999999953434,2504207.250000000000000,1770055.750000000000000,1883358.580000000074506,13346272.779999999329448
FS( 213 ),3035499.100000000093132,2354034.000000000000000,1841421.000000000000000,2532826.750000000000000,1767298.689999999711290,1861566.550000000046566,13392650.089999999850988
FS( 214 ),3011525.950000000186265,2346972.000000000000000,1833931.499999999767169,2504207.250000000000000,1764082.119999999878928,1849596.280000000027940,13310319.099999997764826
FS( 215 ),3056771.050000000279397,2383223.600000000093132,1834430.800000000046566,2546294.750000000000000,1730537.889999999664724,1862180.410000000149012,13413442.500000000000000
FS( 216 ),3068926.450000000186265,2381340.399999999906868,1819451.799999999813735,2515150.000000000000000,1721347.689999999711290,1845606.190000000176951,13351826.529999997466803
FS( 217 ),3031447.300000000279397,2323902.799999999813735,1797981.899999999674037,2457069.250000000000000,1691020.029999999562278,1839467.590000000083819,13140892.869999999180436
FS( 218 ),3020642.500000000000000,2342264.000000000000000,1800478.399999999906868,2470537.250000000000000,1717671.609999999869615,1835477.500000000000000,13187075.259999999776483
FS( 219 ),3004097.649999999906868,2383694.399999999906868,1802974.899999999906868,2547136.500000000000000,1725483.279999999562278,1845913.120000000111759,13309303.849999997764826
FS( 220 ),2919347.500000000000000,2399230.799999999813735,1795984.699999999720603,2591749.250000000000000,1712157.489999999757856,1834556.710000000195578,13253030.450000001117587
FS( 221 ),2798468.799999999813735,2433599.199999999720603,1808467.199999999720603,2542927.750000000000000,1719969.159999999683350,1859418.040000000037253,13162854.149999998509884
FS( 222 ),2940957.100000000093132,2449606.399999999906868,1846413.999999999767169,2569022.000000000000000,1734213.969999999739230,1899012.010000000009313,13439229.479999998584390
FS( 223 ),2934541.750000000000000,2439248.800000000279397,1851906.300000000046566,2563129.750000000000000,1730537.889999999664724,1904843.680000000167638,13424212.170000001788139
FS( 224 ),2833584.400000000372529,2427478.800000000279397,1842918.899999999674037,2550503.500000000000000,1753053.879999999655411,1895328.850000000093132,13302872.330000000074506
FS( 225 ),2763690.850000000093132,2422770.799999999813735,1850907.699999999953434,2546294.750000000000000,1779705.459999999497086,1916813.950000000186265,13280187.510000001639128
FS( 226 ),2757613.150000000372529,2405822.000000000000000,1839923.099999999860302,2485688.750000000000000,1772353.299999999813735,1827497.320000000065193,13088901.620000001043081
FS( 227 ),2702576.200000000186265,2411942.399999999906868,1850408.399999999906868,2502523.750000000000000,1815087.729999999748543,1773170.710000000195578,13055713.190000001341105
FS( 228 ),2942307.700000000186265,2443956.799999999813735,1870879.699999999720603,2563129.750000000000000,1814168.709999999497086,1760586.580000000074506,13395033.239999998360872
FS( 229 ),2931165.250000000000000,2442073.600000000093132,1889853.099999999860302,2592591.000000000000000,1844496.369999999878928,1809388.450000000186265,13509571.769999999552965
FS( 230 ),2908542.700000000186265,2445840.000000000000000,1913320.199999999953434,2599325.000000000000000,1848631.959999999497086,1811843.890000000130385,13527507.750000000000000
FS( 231 ),2817039.550000000279397,2438307.200000000186265,1905331.399999999674037,2588382.250000000000000,1855524.609999999869615,1808160.729999999981374,13412749.739999998360872
FS( 232 ),2807923.000000000000000,2463259.600000000093132,1920809.699999999720603,2590065.750000000000000,1863795.789999999804422,1813071.610000000102445,13458929.449999997392297
FS( 233 ),2826493.750000000000000,2481620.799999999813735,1926301.999999999767169,2571547.250000000000000,1865633.829999999841675,1811230.030000000027940,13482831.660000000149012
FS( 234 ),2806572.400000000372529,2470321.600000000093132,1933292.199999999720603,2449493.500000000000000,1867471.869999999878928,1810616.170000000158325,13337771.739999998360872
FS( 235 ),2726549.350000000093132,2446310.799999999813735,1922307.599999999860302,2478954.750000000000000,1850010.489999999757856,1801715.200000000186265,13225852.190000001341105
FS( 236 ),2746808.350000000093132,2419475.200000000186265,1929297.799999999813735,2494106.250000000000000,1862417.259999999776483,1816754.770000000018626,13268863.630000000819564
FS( 237 ),2740730.650000000372529,2383223.600000000093132,1925802.699999999953434,2486530.500000000000000,1863336.279999999562278,1812457.750000000000000,13212085.479999998584390
FS( 238 ),2745457.750000000000000,2359212.799999999813735,1916815.299999999813735,2471379.000000000000000,1849550.979999999748543,1811843.890000000130385,13154263.720000000670552
FS( 239 ),2751873.100000000093132,2383223.600000000093132,1932792.899999999906868,2486530.500000000000000,1863336.279999999562278,1816754.770000000018626,13234515.149999998509884
FS( 240 ),2733640.000000000000000,2370041.200000000186265,1934290.800000000046566,2481480.000000000000000,1891366.389999999664724,1823814.160000000149012,13234636.550000000745058
FS( 241 ),2692784.350000000093132,2348384.399999999906868,1919311.799999999813735,2456227.500000000000000,1878959.619999999878928,1813071.610000000102445,13108743.279999999329448
FS( 242 ),2668135.899999999906868,2291417.600000000093132,1911323.000000000000000,2453702.250000000000000,1886311.779999999562278,1821665.650000000139698,13032560.179999999701977
FS( 243 ),2634033.250000000465661,2296125.600000000093132,1905830.699999999953434,2473062.500000000000000,1878500.109999999869615,1816754.770000000018626,13004310.929999999701977
FS( 244 ),2557049.050000000279397,2213735.600000000093132,1875373.399999999906868,2420032.250000000000000,1901016.099999999627471,1893180.340000000083819,12860390.740000000223517
FS( 245 ),2558399.649999999906868,2215148.000000000000000,1848910.500000000000000,2370369.000000000000000,1908368.259999999776483,1916200.090000000083819,12817399.500000000000000
FS( 246 ),2707303.300000000279397,2241512.799999999813735,1860394.399999999674037,2446126.500000000000000,1899637.569999999832362,1934922.820000000065193,13089901.390000000596046
FS( 247 ),2686706.649999999906868,2272114.799999999813735,1852405.599999999860302,2491581.000000000000000,1901935.119999999878928,1956100.989999999990687,13160848.159999998286366
FS( 248 ),2752210.750000000465661,2272114.799999999813735,1852405.599999999860302,2491581.000000000000000,1901935.119999999878928,1956100.989999999990687,13226352.259999999776483
FS( 249 ),2726887.000000000465661,2340380.799999999813735,1886358.000000000000000,2520200.500000000000000,1901935.119999999878928,1997229.609999999869615,13372995.029999999329448
FS( 250 ),2712368.049999999813735,2327669.199999999720603,1878369.199999999720603,2511783.000000000000000,1904692.179999999934807,2004595.930000000167638,13339481.559999998658895
FS( 251 ),2760314.350000000093132,2343676.399999999906868,1883861.499999999767169,2531143.250000000000000,1918477.479999999748543,2015952.340000000316650,13453429.320000000298023
FS( 252 ),2793741.699999999720603,2340380.799999999813735,1873875.500000000000000,2472220.750000000000000,1903313.649999999906868,2008586.020000000018626,13392122.419999999925494
FS( 253 ),2786651.050000000279397,2322961.200000000186265,1865886.699999999720603,2424241.000000000000000,1913422.869999999878928,2020249.359999999869615,13333416.179999997839332
