代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12925674.099999999627471
真實報酬,2925674.099999999627471

夏普值報酬,0.283867410000000
夏普值風險,0.085668674428981
夏普值,3.313549694705800

二次趨勢線,28.210262214618304 x^2 + 6079.862349151025228 x + 10000000.000000000000000
二次平均預期報酬,13217.058689449457233
風險,112423.638091099914163
二次平均趨勢值,0.117564765861245
一次趨勢線,11422.159807829852070 x + 10000000.000000000000000
一次預期報酬,11422.159807829852070
一次風險,230551.794543107156642
一次趨勢值,0.049542706143171
找到最佳解世代,1568
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](8),CAT[3](2),DD[7](1),INTC[11](7),MCD[15](21),MRK[17](9),MSFT[18](3),
FS( 148 ),1661774.050000000279397,1641399.439999999944121,1996201.169999999925494,1515393.159999999916181,1370562.400000000139698,1677933.880000000121072,1732598.919999999692664,11595866.020000001415610
FS( 149 ),1665277.570000000065193,1630402.740000000223517,2014338.129999999888241,1508619.800000000046566,1371139.599999999860302,1672640.800000000046566,1719066.519999999785796,11581488.160000000149012
FS( 150 ),1660241.260000000009313,1651211.879999999888241,2008953.719999999972060,1516624.679999999934807,1379220.399999999906868,1683815.080000000074506,1720870.839999999850988,11620940.859999999403954
FS( 151 ),1659365.380000000121072,1641906.979999999981374,1998184.900000000139698,1517240.440000000176951,1378066.000000000000000,1689990.340000000083819,1709593.839999999850988,11594350.880000000819564
FS( 152 ),1660898.170000000158325,1636831.580000000074506,2010937.449999999720603,1529555.640000000130385,1373737.000000000000000,1685579.439999999944121,1705985.199999999953434,11603527.479999998584390
FS( 153 ),1676882.980000000214204,1638354.200000000186265,1987982.860000000102445,1522782.280000000027940,1425396.399999999906868,1667053.659999999916181,1715006.800000000046566,11633462.180000001564622
FS( 154 ),1678634.740000000223517,1638015.839999999850988,1978630.989999999757856,1524629.560000000055879,1424386.299999999813735,1670582.380000000121072,1726283.800000000046566,11641166.610000001266599
FS( 155 ),1660022.290000000270084,1617545.060000000055879,1967012.000000000000000,1512930.120000000111759,1405050.100000000093132,1640588.260000000009313,1709142.760000000009313,11512293.589999999850988
FS( 156 ),1641409.840000000083819,1613823.100000000093132,1963327.929999999934807,1508619.800000000046566,1408080.399999999906868,1637941.720000000204891,1700572.239999999990687,11473778.030000001192093
FS( 157 ),1647759.970000000204891,1618560.140000000130385,1977497.429999999934807,1520935.000000000000000,1408369.000000000000000,1654409.080000000074506,1716360.039999999804422,11543893.660000000149012
FS( 158 ),1662211.990000000223517,1631079.459999999962747,2004419.480000000214204,1528324.120000000111759,1404184.300000000046566,1657349.679999999934807,1784022.039999999804422,11671594.070000000298023
FS( 159 ),1661774.050000000279397,1624819.800000000279397,2002152.360000000102445,1540639.320000000065193,1386724.000000000000000,1646469.459999999962747,1771391.800000000046566,11633973.790000002831221
FS( 160 ),1653891.130000000121072,1627695.859999999869615,2027657.459999999962747,1565885.479999999981374,1393939.000000000000000,1634707.060000000055879,1819206.279999999795109,11722985.269999999552965
FS( 161 ),1666810.360000000335276,1647659.100000000093132,2026240.510000000009313,1549875.720000000204891,1377633.100000000093132,1607359.479999999981374,1811537.919999999692664,11687119.190000001341105
FS( 162 ),1686736.630000000121072,1638523.379999999888241,2024256.780000000260770,1546796.920000000158325,1387878.400000000139698,1581482.199999999953434,1826874.639999999897555,11692551.950000001117587
FS( 163 ),1704911.140000000130385,1667960.700000000186265,2043810.690000000176951,1567732.760000000009313,1383982.300000000046566,1622944.659999999916181,1819657.360000000102445,11811002.609999999403954
FS( 164 ),1688488.390000000130385,1654595.479999999981374,1994784.219999999972060,1562806.679999999934807,1382972.199999999953434,1647351.640000000130385,1794847.959999999962747,11725849.570000000298023
FS( 165 ),1681262.380000000121072,1665592.180000000167638,1936689.270000000018626,1558496.359999999869615,1387589.800000000046566,1638823.899999999906868,1775451.519999999785796,11643908.409999998286366
FS( 166 ),1679291.650000000139698,1681495.100000000093132,1945190.969999999972060,1577584.920000000158325,1403174.199999999953434,1646175.399999999906868,1817853.039999999804422,11750768.279999999329448
FS( 167 ),1679072.680000000400469,1681156.740000000223517,1961060.810000000055879,1589284.359999999869615,1414573.899999999906868,1669406.140000000130385,1848977.560000000055879,11843535.190000001341105
FS( 168 ),1694400.580000000074506,1688600.660000000149012,2006119.820000000298023,1600368.040000000037253,1412698.000000000000000,1657643.739999999990687,1868374.000000000000000,11928207.840000001713634
FS( 169 ),1697247.190000000409782,1736309.419999999925494,2013771.350000000093132,1594210.440000000176951,1408224.699999999953434,1660290.280000000027940,1865216.439999999944121,11975272.820000000298023
FS( 170 ),1685422.810000000288710,1734955.979999999981374,2000168.629999999888241,1626229.959999999962747,1409234.800000000046566,1652938.780000000027940,1849879.719999999739230,11958833.679999999701977
FS( 171 ),1663525.810000000288710,1728527.140000000130385,1965028.270000000018626,1610835.959999999962747,1412265.100000000093132,1650292.239999999990687,1798456.599999999860302,11828934.120000001043081
FS( 172 ),1637468.380000000121072,1710594.060000000055879,1934422.150000000139698,1631156.040000000037253,1399855.300000000046566,1622944.659999999916181,1795299.039999999804422,11731742.629999998956919
FS( 173 ),1637468.380000000121072,1732249.100000000093132,1940089.949999999720603,1657017.959999999962747,1415295.399999999906868,1618533.760000000009313,1796201.199999999953434,11796858.749999998137355
FS( 174 ),1658927.440000000409782,1742399.899999999906868,1976363.869999999878928,1661328.280000000027940,1419191.500000000000000,1679110.120000000111759,1825521.399999999906868,11962845.509999999776483
FS( 175 ),1637468.380000000121072,1730049.760000000242144,1925070.280000000260770,1627461.479999999981374,1434775.900000000139698,1642352.620000000111759,1775451.519999999785796,11772632.940000001341105
FS( 176 ),1625425.030000000260770,1716346.180000000167638,1894747.550000000046566,1612067.479999999981374,1432755.700000000186265,1644411.040000000037253,1768685.319999999832362,11694441.300000000745058
FS( 177 ),1631994.130000000121072,1738847.120000000111759,1916851.969999999972060,1635466.359999999869615,1444588.300000000046566,1634118.939999999944121,1767332.079999999841675,11769201.900000000372529
FS( 178 ),1620169.750000000000000,1734110.080000000074506,1919685.869999999878928,1648397.320000000065193,1454977.899999999906868,1648233.819999999832362,1793043.639999999897555,11818621.380000000819564
FS( 179 ),1623454.300000000279397,1741384.820000000298023,1957376.739999999757856,1658249.479999999981374,1454977.899999999906868,1654409.080000000074506,1822363.839999999850988,11912219.160000000149012
FS( 180 ),1642066.750000000000000,1739693.020000000018626,1966161.829999999841675,1665022.840000000083819,1446608.500000000000000,1660584.340000000083819,1804771.719999999739230,11924912.000000000000000
FS( 181 ),1661555.080000000074506,1736478.600000000093132,1967295.390000000130385,1659481.000000000000000,1438239.100000000093132,1683521.020000000018626,1801614.159999999683350,11948187.349999999627471
FS( 182 ),1663306.840000000083819,1754242.500000000000000,1975230.310000000055879,1652707.640000000130385,1433188.599999999860302,1698812.140000000130385,1803869.560000000055879,11981360.590000001713634
FS( 183 ),1641409.840000000083819,1748997.919999999925494,1992517.100000000093132,1647165.800000000046566,1430446.899999999906868,1690872.520000000018626,1790337.159999999683350,11941750.239999998360872
FS( 184 ),1776076.390000000130385,1781142.120000000111759,1987132.690000000176951,1647165.800000000046566,1440692.199999999953434,1691754.699999999953434,1798005.519999999785796,12121972.419999998062849
FS( 185 ),1789214.590000000083819,1771160.500000000000000,1957376.739999999757856,1616993.560000000055879,1453534.900000000139698,1683226.959999999962747,1800260.919999999692664,12071771.169999999925494
FS( 186 ),1858409.110000000335276,1763885.760000000242144,1908633.659999999916181,1621303.879999999888241,1447474.300000000046566,1666759.600000000093132,1843564.599999999860302,12110033.910000000149012
FS( 187 ),1852934.860000000335276,1781480.479999999981374,1965311.659999999916181,1630540.280000000027940,1464646.000000000000000,1726747.840000000083819,1827325.719999999739230,12248989.839999999850988
FS( 188 ),1845927.820000000065193,1783172.280000000260770,2013771.350000000093132,1643471.240000000223517,1462914.399999999906868,1722042.880000000121072,1822363.839999999850988,12293666.810000002384186
FS( 189 ),1850307.220000000204891,1777589.339999999850988,1965878.440000000176951,1628693.000000000000000,1456853.799999999813735,1753213.239999999990687,1804320.639999999897555,12236858.680000001564622
FS( 190 ),1853591.770000000251457,1776574.260000000242144,1965028.270000000018626,1626229.959999999962747,1463635.900000000139698,1712044.840000000083819,1790337.159999999683350,12187445.160000000149012
FS( 191 ),1879868.170000000158325,1768284.439999999944121,1991950.320000000298023,1611451.720000000204891,1459451.199999999953434,1724101.300000000046566,1778609.079999999841675,12213719.230000000447035
FS( 192 ),1859503.960000000195578,1757287.740000000223517,1982031.669999999925494,1613299.000000000000000,1456709.500000000000000,1679404.179999999934807,1761919.120000000111759,12110158.170000001788139
FS( 193 ),1852934.860000000335276,1769976.240000000223517,1998468.289999999804422,1623766.920000000158325,1471283.799999999813735,1642058.560000000055879,1778158.000000000000000,12136649.669999999925494
FS( 194 ),1839358.720000000204891,1775390.000000000000000,1985999.129999999888241,1621919.640000000130385,1471139.500000000000000,1612358.500000000000000,1788081.760000000009313,12094250.250000000000000
FS( 195 ),1831694.770000000251457,1777420.160000000149012,1988549.640000000130385,1619456.600000000093132,1485280.900000000139698,1623532.780000000027940,1783570.959999999962747,12109508.809999998658895
FS( 196 ),1854467.650000000139698,1796706.680000000167638,2022839.829999999841675,1623766.920000000158325,1484270.800000000046566,1625885.260000000009313,1802967.399999999906868,12210907.540000000968575
FS( 197 ),1857314.260000000009313,1812778.780000000260770,2020005.929999999934807,1628693.000000000000000,1493938.899999999906868,1639412.020000000018626,1823266.000000000000000,12275411.889999998733401
FS( 198 ),1857752.200000000186265,1802289.620000000111759,2025957.119999999878928,1621303.879999999888241,1486723.899999999906868,1657643.739999999990687,1815146.560000000055879,12266820.020000001415610
FS( 199 ),1841986.360000000335276,1776235.899999999906868,1961910.980000000214204,1601599.560000000055879,1479076.000000000000000,1643528.860000000102445,1786277.439999999944121,12090618.099999999627471
FS( 200 ),1869138.640000000130385,1793830.620000000111759,1976647.260000000009313,1589900.120000000111759,1488311.199999999953434,1642940.739999999990687,1796652.279999999795109,12157423.859999999403954
FS( 201 ),1891254.610000000335276,1783003.100000000093132,1991100.150000000139698,1603446.840000000083819,1473159.699999999953434,1657055.620000000111759,1793043.639999999897555,12192066.660000000149012
FS( 202 ),1891692.550000000279397,1718207.160000000149012,2007253.379999999888241,1603446.840000000083819,1465078.899999999906868,1646763.520000000018626,1789886.079999999841675,12122331.429999999701977
FS( 203 ),1896728.860000000335276,1740538.919999999925494,2015471.690000000176951,1613299.000000000000000,1479941.800000000046566,1663819.000000000000000,1820108.439999999944121,12229910.710000000894070
FS( 204 ),1899575.470000000204891,1743922.520000000018626,2008953.719999999972060,1610220.199999999953434,1478354.500000000000000,1661172.459999999962747,1808831.439999999944121,12211033.310000000521541
FS( 205 ),1921034.530000000260770,1759994.620000000111759,2045227.640000000130385,1618840.840000000083819,1471861.000000000000000,1670582.380000000121072,1809733.599999999860302,12297277.610000001266599
FS( 206 ),1957164.580000000074506,1754073.320000000298023,2055429.679999999934807,1644702.760000000009313,1477055.800000000046566,1667053.659999999916181,1812891.159999999683350,12368373.960000000894070
FS( 207 ),1951909.300000000279397,1741046.459999999962747,2089436.480000000214204,1655170.679999999934807,1461760.000000000000000,1658525.919999999925494,1804771.719999999739230,12362623.559999998658895
FS( 208 ),1987601.410000000149012,1752719.879999999888241,2117492.089999999850988,1660096.760000000009313,1462337.199999999953434,1696753.720000000204891,1819657.360000000102445,12496661.419999999925494
FS( 209 ),1980156.430000000400469,1729542.220000000204891,2103322.589999999850988,1682264.120000000111759,1463635.900000000139698,1701458.679999999934807,1846722.159999999683350,12507105.099999999627471
FS( 210 ),1966580.290000000270084,1755426.760000000242144,2119192.429999999701977,1678569.560000000055879,1472293.899999999906868,1703517.100000000093132,1839955.959999999962747,12535539.000000000000000
FS( 211 ),1994389.480000000214204,1767776.899999999906868,2123159.889999999664724,1703199.959999999962747,1463924.500000000000000,1702928.979999999981374,1817401.959999999962747,12572784.670000001788139
FS( 212 ),2017162.360000000335276,1764731.660000000149012,2118058.870000000111759,1699505.400000000139698,1478210.199999999953434,1703517.100000000093132,1818755.199999999953434,12599943.789999999105930
FS( 213 ),2025045.280000000260770,1809564.359999999869615,2123726.669999999925494,1703199.959999999962747,1478354.500000000000000,1708516.120000000111759,1858901.319999999832362,12707311.210000000894070
FS( 214 ),2019352.060000000288710,1830204.320000000298023,2144130.750000000000000,1734603.720000000204891,1471283.799999999813735,1701164.620000000111759,1871080.479999999748543,12771822.750000003725290
FS( 215 ),2051759.620000000344589,1839847.580000000074506,2138462.950000000186265,1718593.959999999962747,1462914.399999999906868,1703811.159999999916181,1861607.800000000046566,12777000.470000000670552
FS( 216 ),2063802.970000000204891,1849321.660000000149012,2144980.919999999925494,1738914.040000000037253,1455699.399999999906868,1719984.459999999962747,1854390.519999999785796,12827096.969999998807907
FS( 217 ),2055263.140000000130385,1838832.500000000000000,2133361.929999999701977,1719825.479999999981374,1449061.600000000093132,1729394.380000000121072,1843113.519999999785796,12768855.550000000745058
FS( 218 ),2020884.850000000325963,1804319.780000000260770,2098504.959999999962747,1721672.760000000009313,1439537.800000000046566,1714397.319999999832362,1830483.279999999795109,12629803.750000000000000
FS( 219 ),1998768.880000000121072,1806349.939999999944121,2114658.190000000409782,1839282.920000000158325,1450071.699999999953434,1712632.959999999962747,1859803.479999999748543,12781571.070000000298023
FS( 220 ),2018914.120000000344589,1807026.660000000149012,2110690.730000000447035,1847903.560000000055879,1458874.000000000000000,1707633.939999999944121,1871982.639999999897555,12823028.650000000372529
FS( 221 ),2016286.480000000214204,1804658.140000000130385,2098504.959999999962747,1844209.000000000000000,1461327.099999999860302,1707339.880000000121072,1880102.079999999841675,12812430.640000000596046
FS( 222 ),2018476.180000000400469,1818361.720000000204891,2119475.820000000298023,1842977.479999999981374,1462481.500000000000000,1717631.979999999981374,1878748.839999999850988,12858156.520000001415610
FS( 223 ),2011469.140000000130385,1814470.580000000074506,2101338.860000000335276,1852829.640000000130385,1470562.300000000046566,1714397.319999999832362,1872433.719999999739230,12837504.560000002384186
FS( 224 ),1990666.990000000223517,1850505.919999999925494,2117492.089999999850988,1859603.000000000000000,1470706.600000000093132,1732629.040000000037253,1880102.079999999841675,12901708.720000000670552
FS( 225 ),1988915.230000000214204,1840355.120000000111759,2134495.490000000223517,1861450.280000000027940,1470562.300000000046566,1720278.520000000018626,1894085.560000000055879,12910145.500000001862645
FS( 226 ),1976871.880000000121072,1823944.660000000149012,2111540.900000000372529,1878075.800000000046566,1464213.100000000093132,1703223.040000000037253,1883259.639999999897555,12841132.019999999552965
FS( 227 ),1978623.640000000130385,1834603.000000000000000,2123159.889999999664724,1901474.679999999934807,1466233.300000000046566,1730864.679999999934807,1895889.879999999888241,12930852.070000000298023
FS( 228 ),1990448.020000000251457,1835956.439999999944121,2103322.589999999850988,1895317.080000000074506,1464790.300000000046566,1721160.699999999953434,1881906.399999999906868,12892904.529999999329448
FS( 229 ),2014096.780000000260770,1840355.120000000111759,2082918.510000000009313,1904553.479999999981374,1464068.799999999813735,1691754.699999999953434,1905813.639999999897555,12903564.030000001192093
FS( 230 ),2034898.930000000400469,1838494.140000000130385,2076683.929999999934807,1902706.199999999953434,1453679.199999999953434,1701164.620000000111759,1881004.239999999990687,12888634.259999999776483
FS( 231 ),2047818.160000000149012,1846953.140000000130385,2080084.610000000102445,1907632.280000000027940,1457431.000000000000000,1720572.580000000074506,1888672.599999999860302,12949167.370000001043081
FS( 232 ),2046942.280000000260770,1853551.160000000149012,2079234.440000000176951,1907632.280000000027940,1450648.899999999906868,1736451.819999999832362,1890025.839999999850988,12964489.720000000670552
FS( 233 ),2058985.630000000121072,1879266.520000000018626,2100488.690000000409782,1917484.440000000176951,1457142.400000000139698,1740862.720000000204891,1885515.039999999804422,13039748.440000001341105
FS( 234 ),2101465.810000000055879,1863701.959999999962747,2067615.449999999720603,1910711.080000000074506,1445454.100000000093132,1720866.640000000130385,1894085.560000000055879,13003903.600000001490116
FS( 235 ),2087889.670000000158325,1851859.359999999869615,2057696.800000000046566,1895932.840000000083819,1444299.699999999953434,1710574.540000000037253,1884612.879999999888241,12932868.789999999105930
FS( 236 ),2088765.550000000279397,1863363.600000000093132,2066198.500000000000000,1902090.440000000176951,1458441.099999999860302,1721748.819999999832362,1879651.000000000000000,12980262.010000001639128
FS( 237 ),2081101.600000000325963,1850167.560000000055879,2063081.209999999962747,1924873.560000000055879,1451370.399999999906868,1722631.000000000000000,1880553.159999999683350,12973781.490000000223517
FS( 238 ),2085043.060000000288710,1860318.359999999869615,2082351.730000000214204,1924257.800000000046566,1448340.100000000093132,1718514.159999999916181,1898596.360000000102445,13017424.570000000298023
FS( 239 ),2111976.370000000111759,1862517.700000000186265,2078384.270000000018626,1939036.040000000037253,1449783.100000000093132,1710868.600000000093132,1900851.760000000009313,13053420.839999999850988
FS( 240 ),2087232.760000000009313,1858457.379999999888241,2080084.610000000102445,1952582.760000000009313,1447330.000000000000000,1702928.979999999981374,1914835.239999999990687,13043454.730000000447035
FS( 241 ),2075408.380000000121072,1884680.280000000260770,2101338.860000000335276,2133616.200000000186265,1432467.099999999860302,1709986.419999999925494,1988361.279999999795109,13325861.519999999552965
FS( 242 ),2038402.450000000186265,1845261.339999999850988,2084335.459999999962747,2075119.000000000232831,1419480.100000000093132,1693813.120000000111759,2008659.879999999888241,13165074.349999997764826
FS( 243 ),2067744.430000000400469,1863871.140000000130385,2086035.800000000046566,2075119.000000000232831,1428426.699999999953434,1715573.560000000055879,2015877.159999999683350,13252650.790000000968575
FS( 244 ),2057014.900000000139698,1864886.220000000204891,2092837.159999999916181,2097286.360000000335276,1407647.500000000000000,1705575.520000000018626,2022643.360000000102445,13247894.019999999552965
FS( 245 ),2074094.560000000288710,1862010.160000000149012,2110690.730000000447035,2142236.839999999850988,1389177.099999999860302,1718220.100000000093132,2022192.279999999795109,13318624.769999999552965
FS( 246 ),2128180.150000000372529,1833587.919999999925494,2174736.870000000111759,2124379.799999999813735,1375901.500000000000000,1708810.179999999934807,2023996.599999999860302,13369596.019999999552965
FS( 247 ),2124676.630000000353903,1777081.800000000279397,2172753.139999999664724,2108985.799999999813735,1375901.500000000000000,1711750.780000000027940,2002795.839999999850988,13273948.490000000223517
FS( 248 ),2138690.710000000428408,1773867.379999999888241,2167652.120000000111759,2108985.799999999813735,1381240.600000000093132,1709986.419999999925494,2007306.639999999897555,13287732.670000001788139
FS( 249 ),2168251.660000000149012,1762024.780000000260770,2167085.339999999850988,2107754.280000000260770,1382106.399999999906868,1704693.340000000083819,1983399.399999999906868,13275318.200000001117587
FS( 250 ),2154237.580000000074506,1771160.500000000000000,2157166.690000000409782,2105291.240000000223517,1382683.599999999860302,1722631.000000000000000,1979790.760000000009313,13272964.370000001043081
FS( 251 ),2149201.270000000484288,1748997.919999999925494,2118058.870000000111759,2115143.400000000372529,1384559.500000000000000,1707928.000000000000000,1965807.279999999795109,13189699.240000000223517
FS( 252 ),2093363.920000000158325,1704503.580000000074506,2061097.480000000214204,2086818.440000000176951,1364501.800000000046566,1668523.959999999962747,1946861.919999999692664,12925674.099999999627471
