代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14983246.910000000149012
真實報酬,4983246.910000000149012

夏普值報酬,0.489624691000000
夏普值風險,0.120026474594406
夏普值,4.079305775284501

二次趨勢線,28.514614738822999 x^2 + 12250.240566147327627 x + 10000000.000000000000000
二次平均預期報酬,19464.438095069548581
風險,192620.351021156035131
二次平均趨勢值,0.101050787166989
一次趨勢線,17650.174558093080122 x + 10000000.000000000000000
一次預期報酬,17650.174558093080122
一次風險,280172.414603423443623
一次趨勢值,0.062997545932837
找到最佳解世代,1845
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](10),MMM[16](2),NKE[19](3),UNH[23](11),
FS( 193 ),3028139.000000000000000,2381126.330000000074506,2504524.910000000149012,2752310.000000000000000,2646492.099999999627471,13312592.339999999850988
FS( 194 ),2995701.500000000000000,2330989.310000000055879,2472240.379999999888241,2711415.199999999720603,2621189.799999999813735,13131536.190000001341105
FS( 195 ),2970530.000000000000000,2355208.040000000037253,2480891.790000000037253,2735334.799999999813735,2617522.799999999813735,13159487.429999999701977
FS( 196 ),3085488.500000000000000,2444434.939999999944121,2518240.559999999590218,2833327.999999999534339,2712864.799999999813735,13594356.799999997019768
FS( 197 ),3061614.500000000000000,2485224.379999999888241,2547359.940000000409782,2834099.599999999627471,2723499.099999999627471,13651797.519999999552965
FS( 198 ),3100020.500000000000000,2469928.340000000316650,2561708.620000000111759,2857247.600000000093132,2740000.599999999627471,13728905.660000000149012
FS( 199 ),3066804.500000000000000,2446559.390000000130385,2528369.040000000037253,2843358.799999999813735,2708831.100000000558794,13593922.830000001937151
FS( 200 ),3122856.500000000000000,2488623.500000000000000,2552002.160000000149012,2874994.399999999441206,2757235.500000000000000,13795712.059999998658895
FS( 201 ),3173459.000000000000000,2504344.429999999701977,2587451.839999999850988,2875766.000000000000000,2617156.100000000558794,13758177.370000001043081
FS( 202 ),3179427.500000000000000,2499670.640000000130385,2592094.059999999590218,2929777.999999999534339,2521447.400000000372529,13722417.599999999627471
FS( 203 ),3152180.000000000000000,2502644.870000000111759,2600745.469999999739230,2935950.799999999813735,2500912.200000000186265,13692433.339999999850988
FS( 204 ),3178389.500000000000000,2514116.899999999906868,2612351.019999999552965,2930549.599999999627471,2525114.400000000372529,13760521.419999999925494
FS( 205 ),3348102.500000000931323,2483099.929999999701977,2599690.419999999925494,2915117.600000000093132,2493944.900000000372529,13839955.350000001490116
FS( 206 ),3347064.500000000000000,2458031.419999999925494,2605809.709999999962747,2913574.399999999441206,2479276.900000000372529,13803756.929999997839332
FS( 207 ),3404414.000000000000000,2391323.689999999944121,2625433.639999999664724,2920518.799999999813735,2479643.600000000558794,13821333.730000000447035
FS( 208 ),3370419.500000000000000,2366680.070000000298023,2635984.139999999664724,2913574.399999999441206,2454708.000000000000000,13741366.109999999403954
FS( 209 ),3364710.500000000000000,2387499.679999999701977,2643580.500000000000000,2929006.399999999906868,2496511.799999999813735,13821308.879999998956919
FS( 210 ),3365229.500000000000000,2375602.759999999776483,2633241.009999999776483,2937494.000000000000000,2493944.900000000372529,13805512.169999999925494
FS( 211 ),3386508.500000000000000,2388349.459999999962747,2655608.070000000298023,2922833.600000000093132,2503112.400000000372529,13856412.030000001192093
FS( 212 ),3452162.000000000000000,2356907.600000000093132,2656663.120000000111759,2934407.600000000093132,2516680.299999999813735,13916820.619999997317791
FS( 213 ),3445934.000000000000000,2323766.179999999701977,2665525.540000000037253,2946753.199999999720603,2528414.700000000186265,13910393.619999997317791
FS( 214 ),3466175.000000000000000,2342886.229999999981374,2661305.339999999850988,2978388.799999999813735,2519980.599999999627471,13968735.970000000670552
FS( 215 ),3453719.000000000000000,2375602.759999999776483,2682617.349999999627471,2961413.600000000093132,2577552.500000000000000,14050905.209999999031425
FS( 216 ),3412718.000000000000000,2339912.000000000000000,2667424.629999999888241,2920518.799999999813735,2558117.400000000372529,13898690.830000000074506
FS( 217 ),3464099.000000000931323,2400246.379999999888241,2700764.209999999962747,2975302.399999999906868,2585253.200000000186265,14125665.190000001341105
FS( 218 ),3439187.000000000000000,2399821.489999999757856,2699920.169999999925494,2976845.599999999627471,2585253.200000000186265,14101027.460000000894070
FS( 219 ),3433997.000000000931323,2380276.550000000279397,2708571.580000000074506,2966043.199999999720603,2565084.700000000186265,14053973.030000001192093
FS( 220 ),3455795.000000000000000,2395997.479999999981374,2713424.809999999590218,3003080.000000000000000,2603954.900000000372529,14172252.189999999478459
FS( 221 ),3505619.000000000000000,2426589.560000000055879,2738746.009999999776483,3033944.000000000000000,2619723.000000000000000,14324621.570000000298023
FS( 222 ),3531309.500000000931323,2434237.580000000074506,2740012.070000000298023,3056320.399999999906868,2635491.100000000558794,14397370.650000002235174
FS( 223 ),3590475.500000000931323,2412568.189999999944121,2745920.349999999627471,3031629.199999999720603,2628523.799999999813735,14409117.039999999105930
FS( 224 ),3554664.500000000000000,2402370.830000000074506,2744232.270000000484288,3002308.399999999441206,2625956.900000000372529,14329532.900000000372529
FS( 225 ),3437111.000000000000000,2375602.759999999776483,2725874.400000000372529,3003080.000000000000000,2639524.799999999813735,14181192.960000000894070
FS( 226 ),3449567.000000000000000,2398121.929999999701977,2750562.570000000298023,3013110.799999999813735,2673627.899999999441206,14284990.199999999254942
FS( 227 ),3528455.000000000000000,2399821.489999999757856,2764700.240000000223517,3043203.199999999720603,2704064.000000000000000,14440243.929999999701977
FS( 228 ),3451383.500000000000000,2360306.719999999739230,2769131.450000000186265,3053234.000000000000000,2716165.099999999627471,14350220.769999999552965
FS( 229 ),3497574.500000000000000,2347135.129999999888241,2788544.370000000111759,3070980.799999999813735,2732666.599999999627471,14436901.400000000372529
FS( 230 ),3496017.500000000000000,2365830.290000000037253,2817030.719999999739230,3060950.000000000000000,2726799.400000000372529,14466627.910000000149012
FS( 231 ),3483821.000000000000000,2363705.840000000316650,2817241.729999999515712,3053234.000000000000000,2731199.799999999813735,14449202.370000001043081
FS( 232 ),3481485.500000000000000,2419366.429999999701977,2694222.900000000372529,3051690.799999999813735,2719465.399999999441206,14366231.029999997466803
FS( 233 ),3425433.500000000000000,2342886.229999999981374,2671433.820000000298023,3053234.000000000000000,2703697.299999999813735,14196684.850000001490116
FS( 234 ),3412458.500000000000000,2353083.590000000316650,2668479.679999999701977,3040888.399999999441206,2700763.700000000186265,14175673.869999997317791
FS( 235 ),3444377.000000000000000,2336087.989999999757856,2676287.049999999813735,3046289.599999999627471,2667760.700000000186265,14170802.339999999850988
FS( 236 ),3507954.500000000000000,2376027.649999999906868,2713846.830000000074506,3081011.599999999627471,2695263.200000000186265,14374103.780000001192093
FS( 237 ),3494979.500000000000000,2468653.669999999925494,2713002.790000000037253,3077925.199999999720603,2703330.599999999627471,14457891.759999999776483
FS( 238 ),3469548.500000000000000,2528138.270000000018626,2691479.769999999552965,3056320.399999999906868,2715431.700000000186265,14460918.640000000596046
FS( 239 ),3439965.500000000000000,2483949.709999999962747,2675020.990000000223517,2964500.000000000000000,2645392.000000000000000,14208828.199999999254942
FS( 240 ),3450345.500000000000000,2466529.219999999739230,2671011.799999999813735,2941351.999999999534339,2603954.900000000372529,14133193.419999999925494
FS( 241 ),3472922.000000000931323,2512417.340000000316650,2667846.650000000372529,2947524.799999999813735,2584519.799999999813735,14185230.590000003576279
FS( 242 ),3496017.500000000000000,2517091.129999999888241,2693800.879999999888241,2949067.999999999534339,2605788.400000000372529,14261765.910000000149012
FS( 243 ),3526119.500000000000000,2553631.669999999925494,2772507.609999999403954,2961413.600000000093132,2593687.299999999813735,14407359.679999999701977
FS( 244 ),3515999.000000000931323,2632661.209999999962747,2865563.020000000484288,3030857.600000000093132,2654192.799999999813735,14699273.629999998956919
FS( 245 ),3507695.000000000000000,2656455.050000000279397,2878434.629999999888241,3019283.600000000093132,2654559.500000000000000,14716427.779999999329448
FS( 246 ),3546620.000000000000000,2649231.919999999925494,2884975.940000000409782,2983790.000000000000000,2689762.700000000186265,14754380.559999998658895
FS( 247 ),3539613.500000000000000,2655180.379999999888241,2886664.020000000484288,2975302.399999999906868,2726432.700000000186265,14783193.000000000000000
FS( 248 ),3550772.000000000931323,2687896.910000000149012,2890673.209999999962747,2996135.599999999627471,2718365.299999999813735,14843843.019999999552965
FS( 249 ),3588140.000000000931323,2714240.090000000316650,2918104.509999999776483,3016968.799999999813735,2744767.700000000186265,14982221.100000001490116
FS( 250 ),3552588.500000000000000,2698519.160000000149012,2940471.570000000298023,3015425.599999999627471,2738900.500000000000000,14945905.330000000074506
FS( 251 ),3527157.500000000000000,2698519.160000000149012,2941948.639999999664724,3037801.999999999534339,2742200.799999999813735,14947628.100000001490116
FS( 252 ),3541949.000000000931323,2686622.239999999757856,2959462.469999999739230,3033944.000000000000000,2761269.200000000186265,14983246.910000000149012
