代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13734822.359999999403954
真實報酬,3734822.359999999403954

夏普值報酬,0.364782236000000
夏普值風險,0.090272439986290
夏普值,4.040903691707014

二次趨勢線,6.728005134235144 x^2 + 12959.529312474676772 x + 10000000.000000000000000
二次平均預期報酬,14654.986606301932625
風險,187719.031687845359556
二次平均趨勢值,0.078068731095265
一次趨勢線,14228.594265011342941 x + 10000000.000000000000000
一次預期報酬,14228.594265011342941
一次風險,193666.341048605245305
一次趨勢值,0.073469629198191
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),TRV[22](2),V[25](3),WMT[28](16),
FS( 226 ),3461310.700000000186265,3052123.109999999869615,3687073.969999999739230,2756909.949999999720603,12957417.730000000447035
FS( 227 ),3437137.390000000130385,3048326.999999999534339,3651959.209999999497086,2733591.049999999813735,12871014.649999998509884
FS( 228 ),3433202.200000000186265,3029346.449999999720603,3643180.520000000018626,2741632.049999999813735,12847361.219999998807907
FS( 229 ),3409591.060000000055879,3004882.629999999888241,3624647.729999999515712,2718313.149999999906868,12757434.569999998435378
FS( 230 ),3477051.460000000428408,3029346.449999999720603,3696828.069999999832362,2743240.250000000465661,12946466.230000000447035
FS( 231 ),3568685.169999999925494,3073212.609999999869615,3789492.020000000018626,2783847.299999999813735,13215237.099999997764826
FS( 232 ),3558566.109999999869615,3096832.850000000093132,3792418.250000000000000,2766157.100000000093132,13213974.310000000521541
FS( 233 ),3551820.070000000298023,3123827.410000000149012,3822655.959999999497086,2776610.400000000372529,13274913.839999999850988
FS( 234 ),3532706.290000000502914,3081648.410000000149012,3849967.439999999944121,2750075.100000000093132,13214397.240000000223517
FS( 235 ),3554068.750000000000000,3087131.679999999701977,3886057.610000000335276,2757714.050000000279397,13284972.089999999850988
FS( 236 ),3551257.900000000372529,3118765.929999999701977,3945557.620000000111759,2756909.949999999720603,13372491.399999998509884
FS( 237 ),3576555.550000000279397,3140277.220000000204891,3914344.500000000000000,2748466.899999999906868,13379644.169999999925494
FS( 238 ),3581052.910000000614673,3157148.819999999832362,3929951.060000000055879,2759322.250000000000000,13427475.040000000968575
FS( 239 ),3568685.169999999925494,3161366.720000000204891,3917270.729999999515712,2746054.600000000093132,13393377.220000000670552
FS( 240 ),3595107.160000000614673,3187095.910000000149012,3912393.679999999701977,2773394.000000000465661,13467990.750000000000000
FS( 241 ),3590047.630000000353903,3186674.119999999646097,3906541.219999999739230,2782641.149999999906868,13465904.119999999180436
FS( 242 ),3656945.859999999869615,3201436.770000000018626,3898737.939999999944121,2768167.350000000093132,13525287.919999999925494
FS( 243 ),3680557.000000000000000,3218730.160000000149012,3859721.540000000037253,2782239.100000000093132,13541247.799999998882413
FS( 244 ),3696297.760000000242144,3287903.720000000204891,3878254.329999999608845,2797517.000000000000000,13659972.810000000521541
FS( 245 ),3736211.830000000074506,3274828.229999999981374,3878254.329999999608845,2793898.549999999813735,13683192.940000001341105
FS( 246 ),3786244.959999999962747,3293808.780000000260770,3890934.660000000149012,2805960.050000000279397,13776948.450000001117587
FS( 247 ),3812666.949999999720603,3304775.319999999832362,3897762.529999999795109,2774198.100000000093132,13789402.899999998509884
FS( 248 ),3799174.870000000111759,3262596.319999999832362,3812901.860000000335276,2788269.850000000093132,13662942.900000000372529
FS( 249 ),3777812.410000000614673,3281998.660000000149012,3820705.140000000130385,2809980.550000000279397,13690496.760000001639128
FS( 250 ),3780061.089999999850988,3272297.489999999757856,3779737.919999999925494,2804351.850000000093132,13636448.349999999627471
FS( 251 ),3762071.650000000372529,3309415.009999999776483,3850942.849999999627471,2812392.850000000093132,13734822.359999999403954
