代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13615770.730000000447035
真實報酬,3615770.730000000447035

夏普值報酬,0.352877073000000
夏普值風險,0.094562397615046
夏普值,3.731684918105888

二次趨勢線,9.393534816617485 x^2 + 12150.385329969567465 x + 10000000.000000000000000
二次平均預期報酬,14526.949638573792981
風險,201606.904716393473791
二次平均趨勢值,0.072055814055621
一次趨勢線,13929.279010469372224 x + 10000000.000000000000000
一次預期報酬,13929.279010469372224
一次風險,212456.010805119789438
一次趨勢值,0.065563120373404
找到最佳解世代,2351
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),GS[8](6),NKE[19](5),UNH[23](2),
FS( 226 ),3187792.690000000409782,3114317.129999999888241,3347428.439999999944121,3650905.600000000093132,13300443.859999999403954
FS( 227 ),3164085.669999999925494,3093035.589999999850988,3314736.419999999925494,3609692.799999999813735,13181550.480000000447035
FS( 228 ),3190972.900000000372529,3133200.750000000000000,3296146.840000000316650,3646631.680000000167638,13266952.169999999925494
FS( 229 ),3195598.660000000149012,3124508.289999999571592,3278839.299999999813735,3651821.440000000409782,13250767.690000001341105
FS( 230 ),3190972.900000000372529,3090188.059999999590218,3258967.680000000167638,3669832.959999999962747,13209961.600000001490116
FS( 231 ),3208030.389999999664724,3114467.000000000000000,3261531.760000000242144,3659148.160000000149012,13243177.310000000521541
FS( 232 ),3201959.080000000074506,3093784.939999999944121,3273070.120000000111759,3594734.080000000074506,13163548.220000000670552
FS( 233 ),3214101.700000000186265,3121660.759999999776483,3285890.520000000018626,3613050.879999999888241,13234703.859999999403954
FS( 234 ),3188949.129999999888241,3130353.219999999739230,3267941.959999999962747,3561153.280000000260770,13148397.589999999850988
FS( 235 ),3188949.129999999888241,3154032.679999999701977,3270506.040000000037253,3557489.919999999925494,13170977.769999999552965
FS( 236 ),3159749.020000000484288,3144141.259999999776483,3251275.439999999944121,3569090.560000000055879,13124256.280000001192093
FS( 237 ),3137487.549999999813735,3132601.270000000018626,3248711.359999999869615,3571532.799999999813735,13090332.980000000447035
FS( 238 ),3180275.830000000074506,3194197.839999999850988,3312172.340000000316650,3619156.479999999981374,13305802.490000000223517
FS( 239 ),3198200.650000000372529,3206337.309999999590218,3329479.879999999888241,3642663.040000000037253,13376680.879999998956919
FS( 240 ),3178830.280000000260770,3193148.750000000000000,3326274.780000000260770,3591681.280000000260770,13289935.089999999850988
FS( 241 ),3185479.810000000055879,3173665.649999999441206,3312813.359999999869615,3632283.520000000018626,13304242.339999997988343
FS( 242 ),3210921.490000000223517,3200642.250000000000000,3351274.560000000055879,3710740.479999999981374,13473578.780000001192093
FS( 243 ),3223353.219999999739230,3191200.439999999944121,3357684.760000000242144,3655484.799999999813735,13427723.219999998807907
FS( 244 ),3273369.250000000000000,3216228.729999999515712,3397428.000000000000000,3690592.000000000000000,13577617.980000000447035
FS( 245 ),3256022.650000000372529,3195097.059999999590218,3414735.540000000037253,3673496.319999999832362,13539351.570000000298023
FS( 246 ),3282331.660000000149012,3244853.899999999441206,3423068.799999999813735,3671054.080000000074506,13621308.439999999478459
FS( 247 ),3307773.339999999850988,3273179.330000000074506,3435889.200000000186265,3747068.799999999813735,13763910.670000001788139
FS( 248 ),3289270.299999999813735,3213680.939999999944121,3404479.219999999739230,3638083.840000000316650,13545514.300000000745058
FS( 249 ),3308929.780000000260770,3189551.869999999646097,3372428.219999999739230,3734552.319999999832362,13605462.190000001341105
FS( 250 ),3324541.719999999739230,3194797.319999999832362,3516657.719999999739230,3762638.080000000074506,13798634.839999997988343
FS( 251 ),3268454.379999999888241,3112069.080000000074506,3451273.680000000167638,3699750.399999999906868,13531547.540000000968575
FS( 252 ),3299967.370000000111759,3129154.259999999776483,3462171.020000000018626,3724478.080000000074506,13615770.730000000447035
