代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13974512.019999999552965
真實報酬,3974512.019999999552965

夏普值報酬,0.388751202000000
夏普值風險,0.105470261671436
夏普值,3.685884493309109

二次趨勢線,42.788741402639424 x^2 + 5501.450999108468750 x + 10000000.000000000000000
二次平均預期報酬,16284.213832573605032
風險,187155.687295682990225
二次平均趨勢值,0.087008917911463
一次趨勢線,13572.445446026180434 x + 10000000.000000000000000
一次預期報酬,13572.445446026180434
一次風險,356047.515379543707240
一次趨勢值,0.038119758907903
找到最佳解世代,1769
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](1),MSFT[18](2),UNH[23](5),
FS( 226 ),3762234.159999999683350,3306828.750000000000000,3204401.220000000204891,3128120.750000000000000,13401584.880000000819564
FS( 227 ),3754758.999999999534339,3279965.550000000279397,3209834.890000000130385,3122632.500000000000000,13367191.939999999478459
FS( 228 ),3761166.279999999795109,3285188.950000000186265,3215762.529999999795109,3115062.500000000000000,13377180.259999999776483
FS( 229 ),3839121.520000000018626,3308694.250000000465661,3225147.960000000428408,3129256.250000000000000,13502219.980000000447035
FS( 230 ),3847664.560000000055879,3313731.100000000093132,3234039.419999999925494,3093109.500000000000000,13488544.580000000074506
FS( 231 ),3842592.129999999888241,3320260.350000000093132,3245894.699999999720603,3122443.250000000000000,13531190.429999999701977
FS( 232 ),3835383.939999999944121,3299366.750000000465661,3253304.250000000000000,3103896.750000000000000,13491951.690000001341105
FS( 233 ),3836451.819999999832362,3295449.200000000186265,3237991.179999999701977,3133798.250000000000000,13503690.449999999254942
FS( 234 ),3865017.610000000335276,3333691.950000000186265,3246882.640000000130385,3122064.750000000000000,13567656.950000001117587
FS( 235 ),3844994.860000000335276,3303470.850000000558794,3238485.150000000372529,3129634.750000000000000,13516585.610000001266599
FS( 236 ),3835383.939999999944121,3308880.800000000279397,3246882.640000000130385,3129067.000000000000000,13520214.380000000819564
FS( 237 ),3826840.899999999906868,3336490.200000000186265,3244412.790000000502914,3141936.000000000000000,13549679.890000000596046
FS( 238 ),3822302.409999999683350,3312425.250000000000000,3237003.240000000223517,3131716.500000000000000,13503447.400000000372529
FS( 239 ),3781189.029999999795109,3331266.800000000279397,3234533.390000000130385,3138340.250000000465661,13485329.470000000670552
FS( 240 ),3785727.520000000018626,3284256.200000000186265,3222184.140000000130385,3133230.500000000000000,13425398.360000001266599
FS( 241 ),3765704.770000000018626,3276234.550000000279397,3208352.980000000447035,3121875.500000000000000,13372167.800000000745058
FS( 242 ),3786528.430000000167638,3339661.550000000279397,3234533.390000000130385,3163889.000000000000000,13524612.370000001043081
FS( 243 ),3769709.319999999832362,3317835.200000000186265,3230087.660000000149012,3190573.250000000000000,13508205.429999999701977
FS( 244 ),3755826.879999999888241,3328095.450000000186265,3212798.710000000428408,3203063.750000000000000,13499784.790000000968575
FS( 245 ),3802813.600000000093132,3344884.950000000186265,3235521.330000000074506,3246402.000000000000000,13629621.880000000819564
FS( 246 ),3798275.110000000335276,3365032.350000000093132,3279978.630000000353903,3239210.500000000000000,13682496.590000001713634
FS( 247 ),3834849.999999999534339,3396372.750000000000000,3335797.240000000223517,3261352.750000000465661,13828372.740000000223517
FS( 248 ),3858610.330000000074506,3423422.500000000000000,3355062.070000000298023,3293714.500000000000000,13930809.400000000372529
FS( 249 ),3835917.879999999888241,3389843.500000000465661,3350616.339999999850988,3300149.000000000000000,13876526.720000000670552
FS( 250 ),3838854.549999999813735,3418012.550000000279397,3372351.020000000018626,3304880.250000000000000,13934098.369999999180436
FS( 251 ),3835116.970000000204891,3448047.100000000558794,3381736.449999999720603,3309611.500000000000000,13974512.019999999552965
