代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13256323.570000000298023
真實報酬,3256323.570000000298023

夏普值報酬,0.316932357000000
夏普值風險,0.098869908567769
夏普值,3.205549206943613

二次趨勢線,61.893776801492436 x^2 + -1584.241855988615725 x + 10000000.000000000000000
二次平均預期報酬,14074.883674788976350
風險,305952.358708730200306
二次平均趨勢值,0.046003514188261
一次趨勢線,10136.846165068680421 x + 10000000.000000000000000
一次預期報酬,10136.846165068680421
一次風險,537247.135120271123014
一次趨勢值,0.018868125118619
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),CAT[3](2),KO[14](3),MCD[15](1),UNH[23](8),
FS( 192 ),2694138.030000000260770,2693748.979999999981374,2095371.359999999869615,2402035.340000000316650,2159846.119999999646097,12045139.829999998211861
FS( 193 ),2703297.250000000000000,2689650.020000000018626,2084151.199999999953434,2416689.560000000055879,2178241.109999999869615,12072029.139999998733401
FS( 194 ),2748439.120000000111759,2745327.560000000055879,2083449.939999999944121,2424335.239999999757856,2178875.419999999925494,12180427.279999999329448
FS( 195 ),2760215.259999999776483,2732005.940000000409782,2088358.760000000009313,2408088.169999999925494,2197904.719999999739230,12186572.849999997764826
FS( 196 ),2790309.839999999850988,2710144.820000000298023,2089761.280000000027940,2407769.600000000093132,2221374.189999999944121,12219359.730000000447035
FS( 197 ),2805357.129999999888241,2742594.920000000391155,2101682.699999999720603,2413185.290000000037253,2240403.489999999757856,12303223.529999999329448
FS( 198 ),2825638.259999999776483,2729614.879999999888241,2100981.439999999944121,2454280.820000000298023,2269581.750000000000000,12380097.150000000372529
FS( 199 ),2941436.969999999739230,2724149.600000000093132,2101682.699999999720603,2468297.900000000372529,2282267.949999999720603,12517835.119999999180436
FS( 200 ),2972185.780000000260770,2740887.020000000018626,2103786.479999999981374,2463200.779999999795109,2299394.319999999832362,12579454.380000000819564
FS( 201 ),2892369.719999999739230,2683160.000000000000000,2115707.899999999906868,2452687.969999999739230,2239134.869999999646097,12383060.459999999031425
FS( 202 ),2902183.169999999925494,2743619.659999999683350,2144459.560000000055879,2466067.910000000149012,2329841.199999999720603,12586171.500000000000000
FS( 203 ),2893023.950000000186265,2694773.720000000204891,2155679.719999999739230,2498880.620000000111759,2314617.759999999776483,12556975.769999999552965
FS( 204 ),2873397.049999999813735,2675645.240000000223517,2160588.540000000037253,2502384.890000000130385,2363459.629999999888241,12575475.350000001490116
FS( 205 ),2886481.649999999441206,2700239.000000000000000,2139550.740000000223517,2507163.439999999944121,2382488.930000000167638,12615923.759999999776483
FS( 206 ),2879285.120000000111759,2686575.800000000279397,2147264.600000000093132,2509074.860000000335276,2383123.239999999757856,12605323.619999999180436
FS( 207 ),2877322.429999999701977,2671887.859999999869615,2145862.080000000074506,2468297.900000000372529,2279096.399999999906868,12442466.669999999925494
FS( 208 ),2853115.919999999925494,2655492.020000000018626,2146563.339999999850988,2468297.900000000372529,2299394.319999999832362,12422863.500000000000000
FS( 209 ),2813207.889999999664724,2684867.899999999906868,2150069.640000000130385,2477536.429999999701977,2286708.119999999646097,12412389.979999998584390
FS( 210 ),2842648.240000000223517,2707753.759999999776483,2164094.839999999850988,2481040.699999999720603,2290513.979999999981374,12486051.519999999552965
FS( 211 ),2891061.259999999776483,2724149.600000000093132,2169003.660000000149012,2497606.340000000316650,2346967.569999999832362,12628788.429999999701977
FS( 212 ),2923772.759999999776483,2728590.140000000130385,2172509.959999999962747,2500792.040000000037253,2325401.029999999795109,12651065.929999999701977
FS( 213 ),2974802.700000000186265,2841311.540000000502914,2190041.459999999962747,2522454.800000000279397,2334281.369999999646097,12862891.869999999180436
FS( 214 ),2963680.790000000037253,2853608.420000000391155,2194249.020000000018626,2526277.640000000130385,2338087.229999999981374,12875903.100000001490116
FS( 215 ),2978073.850000000558794,2839262.060000000055879,2190041.459999999962747,2526596.209999999962747,2354579.289999999571592,12888552.869999999180436
FS( 216 ),2953867.339999999850988,2797930.879999999888241,2196352.799999999813735,2519906.239999999757856,2345698.949999999720603,12813756.209999999031425
FS( 217 ),2972185.780000000260770,2816717.779999999795109,2193547.760000000242144,2532649.040000000037253,2357116.529999999795109,12872216.889999998733401
FS( 218 ),2959755.410000000149012,2816034.620000000111759,2201962.879999999888241,2539020.439999999944121,2376780.139999999664724,12893553.489999998360872
FS( 219 ),2878630.889999999664724,2768213.420000000391155,2206170.439999999944121,2511941.989999999757856,2326035.339999999850988,12690992.080000000074506
FS( 220 ),2869471.669999999925494,2794856.659999999683350,2207572.959999999962747,2518950.529999999795109,2249918.139999999664724,12640769.960000000894070
FS( 221 ),2818441.729999999515712,2745327.560000000055879,2176717.520000000018626,2466386.479999999981374,2220739.879999999888241,12427613.169999998062849
FS( 222 ),2808628.280000000260770,2772653.959999999962747,2192145.240000000223517,2496650.630000000353903,2241037.799999999813735,12511115.910000000149012
FS( 223 ),2882556.270000000484288,2838920.479999999981374,2238428.399999999906868,2517357.679999999701977,2260067.100000000093132,12737329.929999999701977
FS( 224 ),2866854.750000000000000,2868296.359999999869615,2255258.639999999664724,2537109.020000000018626,2283536.569999999832362,12811055.339999999850988
FS( 225 ),2929006.600000000558794,2869321.100000000093132,2253856.120000000111759,2533286.179999999701977,2312714.830000000074506,12898184.830000000074506
FS( 226 ),2885173.190000000409782,2822524.640000000130385,2230714.540000000037253,2517039.110000000335276,2286708.119999999646097,12742159.599999999627471
FS( 227 ),2942091.200000000186265,2892890.120000000111759,2265777.540000000037253,2532011.900000000372529,2294954.149999999906868,12927724.910000002011657
FS( 228 ),2944053.889999999664724,2873761.640000000130385,2248246.040000000037253,2502066.320000000298023,2275924.850000000093132,12844052.740000000223517
FS( 229 ),2961718.100000000558794,2858048.959999999962747,2223000.679999999701977,2493146.360000000335276,2320960.859999999869615,12856874.960000000894070
FS( 230 ),2908071.240000000223517,2889815.899999999906868,2215286.819999999832362,2494420.640000000130385,2316520.689999999944121,12824115.290000000968575
FS( 231 ),2957138.490000000223517,2987166.200000000186265,2268582.580000000074506,2525959.070000000298023,2389466.339999999850988,13128312.679999999701977
FS( 232 ),2973494.240000000223517,3027131.060000000055879,2275595.180000000167638,2528826.199999999720603,2413570.119999999646097,13218616.799999998882413
FS( 233 ),2966951.940000000409782,3053091.140000000130385,2261569.979999999981374,2540931.860000000335276,2398980.989999999757856,13221525.910000002011657
FS( 234 ),2992466.910000000149012,3046942.700000000186265,2244038.479999999981374,2535197.600000000093132,2365362.559999999590218,13184008.250000000000000
FS( 235 ),2974148.469999999739230,3086224.399999999906868,2248947.299999999813735,2559408.919999999925494,2332378.439999999944121,13201107.529999999329448
FS( 236 ),3000317.669999999925494,3061289.060000000055879,2258063.680000000167638,2508437.719999999739230,2336818.609999999869615,13164926.739999998360872
FS( 237 ),2988541.530000000260770,3062996.959999999962747,2273491.399999999906868,2472439.310000000055879,2324766.719999999739230,13122235.920000001788139
FS( 238 ),2995738.059999999590218,3072219.620000000111759,2267180.060000000055879,2470846.459999999962747,2326035.339999999850988,13132019.539999999105930
FS( 239 ),3006205.740000000223517,3129946.640000000130385,2273491.399999999906868,2456510.810000000055879,2340624.469999999739230,13206779.060000002384186
FS( 240 ),2993775.370000000111759,3145659.320000000298023,2240532.179999999701977,2456510.810000000055879,2315252.069999999832362,13151729.750000000000000
FS( 241 ),2994429.600000000558794,3180842.060000000055879,2269985.099999999627471,2452369.400000000372529,2248649.520000000018626,13146275.679999999701977
FS( 242 ),3002280.360000000335276,3183574.700000000186265,2291022.899999999906868,2443768.009999999776483,2258798.479999999981374,13179444.450000001117587
FS( 243 ),2996392.290000000037253,3162738.320000000298023,2303645.580000000074506,2446953.709999999962747,2223277.119999999646097,13133007.020000001415610
FS( 244 ),3011439.580000000074506,3186990.500000000000000,2290321.639999999664724,2450457.979999999981374,2231523.149999999906868,13170732.849999999627471
FS( 245 ),3029758.020000000484288,3232420.640000000130385,2295931.720000000204891,2448546.560000000055879,2241037.799999999813735,13247694.740000002086163
FS( 246 ),3038917.240000000223517,3230371.159999999683350,2300139.279999999795109,2453325.110000000335276,2273387.609999999869615,13296140.399999998509884
FS( 247 ),3024524.179999999701977,3226272.200000000186265,2299438.020000000018626,2451732.259999999776483,2268947.439999999944121,13270914.099999999627471
FS( 248 ),3034337.629999999888241,3213292.159999999683350,2281205.260000000242144,2434848.050000000279397,2254358.309999999590218,13218041.410000000149012
FS( 249 ),3042188.389999999664724,3200312.120000000111759,2291724.160000000149012,2434848.050000000279397,2265775.889999999664724,13234848.609999999403954
FS( 250 ),3040225.700000000186265,3203386.340000000316650,2295230.459999999962747,2452687.969999999739230,2277827.779999999795109,13269358.249999998137355
FS( 251 ),3025178.410000000149012,3206460.560000000055879,2296632.979999999981374,2445360.860000000335276,2279730.709999999497086,13253363.520000001415610
FS( 252 ),3014710.729999999515712,3199287.379999999888241,2306450.620000000111759,2445360.860000000335276,2290513.979999999981374,13256323.570000000298023
