代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14842742.070000000298023
真實報酬,4842742.070000000298023

夏普值報酬,0.475574207000000
夏普值風險,0.114224189850897
夏普值,4.163515693311502

二次趨勢線,-16.984402567456645 x^2 + 24228.725464557635860 x + 10000000.000000000000000
二次平均預期報酬,19931.671614991100796
風險,236437.884315319330199
二次平均趨勢值,0.084299822224808
一次趨勢線,21012.316840525669249 x + 10000000.000000000000000
一次預期報酬,21012.316840525669249
一次風險,265685.616346771246754
一次趨勢值,0.079087144910022
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,9
AAPL[0](1),BA[2](3),INTC[11](16),MCD[15](14),MRK[17](9),MSFT[18](11),PG[21](8),TRV[22](22),UNH[23](23),
FS( 120 ),1735115.570000000065193,1399065.159999999916181,1418230.229999999981374,1249361.080000000074506,1541831.080000000074506,1447623.480000000214204,1304819.979999999981374,1306585.500000000000000,1255743.280000000260770,12658376.359999999403954
FS( 121 ),1788898.530000000027940,1365093.040000000037253,1395740.949999999953434,1236850.720000000204891,1494278.120000000111759,1459151.640000000130385,1290454.540000000037253,1294722.219999999972060,1215110.800000000279397,12540301.560000000521541
FS( 122 ),1791343.209999999962747,1376956.320000000065193,1414013.489999999990687,1261659.400000000139698,1502965.679999999934807,1459700.600000000093132,1304819.979999999981374,1393942.380000000121072,1243650.280000000260770,12749052.340000003576279
FS( 123 ),1780342.149999999906868,1345141.159999999916181,1390118.630000000121072,1260175.120000000111759,1482847.120000000111759,1538201.880000000121072,1293821.439999999944121,1383157.579999999841675,1250422.360000000102445,12724228.439999999478459
FS( 124 ),1768118.750000000000000,1302001.959999999962747,1393632.579999999841675,1255298.200000000186265,1464100.280000000260770,1574433.240000000223517,1277211.399999999906868,1381539.860000000102445,1224301.479999999981374,12640638.750000001862645
FS( 125 ),1723503.339999999850988,1287442.479999999981374,1387307.469999999972060,1251481.480000000214204,1482847.120000000111759,1569492.600000000093132,1283496.280000000027940,1376956.320000000065193,1281864.160000000149012,12644392.250000000000000
FS( 126 ),1680110.269999999785796,1273152.619999999878928,1337409.380000000121072,1243423.960000000195578,1465472.000000000000000,1538201.880000000121072,1284618.579999999841675,1361587.979999999981374,1251873.520000000018626,12435851.189999999478459
FS( 127 ),1714335.790000000037253,1316022.199999999953434,1350762.389999999897555,1254025.960000000195578,1431636.239999999990687,1549181.080000000074506,1336468.840000000083819,1399604.399999999906868,1280413.000000000000000,12632450.900000000372529
FS( 128 ),1645884.750000000000000,1288790.579999999841675,1343031.699999999953434,1242787.840000000083819,1414261.120000000111759,1522282.040000000270084,1301902.000000000000000,1342444.959999999962747,1255259.560000000055879,12356645.550000002607703
FS( 129 ),1652607.619999999878928,1301462.719999999972060,1336003.800000000046566,1254450.040000000037253,1429350.040000000037253,1530516.440000000176951,1323225.699999999953434,1353499.380000000121072,1277994.400000000139698,12459111.140000000596046
FS( 130 ),1647718.260000000009313,1296879.179999999934807,1300161.510000000009313,1256146.360000000102445,1402372.880000000121072,1511302.840000000316650,1314920.679999999934807,1350263.939999999944121,1301696.680000000167638,12381463.330000000074506
FS( 131 ),1666053.360000000102445,1296070.320000000065193,1306486.620000000111759,1278410.560000000055879,1492449.160000000149012,1540397.720000000204891,1325021.380000000121072,1352420.899999999906868,1348133.800000000279397,12605444.820000004023314
FS( 132 ),1694167.179999999934807,1341905.719999999972060,1327570.320000000065193,1303643.320000000065193,1495649.840000000083819,1562905.080000000074506,1357343.619999999878928,1365362.659999999916181,1364580.280000000260770,12813129.019999999552965
FS( 133 ),1696611.860000000102445,1339479.139999999897555,1330381.479999999981374,1308732.280000000027940,1490162.960000000195578,1565649.880000000121072,1370137.840000000083819,1399334.780000000027940,1386831.400000000139698,12887322.620000001043081
FS( 134 ),1758951.199999999953434,1384505.679999999934807,1367629.350000000093132,1328239.960000000195578,1528571.120000000111759,1591451.000000000000000,1388319.100000000093132,1445170.179999999934807,1409082.520000000018626,13201921.109999999403954
FS( 135 ),1772396.939999999944121,1356734.820000000065193,1370440.510000000009313,1320606.520000000251457,1536801.439999999944121,1592548.920000000391155,1388543.560000000055879,1454067.639999999897555,1401343.000000000000000,13193484.350000001490116
FS( 136 ),1774841.619999999878928,1366441.139999999897555,1394335.370000000111759,1332268.720000000204891,1518969.080000000074506,1598587.480000000214204,1396848.579999999841675,1464313.199999999953434,1420691.800000000279397,13267297.990000000223517
FS( 137 ),1763840.559999999823049,1355656.340000000083819,1383090.729999999981374,1318274.080000000074506,1507995.319999999832362,1611762.520000000251457,1375973.800000000046566,1432767.659999999916181,1391184.880000000121072,13140546.890000000596046
FS( 138 ),1785231.510000000009313,1366441.139999999897555,1392929.790000000037253,1348171.720000000204891,1513482.200000000186265,1626584.440000000176951,1382932.060000000055879,1436542.340000000083819,1406663.920000000158325,13258980.120000001043081
FS( 139 ),1804177.780000000027940,1414972.739999999990687,1421744.179999999934807,1368315.520000000251457,1545946.240000000223517,1621643.800000000046566,1397746.420000000158325,1427375.260000000009313,1410049.960000000195578,13411972.900000002235174
FS( 140 ),1807233.629999999888241,1416320.840000000083819,1428069.290000000037253,1347959.680000000167638,1567893.760000000009313,1646895.960000000195578,1398644.260000000009313,1433037.280000000027940,1401343.000000000000000,13447398.699999999254942
FS( 141 ),1798066.080000000074506,1402570.219999999972060,1414013.489999999990687,1356653.320000000065193,1606759.160000000149012,1652934.520000000251457,1400888.859999999869615,1433037.280000000027940,1396505.800000000279397,13461429.730000000447035
FS( 142 ),1750394.820000000065193,1386662.639999999897555,1356384.709999999962747,1344567.040000000037253,1615446.719999999972060,1634818.840000000316650,1395052.899999999906868,1420365.139999999897555,1384896.520000000018626,13288590.330000000074506
FS( 143 ),1745505.459999999962747,1393942.380000000121072,1352167.969999999972060,1356441.280000000027940,1667114.840000000083819,1626035.480000000214204,1387196.800000000046566,1412276.540000000037253,1381510.479999999981374,13322192.230000000447035
FS( 144 ),1797454.909999999916181,1419017.040000000037253,1363412.609999999869615,1356865.360000000102445,1665285.880000000121072,1643602.200000000186265,1408071.579999999841675,1428184.119999999878928,1406663.920000000158325,13488558.619999999180436
FS( 145 ),1785231.510000000009313,1401222.119999999878928,1362709.820000000065193,1361742.280000000027940,1656141.080000000074506,1641955.320000000298023,1409642.800000000046566,1431419.560000000055879,1429882.479999999981374,13479947.970000002533197
FS( 146 ),1782786.830000000074506,1427105.639999999897555,1359195.870000000111759,1366619.200000000186265,1672144.479999999981374,1635367.800000000046566,1411214.020000000018626,1422522.099999999860302,1428915.040000000037253,13505871.980000000447035
FS( 147 ),1751617.159999999916181,1414163.880000000121072,1343031.699999999953434,1348595.800000000279397,1659341.760000000009313,1604077.080000000074506,1402460.079999999841675,1392594.280000000027940,1424077.840000000316650,13339960.580000000074506
FS( 148 ),1745505.459999999962747,1413085.399999999906868,1349356.810000000055879,1341174.400000000139698,1655683.840000000083819,1614507.320000000298023,1399542.100000000093132,1412546.159999999916181,1386831.400000000139698,13318233.890000000596046
FS( 149 ),1719836.320000000065193,1448405.619999999878928,1381685.149999999906868,1347323.560000000055879,1686318.920000000158325,1647444.920000000391155,1412111.859999999869615,1418208.179999999934807,1388282.560000000055879,13449618.089999999850988
FS( 150 ),1713113.449999999953434,1450023.340000000083819,1385901.889999999897555,1325271.400000000139698,1682661.000000000000000,1634818.840000000316650,1418396.739999999990687,1419556.280000000027940,1368450.040000000037253,13398193.980000000447035
FS( 151 ),1715558.129999999888241,1449753.719999999972060,1396443.739999999990687,1314033.280000000027940,1681289.280000000260770,1637563.640000000130385,1404255.760000000009313,1386932.260000000009313,1322012.920000000158325,13307843.730000000447035
FS( 152 ),1688055.479999999981374,1474289.139999999897555,1437908.350000000093132,1305975.760000000242144,1678088.600000000093132,1645798.040000000270084,1405153.600000000093132,1376147.459999999962747,1328301.280000000260770,13339718.710000000894070
FS( 153 ),1649551.769999999785796,1505025.820000000065193,1431583.239999999990687,1313185.120000000111759,1678088.600000000093132,1635367.800000000046566,1402235.619999999878928,1363475.320000000065193,1368933.760000000242144,13347448.050000000745058
FS( 154 ),1657496.979999999981374,1500711.899999999906868,1404877.219999999972060,1285195.840000000083819,1662085.200000000186265,1623290.680000000167638,1388768.020000000018626,1345950.020000000018626,1376673.280000000260770,13245050.140000000596046
FS( 155 ),1727170.360000000102445,1495589.119999999878928,1406282.800000000046566,1284983.800000000279397,1698664.399999999906868,1630976.120000000344589,1397073.040000000037253,1350803.179999999934807,1378608.160000000149012,13370151.980000000447035
FS( 156 ),1714946.959999999962747,1483186.599999999860302,1416121.859999999869615,1294525.600000000093132,1716496.760000000009313,1639759.480000000214204,1397073.040000000037253,1368598.099999999860302,1466161.479999999981374,13496870.880000000819564
FS( 157 ),1699667.709999999962747,1499094.179999999934807,1398552.109999999869615,1307460.040000000037253,1695006.479999999981374,1638661.560000000288710,1399317.640000000130385,1366980.380000000121072,1474384.720000000204891,13479125.820000002160668
FS( 158 ),1719836.320000000065193,1511227.079999999841675,1404174.429999999934807,1317637.960000000195578,1727013.280000000260770,1652934.520000000251457,1414356.459999999962747,1375608.219999999972060,1497119.560000000055879,13619908.830000001937151
FS( 159 ),1695389.519999999785796,1500981.520000000018626,1391524.209999999962747,1314669.400000000139698,1737529.800000000046566,1647993.880000000121072,1394379.520000000018626,1359161.399999999906868,1515017.200000000186265,13556647.449999999254942
FS( 160 ),1702723.559999999823049,1486422.040000000037253,1362007.030000000027940,1323575.080000000074506,1726098.800000000046566,1652385.560000000288710,1395277.359999999869615,1340018.380000000121072,1557584.560000000288710,13546093.370000001043081
FS( 161 ),1675220.909999999916181,1468627.119999999878928,1340220.540000000037253,1312973.080000000074506,1704608.520000000018626,1624937.560000000288710,1382483.140000000130385,1304428.540000000037253,1539203.200000000186265,13352703.609999999403954
FS( 162 ),1706390.580000000074506,1440856.260000000009313,1379576.780000000027940,1318274.080000000074506,1710095.399999999906868,1666658.520000000251457,1381585.300000000046566,1297957.659999999916181,1525659.040000000037253,13427054.620000001043081
FS( 163 ),1730837.379999999888241,1464043.579999999841675,1411905.120000000111759,1328664.040000000037253,1723355.359999999869615,1675441.880000000121072,1375973.800000000046566,1312247.520000000018626,1556133.400000000139698,13578603.080000001937151
FS( 164 ),1749172.479999999981374,1485613.179999999934807,1408391.169999999925494,1335237.280000000027940,1726098.800000000046566,1691910.680000000167638,1375973.800000000046566,1319527.260000000009313,1563389.200000000186265,13655314.850000001490116
FS( 165 ),1764451.729999999981374,1481838.500000000000000,1412607.910000000149012,1343506.840000000083819,1703236.800000000046566,1697400.280000000260770,1376198.260000000009313,1325998.139999999897555,1529528.800000000279397,13634768.260000001639128
FS( 166 ),1824957.559999999823049,1495858.739999999990687,1428772.079999999841675,1344779.080000000074506,1691348.560000000055879,1701791.960000000195578,1375524.880000000121072,1346489.260000000009313,1532431.120000000111759,13741954.240000002086163
FS( 167 ),1847570.849999999860302,1486691.659999999916181,1426663.709999999962747,1348807.840000000083819,1705065.760000000009313,1711124.280000000260770,1374851.500000000000000,1343523.439999999944121,1518403.240000000223517,13762703.279999999329448
FS( 168 ),1825568.729999999981374,1488579.000000000000000,1433691.609999999869615,1348383.760000000242144,1696378.200000000186265,1723201.400000000139698,1382258.679999999934807,1344601.919999999925494,1492282.360000000102445,13734946.659999998286366
FS( 169 ),1847570.849999999860302,1481838.500000000000000,1447044.620000000111759,1333540.960000000195578,1694549.240000000223517,1699596.120000000344589,1377545.020000000018626,1355117.099999999860302,1500021.880000000121072,13736825.290000000968575
FS( 170 ),1839625.640000000130385,1459460.040000000037253,1433691.609999999869615,1323999.160000000149012,1670772.760000000009313,1673246.040000000270084,1360934.979999999981374,1344332.300000000046566,1474384.720000000204891,13580448.250000001862645
FS( 171 ),1868350.629999999888241,1514732.139999999897555,1467425.530000000027940,1331208.520000000251457,1692263.040000000037253,1699047.160000000149012,1371933.520000000018626,1342984.199999999953434,1525175.320000000298023,13813121.059999998658895
FS( 172 ),1872017.649999999906868,1564342.219999999972060,1466722.739999999990687,1321030.600000000093132,1699121.639999999897555,1699596.120000000344589,1372382.439999999944121,1311169.040000000037253,1522756.720000000204891,13829140.169999999925494
FS( 173 ),1842070.320000000065193,1611795.340000000083819,1461803.209999999962747,1303007.200000000186265,1721983.639999999897555,1689165.880000000121072,1365873.100000000093132,1292565.260000000009313,1537752.040000000037253,13826016.989999998360872
FS( 174 ),1838403.299999999813735,1677043.380000000121072,1447747.410000000149012,1312549.000000000000000,1724727.080000000074506,1671599.160000000149012,1358465.920000000158325,1311169.040000000037253,1596765.880000000121072,13938471.169999999925494
FS( 175 ),1850626.699999999953434,1660866.179999999934807,1463911.579999999841675,1311276.760000000242144,1723812.600000000093132,1683127.320000000298023,1356670.239999999990687,1309281.699999999953434,1581770.560000000288710,13941344.640000000596046
FS( 176 ),1834736.280000000027940,1641183.919999999925494,1472345.060000000055879,1321454.680000000167638,1730671.200000000186265,1661717.880000000121072,1351283.199999999953434,1308742.459999999962747,1592412.400000000139698,13914548.080000000074506
FS( 177 ),1813345.330000000074506,1629320.639999999897555,1448450.199999999953434,1328664.040000000037253,1716954.000000000000000,1650738.680000000167638,1366770.939999999944121,1317100.679999999934807,1550328.760000000009313,13821674.269999999552965
FS( 178 ),1839014.469999999972060,1649002.899999999906868,1473047.850000000093132,1327179.760000000242144,1780053.120000000111759,1666109.560000000288710,1380911.920000000158325,1321684.219999999972060,1574031.040000000037253,14011035.839999999850988
FS( 179 ),1828624.580000000074506,1659787.699999999953434,1509592.929999999934807,1328452.000000000000000,1828520.560000000055879,1699596.120000000344589,1382258.679999999934807,1328694.340000000083819,1611761.200000000186265,14177289.109999999403954
FS( 180 ),1798066.080000000074506,1639835.820000000065193,1461803.209999999962747,1320606.520000000251457,1804744.080000000074506,1694106.520000000251457,1365199.719999999972060,1315482.959999999962747,1632561.160000000149012,14032407.070000000298023
FS( 181 ),1877518.179999999934807,1635252.280000000027940,1479372.959999999962747,1346051.320000000065193,1857326.679999999934807,1707281.560000000288710,1385401.119999999878928,1332738.639999999897555,1699314.520000000251457,14320258.259999999776483
FS( 182 ),1848793.189999999944121,1623119.380000000121072,1481481.329999999841675,1336085.440000000176951,1876073.520000000018626,1679284.600000000093132,1356894.699999999953434,1319257.639999999897555,1671258.760000000009313,14192249.560000000521541
FS( 183 ),1816401.179999999934807,1596157.380000000121072,1464614.370000000111759,1340114.200000000186265,1832635.719999999972060,1647444.920000000391155,1343202.640000000130385,1319796.880000000121072,1601119.360000000102445,13961487.650000000372529
FS( 184 ),1726559.189999999944121,1557601.719999999972060,1399254.899999999906868,1344142.960000000195578,1777309.679999999934807,1589804.120000000344589,1353752.260000000009313,1302541.199999999953434,1604021.679999999934807,13654988.709999999031425
FS( 185 ),1773008.110000000102445,1557871.340000000083819,1428069.290000000037253,1337781.760000000242144,1772280.040000000037253,1609566.680000000167638,1360934.979999999981374,1318179.159999999916181,1596282.160000000149012,13753974.520000001415610
FS( 186 ),1798066.080000000074506,1555984.000000000000000,1405580.010000000009313,1353048.640000000130385,1764049.719999999972060,1619447.960000000195578,1362281.739999999990687,1354308.239999999990687,1569193.840000000083819,13781961.230000000447035
FS( 187 ),1815178.839999999850988,1669763.639999999897555,1422446.969999999972060,1351352.320000000065193,1766793.160000000149012,1628780.280000000260770,1364975.260000000009313,1372372.780000000027940,1607891.440000000176951,13999555.689999999478459
FS( 188 ),1740004.929999999934807,1686749.699999999953434,1399957.690000000176951,1332268.720000000204891,1736158.080000000074506,1600783.320000000298023,1384503.280000000027940,1355386.719999999972060,1617082.120000000111759,13852895.560000002384186
FS( 189 ),1677054.419999999925494,1633904.179999999934807,1363412.609999999869615,1323787.120000000111759,1745760.120000000111759,1546985.240000000223517,1381585.300000000046566,1366171.520000000018626,1596282.160000000149012,13634943.669999999925494
FS( 190 ),1700278.879999999888241,1663562.380000000121072,1378171.199999999953434,1354744.960000000195578,1751247.000000000000000,1559611.320000000298023,1391461.540000000037253,1366710.760000000009313,1602570.520000000251457,13768359.560000000521541
FS( 191 ),1710057.599999999860302,1670033.260000000009313,1399254.899999999906868,1357713.520000000251457,1807944.760000000009313,1562356.120000000344589,1411887.399999999906868,1377495.560000000055879,1647072.760000000009313,13943816.880000000819564
FS( 192 ),1739393.760000000009313,1657091.500000000000000,1383090.729999999981374,1382734.239999999990687,1770451.080000000074506,1571688.440000000176951,1406275.899999999906868,1363475.320000000065193,1611761.200000000186265,13885963.170000001788139
FS( 193 ),1677054.419999999925494,1599392.820000000065193,1336706.590000000083819,1358349.640000000130385,1696378.200000000186265,1528320.600000000093132,1378218.399999999906868,1340827.239999999990687,1570161.280000000260770,13485410.190000001341105
FS( 194 ),1706390.580000000074506,1574587.780000000027940,1368332.139999999897555,1343718.880000000121072,1679460.319999999832362,1538201.880000000121072,1375973.800000000046566,1355656.340000000083819,1574031.040000000037253,13516353.760000001639128
FS( 195 ),1694778.349999999860302,1560837.159999999916181,1359898.660000000149012,1334177.080000000074506,1673058.960000000195578,1521733.080000000074506,1369464.459999999962747,1322493.079999999841675,1567742.679999999934807,13404184.509999999776483
FS( 196 ),1713113.449999999953434,1610716.860000000102445,1380982.359999999869615,1347959.680000000167638,1667572.080000000074506,1537652.920000000391155,1386298.959999999962747,1336513.320000000065193,1596282.160000000149012,13577092.789999999105930
FS( 197 ),1703334.729999999981374,1605324.459999999962747,1383793.520000000018626,1341174.400000000139698,1655226.600000000093132,1536555.000000000000000,1384278.820000000065193,1339748.760000000009313,1582254.280000000260770,13531691.570000000298023
FS( 198 ),1734504.399999999906868,1633634.560000000055879,1409796.750000000000000,1352624.560000000055879,1686318.920000000158325,1543691.480000000214204,1390788.159999999916181,1353499.380000000121072,1602086.800000000046566,13706946.010000001639128
FS( 199 ),1749783.649999999906868,1608290.280000000027940,1435799.979999999981374,1348383.760000000242144,1688147.880000000121072,1533261.240000000223517,1386298.959999999962747,1360239.880000000121072,1556617.120000000111759,13666823.750000000000000
FS( 200 ),1776063.959999999962747,1651699.099999999860302,1456180.889999999897555,1357289.440000000176951,1721983.639999999897555,1556317.560000000288710,1410316.179999999934807,1391515.800000000046566,1530012.520000000018626,13851380.089999999850988
FS( 201 ),1768729.919999999925494,1666797.820000000065193,1451964.149999999906868,1362590.440000000176951,1707351.960000000195578,1569492.600000000093132,1410765.100000000093132,1395290.479999999981374,1574514.760000000009313,13907498.230000000447035
FS( 202 ),1771785.769999999785796,1695647.159999999916181,1464614.370000000111759,1367255.320000000298023,1705065.760000000009313,1590353.080000000074506,1422885.939999999944121,1421982.860000000102445,1581286.840000000083819,14020878.099999999627471
FS( 203 ),1760784.709999999962747,1714520.560000000055879,1463208.790000000037253,1372768.360000000102445,1714210.560000000055879,1579373.880000000121072,1424232.699999999953434,1425757.540000000037253,1545007.840000000316650,13999865.940000001341105
FS( 204 ),1749783.649999999906868,1724766.119999999878928,1466722.739999999990687,1373404.479999999981374,1697292.679999999934807,1577178.040000000270084,1423559.320000000065193,1430071.459999999962747,1600151.920000000158325,14042931.410000002011657
FS( 205 ),1720447.489999999757856,1692411.719999999972060,1432988.820000000065193,1375524.880000000121072,1669401.040000000037253,1555219.640000000130385,1418845.659999999916181,1411737.300000000046566,1587091.480000000214204,13863669.030000001192093
FS( 206 ),1752228.330000000074506,1711554.739999999990687,1454775.310000000055879,1383794.440000000176951,1688605.120000000111759,1571688.440000000176951,1434108.939999999944121,1423330.959999999962747,1626272.800000000046566,14046360.080000001937151
FS( 207 ),1763840.559999999823049,1695107.919999999925494,1449855.780000000027940,1365134.920000000158325,1672144.479999999981374,1570041.560000000288710,1429844.199999999953434,1422252.479999999981374,1618049.560000000288710,13986272.460000000894070
FS( 208 ),1786453.849999999860302,1702926.899999999906868,1442827.880000000121072,1353896.800000000279397,1686318.920000000158325,1573884.280000000260770,1420416.880000000121072,1417938.560000000055879,1637882.080000000074506,14022547.150000000372529
FS( 209 ),1824957.559999999823049,1725574.979999999981374,1466722.739999999990687,1356653.320000000065193,1704151.280000000260770,1593097.880000000121072,1425579.459999999962747,1431149.939999999944121,1646589.040000000037253,14174477.200000002980232
FS( 210 ),1823735.219999999972060,1737438.260000000009313,1454775.310000000055879,1358561.679999999934807,1709638.160000000149012,1562356.120000000344589,1430068.659999999916181,1436811.959999999962747,1642235.560000000288710,14155621.930000001564622
FS( 211 ),1827402.239999999757856,1737707.880000000121072,1442125.090000000083819,1349231.920000000158325,1701407.840000000083819,1562356.120000000344589,1426477.300000000046566,1432228.419999999925494,1649491.360000000102445,14128429.169999999925494
FS( 212 ),1839625.640000000130385,1767366.079999999841675,1442827.880000000121072,1344991.120000000111759,1698207.160000000149012,1571688.440000000176951,1429170.820000000065193,1443822.079999999841675,1593863.560000000288710,14131563.780000001192093
FS( 213 ),1911743.699999999953434,1831535.640000000130385,1461100.419999999925494,1350080.080000000074506,1714210.560000000055879,1569492.600000000093132,1429619.739999999990687,1454337.260000000009313,1632077.440000000176951,14354198.439999999478459
FS( 214 ),1912966.040000000037253,1812931.859999999869615,1459694.840000000083819,1380825.880000000121072,1707809.200000000186265,1571688.440000000176951,1418396.739999999990687,1450562.579999999841675,1601119.360000000102445,14315995.939999999478459
FS( 215 ),1947191.559999999823049,1827760.960000000195578,1471642.270000000018626,1380401.800000000046566,1693634.760000000009313,1581020.760000000242144,1420865.800000000046566,1444361.320000000065193,1600151.920000000158325,14367032.150000000372529
FS( 216 ),1963081.979999999748543,1887616.600000000093132,1489212.020000000018626,1377009.160000000149012,1676716.880000000121072,1590353.080000000074506,1414356.459999999962747,1426027.159999999916181,1607891.440000000176951,14432265.779999999329448
FS( 217 ),1968582.510000000009313,1889234.319999999832362,1493428.760000000009313,1382734.239999999990687,1686318.920000000158325,1601881.240000000223517,1417947.820000000065193,1445709.419999999925494,1620468.160000000149012,14506306.390000000596046
FS( 218 ),1978361.229999999748543,1882763.439999999944121,1494834.340000000083819,1389519.520000000251457,1699121.639999999897555,1606821.880000000121072,1421314.719999999972060,1433306.899999999906868,1591928.679999999934807,14497973.350000001490116
FS( 219 ),1954525.599999999860302,1871169.780000000027940,1487806.440000000176951,1398001.120000000344589,1726098.800000000046566,1607919.800000000046566,1429844.199999999953434,1421713.239999999990687,1573547.320000000298023,14470627.300000000745058
FS( 220 ),1959414.960000000195578,1852835.619999999878928,1546840.800000000046566,1400969.679999999934807,1734786.359999999869615,1612311.480000000214204,1426028.380000000121072,1424948.679999999934807,1598700.760000000009313,14556837.720000000670552
FS( 221 ),1956970.280000000027940,1870630.539999999804422,1563004.969999999972060,1407542.920000000158325,1741187.719999999972060,1626584.440000000176951,1436802.460000000195578,1428723.360000000102445,1584189.160000000149012,14615636.849999999627471
FS( 222 ),1961248.470000000204891,1910803.920000000158325,1560193.810000000055879,1413904.120000000344589,1758105.600000000093132,1625486.520000000251457,1430517.579999999841675,1439238.540000000037253,1624821.640000000363216,14724321.200000002980232
FS( 223 ),1940468.689999999944121,1906759.619999999878928,1545435.219999999972060,1410723.520000000251457,1740273.240000000223517,1624388.600000000093132,1432986.640000000130385,1441395.500000000000000,1663519.240000000223517,14705951.269999999552965
FS( 224 ),1962470.809999999823049,1938844.399999999906868,1563004.969999999972060,1420901.440000000176951,1751247.000000000000000,1624937.560000000288710,1433884.479999999981374,1439508.159999999916181,1610793.760000000009313,14745593.580000001937151
FS( 225 ),1993640.479999999748543,1946124.140000000130385,1593224.940000000176951,1428110.800000000046566,1760391.800000000046566,1640308.440000000176951,1448474.380000000121072,1453258.780000000027940,1604021.679999999934807,14867556.439999999478459
FS( 226 ),2002808.030000000027940,1949898.819999999832362,1576357.979999999981374,1416448.600000000093132,1737987.040000000037253,1627682.360000000102445,1427824.060000000055879,1457572.699999999953434,1582738.000000000000000,14779318.589999997988343
FS( 227 ),1978972.400000000139698,1954482.359999999869615,1570735.660000000149012,1418569.000000000232831,1727470.520000000018626,1647444.920000000391155,1428048.520000000018626,1458111.939999999944121,1602086.800000000046566,14785923.119999999180436
FS( 228 ),2016253.770000000018626,1957178.560000000055879,1563004.969999999972060,1426202.440000000176951,1711467.120000000111759,1628231.320000000298023,1429619.739999999990687,1465391.679999999934807,1578384.520000000251457,14775735.119999999180436
FS( 229 ),2029088.340000000083819,1998160.800000000046566,1569330.079999999841675,1422173.679999999934807,1732500.160000000149012,1624388.600000000093132,1430517.579999999841675,1476446.099999999860302,1588542.640000000363216,14871148.979999998584390
FS( 230 ),2059035.669999999692664,1982522.840000000083819,1570032.870000000111759,1425778.360000000102445,1721983.639999999897555,1634269.880000000121072,1428946.359999999869615,1454067.639999999897555,1599184.480000000214204,14875822.740000002086163
FS( 231 ),2051701.629999999888241,1957717.800000000046566,1566518.919999999925494,1414752.280000000027940,1707809.200000000186265,1607919.800000000046566,1420192.420000000158325,1454337.260000000009313,1580319.400000000139698,14761269.710000000894070
FS( 232 ),2060258.010000000009313,1967963.359999999869615,1573546.820000000065193,1432987.720000000204891,1724269.840000000083819,1600783.320000000298023,1422212.560000000055879,1453798.020000000018626,1595798.440000000176951,14831619.089999999850988
FS( 233 ),2082260.129999999888241,1942349.460000000195578,1587602.620000000111759,1442529.520000000251457,1709638.160000000149012,1606821.880000000121072,1431190.959999999962747,1437890.439999999944121,1603054.240000000223517,14843338.410000000149012
FS( 234 ),2091427.679999999934807,1950977.300000000046566,1574249.609999999869615,1437864.640000000130385,1703236.800000000046566,1609566.680000000167638,1416601.060000000055879,1417938.560000000055879,1616114.679999999934807,14817978.010000001639128
FS( 235 ),2100595.229999999981374,1943967.179999999934807,1577763.560000000055879,1435532.200000000186265,1682203.760000000009313,1611213.560000000288710,1402909.000000000000000,1415511.979999999981374,1592896.120000000111759,14762593.590000003576279
FS( 236 ),2095094.699999999953434,1948820.340000000083819,1567924.500000000000000,1458008.440000000176951,1681746.520000000018626,1642504.280000000260770,1404255.760000000009313,1409041.099999999860302,1577900.800000000046566,14785297.440000001341105
FS( 237 ),2110985.120000000111759,1952595.020000000018626,1584791.459999999962747,1456312.120000000344589,1690434.080000000074506,1665560.600000000093132,1408071.579999999841675,1412815.780000000027940,1560486.880000000121072,14842053.640000000596046
FS( 238 ),2115263.310000000055879,1939114.020000000018626,1584088.669999999925494,1453131.520000000251457,1684947.200000000186265,1664462.680000000167638,1407398.199999999953434,1402570.219999999972060,1560486.880000000121072,14811463.700000001117587
FS( 239 ),2116485.649999999906868,1919431.760000000009313,1600252.840000000083819,1461401.080000000074506,1678088.600000000093132,1671599.160000000149012,1414132.000000000000000,1407962.619999999878928,1555649.679999999934807,14825004.389999998733401
FS( 240 ),2145210.640000000130385,1933182.380000000121072,1652962.090000000083819,1472003.080000000074506,1655683.840000000083819,1691910.680000000167638,1418396.739999999990687,1426566.399999999906868,1501956.760000000242144,14897873.610000001266599
FS( 241 ),2173324.459999999962747,1943697.560000000055879,1702157.389999999897555,1466490.040000000037253,1647910.760000000009313,1694655.480000000214204,1414132.000000000000000,1425757.540000000037253,1481640.520000000018626,14949766.750000000000000
FS( 242 ),2159878.720000000204891,1908646.960000000195578,1681073.690000000176951,1463733.520000000251457,1632821.840000000083819,1683676.280000000260770,1410765.100000000093132,1405805.659999999916181,1486477.720000000204891,14832880.490000002086163
FS( 243 ),2157434.039999999571592,1913230.499999999767169,1686696.010000000009313,1482605.080000000074506,1641509.399999999906868,1703987.800000000046566,1419070.119999999878928,1434115.760000000009313,1510663.720000000204891,14949313.429999999701977
FS( 244 ),2135431.919999999925494,1925363.399999999906868,1695129.489999999990687,1491510.760000000242144,1648825.240000000223517,1721554.520000000251457,1418396.739999999990687,1433576.520000000018626,1498570.720000000204891,14968360.310000000521541
