代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14198214.009999997913837
真實報酬,4198214.009999997913837

夏普值報酬,0.411121401000000
夏普值風險,0.104464198796999
夏普值,3.935524378059071

二次趨勢線,31.364829740605906 x^2 + 8635.009860795062195 x + 10000000.000000000000000
二次平均預期報酬,16570.311785168352799
風險,125756.688858890716801
二次平均趨勢值,0.131764854303389
一次趨勢線,14574.701202207175811 x + 10000000.000000000000000
一次預期報酬,14574.701202207175811
一次風險,256705.049785221024649
一次趨勢值,0.056776059584342
找到最佳解世代,2066
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](6),BA[2](4),CAT[3](7),JNJ[12](11),MCD[15](3),MSFT[18](1),UNH[23](2),V[25](5),
FS( 132 ),1630256.169999999925494,1722921.300000000046566,1421721.739999999990687,1329777.199999999953434,1382246.509999999776483,1404539.599999999627471,1567399.760000000009313,1385453.750000000000000,11844316.029999999329448
FS( 133 ),1627796.860000000102445,1719842.259999999776483,1409751.860000000102445,1333661.089999999850988,1384304.399999999906868,1398028.099999999627471,1556810.559999999823049,1376843.750000000000000,11807038.880000000819564
FS( 134 ),1645012.030000000027940,1719649.820000000065193,1432770.860000000102445,1353710.360000000102445,1385170.879999999888241,1405407.799999999813735,1581856.319999999832362,1382532.500000000000000,11906110.570000000298023
FS( 135 ),1647705.560000000055879,1714646.379999999888241,1424944.399999999906868,1348461.860000000102445,1386253.979999999981374,1403020.249999999767169,1577436.479999999981374,1384377.500000000000000,11886846.410000000149012
FS( 136 ),1639507.860000000102445,1733024.399999999906868,1425865.159999999916181,1344263.060000000055879,1393402.439999999711290,1408012.399999999906868,1562703.679999999701977,1387452.500000000000000,11894231.500000000000000
FS( 137 ),1656723.030000000027940,1726192.779999999795109,1464076.700000000186265,1344368.030000000027940,1394918.779999999795109,1409314.699999999953434,1547050.079999999841675,1371155.000000000000000,11913799.099999999627471
FS( 138 ),1637751.209999999962747,1693189.320000000065193,1418499.080000000074506,1335760.489999999990687,1392102.719999999972060,1393687.099999999627471,1544287.679999999701977,1353935.000000000000000,11769212.599999999627471
FS( 139 ),1656254.589999999850988,1703003.759999999776483,1418499.080000000074506,1325368.459999999962747,1398384.699999999720603,1411485.199999999953434,1538118.319999999832362,1361007.500000000000000,11812121.609999999403954
FS( 140 ),1650399.089999999850988,1705697.919999999925494,1415429.880000000121072,1321589.540000000037253,1397301.599999999860302,1408012.399999999906868,1522096.399999999674037,1366235.000000000000000,11786761.830000000074506
FS( 141 ),1647120.009999999776483,1691842.239999999990687,1414202.200000000186265,1317180.800000000046566,1400984.139999999897555,1410399.949999999953434,1519426.079999999841675,1371308.750000000000000,11772464.169999999925494
FS( 142 ),1649930.649999999906868,1694536.399999999906868,1404380.760000000009313,1320539.839999999850988,1402608.790000000037253,1413004.549999999580905,1515742.879999999888241,1367618.750000000000000,11768362.619999997317791
FS( 143 ),1684126.770000000018626,1706660.120000000111759,1426479.000000000000000,1319070.260000000009313,1402175.549999999813735,1417128.500000000000000,1522648.879999999888241,1370232.500000000000000,11848521.579999998211861
FS( 144 ),1687874.290000000037253,1709258.059999999823049,1425097.860000000102445,1311302.479999999981374,1395568.639999999897555,1421035.399999999674037,1505061.599999999860302,1371155.000000000000000,11826353.329999998211861
FS( 145 ),1685649.199999999953434,1712625.759999999776483,1430622.419999999925494,1308573.260000000009313,1400767.519999999785796,1426244.599999999627471,1519334.000000000000000,1368541.250000000000000,11852358.009999997913837
FS( 146 ),1682487.229999999981374,1701849.120000000111759,1423563.260000000009313,1307418.589999999850988,1403908.510000000009313,1429500.349999999860302,1510310.159999999683350,1366388.750000000000000,11825425.970000000670552
FS( 147 ),1682955.669999999925494,1699828.500000000000000,1416043.719999999972060,1308888.169999999925494,1403908.510000000009313,1422771.799999999813735,1524858.799999999813735,1373922.500000000000000,11833177.669999998062849
FS( 148 ),1695486.440000000176951,1719553.599999999860302,1444587.280000000027940,1308783.199999999953434,1400442.589999999850988,1426678.699999999953434,1519149.839999999850988,1365005.000000000000000,11879686.650000000372529
FS( 149 ),1686703.190000000176951,1703965.959999999962747,1446275.340000000083819,1310042.839999999850988,1412573.309999999823049,1422988.849999999860302,1522833.039999999804422,1368848.750000000000000,11874231.279999999329448
FS( 150 ),1682487.229999999981374,1706756.340000000083819,1470522.020000000018626,1312667.089999999850988,1409757.250000000000000,1426678.699999999953434,1522556.799999999813735,1369771.250000000000000,11901196.679999999701977
FS( 151 ),1678739.709999999962747,1720996.899999999906868,1465918.219999999972060,1311302.479999999981374,1407699.359999999869615,1425593.449999999953434,1528818.239999999990687,1364390.000000000000000,11903458.359999999403954
FS( 152 ),1676748.839999999850988,1708584.520000000018626,1490778.739999999990687,1305214.219999999972060,1407915.979999999748543,1422337.699999999953434,1523845.919999999692664,1366235.000000000000000,11901660.919999998062849
FS( 153 ),1658713.899999999906868,1718302.739999999990687,1490164.899999999906868,1303954.580000000074506,1421129.799999999813735,1421252.449999999953434,1527068.719999999972060,1366081.250000000000000,11906668.339999999850988
FS( 154 ),1660704.770000000018626,1694055.300000000046566,1455789.860000000102445,1316341.040000000037253,1421779.659999999683350,1415826.199999999953434,1524582.559999999823049,1363467.500000000000000,11852546.890000000596046
FS( 155 ),1651921.520000000018626,1689917.840000000083819,1428780.899999999906868,1312037.270000000018626,1416364.159999999683350,1409748.799999999813735,1519057.760000000009313,1366388.750000000000000,11794216.999999998137355
FS( 156 ),1661056.100000000093132,1722632.640000000130385,1444740.739999999990687,1319700.080000000074506,1422754.449999999720603,1421252.449999999953434,1539499.520000000018626,1380841.250000000000000,11912477.229999998584390
FS( 157 ),1653678.169999999925494,1711374.899999999906868,1448577.239999999990687,1278761.780000000027940,1433043.899999999906868,1419298.999999999767169,1552482.799999999813735,1379611.250000000000000,11876829.039999999105930
FS( 158 ),1647588.449999999953434,1716667.000000000000000,1434458.919999999925494,1274038.130000000121072,1436726.439999999711290,1411702.250000000000000,1558560.079999999841675,1379918.750000000000000,11859660.019999999552965
FS( 159 ),1668199.810000000055879,1725326.800000000046566,1452720.659999999916181,1279286.630000000121072,1443549.969999999972060,1421686.549999999813735,1579646.399999999674037,1401443.750000000000000,11971860.570000000298023
FS( 160 ),1666208.940000000176951,1735718.559999999823049,1447503.020000000018626,1278131.959999999962747,1445066.309999999823049,1441221.050000000046566,1576147.359999999869615,1401443.750000000000000,11991440.949999999254942
FS( 161 ),1682253.009999999776483,1751883.520000000018626,1485714.560000000055879,1289993.570000000065193,1453947.729999999748543,1465747.699999999953434,1586920.719999999972060,1412206.250000000000000,12128667.060000000521541
FS( 162 ),1692675.800000000046566,1765835.419999999925494,1602497.620000000111759,1295661.949999999953434,1534855.299999999813735,1474212.649999999906868,1602666.399999999674037,1416203.750000000000000,12384608.890000000596046
FS( 163 ),1682721.449999999953434,1748515.820000000065193,1606180.659999999916181,1296501.709999999962747,1525540.639999999897555,1472259.199999999720603,1605797.119999999878928,1411745.000000000000000,12349261.599999997764826
FS( 164 ),1684009.659999999916181,1763045.040000000037253,1575795.580000000074506,1298916.020000000018626,1525865.569999999832362,1481809.399999999674037,1608099.119999999878928,1408362.500000000000000,12345902.890000000596046
FS( 165 ),1682370.120000000111759,1778536.459999999962747,1569350.260000000009313,1296081.830000000074506,1515684.429999999934807,1485933.349999999627471,1610401.119999999878928,1402520.000000000000000,12340877.569999998435378
FS( 166 ),1716683.350000000093132,1755058.779999999795109,1565360.300000000046566,1294717.219999999972060,1528898.250000000000000,1506553.099999999627471,1607730.799999999813735,1403135.000000000000000,12378136.800000000745058
FS( 167 ),1727574.579999999841675,1765161.879999999888241,1557840.760000000009313,1298496.140000000130385,1529764.729999999748543,1504165.549999999813735,1603587.199999999720603,1422815.000000000000000,12409405.839999997988343
FS( 168 ),1722304.629999999888241,1764680.779999999795109,1558301.140000000130385,1294612.250000000000000,1544819.819999999832362,1499390.449999999720603,1588854.399999999674037,1421277.500000000000000,12394240.969999998807907
FS( 169 ),1716097.800000000046566,1761601.739999999990687,1525307.239999999990687,1301120.390000000130385,1553809.549999999813735,1493530.099999999860302,1602482.239999999990687,1424045.000000000000000,12377994.060000000521541
FS( 170 ),1744555.530000000027940,1780268.419999999925494,1529143.739999999990687,1296501.709999999962747,1559333.359999999869615,1497654.049999999813735,1603403.039999999804422,1415896.250000000000000,12426756.099999997764826
FS( 171 ),1791985.079999999841675,1789986.640000000130385,1525000.320000000065193,1293772.489999999990687,1562366.040000000037253,1496351.749999999767169,1606349.599999999860302,1413282.500000000000000,12479094.419999999925494
FS( 172 ),1803461.860000000102445,1798550.219999999972060,1523772.640000000130385,1293352.609999999869615,1563665.760000000009313,1498522.250000000000000,1595300.000000000000000,1414512.500000000000000,12491137.839999999850988
FS( 173 ),1794912.829999999841675,1762660.159999999916181,1540192.860000000102445,1289153.810000000055879,1565398.719999999972060,1504382.599999999860302,1596681.199999999720603,1418356.250000000000000,12471738.429999999701977
FS( 174 ),1802993.419999999925494,1769972.879999999888241,1549860.840000000083819,1293247.640000000130385,1562041.109999999869615,1485933.349999999627471,1596036.639999999664724,1416050.000000000000000,12476135.879999998956919
FS( 175 ),1828172.069999999832362,1763333.699999999953434,1545563.959999999962747,1297866.320000000065193,1574496.760000000009313,1484196.949999999720603,1582132.559999999823049,1425736.250000000000000,12501498.570000000298023
FS( 176 ),1823487.669999999925494,1755058.779999999795109,1571805.620000000111759,1333031.270000000018626,1584461.279999999795109,1485282.199999999953434,1579554.319999999832362,1433423.750000000000000,12566104.889999998733401
FS( 177 ),1820794.139999999897555,1758041.599999999860302,1570577.940000000176951,1341218.929999999934807,1595400.589999999850988,1506553.099999999627471,1548155.039999999804422,1432193.750000000000000,12572935.089999997988343
FS( 178 ),1759662.719999999972060,1720323.359999999869615,1536816.739999999990687,1329672.229999999981374,1585869.309999999823049,1464662.449999999953434,1554968.959999999962747,1410822.500000000000000,12362798.269999999552965
FS( 179 ),1786480.909999999916181,1707045.000000000000000,1538044.419999999925494,1332821.330000000074506,1592367.909999999683350,1469654.599999999627471,1578817.679999999701977,1410053.750000000000000,12415285.599999999627471
FS( 180 ),1792570.629999999888241,1739374.919999999925494,1571959.080000000074506,1333136.239999999990687,1604715.250000000000000,1469220.499999999767169,1589314.799999999813735,1421892.500000000000000,12522183.919999998062849
FS( 181 ),1803461.860000000102445,1767374.939999999944121,1569810.640000000130385,1335865.459999999962747,1605148.489999999757856,1485716.299999999813735,1608743.679999999701977,1434653.750000000000000,12610775.119999997317791
FS( 182 ),1801236.770000000018626,1765642.979999999981374,1590374.280000000027940,1338594.679999999934807,1601141.019999999785796,1490708.449999999953434,1613531.839999999850988,1443110.000000000000000,12644340.019999999552965
FS( 183 ),1795849.709999999962747,1782577.699999999953434,1595285.000000000000000,1338489.709999999962747,1619337.099999999860302,1492661.899999999674037,1616938.799999999813735,1457716.250000000000000,12698856.169999998062849
FS( 184 ),1802056.540000000037253,1800089.739999999990687,1611705.219999999972060,1338699.649999999906868,1622369.779999999795109,1511111.149999999906868,1639590.479999999981374,1461252.500000000000000,12786875.060000000521541
FS( 185 ),1799011.680000000167638,1795471.179999999934807,1621526.659999999916181,1332296.479999999981374,1623236.260000000009313,1518490.849999999627471,1634526.079999999841675,1455563.750000000000000,12780122.939999999478459
FS( 186 ),1799714.339999999850988,1798261.559999999823049,1618610.919999999925494,1334290.909999999916181,1623994.429999999934807,1528258.099999999627471,1626146.799999999813735,1456332.500000000000000,12785609.559999998658895
FS( 187 ),1789057.329999999841675,1805478.059999999823049,1617997.080000000074506,1346257.489999999990687,1634392.189999999711290,1515886.250000000000000,1613163.520000000018626,1464173.750000000000000,12786405.669999998062849
FS( 188 ),1793975.949999999953434,1802495.239999999990687,1621373.200000000186265,1351820.899999999906868,1650638.689999999711290,1521529.549999999580905,1653678.719999999972060,1466787.500000000000000,12862299.750000000000000
FS( 189 ),1820559.919999999925494,1830495.259999999776483,1625977.000000000000000,1365467.000000000232831,1665260.540000000037253,1557559.849999999860302,1651929.199999999720603,1478318.750000000000000,12995567.519999999552965
FS( 190 ),1802759.199999999953434,1818179.099999999860302,1614467.500000000000000,1368406.160000000149012,1654971.089999999850988,1568846.449999999953434,1651745.039999999804422,1484468.750000000000000,12963843.289999999105930
FS( 191 ),1808848.919999999925494,1797010.699999999953434,1604492.600000000093132,1373339.750000000232831,1638074.729999999748543,1574055.649999999674037,1665096.639999999664724,1472783.750000000000000,12933702.739999998360872
FS( 192 ),1819623.040000000037253,1810000.399999999906868,1588532.760000000009313,1372499.989999999990687,1645764.739999999757856,1571233.999999999767169,1687103.760000000009313,1477396.250000000000000,12972154.939999999478459
FS( 193 ),1815172.860000000102445,1827608.659999999916181,1611551.760000000009313,1370400.590000000083819,1640240.929999999934807,1561683.799999999813735,1673107.599999999860302,1477396.250000000000000,12977162.449999999254942
FS( 194 ),1744789.749999999767169,1828570.859999999869615,1625516.620000000111759,1380687.649999999906868,1640782.479999999748543,1526304.649999999674037,1670989.760000000009313,1453872.500000000000000,12871514.269999997690320
FS( 195 ),1703098.589999999850988,1828282.199999999953434,1627818.520000000018626,1383731.780000000027940,1608181.169999999925494,1514583.949999999953434,1650640.079999999841675,1437575.000000000000000,12753911.290000000968575
FS( 196 ),1716800.459999999962747,1838770.179999999934807,1622907.800000000046566,1385831.180000000167638,1622803.019999999785796,1533467.300000000046566,1667214.479999999981374,1461867.500000000000000,12849661.919999999925494
FS( 197 ),1700053.729999999981374,1851182.559999999823049,1606947.959999999962747,1393703.930000000167638,1632117.679999999934807,1525219.399999999674037,1679276.959999999962747,1465557.500000000000000,12854059.719999998807907
FS( 198 ),1689865.159999999916181,1880722.099999999860302,1632882.700000000186265,1396538.119999999878928,1637424.869999999646097,1517188.550000000046566,1661045.119999999878928,1447876.250000000000000,12863542.869999999180436
FS( 199 ),1666208.940000000176951,1890247.879999999888241,1651297.899999999906868,1410289.189999999944121,1646306.290000000037253,1519359.049999999813735,1672555.119999999878928,1447876.250000000000000,12904140.619999999180436
FS( 200 ),1713872.709999999962747,1915649.959999999962747,1649609.840000000083819,1407350.030000000027940,1658761.939999999711290,1538242.399999999906868,1685354.239999999990687,1457408.750000000000000,13026249.869999999180436
FS( 201 ),1698297.079999999841675,1908433.459999999962747,1642704.140000000130385,1408924.580000000074506,1668834.769999999785796,1517405.599999999627471,1687656.239999999990687,1451105.000000000000000,12983360.869999999180436
FS( 202 ),1708368.540000000037253,1916515.939999999944121,1587918.919999999925494,1416167.510000000009313,1665152.229999999748543,1525219.399999999674037,1702849.439999999711290,1453565.000000000000000,12975756.979999998584390
FS( 203 ),1705557.899999999906868,1919113.879999999888241,1593596.940000000176951,1428134.090000000083819,1676741.399999999906868,1525002.349999999860302,1717398.079999999841675,1444493.750000000000000,13010038.389999998733401
FS( 204 ),1713170.050000000046566,1945959.259999999776483,1597740.360000000102445,1432122.949999999953434,1675008.439999999711290,1545622.099999999627471,1705888.079999999841675,1469555.000000000000000,13085066.240000000223517
FS( 205 ),1707782.989999999990687,1924309.759999999776483,1599888.800000000046566,1431178.219999999972060,1667643.359999999869615,1530862.699999999953434,1704691.039999999804422,1464020.000000000000000,13030376.869999997317791
FS( 206 ),1683306.999999999767169,1913821.779999999795109,1594978.080000000074506,1417217.209999999962747,1665043.919999999925494,1502212.099999999627471,1699902.879999999888241,1459100.000000000000000,12935582.969999998807907
FS( 207 ),1707900.100000000093132,1920845.840000000083819,1633650.000000000000000,1404725.780000000027940,1671325.899999999906868,1515018.049999999813735,1710031.679999999701977,1479548.750000000000000,13043046.100000001490116
FS( 208 ),1682721.449999999953434,1900062.320000000065193,1621219.739999999990687,1392339.319999999832362,1658653.629999999888241,1486584.499999999767169,1706072.239999999990687,1451720.000000000000000,12899373.199999999254942
FS( 209 ),1686703.190000000176951,1902852.699999999953434,1649149.459999999962747,1388665.369999999878928,1658978.559999999823049,1496134.699999999953434,1707453.439999999711290,1441880.000000000000000,12931817.419999998062849
FS( 210 ),1680613.469999999972060,1910935.179999999934807,1641629.919999999925494,1395068.540000000037253,1651830.099999999860302,1479638.899999999906868,1718779.279999999795109,1435268.750000000000000,12913764.139999998733401
FS( 211 ),1687522.959999999962747,1941918.020000000018626,1649609.840000000083819,1402836.319999999832362,1658003.769999999785796,1499390.449999999720603,1733512.079999999841675,1445416.250000000000000,13018209.689999999478459
FS( 212 ),1671595.999999999767169,1938742.759999999776483,1634570.760000000009313,1391079.680000000167638,1658220.389999999897555,1488320.899999999674037,1721449.599999999860302,1433731.250000000000000,12937711.339999997988343
FS( 213 ),1688576.949999999953434,1947306.340000000083819,1640862.620000000111759,1391289.619999999878928,1692662.969999999972060,1507638.349999999627471,1730841.760000000009313,1444032.500000000000000,13043211.109999999403954
FS( 214 ),1698882.629999999888241,1962605.320000000065193,1654980.940000000176951,1380897.590000000083819,1684539.719999999972060,1518924.949999999953434,1721541.679999999701977,1462021.250000000000000,13084394.080000000074506
FS( 215 ),1704386.800000000046566,1984832.140000000130385,1661119.340000000083819,1377538.549999999813735,1677932.809999999823049,1519141.999999999767169,1712333.679999999701977,1466941.250000000000000,13104226.570000000298023
FS( 216 ),1706846.110000000102445,1986467.879999999888241,1672168.459999999962747,1388035.549999999813735,1696020.580000000074506,1544319.800000000046566,1719147.599999999860302,1478780.000000000000000,13191785.980000000447035
FS( 217 ),1730619.440000000176951,1984447.259999999776483,1664648.919999999925494,1384151.660000000149012,1679340.839999999850988,1557776.899999999674037,1708005.919999999692664,1475090.000000000000000,13184080.940000001341105
FS( 218 ),1745492.409999999916181,2006385.419999999925494,1669252.719999999972060,1391919.439999999944121,1681940.279999999795109,1579698.949999999953434,1721081.279999999795109,1490311.250000000000000,13286081.749999998137355
FS( 219 ),1751582.129999999888241,2011100.199999999953434,1670326.940000000176951,1387195.790000000037253,1681723.659999999683350,1592070.799999999580905,1716016.879999999888241,1488773.750000000000000,13298790.149999998509884
FS( 220 ),1757671.850000000093132,2003787.479999999981374,1643164.520000000018626,1411443.860000000102445,1667643.359999999869615,1590985.549999999813735,1720620.879999999888241,1500305.000000000000000,13295622.500000000000000
FS( 221 ),1768680.190000000176951,2029189.559999999823049,1655134.399999999906868,1419316.610000000102445,1666885.189999999711290,1603140.349999999860302,1742167.599999999860302,1510606.250000000000000,13395120.150000000372529
FS( 222 ),1760716.709999999962747,2023416.359999999869615,1647001.020000000018626,1433592.530000000027940,1670351.109999999869615,1610954.149999999674037,1763438.079999999841675,1508453.750000000000000,13417923.710000000894070
FS( 223 ),1759896.940000000176951,2041313.279999999795109,1635798.440000000176951,1420366.310000000055879,1667210.119999999646097,1601621.000000000000000,1766016.319999999832362,1531362.500000000000000,13423584.910000000149012
FS( 224 ),1781210.959999999962747,2041698.159999999916181,1660198.580000000074506,1396223.209999999962747,1644789.949999999720603,1597497.049999999580905,1757821.199999999720603,1543201.250000000000000,13422640.359999997541308
FS( 225 ),1788823.110000000102445,2044392.320000000065193,1757799.140000000130385,1384361.599999999860302,1722989.769999999785796,1610302.999999999767169,1753309.279999999795109,1537358.750000000000000,13599336.969999998807907
FS( 226 ),1797255.030000000027940,2246358.099999999627471,1742146.219999999972060,1374599.389999999897555,1695262.409999999683350,1607264.299999999813735,1756532.079999999841675,1550581.250000000000000,13769998.779999999329448
FS( 227 ),1763293.129999999888241,2319004.200000000186265,1755190.320000000065193,1373339.750000000232831,1700028.049999999813735,1587946.849999999627471,1739773.520000000018626,1530901.250000000000000,13769477.069999998435378
FS( 228 ),1750879.469999999972060,2321602.139999999664724,1751046.899999999906868,1384046.689999999944121,1688113.949999999720603,1585342.250000000000000,1760215.279999999795109,1524443.750000000000000,13765690.429999997839332
FS( 229 ),1741861.999999999767169,2333052.320000000298023,1748745.000000000000000,1393179.080000000074506,1680423.939999999711290,1577962.549999999813735,1766292.559999999823049,1530747.500000000000000,13772264.950000001117587
FS( 230 ),1757320.520000000018626,2303993.879999999888241,1735700.899999999906868,1390974.709999999962747,1668509.839999999850988,1575357.949999999720603,1770159.919999999692664,1550888.750000000000000,13752906.469999998807907
FS( 231 ),1840351.509999999776483,2289657.099999999627471,1735547.440000000176951,1387300.760000000009313,1696128.889999999897555,1568412.349999999860302,1777250.079999999841675,1557192.500000000000000,13851840.629999998956919
FS( 232 ),1821965.239999999990687,2292543.700000000186265,1742760.060000000055879,1399792.189999999944121,1675874.919999999925494,1566024.800000000046566,1793548.239999999990687,1546583.750000000000000,13839092.900000000372529
FS( 233 ),1831568.259999999776483,2287347.820000000298023,1754883.399999999906868,1398007.699999999953434,1666127.019999999785796,1577528.449999999953434,1794561.119999999878928,1551196.250000000000000,13861220.019999999552965
FS( 234 ),1859908.879999999888241,2311595.259999999776483,1760407.959999999962747,1394648.660000000149012,1678582.669999999925494,1571451.050000000046566,1793640.319999999832362,1560421.250000000000000,13930656.050000000745058
FS( 235 ),1874781.850000000093132,2304571.200000000186265,1755804.159999999916181,1388455.430000000167638,1678041.119999999646097,1579916.000000000000000,1794745.279999999795109,1557192.500000000000000,13933507.539999999105930
FS( 236 ),1886258.629999999888241,2254633.019999999552965,1754729.940000000176951,1398532.549999999813735,1678041.119999999646097,1572970.399999999674037,1794100.719999999972060,1552426.250000000000000,13891692.630000000819564
FS( 237 ),1819037.489999999990687,2240873.559999999590218,1736468.200000000186265,1397062.969999999972060,1696453.819999999832362,1549963.099999999627471,1773290.639999999664724,1529671.250000000000000,13742821.029999997466803
FS( 238 ),1844333.249999999767169,2260117.559999999590218,1731864.399999999906868,1397167.939999999944121,1703818.899999999906868,1573621.549999999813735,1777434.239999999990687,1538896.250000000000000,13827254.089999997988343
FS( 239 ),1872088.319999999832362,2281959.500000000000000,1745061.959999999962747,1401156.799999999813735,1703385.659999999683350,1597280.000000000000000,1783787.760000000009313,1566263.750000000000000,13950983.749999998137355
FS( 240 ),1892582.569999999832362,2301395.939999999478459,1744141.200000000186265,1400107.099999999860302,1707284.819999999832362,1589249.149999999674037,1791062.079999999841675,1577948.750000000000000,14003771.609999999403954
FS( 241 ),1884970.419999999925494,2286193.179999999701977,1751353.820000000065193,1408399.729999999748543,1721148.500000000000000,1598582.300000000046566,1784340.239999999990687,1588557.500000000000000,14023545.689999999478459
FS( 242 ),1848783.430000000167638,2266949.179999999701977,1736314.739999999990687,1396538.119999999878928,1710209.189999999711290,1571451.050000000046566,1774487.679999999701977,1570722.500000000000000,13875455.890000000596046
FS( 243 ),1844567.469999999972060,2268681.139999999664724,1748284.620000000111759,1392234.349999999860302,1708801.159999999683350,1573404.499999999767169,1757176.639999999664724,1576103.750000000000000,13869253.629999998956919
FS( 244 ),1841171.280000000027940,2267815.160000000149012,1743373.899999999906868,1400841.889999999897555,1715299.760000000009313,1566024.800000000046566,1768318.319999999832362,1587020.000000000000000,13889865.110000001266599
FS( 245 ),1871268.550000000046566,2306976.700000000186265,1777442.020000000018626,1413963.139999999897555,1729163.439999999711290,1587946.849999999627471,1793732.399999999674037,1600088.750000000000000,14080581.849999999627471
FS( 246 ),1873610.749999999767169,2291004.179999999701977,1761021.800000000046566,1394018.840000000083819,1720173.709999999962747,1578396.649999999674037,1788668.000000000000000,1586405.000000000000000,13993298.929999999701977
FS( 247 ),1865295.940000000176951,2297258.480000000447035,1761482.180000000167638,1394963.569999999832362,1715841.309999999823049,1577745.499999999767169,1793364.079999999841675,1587020.000000000000000,13992971.060000002384186
FS( 248 ),1872205.430000000167638,2269835.780000000260770,1770229.399999999906868,1382262.199999999953434,1720282.019999999785796,1580567.149999999674037,1789772.959999999962747,1589018.750000000000000,13974173.690000001341105
FS( 249 ),1891060.139999999897555,2282248.160000000149012,1765932.520000000018626,1382892.020000000018626,1729488.369999999646097,1580784.199999999720603,1796494.799999999813735,1595630.000000000000000,14024530.209999997168779
FS( 250 ),1907923.979999999981374,2314096.980000000447035,1780357.760000000009313,1387825.610000000102445,1726347.379999999888241,1585559.299999999813735,1811595.919999999692664,1595476.250000000000000,14109183.180000001564622
FS( 251 ),1913076.819999999832362,2313808.320000000298023,1803990.600000000093132,1375859.030000000027940,1727972.029999999795109,1606396.099999999860302,1803769.119999999878928,1594861.250000000000000,14139733.269999999552965
FS( 252 ),1920688.969999999972060,2306110.719999999739230,1803069.840000000083819,1389505.130000000121072,1732737.669999999925494,1622891.899999999674037,1831577.279999999795109,1591632.500000000000000,14198214.009999997913837
