代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16173396.760000001639128
真實報酬,6173396.760000001639128

夏普值報酬,0.608639676000000
夏普值風險,0.163634732880485
夏普值,3.719501754218257

二次趨勢線,4.248184641661666 x^2 + 29300.245566429999599 x + 10000000.000000000000000
二次平均預期報酬,30370.788096128741017
風險,376806.990791930875275
二次平均趨勢值,0.080600383852483
一次趨勢線,30101.556227327753732 x + 10000000.000000000000000
一次預期報酬,30101.556227327753732
一次風險,378005.054412516125012
一次趨勢值,0.079632681827788
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),MSFT[18](2),V[25](4),WMT[28](24),
FS( 226 ),5474357.349999999627471,4321366.870000001043081,4319454.400000000372529,2863427.140000000130385,16978605.760000001639128
FS( 227 ),5522176.599999999627471,4335388.169999999925494,4311448.000000000000000,2862353.500000000000000,17031366.269999999552965
FS( 228 ),5711540.830000000074506,4346605.210000000894070,4317452.800000000745058,2877384.459999999962747,17252983.300000000745058
FS( 229 ),5782313.320000000298023,4370441.419999999925494,4341472.000000000000000,2897783.619999999646097,17392010.359999999403954
FS( 230 ),5713453.599999999627471,4401288.280000001192093,4405523.200000001117587,2904762.279999999795109,17425027.360000003129244
FS( 231 ),5782313.320000000298023,4340996.690000001341105,4411528.000000000000000,2914961.859999999403954,17449799.870000001043081
FS( 232 ),5757447.310000000521541,4273694.450000001117587,4377500.800000000745058,2869332.160000000149012,17277974.720000002533197
FS( 233 ),5847347.500000000000000,4339594.560000000521541,4411528.000000000000000,2911204.119999999646097,17509674.179999999701977
FS( 234 ),5858824.119999999180436,4340996.690000001341105,4359486.400000000372529,2882215.839999999850988,17441523.050000000745058
FS( 235 ),5765098.390000000596046,4314356.220000000670552,4301440.000000000000000,2875774.000000000000000,17256668.609999999403954
FS( 236 ),5753621.769999999552965,4269488.060000000521541,4341472.000000000000000,2877384.459999999962747,17241966.289999999105930
FS( 237 ),5791877.169999999925494,4298932.790000000968575,4353481.599999999627471,2862890.319999999832362,17307181.879999998956919
FS( 238 ),5742145.150000000372529,4244249.720000000670552,4341472.000000000000000,2910130.479999999981374,17237997.350000001490116
FS( 239 ),5675198.200000001117587,4216207.120000001043081,4321456.000000000000000,2938045.119999999646097,17150906.440000001341105
FS( 240 ),5755534.539999999105930,4255466.759999999776483,4361488.000000000000000,2953076.079999999608845,17325565.379999998956919
FS( 241 ),5723017.450000001117587,4340996.690000001341105,4375499.199999999254942,2910130.479999999981374,17349643.820000000298023
FS( 242 ),5627378.950000001117587,4326975.390000000596046,4311448.000000000000000,2881679.019999999552965,17147481.359999999403954
FS( 243 ),5876039.049999998882413,4360626.509999999776483,4395515.200000001117587,2900467.719999999739230,17532648.480000000447035
FS( 244 ),5786138.859999999403954,4289117.880000000819564,4375499.199999999254942,2891341.779999999795109,17342097.719999998807907
FS( 245 ),5684762.049999998882413,4207794.339999999850988,4225379.199999999254942,2840880.699999999720603,16958816.289999999105930
FS( 246 ),5403584.859999999403954,4060570.690000000409782,4139310.399999999906868,2841954.339999999850988,16445420.290000000968575
FS( 247 ),5548955.380000000819564,4111047.370000000577420,4105283.200000000186265,2838733.419999999925494,16604019.370000002905726
FS( 248 ),5627378.950000001117587,4136285.710000000428408,4061248.000000000000000,2877921.279999999795109,16702833.940000001341105
FS( 249 ),5680936.509999999776483,4160121.920000000856817,4199358.400000000372529,2866648.059999999590218,16907064.890000000596046
FS( 250 ),5445665.799999998882413,4088613.290000000502914,4135307.200000000186265,2824239.279999999795109,16493825.569999998435378
FS( 251 ),5248650.490000000223517,3951204.550000000279397,4105283.200000000186265,2868258.519999999552965,16173396.760000001639128
