代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12939165.970000000670552
真實報酬,2939165.970000000670552

夏普值報酬,0.285216597000000
夏普值風險,0.081344132828560
夏普值,3.506295870178127

二次趨勢線,60.862253688809545 x^2 + -4159.220314311771290 x + 10000000.000000000000000
二次平均預期報酬,11117.205361579424789
風險,138201.018313437176403
二次平均趨勢值,0.080442282533446
一次趨勢線,7275.230041894223177 x + 10000000.000000000000000
一次預期報酬,7275.230041894223177
一次風險,449198.424077857227530
一次趨勢值,0.016196027527989
找到最佳解世代,1625
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](4),NKE[19](13),TRV[22](1),V[25](3),VZ[26](15),
FS( 193 ),2311863.049999999813735,1946102.000000000000000,2444571.239999999757856,2613581.120000000111759,2206604.709999999962747,11522722.120000001043081
FS( 194 ),2301743.599999999627471,1964786.640000000130385,2449524.680000000167638,2552483.000000000465661,2192305.100000000093132,11460843.019999999552965
FS( 195 ),2314622.900000000372529,1961912.080000000074506,2441475.339999999850988,2564182.640000000130385,2186881.109999999869615,11469074.070000000298023
FS( 196 ),2312476.349999999627471,1984189.920000000158325,2452310.989999999757856,2540133.379999999888241,2185401.839999999850988,11474512.480000000447035
FS( 197 ),2324435.700000000186265,1979878.080000000074506,2473672.700000000186265,2547933.140000000130385,2191318.919999999925494,11517238.540000000968575
FS( 198 ),2320142.599999999627471,1960474.800000000279397,2476459.009999999776483,2514784.159999999683350,2195263.640000000130385,11467124.210000000894070
FS( 199 ),2324742.349999999627471,1962630.719999999972060,2487294.660000000149012,2534283.560000000055879,2185894.929999999701977,11494846.219999998807907
FS( 200 ),2335475.099999999627471,1974847.600000000093132,2488842.610000000335276,2567432.540000000037253,2189346.560000000055879,11555944.410000000149012
FS( 201 ),2360007.099999999627471,1957600.239999999990687,2495344.000000000000000,2560932.739999999757856,2194277.459999999962747,11568161.539999999105930
FS( 202 ),2350500.950000000186265,1941071.520000000251457,2480174.089999999850988,2525183.840000000316650,2214987.240000000223517,11511917.640000000596046
FS( 203 ),2357247.250000000000000,1959756.160000000149012,2488533.020000000018626,2558332.819999999832362,2224849.040000000037253,11588718.289999999105930
FS( 204 ),2338234.950000000186265,1957600.239999999990687,2508037.190000000409782,2590831.819999999832362,2238655.560000000055879,11633359.760000001639128
FS( 205 ),2317382.750000000000000,1941790.160000000149012,2453549.350000000093132,2532983.600000000093132,2254434.439999999944121,11500140.299999998882413
FS( 206 ),2322902.450000000186265,1950413.840000000083819,2478006.960000000428408,2564832.620000000111759,2274158.040000000037253,11590313.910000000149012
FS( 207 ),2340381.500000000000000,1952569.760000000242144,2500916.620000000111759,2597981.600000000093132,2285499.109999999869615,11677348.589999999850988
FS( 208 ),2333941.849999999627471,1956881.600000000093132,2489771.380000000353903,2577832.219999999739230,2294374.729999999981374,11652801.780000001192093
FS( 209 ),2352034.200000000186265,1969817.120000000111759,2498130.310000000055879,2568732.500000000465661,2303743.439999999944121,11692457.570000000298023
FS( 210 ),2367366.700000000186265,1966942.560000000288710,2492867.279999999795109,2592131.780000000260770,2322973.949999999720603,11742282.269999999552965
FS( 211 ),2381472.599999999627471,1972691.680000000167638,2521968.739999999757856,2604481.399999999906868,2351573.169999999925494,11832187.589999999850988
FS( 212 ),2373193.049999999813735,1987064.479999999981374,2509894.729999999981374,2617481.000000000465661,2331356.479999999981374,11818989.740000000223517
FS( 213 ),2384232.450000000186265,1984189.920000000158325,2513919.400000000372529,2608381.280000000260770,2341218.279999999795109,11831941.330000000074506
FS( 214 ),2397725.049999999813735,1965505.280000000260770,2527850.950000000186265,2610981.200000000186265,2364886.600000000093132,11866949.080000000074506
FS( 215 ),2405391.299999999813735,1959756.160000000149012,2530946.850000000093132,2619430.939999999944121,2357490.250000000000000,11873015.500000000000000
FS( 216 ),2409071.099999999627471,1922386.880000000121072,2530637.259999999776483,2596681.640000000130385,2384610.199999999720603,11843387.079999998211861
FS( 217 ),2408764.450000000186265,1971254.400000000139698,2542401.680000000167638,2589531.860000000335276,2363900.419999999925494,11875852.810000000521541
FS( 218 ),2425630.200000000186265,1965505.280000000260770,2549831.839999999850988,2610981.200000000186265,2390527.279999999795109,11942475.799999998882413
FS( 219 ),2428390.049999999813735,1968379.840000000083819,2547355.120000000111759,2576532.260000000242144,2367845.140000000130385,11888502.410000000149012
FS( 220 ),2416737.349999999627471,1946102.000000000000000,2555094.870000000111759,2568732.500000000465661,2403840.709999999962747,11890507.429999999701977
FS( 221 ),2418270.599999999627471,1934603.760000000242144,2575527.810000000055879,2534933.540000000037253,2413702.510000000242144,11877038.220000000670552
FS( 222 ),2436362.950000000186265,1970535.760000000242144,2595651.160000000149012,2588881.879999999888241,2396444.359999999869615,11987876.109999999403954
FS( 223 ),2422870.350000000558794,1925980.080000000074506,2592864.850000000093132,2564182.640000000130385,2406306.159999999683350,11912204.080000001937151
FS( 224 ),2445255.799999999813735,2139416.160000000149012,2591007.310000000055879,2601231.500000000465661,2417154.140000000130385,12194064.910000000149012
FS( 225 ),2443415.900000000372529,2140134.799999999813735,2581100.430000000167638,2664929.540000000037253,2424057.399999999906868,12253638.070000002160668
FS( 226 ),2479293.950000000186265,2137260.240000000223517,2580790.839999999850988,2721477.799999999813735,2439836.279999999795109,12358659.109999999403954
FS( 227 ),2492173.250000000000000,2100609.600000000558794,2581100.430000000167638,2740977.200000000186265,2413209.419999999925494,12328069.900000000372529
FS( 228 ),2500146.150000000372529,2120731.520000000484288,2606486.810000000055879,2759826.620000000111759,2423564.310000000055879,12410755.410000002011657
FS( 229 ),2512412.150000000372529,2093423.199999999953434,2599056.650000000372529,2719527.860000000335276,2427015.939999999944121,12351435.800000000745058
FS( 230 ),2535717.549999999813735,2116419.679999999701977,2613297.790000000037253,2729277.560000000055879,2440822.459999999962747,12435535.039999999105930
FS( 231 ),2516705.250000000000000,2117138.320000000298023,2591936.080000000074506,2677279.159999999683350,2415674.870000000111759,12318733.679999999701977
FS( 232 ),2527131.349999999627471,2132229.760000000707805,2611130.660000000149012,2705228.299999999813735,2430960.659999999683350,12406680.730000000447035
FS( 233 ),2515785.299999999813735,2119294.240000000223517,2613297.790000000037253,2683778.959999999962747,2443781.000000000000000,12375937.289999999105930
FS( 234 ),2487266.849999999627471,2154507.600000000558794,2623204.670000000391155,2701978.399999999906868,2437370.830000000074506,12404328.350000001490116
FS( 235 ),2499839.500000000000000,2152351.679999999701977,2639922.529999999795109,2677279.159999999683350,2433919.199999999720603,12403312.069999998435378
FS( 236 ),2515172.000000000000000,2166724.480000000447035,2625681.390000000130385,2713678.040000000037253,2458573.699999999720603,12479829.609999999403954
FS( 237 ),2524371.500000000000000,2199063.280000000260770,2664380.140000000130385,2724077.719999999739230,2490624.549999999813735,12602517.190000001341105
FS( 238 ),2537250.799999999813735,2176785.440000000409782,2670571.940000000409782,2693528.659999999683350,2507882.699999999720603,12586019.539999999105930
FS( 239 ),2505665.849999999627471,2144446.639999999664724,2622585.489999999757856,2620730.899999999906868,2497034.720000000204891,12390463.599999999627471
FS( 240 ),2558716.299999999813735,2173910.879999999888241,2679550.049999999813735,2676629.180000000167638,2488159.100000000093132,12576965.509999999776483
FS( 241 ),2572822.200000000186265,2188283.679999999701977,2633730.729999999981374,2636330.420000000391155,2442794.819999999832362,12473961.849999999627471
FS( 242 ),2550743.400000000372529,2162412.639999999664724,2603700.500000000000000,2622680.840000000316650,2510348.149999999906868,12449885.530000001192093
FS( 243 ),2590914.549999999813735,2189002.320000000298023,2625681.390000000130385,2664279.560000000055879,2576422.209999999962747,12646300.030000001192093
FS( 244 ),2601340.649999999441206,2204812.400000000372529,2618560.819999999832362,2657129.780000000260770,2573463.669999999925494,12655307.319999998435378
FS( 245 ),2620352.950000000186265,2216310.639999999664724,2673358.250000000000000,2692228.700000000186265,2579873.839999999850988,12782124.379999998956919
FS( 246 ),2587848.049999999813735,2211280.160000000149012,2658188.339999999850988,2714978.000000000465661,2554233.159999999683350,12726527.710000000894070
FS( 247 ),2613300.000000000000000,2230683.440000000409782,2639922.529999999795109,2742277.159999999683350,2624251.939999999944121,12850435.070000000298023
FS( 248 ),2610233.500000000000000,2224215.679999999701977,2636207.450000000186265,2717577.920000000391155,2644468.629999999888241,12832703.179999999701977
FS( 249 ),2624339.399999999441206,2250805.360000000335276,2646423.920000000391155,2728627.579999999608845,2636086.100000000093132,12886282.359999999403954
FS( 250 ),2613606.650000000372529,2285300.080000000074506,2644256.790000000037253,2737727.299999999813735,2658275.149999999906868,12939165.970000000670552
