代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14251725.910000000149012
真實報酬,4251725.910000000149012

夏普值報酬,0.416472591000000
夏普值風險,0.097523313385899
夏普值,4.270492629306197

二次趨勢線,9.576962860684844 x^2 + 13969.906193777424050 x + 10000000.000000000000000
二次平均預期報酬,16383.300834670006225
風險,158658.953173589718062
二次平均趨勢值,0.103261117680166
一次趨勢線,15776.353673491201334 x + 10000000.000000000000000
一次預期報酬,15776.353673491201334
一次風險,172535.594460279011400
一次趨勢值,0.091438254945841
找到最佳解世代,2073
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](6),CAT[3](5),DIS[6](1),DD[7](2),INTC[11](4),MRK[17](8),MSFT[18](3),
FS( 148 ),1575312.219999999972060,1775523.519999999785796,1915309.959999999962747,1891000.919999999925494,1709494.859999999869615,1700902.000000000000000,1837686.299999999813735,12405232.779999997466803
FS( 149 ),1554846.219999999972060,1768944.579999999841675,1885768.000000000232831,1857778.840000000083819,1693312.609999999869615,1698178.689999999711290,1786602.899999999906868,12245434.839999999850988
FS( 150 ),1530491.679999999934807,1750592.799999999813735,1855288.199999999953434,1828843.480000000214204,1714673.179999999934807,1670037.819999999832362,1783466.199999999720603,12133396.359999999403954
FS( 151 ),1530491.679999999934807,1772753.439999999944121,1865604.439999999711290,1834201.879999999888241,1741859.359999999869615,1665498.969999999739230,1784362.399999999906868,12194775.169999999925494
FS( 152 ),1550548.360000000102445,1783141.239999999757856,1886705.839999999850988,1868495.639999999897555,1746390.389999999897555,1727832.510000000009313,1813488.899999999906868,12376605.879999998956919
FS( 153 ),1530491.679999999934807,1770502.750000000000000,1817305.680000000167638,1820002.120000000344589,1710789.439999999944121,1690008.760000000009313,1763749.799999999813735,12102853.230000000447035
FS( 154 ),1519235.380000000121072,1756479.219999999972060,1805582.680000000167638,1791334.679999999934807,1694607.189999999944121,1692126.889999999897555,1757028.300000000046566,12016397.340000001713634
FS( 155 ),1525375.179999999934807,1779505.510000000009313,1819884.739999999990687,1812232.440000000176951,1719204.209999999962747,1681536.239999999990687,1755684.000000000000000,12093425.320000000298023
FS( 156 ),1514323.539999999804422,1774657.869999999878928,1820822.579999999841675,1814911.639999999897555,1732797.300000000046566,1696060.559999999823049,1781225.699999999953434,12134802.189999999478459
FS( 157 ),1517393.439999999944121,1782102.459999999962747,1851067.919999999925494,1850544.999999999767169,1743153.939999999944121,1702414.949999999720603,1810352.199999999953434,12257032.909999998286366
FS( 158 ),1534789.539999999804422,1780371.159999999916181,1875451.759999999776483,1858850.520000000018626,1750274.129999999888241,1708769.339999999850988,1792876.299999999813735,12301385.750000000000000
FS( 159 ),1553004.279999999795109,1777081.689999999944121,1854819.280000000027940,1859922.200000000186265,1744448.520000000018626,1732371.359999999869615,1789739.599999999860302,12311389.929999999701977
FS( 160 ),1554641.559999999823049,1795260.339999999850988,1862790.919999999925494,1867423.960000000195578,1737328.330000000074506,1748106.040000000037253,1791980.100000000093132,12357534.249999998137355
FS( 161 ),1534175.559999999823049,1789893.309999999823049,1864432.139999999897555,1883767.080000000074506,1731502.719999999972060,1739936.109999999869615,1778537.099999999860302,12322247.019999999552965
FS( 162 ),1660041.459999999962747,1822788.010000000009313,1866073.360000000102445,1878676.600000000093132,1731502.719999999972060,1740843.879999999888241,1786154.799999999813735,12486083.830000001937151
FS( 163 ),1672321.059999999823049,1812573.339999999850988,1834186.800000000046566,1850544.999999999767169,1699785.510000000009313,1732068.770000000018626,1788395.299999999813735,12389878.779999997466803
FS( 164 ),1736993.620000000111759,1805128.750000000000000,1823636.100000000093132,1804462.760000000009313,1704316.539999999804422,1715123.729999999748543,1831412.899999999906868,12421077.400000000372529
FS( 165 ),1731877.120000000111759,1823134.269999999785796,1843799.659999999916181,1858046.760000000009313,1714025.889999999897555,1776852.089999999850988,1815281.299999999813735,12563020.089999999850988
FS( 166 ),1725328.000000000000000,1824865.570000000065193,1860211.860000000102445,1903861.080000000074506,1727618.979999999981374,1772010.649999999906868,1810352.199999999953434,12624251.339999999850988
FS( 167 ),1729421.199999999953434,1819152.279999999795109,1865369.979999999981374,1858582.600000000093132,1712084.020000000018626,1804085.189999999711290,1792428.199999999953434,12581126.469999996945262
FS( 168 ),1732491.100000000093132,1818113.500000000000000,1882954.479999999981374,1857778.840000000083819,1709494.859999999869615,1761722.589999999850988,1778537.099999999860302,12541095.469999998807907
FS( 169 ),1757050.299999999813735,1809630.129999999888241,1904290.339999999850988,1883231.240000000223517,1693959.900000000139698,1774128.780000000027940,1766886.500000000000000,12589180.189999999478459
FS( 170 ),1738016.919999999925494,1798376.679999999934807,1899835.600000000093132,1873854.040000000037253,1695901.770000000018626,1728135.099999999860302,1750306.800000000046566,12484429.910000000149012
FS( 171 ),1731877.120000000111759,1811361.429999999934807,1882485.560000000055879,1889393.399999999906868,1706905.699999999953434,1689706.169999999925494,1766438.400000000139698,12478170.779999999329448
FS( 172 ),1719188.199999999953434,1816901.589999999850988,1913199.819999999832362,1877604.919999999925494,1704963.830000000074506,1659144.579999999841675,1776296.600000000093132,12467302.539999999105930
FS( 173 ),1712025.100000000093132,1818979.149999999906868,1921405.919999999925494,1880016.200000000186265,1702374.669999999925494,1670643.000000000000000,1771815.599999999860302,12477262.639999998733401
FS( 174 ),1733309.739999999990687,1838715.969999999972060,1932425.540000000037253,1912434.520000000018626,1706905.699999999953434,1673063.719999999739230,1791083.899999999906868,12587942.089999997988343
FS( 175 ),1735970.319999999832362,1855163.320000000065193,1924453.899999999906868,1909755.320000000065193,1712084.020000000018626,1686982.859999999869615,1811248.400000000139698,12635661.139999998733401
FS( 176 ),1736379.640000000130385,1844429.260000000009313,1897256.540000000037253,1915381.639999999897555,1704316.539999999804422,1705743.439999999711290,1803182.600000000093132,12606692.659999998286366
FS( 177 ),1721644.120000000111759,1817767.239999999757856,1879203.120000000111759,1854831.720000000204891,1683603.260000000009313,1691219.119999999878928,1774504.199999999953434,12422775.779999999329448
FS( 178 ),1747021.959999999962747,1835772.760000000009313,1884830.159999999916181,1868763.560000000055879,1671304.750000000000000,1690613.939999999711290,1784810.499999999767169,12483120.629999998956919
FS( 179 ),1767692.620000000111759,1824692.439999999944121,1900304.520000000018626,1882427.480000000214204,1685545.129999999888241,1705138.260000000009313,1781225.699999999953434,12547029.150000000372529
FS( 180 ),1768101.939999999944121,1758383.649999999906868,1901242.360000000102445,1897698.919999999925494,1685545.129999999888241,1694547.609999999869615,1778089.000000000000000,12483611.609999999403954
FS( 181 ),1772809.120000000111759,1781236.809999999823049,1927032.959999999962747,1905468.600000000093132,1695901.770000000018626,1712097.829999999841675,1808111.699999999953434,12602661.789999999105930
FS( 182 ),1775469.699999999953434,1784699.409999999916181,1930784.319999999832362,1899306.440000000176951,1692665.319999999832362,1709374.520000000018626,1796909.199999999953434,12589211.909999998286366
FS( 183 ),1795526.380000000121072,1801146.760000000009313,1953526.939999999711290,1933600.200000000186265,1701727.379999999888241,1719057.399999999906868,1797805.399999999906868,12702393.460000000894070
FS( 184 ),1829295.279999999795109,1795087.209999999962747,1963374.259999999776483,1943245.320000000065193,1728913.560000000055879,1715426.319999999832362,1800942.099999999860302,12776287.050000000745058
FS( 185 ),1824383.439999999944121,1781756.199999999720603,1960091.819999999832362,1975395.720000000204891,1739917.489999999990687,1706651.209999999729916,1792876.299999999813735,12781075.179999999701977
FS( 186 ),1857743.019999999785796,1793702.169999999692664,1970173.600000000093132,2001919.800000000046566,1745095.810000000055879,1745987.909999999916181,1807663.600000000093132,12922288.909999998286366
FS( 187 ),1850784.580000000074506,1769983.359999999869615,1969704.680000000167638,1988523.800000000046566,1768398.250000000000000,1750829.349999999860302,1834549.599999999860302,12932776.619999999180436
FS( 188 ),1838095.659999999916181,1796472.250000000000000,1975800.639999999897555,2003527.320000000065193,1764514.510000000009313,1752947.479999999748543,1827828.099999999860302,12959188.960000000894070
FS( 189 ),1864087.479999999981374,1809110.739999999757856,1966656.699999999953434,2007278.200000000186265,1790406.109999999869615,1752342.299999999813735,1805423.099999999860302,12995307.630000000819564
FS( 190 ),1885372.120000000111759,1805994.399999999906868,1975097.259999999776483,2002455.639999999897555,1786522.370000000111759,1752947.479999999748543,1806767.399999999906868,13015159.669999999925494
FS( 191 ),1892739.880000000121072,1851873.849999999860302,1987758.100000000093132,2007814.040000000037253,1790406.109999999869615,1758091.510000000009313,1846648.300000000046566,13135334.790000000968575
FS( 192 ),1887418.719999999972060,1872995.709999999962747,1983772.280000000027940,2027104.280000000027940,1823417.900000000139698,1750526.760000000009313,1858746.999999999767169,13203985.650000000372529
FS( 193 ),1917708.399999999906868,1882864.119999999878928,2004170.300000000046566,2021745.879999999888241,1806588.359999999869615,1753250.069999999832362,1849336.900000000139698,13235667.029999999329448
FS( 194 ),1928964.699999999953434,1892559.399999999906868,1987054.719999999972060,2027908.040000000037253,1827948.929999999934807,1769892.520000000018626,1842167.299999999813735,13276498.609999999403954
FS( 195 ),1920982.959999999962747,1881825.339999999850988,1976738.479999999981374,2016923.320000000065193,1807882.939999999944121,1779575.399999999906868,1830964.799999999813735,13214896.239999998360872
FS( 196 ),1888851.340000000083819,1846506.820000000065193,1941335.020000000018626,1983969.159999999916181,1809824.810000000055879,1764143.309999999823049,1818417.999999999767169,13053051.460000000894070
FS( 197 ),1868180.679999999934807,1848584.379999999888241,1941335.020000000018626,1999240.600000000093132,1933457.199999999953434,1762327.770000000018626,1847544.499999999767169,13200673.149999998509884
FS( 198 ),1887009.399999999906868,1849276.899999999906868,1953058.020000000018626,1995489.720000000204891,1942519.260000000009313,1757183.739999999990687,1859643.199999999953434,13244183.240000000223517
FS( 199 ),1884553.479999999981374,1846853.079999999841675,1949775.579999999841675,1983969.159999999916181,1938635.520000000018626,1756881.149999999906868,1867709.000000000000000,13228379.970000000670552
FS( 200 ),1886600.080000000074506,1860876.609999999869615,1959622.899999999906868,2003795.240000000223517,1937340.939999999944121,1767471.799999999813735,1866364.699999999953434,13282075.269999999552965
FS( 201 ),1880050.959999999962747,1856894.619999999878928,1964077.639999999897555,1986648.360000000102445,1947697.580000000074506,1764143.309999999823049,1860091.299999999813735,13259606.769999999552965
FS( 202 ),1860608.259999999776483,1893771.309999999823049,1941803.939999999711290,2001919.800000000046566,1954817.770000000018626,1782903.889999999897555,1867709.000000000000000,13303536.969999998807907
FS( 203 ),1858970.979999999981374,1883383.510000000009313,1940397.180000000167638,2017994.999999999767169,1956759.639999999897555,1770195.109999999869615,1881600.100000000093132,13309304.519999999552965
FS( 204 ),1847714.679999999934807,1866589.899999999906868,1938521.500000000232831,1996293.480000000214204,1974236.469999999972060,1752644.889999999897555,1870845.699999999953434,13246849.620000001043081
FS( 205 ),1849351.959999999962747,1877497.089999999850988,1967125.620000000111759,2007278.200000000186265,1998833.489999999990687,1781088.349999999860302,1883392.500000000000000,13364570.209999999031425
FS( 206 ),1860403.600000000093132,1878882.129999999888241,1980020.919999999925494,1988523.800000000046566,1992360.590000000083819,1771102.879999999888241,1869501.399999999906868,13340798.320000002160668
FS( 207 ),1882506.880000000121072,1883383.510000000009313,1999950.020000000018626,1969233.560000000055879,2002069.939999999944121,1740843.879999999888241,1893250.699999999953434,13371241.489999998360872
FS( 208 ),1901949.580000000074506,1881479.079999999841675,2010266.259999999776483,1963339.320000000065193,2000128.069999999832362,1750526.760000000009313,1868605.200000000186265,13376297.269999999552965
FS( 209 ),1914024.519999999785796,1890135.579999999841675,2027381.839999999850988,1966554.360000000102445,2005306.389999999897555,1770497.699999999720603,1876222.899999999906868,13450126.289999999105930
FS( 210 ),1913205.880000000121072,1896887.649999999906868,2026678.459999999962747,1965750.600000000093132,2005306.389999999897555,1786837.559999999823049,1877567.199999999953434,13472236.740000000223517
FS( 211 ),1924462.179999999934807,1923203.409999999916181,2036056.860000000102445,1985844.600000000093132,2015663.030000000027940,1791376.409999999916181,1873086.199999999720603,13549695.689999999478459
FS( 212 ),1964166.219999999972060,1907275.449999999720603,2030195.360000000102445,1954765.879999999888241,2008542.840000000083819,1770800.290000000037253,1881600.100000000093132,13517349.139999998733401
FS( 213 ),1951477.299999999813735,1895156.349999999860302,2013079.780000000027940,1945388.679999999934807,1993007.879999999888241,1760209.639999999897555,1872190.000000000000000,13430512.629999998956919
FS( 214 ),1952295.939999999944121,1906929.189999999944121,2044966.339999999850988,1953426.280000000027940,1999480.780000000027940,1771708.059999999823049,1867260.900000000139698,13496070.490000000223517
FS( 215 ),1945132.840000000083819,1893425.049999999813735,2036525.780000000027940,1950479.159999999916181,2023430.510000000009313,1772615.829999999841675,1868157.099999999860302,13489769.269999999552965
FS( 216 ),1948816.719999999972060,1903812.849999999860302,2037229.159999999916181,1968697.720000000204891,2022783.219999999972060,1768379.569999999832362,1886081.100000000093132,13535803.339999999850988
FS( 217 ),1973989.899999999906868,1906063.540000000037253,2034181.180000000167638,1964946.840000000083819,2038318.179999999934807,1760512.229999999748543,1888321.600000000093132,13566336.470000000670552
FS( 218 ),1950863.319999999832362,1901908.419999999692664,2019879.120000000111759,1966554.360000000102445,2052558.560000000055879,1752342.299999999813735,1902212.700000000186265,13546321.779999997466803
FS( 219 ),1939811.679999999934807,1928743.570000000065193,2001122.319999999832362,1986648.360000000102445,2242861.820000000298023,1759604.459999999729916,1975252.999999999767169,13834048.209999999031425
FS( 220 ),1905224.140000000130385,1888404.279999999795109,1993619.600000000093132,1970573.159999999916181,2181369.270000000484288,1742962.010000000009313,1995417.500000000000000,13677572.959999999031425
FS( 221 ),1932648.580000000074506,1907448.579999999841675,2011907.479999999981374,1972180.679999999934807,2181369.270000000484288,1765353.669999999925494,2002587.099999999860302,13773498.359999999403954
FS( 222 ),1922620.239999999990687,1908487.359999999869615,2010266.259999999776483,1978610.760000000009313,2204671.709999999962747,1755065.609999999869615,2009308.600000000093132,13789033.539999997243285
FS( 223 ),1938583.719999999972060,1905544.149999999906868,2021285.879999999888241,1995489.720000000204891,2251923.879999999888241,1768076.979999999748543,2008860.499999999767169,13889767.830000001937151
FS( 224 ),1989134.739999999990687,1876458.309999999823049,2017300.060000000055879,2056039.639999999897555,2233152.469999999739230,1758394.099999999860302,2010652.899999999906868,13941135.219999998807907
FS( 225 ),1985860.179999999934807,1818632.889999999897555,2035119.020000000018626,2054164.200000000186265,2216970.219999999739230,1761420.000000000000000,1989592.199999999953434,13861761.709999999031425
FS( 226 ),1998958.419999999925494,1815343.419999999692664,2021754.800000000046566,2049341.639999999897555,2216970.219999999739230,1759604.459999999729916,1994073.199999999953434,13856049.159999998286366
FS( 227 ),2026587.519999999785796,1803224.320000000065193,2043325.120000000111759,2048805.800000000046566,2215675.639999999664724,1754157.839999999850988,1970323.899999999906868,13862103.139999998733401
FS( 228 ),2013489.279999999795109,1812573.339999999850988,2021051.419999999925494,2039428.600000000093132,2213086.479999999515712,1772615.829999999841675,1966739.100000000093132,13838987.049999997019768
FS( 229 ),2008782.100000000093132,1789893.309999999823049,2044731.879999999888241,2002455.639999999897555,2223443.120000000111759,1757486.329999999841675,1952847.999999999767169,13779643.380000000819564
FS( 230 ),1956593.799999999813735,1744360.119999999878928,2013548.699999999953434,1948603.720000000204891,2193667.780000000260770,1716939.270000000018626,1934027.799999999813735,13507744.190000001341105
FS( 231 ),1967440.779999999795109,1740378.129999999888241,2001825.699999999953434,1944852.840000000083819,2183958.429999999701977,1718754.809999999823049,1920584.799999999813735,13477798.489999998360872
FS( 232 ),1956389.140000000130385,1762711.899999999906868,2045435.259999999776483,1971912.760000000009313,2204024.419999999925494,1726622.149999999906868,1943437.899999999906868,13610536.530000001192093
FS( 233 ),1946770.120000000111759,1757344.869999999878928,2033946.719999999972060,1949675.399999999906868,2124407.750000000000000,1695455.379999999888241,1930442.999999999767169,13438046.239999998360872
FS( 234 ),1943495.559999999823049,1757171.739999999757856,2030195.360000000102445,1964678.919999999925494,2126349.620000000111759,1692429.479999999748543,1915207.600000000093132,13429531.279999999329448
FS( 235 ),1933671.880000000121072,1764962.589999999850988,2004873.680000000167638,1957980.919999999925494,2115345.690000000409782,1683654.369999999878928,1937164.499999999767169,13397656.630000000819564
FS( 236 ),1938993.039999999804422,1788162.010000000009313,2036291.319999999832362,1994685.960000000195578,2110167.370000000111759,1711190.059999999823049,1935820.200000000186265,13515312.960000000894070
FS( 237 ),1964575.539999999804422,1809283.869999999878928,2051531.219999999972060,1976467.399999999906868,2137353.549999999813735,1714518.549999999813735,1935820.200000000186265,13589553.329999998211861
FS( 238 ),1964166.219999999972060,1806340.659999999916181,2044731.879999999888241,1976467.399999999906868,2144473.740000000223517,1725714.379999999888241,1950159.400000000139698,13612056.680000001564622
FS( 239 ),1990158.039999999804422,1820710.449999999720603,2053875.819999999832362,2002991.480000000214204,2207260.870000000111759,1750526.760000000009313,1975252.999999999767169,13800779.419999999925494
FS( 240 ),1995479.199999999953434,1829366.949999999720603,2077556.280000000027940,1989059.639999999897555,2196904.229999999515712,1778667.629999999888241,1983766.900000000139698,13850803.830000000074506
FS( 241 ),2005302.880000000121072,1830751.989999999757856,2093265.100000000093132,1984772.919999999925494,2211791.900000000372529,1773523.599999999860302,2007068.099999999860302,13906479.490000000223517
FS( 242 ),2029452.759999999776483,1852220.109999999869615,2109442.839999999850988,2017727.080000000074506,2227326.859999999403954,1767774.389999999897555,2021407.299999999813735,14025354.339999999850988
FS( 243 ),2057491.179999999934807,1857760.269999999785796,2112256.360000000335276,2025228.840000000083819,2222795.830000000074506,1782601.299999999813735,2031265.499999999767169,14089402.280000001192093
FS( 244 ),2058309.819999999832362,1864685.469999999972060,2106394.860000000335276,2033534.360000000102445,2233152.469999999739230,1799848.929999999701977,2014237.700000000186265,14110166.609999999403954
FS( 245 ),2058514.479999999981374,1869359.979999999748543,2119055.700000000186265,2024960.919999999925494,2275226.320000000298023,1780785.760000000009313,2026336.399999999906868,14154242.560000000521541
FS( 246 ),2073659.319999999832362,1857933.399999999906868,2121634.759999999776483,2026300.520000000018626,2261633.229999999515712,1790468.639999999897555,2023199.699999999953434,14154832.570000000298023
FS( 247 ),2078161.840000000083819,1869359.979999999748543,2119055.700000000186265,2027104.280000000027940,2253218.459999999962747,1807413.679999999701977,2024095.900000000139698,14178412.839999999850988
FS( 248 ),2064858.939999999944121,1870918.149999999906868,2110615.139999999664724,2026032.600000000093132,2252571.169999999925494,1821635.409999999916181,2016926.299999999813735,14163560.710000000894070
FS( 249 ),2090236.779999999795109,1879401.519999999785796,2118821.240000000223517,2046662.440000000176951,2251923.879999999888241,1824056.129999999888241,2010652.899999999906868,14221757.889999998733401
FS( 250 ),2092692.699999999953434,1881132.820000000065193,2115538.799999999813735,2046662.440000000176951,2242861.820000000298023,1815583.609999999869615,2011101.000000000000000,14205576.190000001341105
FS( 251 ),2097809.200000000186265,1888404.279999999795109,2107332.700000000186265,2043179.480000000214204,2260338.650000000372529,1818912.099999999860302,2035746.500000000000000,14251725.910000000149012
