代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,17703234.549999997019768
真實報酬,7703234.549999997019768

夏普值報酬,0.761623455000000
夏普值風險,0.153234965628757
夏普值,4.970298077040644

二次趨勢線,-76.610023605327470 x^2 + 50915.191821035543398 x + 10000000.000000000000000
二次平均預期報酬,31609.465872493019560
風險,361864.369863399653696
二次平均趨勢值,0.087351694460622
一次趨勢線,36464.683233309311618 x + 10000000.000000000000000
一次預期報酬,36464.683233309311618
一次風險,651949.204206722904928
一次趨勢值,0.055931785786408
找到最佳解世代,2626
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),BA[2](19),JNJ[12](7),MMM[16](2),MRK[17](13),MSFT[18](5),PG[21](12),
FS( 148 ),3011817.879999999888241,2644120.990000000223517,1816412.109999999869615,2465631.599999999627471,1941118.449999999953434,2329682.080000000074506,1765059.159999999916181,15973845.269999999552965
FS( 149 ),3011817.879999999888241,2621368.759999999776483,1815219.669999999925494,2460963.159999999683350,1927710.549999999813735,2326967.890000000130385,1765363.950000000186265,15929414.859999999403954
FS( 150 ),2939024.919999999925494,2522614.399999999441206,1783023.790000000037253,2419280.659999999683350,1900285.300000000046566,2250970.569999999832362,1725741.250000000000000,15540943.890000000596046
FS( 151 ),3003856.150000000372529,2488244.009999999776483,1780638.909999999683350,2398606.140000000130385,1928929.449999999953434,2258208.410000000149012,1729703.520000000018626,15588189.589999999850988
FS( 152 ),3022054.389999999664724,2530843.929999999701977,1783321.899999999906868,2434953.279999999795109,1936242.849999999860302,2229257.050000000279397,1727569.989999999990687,15664246.389999998733401
FS( 153 ),3086885.620000000111759,2531328.019999999552965,1797333.069999999832362,2465298.140000000130385,1981342.149999999906868,2271779.359999999869615,1738237.640000000130385,15872207.000000000000000
FS( 154 ),3091435.179999999701977,2507123.519999999552965,1809853.689999999944121,2438954.799999999813735,1961839.749999999767169,2270874.630000000353903,1735799.320000000065193,15815883.889999998733401
FS( 155 ),3075511.719999999739230,2531812.109999999403954,1816710.219999999739230,2485305.739999999757856,1976466.550000000046566,2322444.240000000223517,1757134.619999999878928,15965388.199999999254942
FS( 156 ),3094847.349999999627471,2550691.620000000111759,1840559.020000000018626,2491974.939999999944121,1984389.400000000139698,2311587.479999999981374,1754391.510000000009313,16028444.320000000298023
FS( 157 ),3100534.299999999813735,2500830.349999999627471,1864109.709999999962747,2496976.839999999850988,2002672.899999999906868,2326967.890000000130385,1752562.770000000018626,16044657.759999999776483
FS( 158 ),3088023.009999999776483,2512448.509999999776483,1818796.989999999757856,2489307.260000000242144,1975857.100000000093132,2335110.459999999962747,1745247.810000000055879,15964794.139999998733401
FS( 159 ),3108496.029999999329448,2541978.000000000000000,1805083.929999999701977,2553331.579999999608845,2005110.699999999953434,2348681.410000000149012,1746771.760000000009313,16109456.409999998286366
FS( 160 ),3095984.740000000223517,2505671.250000000000000,1816710.219999999739230,2560000.779999999795109,2029488.699999999720603,2416536.160000000149012,1744638.229999999981374,16169033.080000000074506
FS( 161 ),3055038.700000000186265,2574896.120000000111759,1802400.939999999944121,2534991.279999999795109,2024003.649999999906868,2397536.830000000074506,1750734.030000000027940,16139604.549999998882413
FS( 162 ),3084610.839999999850988,2587482.459999999962747,1823268.639999999897555,2544995.079999999608845,2055695.049999999813735,2384870.609999999869615,1761401.679999999934807,16242327.359999999403954
FS( 163 ),3229059.370000000111759,2511964.419999999925494,1806276.369999999878928,2532657.060000000055879,2055085.599999999860302,2385775.340000000316650,1771764.540000000037253,16292585.699999999254942
FS( 164 ),3329149.689999999478459,2450969.080000000074506,1797929.290000000037253,2545328.540000000037253,1991702.800000000046566,2404774.669999999925494,1752257.979999999981374,16272115.050000000745058
FS( 165 ),3333699.250000000000000,2472269.040000000037253,1816710.219999999739230,2627359.700000000186265,2003282.349999999860302,2405679.399999999906868,1771764.540000000037253,16430767.500000000000000
FS( 166 ),3313226.229999999515712,2415146.419999999925494,1804785.819999999832362,2595014.079999999608845,1976466.550000000046566,2535055.790000000037253,1756829.830000000074506,16396527.720000000670552
FS( 167 ),3290478.429999999701977,2337692.019999999552965,1791370.869999999878928,2561668.079999999608845,1951479.100000000093132,2594767.970000000204891,1734275.369999999878928,16261734.839999997988343
FS( 168 ),3207448.959999999962747,2311551.160000000149012,1789284.100000000093132,2534324.359999999869615,1976466.550000000046566,2586625.399999999906868,1742809.489999999990687,16148513.020000001415610
FS( 169 ),3126694.269999999552965,2285894.389999999664724,1775869.149999999906868,2482971.519999999552965,1953307.449999999720603,2535055.790000000037253,1744333.439999999944121,15904129.009999996051192
FS( 170 ),3190388.110000000335276,2362864.700000000186265,1784514.339999999850988,2516984.439999999944121,1908208.149999999906868,2553150.390000000130385,1814739.929999999934807,16130853.060000000521541
FS( 171 ),3063000.429999999701977,2313971.609999999403954,1760367.429999999701977,2453293.579999999608845,1885049.050000000046566,2508818.620000000111759,1767802.270000000018626,15752305.989999998360872
FS( 172 ),3075511.719999999739230,2336723.839999999850988,1773484.270000000018626,2476969.239999999757856,1905160.900000000139698,2522389.569999999832362,1796757.320000000065193,15886999.860000001266599
FS( 173 ),3066412.599999999627471,2328494.309999999590218,1756790.109999999869615,2469633.120000000111759,1869203.350000000093132,2490724.020000000018626,1785480.089999999850988,15766740.599999999627471
FS( 174 ),3100534.299999999813735,2327042.040000000037253,1774378.600000000093132,2469966.579999999608845,1989265.000000000000000,2538674.709999999962747,1799195.640000000130385,15999059.870000001043081
FS( 175 ),3152854.240000000223517,2409337.339999999850988,1788091.659999999683350,2516317.519999999552965,1993531.149999999906868,2575768.640000000130385,1843085.399999999906868,16278988.950000001117587
FS( 176 ),3157403.799999999813735,2404980.530000000260770,1797631.179999999701977,2514650.219999999739230,1986217.750000000232831,2580292.290000000037253,1860458.429999999934807,16301637.199999999254942
FS( 177 ),3273417.580000000074506,2485823.559999999590218,1811046.129999999888241,2574339.560000000055879,2037411.550000000046566,2622814.600000000093132,1885146.420000000158325,16690002.400000000372529
FS( 178 ),3298440.160000000149012,2435962.290000000037253,1825355.409999999683350,2600682.899999999906868,2048381.649999999906868,2624624.060000000055879,1885451.209999999962747,16718900.679999999701977
FS( 179 ),3302989.719999999739230,2453389.530000000260770,1814623.449999999720603,2599682.519999999552965,2024613.099999999860302,2634576.090000000316650,1896728.439999999944121,16726605.849999997764826
FS( 180 ),3282516.700000000186265,2434025.929999999701977,1822970.529999999795109,2574673.019999999552965,2009986.299999999813735,2656289.609999999869615,1868382.969999999972060,16648848.060000000521541
FS( 181 ),3322325.349999999627471,2453389.530000000260770,1831317.609999999869615,2578341.079999999608845,2017299.699999999953434,2680717.319999999832362,1877831.459999999962747,16761225.050000000745058
FS( 182 ),3357584.439999999478459,2540525.729999999515712,1853973.969999999739230,2601683.279999999795109,2060570.650000000139698,2672574.750000000000000,1897947.600000000093132,16984863.419999998062849
FS( 183 ),3363271.389999999664724,2542946.179999999701977,1853377.750000000000000,2627026.239999999757856,2089824.250000000000000,2714192.330000000074506,1899166.760000000009313,17089807.899999998509884
FS( 184 ),3346210.540000000037253,2518257.589999999850988,1857849.399999999906868,2594347.159999999683350,2141627.500000000000000,2724144.359999999869615,1902214.659999999916181,17084654.209999997168779
FS( 185 ),3257494.120000000111759,2489696.280000000260770,1861128.609999999869615,2576006.859999999869615,2153207.049999999813735,2694288.270000000018626,1894290.119999999878928,16926114.309999998658895
FS( 186 ),3248395.000000000000000,2502766.709999999962747,1857551.290000000037253,2555665.799999999813735,2222074.900000000372529,2679812.590000000316650,1883622.469999999972060,16949891.760000001639128
FS( 187 ),3345073.150000000372529,2547787.080000000074506,1868879.469999999739230,2592012.939999999944121,2219637.099999999627471,2708763.950000000186265,1911967.939999999944121,17194124.630000002682209
FS( 188 ),3322325.349999999627471,2515837.139999999664724,1883486.859999999869615,2588011.419999999925494,2207448.099999999627471,2706049.760000000242144,1914101.469999999972060,17137263.099999997764826
FS( 189 ),3317775.790000000037253,2562309.780000000260770,1887064.179999999701977,2598015.219999999739230,2228778.849999999627471,2695193.000000000000000,1916235.000000000000000,17205374.820000000298023
FS( 190 ),3259768.900000000372529,2539073.459999999962747,1874841.669999999925494,2559333.859999999869615,2211714.250000000000000,2643623.390000000130385,1904348.189999999944121,16992706.720000002533197
FS( 191 ),3248395.000000000000000,2537137.099999999627471,1873351.119999999878928,2582342.599999999627471,2206838.650000000372529,2660813.260000000242144,1900385.920000000158325,17009266.650000002235174
FS( 192 ),3200624.620000000111759,2600552.889999999664724,1893324.489999999757856,2622024.339999999850988,2247671.799999999813735,2715097.060000000055879,1917454.159999999916181,17196752.359999999403954
FS( 193 ),3188113.330000000074506,2603457.429999999701977,1904354.560000000055879,2614688.219999999739230,2242796.200000000186265,2694288.270000000018626,1925988.280000000027940,17173689.289999999105930
FS( 194 ),3192662.889999999664724,2602973.339999999850988,1912701.639999999897555,2572672.260000000242144,2240967.850000000558794,2698811.919999999925494,1906786.510000000009313,17127579.410000000149012
FS( 195 ),3141480.339999999850988,2647025.530000000260770,1918663.839999999850988,2609019.399999999906868,2236701.700000000186265,2712382.870000000111759,1908005.670000000158325,17173282.350000001490116
FS( 196 ),3069824.769999999552965,2702211.790000000037253,1918961.949999999953434,2598015.219999999739230,2236701.700000000186265,2695193.000000000000000,1904043.399999999906868,17124954.829999998211861
FS( 197 ),3084610.839999999850988,2694466.349999999627471,1915384.629999999888241,2571338.419999999925494,2215370.950000000186265,2675288.939999999944121,1885756.000000000000000,17042219.129999995231628
FS( 198 ),3214273.299999999813735,2685268.639999999664724,1919260.059999999823049,2659038.399999999906868,2264126.950000000186265,2687955.160000000149012,1897033.229999999981374,17326958.739999998360872
FS( 199 ),3191525.500000000000000,2663000.500000000000000,1930886.349999999860302,2690383.640000000130385,2287895.500000000000000,2702430.840000000316650,1897033.229999999981374,17363158.559999998658895
FS( 200 ),3163090.750000000000000,2691561.809999999590218,1933271.229999999748543,2726063.859999999869615,2259251.349999999627471,2700621.380000000353903,1900081.130000000121072,17373944.509999997913837
FS( 201 ),3200624.620000000111759,2713345.859999999403954,1936550.439999999711290,2731399.219999999739230,2301912.850000000558794,2724144.359999999869615,1920502.060000000055879,17528482.409999996423721
FS( 202 ),3155129.019999999552965,2694950.440000000409782,1929992.019999999785796,2757742.560000000055879,2315930.200000000186265,2716001.790000000037253,1893375.750000000000000,17463124.779999997466803
FS( 203 ),3168777.700000000186265,2668809.580000000074506,1931780.679999999701977,2725063.479999999981374,2300693.950000000186265,2723239.630000000353903,1894594.909999999916181,17412962.929999999701977
FS( 204 ),3117595.150000000372529,2636859.639999999664724,1921943.049999999813735,2683380.979999999981374,2272049.799999999813735,2678003.130000000353903,1877221.880000000121072,17187056.630000002682209
FS( 205 ),3175602.040000000037253,2586998.370000000111759,1918961.949999999953434,2700053.979999999981374,2279363.200000000186265,2746762.609999999869615,1876002.719999999972060,17283747.869999997317791
FS( 206 ),3221097.639999999664724,2628630.109999999403954,1917769.509999999776483,2715393.140000000130385,2297037.250000000000000,2761238.290000000037253,1868382.969999999972060,17409551.909999996423721
FS( 207 ),3255219.339999999850988,2667357.309999999590218,1923731.709999999962747,2733066.519999999552965,2300693.950000000186265,2788380.189999999944121,1868382.969999999972060,17536834.989999998360872
FS( 208 ),3283654.089999999850988,2660580.049999999813735,1924924.149999999674037,2740736.099999999627471,2270221.450000000186265,2797427.490000000223517,1868687.760000000009313,17546234.089999999850988
FS( 209 ),3396255.700000000186265,2685752.729999999515712,1928799.580000000074506,2752740.659999999683350,2254375.750000000000000,2804665.330000000074506,1867773.390000000130385,17690366.140000000596046
FS( 210 ),3438339.129999999888241,2669293.669999999925494,1935954.219999999739230,2782752.060000000055879,2272659.250000000000000,2820045.740000000223517,1866859.020000000018626,17785906.089999999850988
FS( 211 ),3397393.089999999850988,2672682.299999999813735,1935954.219999999739230,2805427.339999999850988,2261079.700000000186265,2839949.800000000279397,1876917.089999999850988,17789406.539999999105930
FS( 212 ),3438339.129999999888241,2660580.049999999813735,1935059.889999999897555,2797757.760000000242144,2258641.900000000372529,2801046.410000000149012,1870516.500000000000000,17761944.640000000596046
FS( 213 ),3423553.060000000521541,2620400.580000000074506,1920154.389999999897555,2756742.179999999701977,2226950.500000000000000,2757619.370000000111759,1847962.040000000037253,17553385.120000001043081
FS( 214 ),3477010.389999999664724,2719639.030000000260770,1928203.360000000102445,2768413.279999999795109,2255594.649999999441206,2800141.680000000167638,1862896.750000000000000,17811902.140000000596046
FS( 215 ),3483834.729999999515712,2808711.589999999850988,1905845.109999999869615,2751073.359999999869615,2264736.399999999441206,2801046.410000000149012,1863506.330000000074506,17878756.929999999701977
FS( 216 ),3428102.620000000111759,2893911.429999999701977,1921346.830000000074506,2790088.179999999701977,2295208.899999999441206,2783856.540000000037253,1854667.420000000158325,17967184.919999998062849
FS( 217 ),3421278.279999999329448,3011061.209999999962747,1907633.770000000018626,2792088.939999999944121,2298865.599999999627471,2754905.180000000167638,1844609.350000000093132,18030445.329999998211861
FS( 218 ),3444026.080000000074506,2982015.809999999590218,1914192.189999999711290,2811763.079999999608845,2297646.700000000186265,2773904.510000000242144,1842171.030000000027940,18065722.399999998509884
FS( 219 ),3414453.939999999478459,2946677.240000000223517,1914490.299999999813735,2800425.439999999944121,2306788.450000000186265,2738620.040000000037253,1834856.070000000065193,17956314.480000000447035
FS( 220 ),3374645.290000000037253,2925377.280000000260770,1924626.040000000037253,2802759.659999999683350,2288504.950000000186265,2720525.439999999944121,1855886.580000000074506,17892328.239999998360872
FS( 221 ),3422415.669999999925494,2960715.849999999627471,1936848.549999999813735,2793756.239999999757856,2372609.049999999813735,2745857.880000000353903,1875088.350000000093132,18107294.589999999850988
FS( 222 ),3403080.040000000037253,2980079.450000000186265,1940723.979999999748543,2784419.359999999869615,2437210.750000000000000,2801046.410000000149012,1876917.089999999850988,18223480.079999998211861
FS( 223 ),3346210.540000000037253,2944256.790000000037253,1924626.040000000037253,2780084.379999999888241,2405519.349999999627471,2791999.109999999869615,1853753.050000000046566,18046452.259999997913837
FS( 224 ),3494071.240000000223517,2936027.259999999776483,1948176.729999999748543,2838439.879999999888241,2475606.099999999627471,2813712.630000000353903,1881184.149999999906868,18387220.989999998360872
FS( 225 ),3440613.910000000149012,2914243.209999999962747,1942214.530000000027940,2825101.479999999981374,2500593.549999999813735,2767571.399999999906868,1842475.820000000065193,18232816.899999998509884
FS( 226 ),3380332.240000000223517,2865834.209999999962747,1907037.549999999813735,2757742.560000000055879,2442695.799999999813735,2715097.060000000055879,1823883.630000000121072,17892626.050000000745058
FS( 227 ),3213135.910000000149012,2796609.339999999850988,1884083.080000000074506,2717060.439999999944121,2368952.349999999627471,2620100.410000000149012,1838208.760000000009313,17438153.289999999105930
FS( 228 ),3299577.549999999813735,2797093.429999999701977,1884679.299999999813735,2728731.540000000037253,2362248.399999999441206,2652670.689999999944121,1847962.040000000037253,17572965.949999999254942
FS( 229 ),3346210.540000000037253,2793704.799999999813735,1871860.569999999832362,2722062.339999999850988,2351278.299999999813735,2668955.830000000074506,1849790.780000000027940,17603866.160000000149012
FS( 230 ),3378057.459999999962747,2997990.780000000260770,1891237.719999999739230,2744404.159999999683350,2354935.000000000000000,2684336.240000000223517,1853448.260000000009313,17904412.620000001043081
FS( 231 ),3238158.490000000223517,3028488.450000000186265,1901969.679999999701977,2692717.859999999869615,2314101.849999999627471,2638195.010000000242144,1879964.989999999990687,17693599.329999998211861
FS( 232 ),3121007.320000000298023,2933606.809999999590218,1873947.339999999850988,2684047.899999999906868,2326900.299999999813735,2549531.470000000204891,1876002.719999999972060,17365046.859999999403954
FS( 233 ),3164228.139999999664724,2986856.709999999962747,1880803.869999999878928,2682380.599999999627471,2334213.700000000186265,2570340.260000000242144,1889413.479999999981374,17508239.759999997913837
FS( 234 ),3182426.379999999888241,2998474.870000000111759,1907633.770000000018626,2682047.140000000130385,2409785.500000000000000,2574863.910000000149012,1917149.369999999878928,17672383.940000001341105
FS( 235 ),3237021.099999999627471,2975238.549999999813735,1896901.810000000055879,2717727.359999999869615,2359810.599999999627471,2590244.319999999832362,1909529.619999999878928,17686476.359999999403954
FS( 236 ),3121007.320000000298023,2871643.290000000037253,1867388.919999999925494,2641365.019999999552965,2261079.700000000186265,2518770.649999999906868,1871430.869999999878928,17152688.769999999552965
FS( 237 ),3175602.040000000037253,2827107.009999999776483,1867388.919999999925494,2619023.200000000186265,2238530.049999999813735,2535055.790000000037253,1868382.969999999972060,17131092.979999996721745
FS( 238 ),3153991.629999999888241,2802418.419999999925494,1859339.949999999720603,2585343.739999999757856,2229997.750000000000000,2507913.890000000130385,1859544.060000000055879,16998552.440000001341105
FS( 239 ),3188113.330000000074506,2891975.070000000298023,1870966.239999999757856,2625025.479999999981374,2222684.349999999627471,2534151.060000000055879,1882403.310000000055879,17215321.839999999850988
FS( 240 ),3169915.089999999850988,2882293.269999999552965,1870071.909999999683350,2621690.879999999888241,2206229.200000000186265,2532341.600000000093132,1879660.200000000186265,17162205.149999998509884
FS( 241 ),3227921.979999999515712,2933122.719999999739230,1875437.889999999897555,2676711.779999999795109,2247671.799999999813735,2544103.090000000316650,1888499.110000000102445,17393471.369999997317791
FS( 242 ),3256356.729999999515712,2887618.259999999776483,1869773.799999999813735,2640364.640000000130385,2250109.599999999627471,2526913.220000000204891,1882403.310000000055879,17313542.559999998658895
FS( 243 ),3305264.500000000000000,2965556.750000000000000,1896305.589999999850988,2683380.979999999981374,2295208.899999999441206,2564911.880000000353903,1915015.839999999850988,17625647.439999997615814
FS( 244 ),3291615.820000000298023,2992665.790000000037253,1907335.659999999683350,2672376.799999999813735,2275706.500000000000000,2586625.399999999906868,1915625.420000000158325,17641954.390000000596046
FS( 245 ),3297302.769999999552965,3044463.419999999925494,1923731.709999999962747,2704722.419999999925494,2272659.250000000000000,2621005.140000000130385,1932084.080000000074506,17795971.789999999105930
FS( 246 ),3276829.750000000000000,3078349.719999999739230,1902267.790000000037253,2718394.279999999795109,2284848.250000000000000,2602910.540000000037253,1933912.820000000065193,17797516.149999998509884
FS( 247 ),3256356.729999999515712,3096745.139999999664724,1892728.270000000018626,2690383.640000000130385,2262298.599999999627471,2599291.620000000111759,1932998.450000000186265,17730805.449999999254942
FS( 248 ),3201762.009999999776483,3038654.339999999850988,1887362.290000000037253,2658038.019999999552965,2225122.149999999441206,2563102.419999999925494,1926597.860000000102445,17500642.089999999850988
FS( 249 ),3260906.290000000037253,3073024.729999999515712,1891535.830000000074506,2670042.579999999608845,2250719.049999999813735,2590244.319999999832362,1947323.580000000074506,17683799.380000002682209
FS( 250 ),3282516.700000000186265,3043495.240000000223517,1886467.959999999962747,2659038.399999999906868,2228778.849999999627471,2587530.130000000353903,1941532.570000000065193,17629362.850000001490116
FS( 251 ),3324600.129999999888241,3057533.849999999627471,1878120.879999999888241,2672710.260000000242144,2247671.799999999813735,2593863.240000000223517,1928731.390000000130385,17703234.549999997019768
