代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14703812.509999999776483
真實報酬,4703812.509999999776483

夏普值報酬,0.461681251000000
夏普值風險,0.118555543640047
夏普值,3.894219003387450

二次趨勢線,30.804209814060268 x^2 + 10944.674243865030803 x + 10000000.000000000000000
二次平均預期報酬,18738.139326822285511
風險,211398.697476344008464
二次平均趨勢值,0.088638858945283
一次趨勢線,16778.198602989497886 x + 10000000.000000000000000
一次預期報酬,16778.198602989497886
一次風險,304955.364352298900485
一次趨勢值,0.055018538987255
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),DD[7](9),MMM[16](2),NKE[19](3),UNH[23](11),
FS( 193 ),2990232.600000000093132,2451484.879999999888241,2659467.439999999944121,2770967.480000000447035,2569965.140000000130385,13442117.540000000968575
FS( 194 ),2975824.080000000074506,2526576.890000000130385,2651176.479999999981374,2781873.439999999478459,2561185.640000000130385,13496636.530000001192093
FS( 195 ),2945029.399999999906868,2489264.089999999850988,2652745.040000000037253,2790262.639999999664724,2542221.919999999925494,13419523.089999999850988
FS( 196 ),3001250.879999999888241,2515849.459999999962747,2659243.359999999869615,2760900.439999999478459,2575935.199999999720603,13513179.339999997988343
FS( 197 ),2942769.239999999757856,2507454.079999999608845,2635714.959999999962747,2698820.360000000335276,2545733.719999999739230,13330492.359999999403954
FS( 198 ),2902368.879999999888241,2467809.229999999981374,2596052.799999999813735,2663585.719999999739230,2507455.100000000093132,13137271.729999998584390
FS( 199 ),2923275.359999999869615,2450085.649999999906868,2597173.200000000186265,2670297.080000000074506,2508508.640000000130385,13149339.929999999701977
FS( 200 ),2958590.359999999869615,2432828.479999999981374,2590674.879999999888241,2713920.919999999925494,2518341.679999999701977,13214356.320000000298023
FS( 201 ),2956047.679999999701977,2454283.339999999850988,2586417.359999999869615,2711404.160000000149012,2544680.179999999701977,13252832.719999998807907
FS( 202 ),2935706.239999999757856,2466876.410000000149012,2541601.359999999869615,2690431.160000000149012,2523258.199999999720603,13157873.369999999180436
FS( 203 ),2970456.199999999720603,2470141.279999999795109,2569611.359999999869615,2720632.280000000260770,2527472.359999999869615,13258313.480000000447035
FS( 204 ),2980061.879999999888241,2573217.890000000130385,2563561.200000000186265,2692947.919999999925494,2547489.620000000111759,13357278.510000001639128
FS( 205 ),2981474.479999999981374,2567154.560000000055879,2561992.640000000130385,2681203.040000000037253,2541870.739999999757856,13333695.459999999031425
FS( 206 ),2915929.839999999850988,2494861.010000000242144,2526139.840000000316650,2635062.440000000409782,2511669.259999999776483,13083662.389999998733401
FS( 207 ),2917624.959999999962747,2487398.449999999720603,2532190.000000000000000,2658552.200000000186265,2512371.620000000111759,13108137.230000000447035
FS( 208 ),2964523.280000000260770,2492062.549999999813735,2539360.560000000055879,2662746.799999999813735,2543977.819999999832362,13202671.010000001639128
FS( 209 ),2935988.759999999776483,2484133.579999999608845,2545186.640000000130385,2635062.440000000409782,2519395.219999999739230,13119766.640000000596046
FS( 210 ),2966783.439999999944121,2486932.040000000037253,2537119.759999999776483,2697142.519999999552965,2548191.979999999981374,13236169.740000000223517
FS( 211 ),3005206.160000000149012,2509319.719999999739230,2566922.399999999906868,2732377.160000000149012,2575935.199999999720603,13389760.639999998733401
FS( 212 ),3013116.720000000204891,2551296.620000000111759,2574092.959999999962747,2742444.200000000186265,2600166.620000000111759,13481117.120000001043081
FS( 213 ),2996730.559999999590218,2561091.229999999981374,2577902.320000000298023,2725665.799999999813735,2600868.979999999981374,13462258.890000000596046
FS( 214 ),3028372.799999999813735,2577881.990000000223517,2615995.919999999925494,2743283.120000000111759,2607541.399999999906868,13573075.230000000447035
FS( 215 ),3056059.759999999776483,2655772.459999999962747,2635042.720000000204891,2802846.439999999478459,2620886.239999999757856,13770607.619999999180436
FS( 216 ),3086006.879999999888241,2646910.669999999925494,2660139.679999999701977,2835564.319999999366701,2640201.140000000130385,13868822.690000001341105
FS( 217 ),3102110.520000000018626,2581146.859999999869615,2648711.600000000093132,2855698.399999999441206,2624749.219999999739230,13812416.599999997764826
FS( 218 ),3145336.080000000074506,2648309.899999999906868,2657674.799999999813735,2848987.040000000037253,2615618.540000000037253,13915926.359999999403954
FS( 219 ),3267949.759999999776483,2643645.799999999813735,2671791.840000000316650,2860731.919999999925494,2638094.060000000055879,14082213.380000000819564
FS( 220 ),3308632.640000000130385,2637582.469999999739230,2687477.439999999944121,2865765.439999999478459,2609648.479999999981374,14109106.469999998807907
FS( 221 ),3345077.720000000204891,2714073.709999999962747,2717952.320000000298023,2914422.799999999813735,2565048.620000000111759,14256575.170000001788139
FS( 222 ),3363159.000000000000000,2697282.949999999720603,2724226.560000000055879,2915261.719999999739230,2487789.020000000018626,14187719.250000000000000
FS( 223 ),3295071.679999999701977,2637116.060000000055879,2689270.080000000074506,2910228.200000000186265,2478307.159999999683350,14009993.179999999701977
FS( 224 ),3319933.439999999944121,2606333.000000000000000,2713918.879999999888241,2893449.799999999813735,2522204.659999999683350,14055839.780000001192093
FS( 225 ),3362028.919999999925494,2597937.620000000111759,2706972.399999999906868,2912744.959999999962747,2539763.659999999683350,14119447.559999998658895
FS( 226 ),3348185.439999999944121,2647377.079999999608845,2693527.600000000093132,2890933.040000000037253,2527823.540000000037253,14107846.699999999254942
FS( 227 ),3372764.679999999701977,2656238.870000000111759,2703835.279999999795109,2950496.360000000335276,2534144.779999999795109,14217479.970000000670552
FS( 228 ),3354683.399999999906868,2591874.290000000037253,2693975.759999999776483,3088918.160000000149012,2528174.719999999739230,14257626.329999998211861
FS( 229 ),3319650.919999999925494,2550830.209999999962747,2675825.279999999795109,3046972.160000000149012,2514829.879999999888241,14108108.449999999254942
FS( 230 ),3326713.919999999925494,2544766.879999999888241,2680530.959999999962747,3037744.040000000037253,2548894.339999999850988,14138650.140000000596046
FS( 231 ),3329256.600000000093132,2570419.429999999701977,2671119.600000000093132,3015932.120000000111759,2548543.159999999683350,14135270.910000000149012
FS( 232 ),3255801.399999999906868,2575083.529999999795109,2656554.399999999906868,3005026.160000000149012,2546787.259999999776483,14039252.750000000000000
FS( 233 ),3311175.319999999832362,2656238.870000000111759,2675601.200000000186265,3025999.160000000149012,2563292.719999999739230,14232307.269999999552965
FS( 234 ),3296766.799999999813735,2613795.560000000055879,2659691.520000000018626,2992442.360000000335276,2534495.959999999962747,14097192.199999999254942
FS( 235 ),3261451.799999999813735,2558759.179999999701977,2625407.279999999795109,2947979.599999999627471,2510264.540000000037253,13903862.399999998509884
FS( 236 ),3234047.359999999869615,2585344.549999999813735,2634594.560000000055879,2973986.120000000111759,2506752.739999999757856,13934725.330000000074506
FS( 237 ),3359203.720000000204891,2683290.649999999906868,2674256.720000000204891,3080528.959999999962747,2598059.540000000037253,14395339.589999999850988
FS( 238 ),3333211.879999999888241,2728066.010000000242144,2705179.759999999776483,3081367.879999999888241,2608243.759999999776483,14456069.290000000968575
FS( 239 ),3375024.839999999850988,2711275.250000000000000,2720417.200000000186265,3106535.480000000447035,2624046.859999999869615,14537299.629999998956919
FS( 240 ),3338862.280000000260770,2685622.699999999720603,2685012.560000000055879,3091434.919999999925494,2594196.560000000055879,14395129.020000001415610
FS( 241 ),3399886.600000000093132,2731797.290000000037253,2710109.520000000018626,3125830.639999999664724,2640552.319999999832362,14608176.370000001043081
FS( 242 ),3454978.000000000000000,2749054.459999999962747,2747754.959999999962747,3126669.560000000521541,2506401.560000000055879,14584858.540000000968575
FS( 243 ),3461475.959999999962747,2743923.949999999720603,2752684.720000000204891,3185393.959999999962747,2414743.580000000074506,14558222.169999999925494
FS( 244 ),3431811.359999999869615,2747188.819999999832362,2761872.000000000000000,3192105.319999999366701,2395077.500000000000000,14528055.000000000000000
FS( 245 ),3460345.879999999888241,2759781.890000000130385,2774196.399999999906868,3186232.879999999888241,2418255.379999999888241,14598812.429999999701977
FS( 246 ),3645113.960000000428408,2725733.959999999962747,2760751.600000000093132,3169454.480000000447035,2388405.080000000074506,14689459.080000000074506
FS( 247 ),3643983.879999999422580,2698215.770000000018626,2767249.919999999925494,3167776.639999999664724,2374357.879999999888241,14651584.089999999850988
FS( 248 ),3706420.799999999813735,2624989.399999999906868,2788089.359999999869615,3175326.919999999925494,2374709.060000000055879,14669535.539999999105930
FS( 249 ),3669410.679999999701977,2597937.620000000111759,2799293.359999999869615,3167776.639999999664724,2350828.819999999832362,14585247.120000001043081
FS( 250 ),3663195.239999999757856,2620791.709999999962747,2807360.240000000223517,3184555.040000000037253,2390863.339999999850988,14666765.570000000298023
FS( 251 ),3663760.280000000260770,2607732.229999999981374,2796380.320000000298023,3193783.160000000149012,2388405.080000000074506,14650061.070000000298023
FS( 252 ),3686926.919999999925494,2621724.529999999795109,2820132.799999999813735,3177843.680000000633299,2397184.580000000074506,14703812.509999999776483
