代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13354146.379999998956919
真實報酬,3354146.379999998956919

夏普值報酬,0.326714638000000
夏普值風險,0.086063966669749
夏普值,3.796183822826727

二次趨勢線,41.930107605703768 x^2 + 2553.318780980531301 x + 10000000.000000000000000
二次平均預期報酬,13161.636005223583197
風險,197041.191259600571357
二次平均趨勢值,0.066796368419653
一次趨勢線,10493.801772592169073 x + 10000000.000000000000000
一次預期報酬,10493.801772592169073
一次風險,358234.061462138139177
一次趨勢值,0.029293143510032
找到最佳解世代,2088
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,7
AAPL[0](11),GS[8](2),INTC[11](13),JPM[13](1),PG[21](19),UNH[23](5),V[25](17),
FS( 148 ),1619269.199999999953434,1509856.599999999860302,1761129.659999999916181,1609794.809999999823049,1573303.779999999795109,1648597.340000000083819,1587998.870000000111759,11309953.259999997913837
FS( 149 ),1594117.500000000000000,1468290.099999999860302,1755485.099999999860302,1584215.950000000186265,1551673.000000000000000,1624058.649999999906868,1567902.920000000158325,11145746.219999998807907
FS( 150 ),1606480.199999999953434,1489719.939999999944121,1775711.439999999944121,1606899.090000000083819,1578403.719999999972060,1643783.530000000027940,1582831.340000000083819,11283832.259999999776483
FS( 151 ),1598948.899999999906868,1487872.539999999804422,1771478.019999999785796,1604968.610000000102445,1559234.979999999981374,1626054.620000000111759,1585893.580000000074506,11234454.249999998137355
FS( 152 ),1605769.699999999953434,1498956.939999999944121,1765833.459999999962747,1607140.399999999906868,1553783.319999999832362,1622180.090000000083819,1583405.510000000009313,11237072.419999999925494
FS( 153 ),1606480.199999999953434,1537105.750000000000000,1787000.560000000055879,1633443.189999999944121,1562576.319999999832362,1615605.129999999888241,1595271.689999999944121,11337485.839999997988343
FS( 154 ),1618416.599999999860302,1544033.500000000000000,1790763.599999999860302,1637786.770000000251457,1569083.139999999897555,1602337.800000000046566,1595463.080000000074506,11357887.490000000223517
FS( 155 ),1620832.300000000046566,1568788.660000000149012,1792174.739999999990687,1643578.209999999962747,1582800.219999999972060,1604568.590000000083819,1586276.359999999869615,11399022.080000000074506
FS( 156 ),1649110.199999999953434,1579965.429999999934807,1788411.700000000186265,1656367.640000000130385,1566269.380000000121072,1621240.810000000288710,1590869.720000000204891,11452237.880000000819564
FS( 157 ),1652662.699999999953434,1561491.429999999934807,1753133.200000000186265,1648404.410000000149012,1557124.660000000149012,1582143.280000000027940,1570199.600000000093132,11325162.279999999329448
FS( 158 ),1667441.100000000093132,1563893.050000000046566,1746547.880000000121072,1644060.829999999841675,1557652.239999999757856,1586252.629999999888241,1574218.790000000037253,11340069.519999999552965
FS( 159 ),1662325.500000000000000,1546527.489999999757856,1739021.799999999813735,1634649.739999999990687,1551848.859999999869615,1575568.320000000065193,1566945.970000000204891,11276890.679999999701977
FS( 160 ),1671562.000000000000000,1575162.189999999944121,1761600.040000000037253,1629340.919999999925494,1555190.200000000186265,1572398.249999999767169,1578046.590000000083819,11343303.189999999478459
FS( 161 ),1670425.199999999953434,1561121.949999999953434,1754073.959999999962747,1620895.070000000065193,1544638.599999999860302,1574863.859999999869615,1572304.890000000130385,11298326.529999999329448
FS( 162 ),1669288.399999999906868,1594652.260000000009313,1775711.439999999944121,1633684.500000000000000,1537955.919999999925494,1683585.519999999785796,1561395.659999999916181,11456276.699999999254942
FS( 163 ),1664314.899999999906868,1612017.819999999832362,1670346.319999999832362,1649369.649999999906868,1504366.660000000149012,1695091.700000000186265,1584936.630000000121072,11380446.680000001564622
FS( 164 ),1663462.300000000046566,1612017.819999999832362,1666583.280000000027940,1647197.860000000102445,1493639.200000000186265,1703310.399999999906868,1579003.540000000037253,11365217.400000002235174
FS( 165 ),1656925.699999999953434,1613495.739999999757856,1653412.639999999897555,1652747.989999999990687,1483087.599999999860302,1706832.700000000186265,1576132.689999999944121,11342638.059999998658895
FS( 166 ),1671846.199999999953434,1617652.389999999897555,1658586.819999999832362,1661917.770000000251457,1479042.819999999832362,1698848.820000000065193,1591826.670000000158325,11379724.490000000223517
FS( 167 ),1680372.199999999953434,1621624.300000000046566,1651060.739999999990687,1660228.600000000093132,1529514.639999999897555,1688164.510000000009313,1570008.209999999962747,11400976.199999999254942
FS( 168 ),1642573.600000000093132,1635664.539999999804422,1642593.900000000139698,1668191.829999999841675,1537076.620000000111759,1669965.959999999962747,1564649.290000000037253,11360718.739999998360872
FS( 169 ),1626800.500000000000000,1641945.699999999953434,1637419.719999999972060,1670604.930000000167638,1522656.099999999860302,1666561.070000000065193,1567902.920000000158325,11333893.939999999478459
FS( 170 ),1616000.899999999906868,1636311.129999999888241,1634127.060000000055879,1667709.209999999962747,1527228.459999999962747,1647892.879999999888241,1573644.620000000111759,11302917.260000001639128
FS( 171 ),1613443.100000000093132,1646471.830000000074506,1640241.999999999767169,1671328.860000000102445,1526525.020000000018626,1659399.060000000288710,1579194.930000000167638,11336607.800000000745058
FS( 172 ),1584312.599999999860302,1644809.169999999925494,1623778.700000000186265,1664330.870000000111759,1527404.319999999832362,1637091.160000000149012,1562161.220000000204891,11243891.040000000968575
FS( 173 ),1585733.600000000093132,1631138.410000000149012,1627541.739999999990687,1657332.880000000121072,1525469.859999999869615,1631807.709999999962747,1542256.659999999916181,11201283.859999999403954
FS( 174 ),1560724.000000000000000,1627720.719999999972060,1596026.280000000027940,1650093.579999999841675,1523007.819999999832362,1618305.560000000288710,1543596.390000000130385,11119477.350000001490116
FS( 175 ),1546656.100000000093132,1625041.989999999757856,1580974.119999999878928,1635132.360000000102445,1496277.099999999860302,1616896.640000000130385,1538046.080000000074506,11039027.390000000596046
FS( 176 ),1568965.799999999813735,1676399.709999999962747,1631775.159999999916181,1686290.079999999841675,1522304.380000000121072,1666443.660000000149012,1579194.930000000167638,11331376.719999998807907
FS( 177 ),1578202.300000000046566,1680463.989999999757856,1634127.060000000055879,1689909.729999999981374,1538131.779999999795109,1677832.430000000167638,1586276.359999999869615,11384946.649999998509884
FS( 178 ),1575644.500000000000000,1779392.260000000009313,1634597.439999999944121,1767611.550000000046566,1511225.200000000186265,1666091.430000000167638,1593166.399999999906868,11527731.779999999329448
FS( 179 ),1531735.600000000093132,1855505.139999999897555,1622837.939999999944121,1849656.950000000186265,1458994.779999999795109,1715755.859999999869615,1566945.970000000204891,11601435.240000000223517
FS( 180 ),1540830.000000000000000,1883862.729999999981374,1628012.119999999878928,1850622.189999999944121,1469898.099999999860302,1719160.749999999767169,1567137.359999999869615,11659526.249999998137355
FS( 181 ),1502178.799999999813735,1932264.610000000102445,1621897.179999999701977,1918671.610000000102445,1459698.219999999972060,1787963.010000000009313,1500150.859999999869615,11722827.289999999105930
FS( 182 ),1522072.800000000046566,1950830.979999999981374,1642123.519999999785796,1915051.959999999962747,1470601.540000000037253,1787375.959999999962747,1503787.270000000018626,11791847.030000001192093
FS( 183 ),1562997.599999999860302,1905292.569999999832362,1638830.860000000102445,1867755.200000000186265,1463039.559999999823049,1778805.030000000027940,1532687.159999999916181,11749410.980000000447035
FS( 184 ),1562429.199999999953434,1936421.260000000009313,1647297.700000000186265,1882716.419999999925494,1460929.239999999757856,1770234.100000000093132,1551634.770000000018626,11811665.689999999478459
FS( 185 ),1563992.300000000046566,1943071.899999999906868,1644005.040000000037253,1875235.809999999823049,1442112.219999999972060,1754735.979999999981374,1546850.020000000018626,11770006.269999999552965
FS( 186 ),1587723.000000000000000,1949814.910000000149012,1645416.179999999701977,1883440.350000000093132,1453367.260000000009313,1766007.340000000083819,1563500.949999999953434,11849272.989999998360872
FS( 187 ),1588717.699999999953434,1950092.020000000018626,1668935.179999999701977,1895023.229999999981374,1455477.580000000074506,1787728.189999999944121,1529816.310000000055879,11875793.209999999031425
FS( 188 ),1580618.000000000000000,1961176.419999999925494,1655764.540000000037253,1902986.459999999962747,1454070.700000000186265,1802756.669999999925494,1522926.270000000018626,11880302.060000000521541
FS( 189 ),1588575.600000000093132,1952586.010000000009313,1667053.659999999916181,1902262.530000000027940,1467787.779999999795109,1794185.739999999990687,1533644.109999999869615,11906098.429999999701977
FS( 190 ),1585449.399999999906868,1943071.899999999906868,1670346.319999999832362,1889955.719999999972060,1460929.239999999757856,1785967.040000000270084,1513548.159999999916181,11849270.779999999329448
FS( 191 ),1583886.299999999813735,1956003.699999999953434,1660938.719999999972060,1904434.320000000065193,1457763.760000000009313,1850307.719999999972060,1514887.890000000130385,11928225.410000002011657
FS( 192 ),1570528.899999999906868,2025650.679999999934807,1632245.540000000037253,1934598.070000000065193,1450201.779999999795109,1858878.649999999906868,1479863.520000000018626,11951970.140000000596046
FS( 193 ),1555892.599999999860302,2093450.260000000009313,1588029.819999999832362,1973690.290000000270084,1439650.179999999934807,1889640.070000000065193,1443690.810000000055879,11984047.030000001192093
FS( 194 ),1561718.699999999953434,2063245.270000000018626,1606845.019999999785796,1969105.399999999906868,1449146.620000000111759,1887174.459999999962747,1449241.120000000111759,11986479.589999999850988
FS( 195 ),1550492.800000000046566,2111185.299999999813735,1617663.760000000009313,2009162.860000000102445,1459522.359999999869615,1850777.359999999869615,1479672.130000000121072,12078479.570000000298023
FS( 196 ),1562429.199999999953434,2137326.009999999776483,1633186.299999999813735,2019539.189999999944121,1458115.479999999981374,1847137.649999999906868,1475844.330000000074506,12133581.160000000149012
FS( 197 ),1577776.000000000000000,2175936.669999999925494,1669875.939999999944121,2028708.969999999972060,1480449.700000000186265,1871558.930000000167638,1517950.130000000121072,12322259.339999999850988
FS( 198 ),1593264.899999999906868,2230342.599999999627471,1679283.540000000037253,2054046.520000000251457,1468491.219999999972060,1870619.649999999906868,1517375.959999999962747,12413427.390000000596046
FS( 199 ),1619269.199999999953434,2234037.399999999441206,1682105.819999999832362,2062974.989999999990687,1483791.040000000037253,1880012.450000000186265,1514696.500000000000000,12476890.399999998509884
FS( 200 ),1610032.699999999953434,2190808.240000000223517,1691983.799999999813735,2044635.430000000167638,1497156.399999999906868,1872615.620000000111759,1502447.540000000037253,12409682.730000000447035
FS( 201 ),1636889.599999999860302,2203555.299999999813735,1731025.339999999850988,2045359.360000000102445,1498035.700000000186265,1884943.669999999925494,1515844.840000000083819,12515656.810000000521541
FS( 202 ),1636889.599999999860302,2216302.360000000335276,1719265.839999999850988,2044635.430000000167638,1483791.040000000037253,1876959.790000000270084,1514505.109999999869615,12492352.169999999925494
FS( 203 ),1645841.899999999906868,2244659.950000000186265,1730554.959999999962747,2075281.800000000046566,1489242.700000000186265,1885882.950000000186265,1521586.540000000037253,12593053.800000000745058
FS( 204 ),1647973.399999999906868,2206788.250000000000000,1707976.719999999972060,2049702.939999999944121,1489242.700000000186265,1924863.070000000065193,1499576.689999999944121,12526126.770000001415610
FS( 205 ),1657494.099999999860302,2208358.540000000037253,1735258.760000000009313,2061527.130000000121072,1489770.279999999795109,1896684.669999999925494,1494791.939999999944121,12543888.419999998062849
FS( 206 ),1661899.199999999953434,2245491.280000000260770,1750310.919999999925494,2088071.229999999981374,1487308.239999999757856,1897271.719999999972060,1499768.080000000074506,12630123.670000001788139
FS( 207 ),1663462.300000000046566,2230250.229999999515712,1739492.179999999701977,2093380.050000000046566,1482208.300000000046566,1894219.060000000288710,1495557.500000000000000,12598572.619999999180436
FS( 208 ),1652520.600000000093132,2218057.389999999664724,1737140.280000000027940,2096758.390000000130385,1485549.639999999897555,1897154.310000000288710,1490964.140000000130385,12578147.750000001862645
FS( 209 ),1655788.899999999906868,2225908.839999999850988,1739021.799999999813735,2100619.349999999627471,1494166.779999999795109,1914178.760000000009313,1495748.890000000130385,12625436.319999998435378
FS( 210 ),1666304.300000000046566,2231358.669999999925494,1743725.599999999860302,2102549.830000000074506,1487835.819999999832362,1909599.769999999785796,1499576.689999999944121,12640953.679999997839332
FS( 211 ),1659199.300000000046566,2222953.000000000000000,1723028.880000000121072,2087347.300000000046566,1478515.239999999757856,1895510.570000000065193,1498619.739999999990687,12565177.029999999329448
FS( 212 ),1658773.000000000000000,2200137.610000000335276,1724440.019999999785796,2072627.390000000130385,1483439.319999999832362,1890814.169999999925494,1499193.909999999916181,12529428.419999999925494
FS( 213 ),1645841.899999999906868,2211868.599999999627471,1706095.200000000186265,2082279.790000000270084,1478691.099999999860302,1879073.169999999925494,1493260.820000000065193,12497113.580000000074506
FS( 214 ),1650531.199999999953434,2231451.040000000037253,1721617.739999999990687,2104962.929999999701977,1480801.419999999925494,1895627.979999999981374,1521586.540000000037253,12606581.850000001490116
FS( 215 ),1648683.899999999906868,2245860.759999999776483,1712680.519999999785796,2097241.009999999776483,1486077.219999999972060,1901028.840000000083819,1534026.890000000130385,12625602.140000000596046
FS( 216 ),1657067.800000000046566,2229141.790000000037253,1709858.239999999990687,2077936.209999999962747,1495925.380000000121072,1904198.910000000149012,1552017.550000000046566,12626148.880000000819564
FS( 217 ),1675540.799999999813735,2262210.250000000000000,1715973.179999999701977,2078177.520000000251457,1495397.800000000046566,1906899.340000000083819,1573453.229999999981374,12707655.120000001043081
FS( 218 ),1690887.599999999860302,2243643.879999999888241,1722088.119999999878928,2079625.380000000121072,1484318.620000000111759,1901498.479999999981374,1564649.290000000037253,12686714.370000001043081
FS( 219 ),1692592.800000000046566,2240688.040000000037253,1718795.459999999962747,2085658.130000000121072,1468315.359999999869615,1897154.310000000288710,1556228.130000000121072,12659435.230000000447035
FS( 220 ),1701687.199999999953434,2270154.070000000298023,1738081.040000000037253,2101343.280000000260770,1472887.719999999972060,1900794.019999999785796,1565606.239999999990687,12750556.570000000298023
FS( 221 ),1694582.199999999953434,2252419.030000000260770,1726791.919999999925494,2081073.239999999990687,1474470.459999999962747,1906312.290000000270084,1557376.470000000204891,12693028.610000003129244
FS( 222 ),1691598.100000000093132,2256668.049999999813735,1730554.959999999962747,2092173.500000000000000,1477460.080000000074506,1899737.330000000074506,1553548.670000000158325,12701743.689999999478459
FS( 223 ),1705239.699999999953434,2177599.330000000074506,1731025.339999999850988,2016160.850000000093132,1498563.279999999795109,1886352.590000000083819,1555271.180000000167638,12570215.269999999552965
FS( 224 ),1705097.599999999860302,2164205.679999999701977,1729143.819999999832362,2025571.939999999944121,1493639.200000000186265,1852068.870000000111759,1561587.050000000046566,12531317.160000000149012
FS( 225 ),1702113.500000000000000,2137603.120000000111759,1720206.599999999860302,2010128.100000000093132,1489594.419999999925494,1863340.229999999981374,1564266.510000000009313,12487255.480000000447035
FS( 226 ),1705239.699999999953434,2144900.349999999627471,1737610.659999999916181,2019056.570000000065193,1537955.919999999925494,1862870.590000000083819,1566371.800000000046566,12574008.589999999850988
FS( 227 ),1706376.500000000000000,2149241.740000000223517,1729614.200000000186265,2020021.809999999823049,1529338.779999999795109,1867684.399999999906868,1572304.890000000130385,12574585.320000000298023
FS( 228 ),1704813.399999999906868,2158571.110000000335276,1769596.499999999767169,2044394.120000000111759,1545166.179999999934807,1883652.160000000149012,1592975.010000000009313,12699171.480000000447035
FS( 229 ),1731954.500000000000000,2191547.200000000186265,1778063.339999999850988,2076005.729999999981374,1532855.979999999981374,1893162.370000000111759,1605798.140000000130385,12809390.260000001639128
FS( 230 ),1732807.099999999860302,2213069.410000000149012,1766774.219999999972060,2093380.050000000046566,1523007.819999999832362,1910891.280000000027940,1593166.399999999906868,12833099.279999999329448
FS( 231 ),1732949.199999999953434,2188776.099999999627471,1786530.179999999701977,2097723.629999999888241,1525118.139999999897555,1913709.120000000111759,1603310.070000000065193,12848119.440000001341105
FS( 232 ),1728402.000000000000000,2160603.250000000000000,1760188.900000000139698,2076005.729999999981374,1525645.719999999972060,1903142.219999999972060,1601970.340000000083819,12755961.160000002011657
FS( 233 ),1724423.199999999953434,2118297.790000000037253,1731966.099999999860302,2042222.329999999841675,1540593.819999999832362,1903259.629999999888241,1583022.729999999981374,12643788.600000001490116
FS( 234 ),1829577.199999999953434,2130767.740000000223517,1717854.700000000186265,2049944.250000000000000,1535845.599999999860302,1910421.640000000130385,1577855.199999999953434,12752269.330000000074506
FS( 235 ),1826451.000000000000000,2128366.120000000111759,1725380.780000000027940,2041257.090000000083819,1543407.580000000074506,1887526.689999999944121,1575175.739999999990687,12727568.000000000000000
FS( 236 ),1834266.500000000232831,2225724.099999999627471,1717854.700000000186265,2103756.379999999888241,1537252.479999999981374,1900559.200000000186265,1647521.159999999916181,12966937.519999999552965
FS( 237 ),1851460.599999999860302,2216764.209999999962747,1706095.200000000186265,2093862.669999999925494,1537076.620000000111759,1884591.439999999944121,1642736.409999999916181,12932590.150000000372529
FS( 238 ),1869081.000000000000000,2213438.889999999664724,1709858.239999999990687,2092656.120000000111759,1547804.080000000074506,1884826.260000000009313,1641779.459999999962747,12959447.050000000745058
FS( 239 ),1876328.099999999860302,2195980.959999999962747,1711269.380000000121072,2074316.559999999823049,1553431.599999999860302,1882243.239999999990687,1628573.550000000046566,12922146.390000000596046
FS( 240 ),1881727.899999999674037,2231266.299999999813735,1667994.419999999925494,2104239.000000000000000,1559410.840000000083819,1883769.570000000065193,1637951.659999999916181,12966362.689999999478459
FS( 241 ),1877464.899999999906868,2242073.589999999850988,1662349.860000000102445,2099412.799999999813735,1547100.639999999897555,1887409.280000000027940,1644076.140000000130385,12959890.209999999031425
FS( 242 ),1894090.599999999860302,2274864.940000000409782,1683987.339999999850988,2127163.450000000186265,1553079.880000000121072,1901968.120000000111759,1654411.199999999953434,13089568.530000001192093
FS( 243 ),1918673.900000000139698,2304330.969999999739230,1690102.280000000027940,2161188.160000000149012,1545166.179999999934807,1915352.859999999869615,1662258.189999999944121,13197075.539999999105930
FS( 244 ),1925636.799999999813735,2314306.929999999701977,1695746.839999999850988,2186043.089999999850988,1602496.540000000037253,1928972.419999999925494,1675464.100000000093132,13328669.719999998807907
FS( 245 ),1923363.199999999953434,2304146.229999999515712,1712680.519999999785796,2184595.230000000447035,1596693.160000000149012,1921458.180000000167638,1672976.030000000027940,13315915.549999998882413
FS( 246 ),1928620.899999999906868,2312829.009999999776483,1715973.179999999701977,2177355.929999999701977,1601968.959999999962747,1850659.950000000186265,1673932.979999999981374,13261343.910000000149012
FS( 247 ),1942546.699999999720603,2325576.070000000298023,1717854.700000000186265,2196178.110000000335276,1612168.840000000083819,1885295.899999999906868,1682736.920000000158325,13362360.240000000223517
FS( 248 ),1948372.800000000046566,2325298.959999999962747,1696687.599999999860302,2197384.660000000149012,1608124.059999999823049,1885295.899999999906868,1680440.239999999990687,13341607.220000000670552
FS( 249 ),1940131.000000000000000,2320310.979999999515712,1701861.780000000027940,2199073.830000000074506,1602672.399999999906868,1909130.129999999888241,1687713.060000000055879,13360896.180000001564622
FS( 250 ),1941978.299999999813735,2284840.899999999441206,1718325.080000000074506,2179769.030000000260770,1601265.520000000018626,1914530.989999999990687,1692497.810000000055879,13333210.630000000819564
FS( 251 ),1945815.000000000000000,2303130.160000000149012,1717384.319999999832362,2182182.129999999888241,1598451.760000000009313,1941770.109999999869615,1684268.040000000037253,13373004.519999999552965
FS( 252 ),1946667.600000000093132,2291399.169999999925494,1702802.540000000037253,2186767.020000000484288,1601617.239999999757856,1941770.109999999869615,1683119.699999999953434,13354146.379999998956919
